source target sign
JW1605 JW2004 -
JW1605 JW0955 +
JW1694 JW0578 -
JW1694 JW3530 +
JW2517 JW2699 +
JW2517 JW5366 -
JW0453 JW2497 +
JW5073 JW3555 -
JW1786 JW3187 -
JW1786 JW4361 +
JW1786 JW3656 +
JW1786 JW1801 -
JW3540 JW3181 -
JW3540 JW5699 +
JW3540 JW4040 +
JW3540 JW2455 -
JW0213 JW0748 -
JW5415 JW5024 -
JW5415 JW3455 -
JW5429 JW3848 -
JW5429 JW0421 -
JW5429 JW5253 +
JW0055 JW5505 -
JW2337 JW0233 -
JW1767 JW4023 -
JW1767 JW2663 +
JW3786 JW2676 +
JW3786 JW5787 +
JW3786 JW5702 +
JW2404 JW1884 +
JW2404 JW2885 +
JW0835 JW4023 +
JW0835 JW0191 -
JW0835 JW0443 +
JW0403 JW2715 +
JW0403 JW1336 +
JW0403 JW3894 -
JW2249 JW1631 +
JW2249 JW4227 +
JW2501 JW3719 +
JW2995 JW3644 +
JW2995 JW3468 +
JW2995 JW3843 -
JW0758 JW2315 -
JW0758 JW5228 -
JW0758 JW0623 +
JW3435 JW1283 -
JW3435 JW4037 +
JW4126 JW3176 +
JW4126 JW3709 -
JW4126 JW3882 +
JW3737 JW2651 -
JW3737 JW5672 -
JW0762 JW1710 +
JW0762 JW0748 +
JW0387 JW1067 +
JW5404 JW3323 +
JW5404 JW5188 +
JW5404 JW4335 -
JW5404 JW1240 -
JW5404 JW2602 -
JW5404 JW1922 +
JW0135 JW4196 -
JW0135 JW0342 -
JW5473 JW3265 +
JW5473 JW3678 +
JW5473 JW0848 -
JW5473 JW0463 +
JW1153 JW5118 +
JW1153 JW3720 +
JW5769 JW0096 -
JW5769 JW1857 -
JW5769 JW2570 -
JW3039 JW1360 +
JW3039 JW2101 -
JW3039 JW2456 +
JW1688 JW4087 +
JW2237 JW0645 +
JW2237 JW3249 -
JW2237 JW0702 +
JW3778 JW0094 -
JW3778 JW2905 -
JW3778 JW5757 +
JW0339 JW0183 +
JW0339 JW5127 -
JW0339 JW3610 -
JW5127 JW5095 +
JW5127 JW3518 -
JW5127 JW5745 +
JW2366 JW1134 +
JW5095 JW2668 +
JW1596 JW0063 -
JW1596 JW3555 +
JW0445 JW0714 +
JW0445 JW0588 +
JW0445 JW0141 +
JW3197 JW0762 +
JW3197 JW0621 +
JW3197 JW3918 +
JW3197 JW1943 -
JW0709 JW0076 +
JW3265 JW2837 +
JW0343 JW2007 -
JW0343 JW1267 +
JW3805 JW1468 +
JW0780 JW4342 +
JW0780 JW4049 -
JW3742 JW2663 -
JW3742 JW0117 +
JW4193 JW2010 +
JW3217 JW0549 +
JW3217 JW4042 +
JW2352 JW0097 +
JW2352 JW2874 +
JW2352 JW1853 +
JW5434 JW2553 +
JW5434 JW1986 -
JW5434 JW1671 -
JW5434 JW2249 +
JW3894 JW4103 -
JW3894 JW3575 +
JW5856 JW0654 -
JW3612 JW0055 +
JW5596 JW0059 +
JW5596 JW1488 -
JW5596 JW3943 +
JW5596 JW4225 +
JW5596 JW0602 +
JW3181 JW2553 -
JW3710 JW3363 -
JW3710 JW0455 +
JW2762 JW3153 -
JW2762 JW0728 -
JW2762 JW3635 +
JW2762 JW5790 +
JW2762 JW0539 -
JW2509 JW0048 +
JW1922 JW1163 +
JW1922 JW1664 +
JW1922 JW3182 +
JW3830 JW5185 -
JW0848 JW1168 -
JW3740 JW3756 -
JW3701 JW0398 +
JW3701 JW3956 -
JW4335 JW5821 -
JW4335 JW0539 -
JW2431 JW5441 +
JW3073 JW4212 -
JW3073 JW2946 -
JW5963 JW0193 -
JW5963 JW0254 +
JW5963 JW2998 +
JW5963 JW5352 +
JW5963 JW0868 +
JW2566 JW5535 -
JW5816 JW0868 +
JW3414 JW2676 +
JW0388 JW4356 +
JW1551 JW0339 +
JW1551 JW1196 -
JW1551 JW0837 +
JW1551 JW5415 +
JW1956 JW1703 +
JW1956 JW4054 -
JW1956 JW2400 +
JW1956 JW2683 +
JW1956 JW1457 +
JW0008 JW1929 -
JW5145 JW3280 -
JW3222 JW1267 -
JW3222 JW3525 +
JW2051 JW0150 +
JW2051 JW1801 -
JW2806 JW2871 +
JW2806 JW1599 -
JW2806 JW0387 +
JW2806 JW3746 +
JW4264 JW0075 +
JW3280 JW1534 +
JW3280 JW4178 +
JW3280 JW0115 -
JW3546 JW1949 +
JW5289 JW0936 +
JW1279 JW0075 +
JW1279 JW1261 -
JW1279 JW3037 +
JW2303 JW5814 +
JW3848 JW4105 -
JW2367 JW2671 +
JW2367 JW0711 +
JW2367 JW5536 -
JW1417 JW2970 +
JW1417 JW0976 +
JW1417 JW0057 -
JW1417 JW5674 +
JW2964 JW0091 -
JW2964 JW0233 +
JW2964 JW5818 -
JW2627 JW2985 +
JW2627 JW3368 -
JW4236 JW2537 +
JW0082 JW5460 -
JW0082 JW2403 -
JW0082 JW5503 -
JW0082 JW5277 +
JW0082 JW2700 -
JW0082 JW5963 -
JW0082 JW3178 +
JW4354 JW1534 -
JW4354 JW1684 -
JW4354 JW5126 +
JW1873 JW5543 -
JW2226 JW0598 +
JW2226 JW5198+JW5199 -
JW2226 JW1477 +
JW2226 JW0027 +
JW2226 JW3519 -
JW2226 JW2526 +
JW5965 JW5961 -
JW2444 JW0867 +
JW2444 JW3445 -
JW2444 JW5415 -
JW3363 JW0794 -
JW3363 JW0391 -
JW3363 JW2725 +
JW3363 JW1612 -
JW3363 JW0141 -
JW4070 JW4024 +
JW4070 JW3700 +
JW4070 JW2404 +
JW3645 JW3656 -
JW3645 JW5423 +
JW0497 JW2965 -
JW0497 JW3925 +
JW1001 JW2058 -
JW1001 JW1684 -
JW4122 JW1551 +
JW4122 JW1729 +
JW4122 JW5786 +
JW4122 JW3263 +
JW4122 JW0702 +
JW3208 JW4216 -
JW3208 JW0305 +
JW3565 JW0645 +
JW3565 JW1572 +
JW3565 JW3876 +
JW3565 JW0939 -
JW3565 JW2464 -
JW3565 JW2336 -
JW3907 JW0479 +
JW0744 JW5699 +
JW2598 JW0514 -
JW1441 JW5125 +
JW1441 JW3266 +
JW1441 JW1494 +
JW2243 JW2713 +
JW2243 JW2918 +
JW2243 JW0758 +
JW3635 JW2444 -
JW3635 JW2415 -
JW1323 JW2172 +
JW1637 JW4192 -
JW1637 JW5238 +
JW1637 JW1071 +
JW0612 JW5749 +
JW0612 JW2763 -
JW0177 JW0968 +
JW0177 JW3129 +
JW4200 JW1929 +
JW4200 JW1733 +
JW4200 JW3455 +
JW1953 JW3710 +
JW5007 JW4186 +
JW5007 JW3783 +
JW2153 JW3805 +
JW4178 JW0005 -
JW4178 JW5687 +
JW1913 JW2698 -
JW1913 JW3076 +
JW3905 JW3152 -
JW3905 JW1610 -
JW3905 JW2779 -
JW2608 JW2268 +
JW2608 JW5718 -
JW0195 JW0387 +
JW0195 JW1730 -
JW1774 JW0939 +
JW2258 JW1906 -
JW2258 JW3162 -
JW2258 JW0602 -
JW5533 JW0407 +
JW5533 JW2763 +
JW5533 JW0867 -
JW4362 JW5460 +
JW0342 JW1729 +
JW0452 JW0441 -
JW2453 JW4139 +
JW2453 JW0833 -
JW2453 JW5769 -
JW2453 JW5961 -
JW4040 JW0840 +
JW4040 JW3154 +
JW4040 JW5769 +
JW4040 JW3876 +
JW3679 JW3188 +
JW3394 JW2200 +
JW3394 JW2875 -
JW2118 JW2017 -
JW2118 JW3077 -
JW2118 JW5404 -
JW1618 JW3783 -
JW1618 JW2442 +
JW0150 JW0321 +
JW0150 JW3509 +
JW5291 JW2929 -
JW5152 JW1926 -
JW5152 JW3291 -
JW0713 JW5152 -
JW0713 JW0455 +
JW0713 JW0463 +
JW0713 JW4003 -
JW5441 JW0339 +
JW5441 JW0886 +
JW5441 JW3509 +
JW1240 JW2776 +
JW1240 JW1953 +
JW1240 JW0610 +
JW2267 JW1911 -
JW2267 JW3531 +
JW5683 JW4334 +
JW5683 JW0463 +
JW3512 JW5205 +
JW3512 JW2376 -
JW0389 JW0215 +
JW4223 JW0731 +
JW4223 JW3926 +
JW4223 JW1767 -
JW4223 JW0608 -
JW4062 JW3200 +
JW4062 JW0014 -
JW4062 JW3730 -
JW0421 JW0551 +
JW0421 JW2342 -
JW0421 JW1283 -
JW0421 JW0758 +
JW0421 JW3805 -
JW2433 JW0645 +
JW2433 JW2403 -
JW2433 JW3565 -
JW2433 JW0216 -
JW1336 JW1618 +
JW1336 JW0403 -
JW1336 JW2010 +
JW1336 JW2985 +
JW3352 JW5361 -
JW3352 JW4119 +
JW3352 JW5228 +
JW3658 JW1613 +
JW3658 JW4212 -
JW3658 JW0107 -
JW3658 JW3188 -
JW3658 JW3232 -
JW5413 JW0840 +
JW5413 JW3905 +
JW5413 JW3129 +
JW5413 JW1637 -
JW0952 JW0892 -
JW0952 JW2995 -
JW5205 JW0918 +
JW5535 JW0093 -
JW1633 JW5854 +
JW1633 JW0803 -
JW1516 JW3444 -
JW1516 JW4054 +
JW1516 JW3481 +
JW5397 JW0005 +
JW5397 JW0464 -
JW1710 JW5904 +
JW1710 JW0918 +
JW1710 JW1279 -
JW1710 JW0832 +
JW1710 JW3610 +
JW3178 JW1752 -
JW3178 JW5009 -
JW2169 JW0321 -
JW2169 JW1958 +
JW2064 JW3164 -
JW2557 JW5291 +
JW2557 JW2578 +
JW2557 JW0878 +
JW0781 JW1254 -
JW3187 JW3200 +
JW3187 JW3445 +
JW3187 JW2973 -
JW4212 JW1911 +
JW5909 JW4097 -
JW1172 JW1730 -
JW1172 JW0731 -
