bait_locus	prey_locus
JW0003	JW0043
JW0007	JW0070
JW0027	JW5543
JW0028	JW2989
JW0030	JW2169
JW0031	JW0030
JW0036	JW0036
JW0041	JW0040
JW0041	JW2956
JW0041	JW5559
JW0047	JW0043
JW0047	JW1558
JW0047	JW1566
JW0047	JW5057
JW0047	JW5300
JW0047	JW5584
JW0048	JW2004
JW0051	JW0043
JW0051	JW5264
JW0055	JW3531
JW0055	JW4139
JW0055	JW4342
JW0055	JW5434
JW0063	JW3097
JW0070	JW0070
JW0070	JW0071
JW0076	JW0076
JW0076	JW2989
JW0077	JW0076
JW0078	JW4129
JW0083	JW0258
JW0083	JW0320
JW0083	JW1360
JW0083	JW1986
JW0083	JW2947
JW0083	JW3455
JW0084	JW0084
JW0086	JW0086
JW0086	JW0093
JW0086	JW0094
JW0088	JW2565
JW0089	JW0082
JW0089	JW1345
JW0089	JW1558
JW0090	JW1994
JW0091	JW0093
JW0091	JW1943
JW0091	JW3904
JW0091	JW5217
JW0092	JW3413
JW0097	JW0097
JW0101	JW0227
JW0107	JW2989
JW0109	JW4331
JW0111	JW0112
JW0117	JW5543
JW0126	JW3746
JW0129	JW2296
JW0141	JW5300
JW0150	JW2947
JW0150	JW2989
JW0155	JW1901
JW0161	JW1558
JW0166	JW1558
JW0167	JW0167
JW0167	JW1317
JW0167	JW2578
JW0167	JW2924
JW0167	JW4005
JW0167	JW5158
JW0177	JW1558
JW0177	JW2989
JW0177	JW3918
JW0177	JW5157
JW0177	JW5655
JW0177	JW5849
JW0179	JW0205
JW0180	JW0180
JW0180	JW1112
JW0180	JW2313
JW0183	JW0183
JW0183	JW5300
JW0196	JW1457
JW0196	JW1707
JW0196	JW2666
JW0205	JW0205
JW0216	JW0216
JW0227	JW0227
JW0230	JW5437
JW0233	JW0142
JW0233	JW0233
JW0233	JW2415
JW0233	JW5352
JW0247	JW0043
JW0247	JW0659
JW0247	JW0709
JW0247	JW0968
JW0247	JW1994
JW0247	JW2683
JW0247	JW5300
JW0247	JW5361
JW0253	JW0043
JW0253	JW0195
JW0253	JW3011
JW0285	JW2568
JW0317	JW1994
JW0328	JW0328
JW0339	JW0043
JW0339	JW0093
JW0339	JW0167
JW0339	JW1142
JW0339	JW2683
JW0339	JW5361
JW0339	JW5787
JW0342	JW0043
JW0342	JW0195
JW0342	JW0258
JW0342	JW1165
JW0342	JW2134
JW0342	JW2875
JW0342	JW2947
JW0342	JW2965
JW0342	JW5125
JW0342	JW5361
JW0342	JW5543
JW0342	JW5772
JW0342	JW5787
JW0343	JW1256
JW0347	JW0347
JW0372	JW0093
JW0377	JW5300
JW0378	JW0043
JW0378	JW0610
JW0378	JW1165
JW0378	JW1679
JW0378	JW4342
JW0378	JW5674
JW0378	JW5772
JW0380	JW0195
JW0380	JW0258
JW0380	JW1142
JW0380	JW1165
JW0380	JW2947
JW0380	JW5772
JW0382	JW0043
JW0382	JW2433
JW0382	JW2989
JW0382	JW3011
JW0382	JW4342
JW0382	JW5024
JW0382	JW5300
JW0382	JW5361
JW0382	JW5571
JW0382	JW5772
JW0389	JW0313
JW0398	JW1703
JW0403	JW0403
JW0404	JW0043
JW0404	JW0404
JW0404	JW1558
JW0404	JW1566
