source target sign
DINJ-YAFQ DINJ -
DINJ-YAFQ YAFQ -
DINJ-YAFQ CSPE -
LACA SSRS -
HEMA MZRA +
HEMA TRPA +
YDEI FADE -
TRXC YJBH +
TRXC FHUF -
TRXC GLGC -
CYOD HFLK +
HDEB STPA -
HDEB ACRA +
YRBL ILVM +
YRBL FLGB -
TRPE TYNA -
HFLK THRU -
CCMG YCCT -
CCMG YDEI +
FLIS CASA +
GLYA CADB -
PSTB PHOU -
PSTB GLPC +
PSTB PHNE_2 +
PSTB CYDB -
LEUO CASE +
LEUO BGLF +
LEUO CASA +
YDEP NRFA +
YDEP NOHA -
YCIE FLIT -
YCIE RRSC +
YDIU YCHF +
YDIU PHNG +
ILVD CITE -
SGBE CYSI +
NANK GLPX -
NANK NANA -
KATG HYPA -
KATG CSID +
KATG ERPA -
ILEV SUCB +
MZRA CYAA +
NUOL NUOJ -
NUOL CCMF -
NUOL MAZF +
OSMC HCP -
YDBK GARK -
YDBK MARB +
YDBK PRPD -
HYPD YIAM -
HYPD HYCE +
LSRD GARK -
LSRD LSRA +
LSRD DCTA +
NRDE FHUD +
YAGK MZRA -
YAGK LSRA +
YAGK ASR +
FADL NORV +
FADL THRU +
GLNP GLNH +
GLNP ALAV +
GLNP PAAF -
TYRU MCBA -
TYRU RRLA -
ALDA GSPH -
ALDA RRLC -
CBPA RRLE -
CYOB CYOD +
CUSC PHNK +
CUSC MDTA +
PFLB YIAL -
PFLB FLGG +
FEAR CUSF -
FEAR TYNA +
FEAR FEAB +
CPXA FLID +
NUOF NUOK -
NUOF GLTJ -
FLIT PHNP +
YMJC RRFH +
FIME NRDB +
OMPC FLIM -
OMPC PHNJ -
OMPC YDHU +
ARAG NARH -
ARAG ISCS -
HYCE NIRB +
TAUD QUEA +
SGBU ILVL +
SGBU GLTI -
SGBU CYSJ +
NAPA NAPD -
EPD MPAA -
EPD NUOJ +
EPD SBCC -
BLUF MTLD +
BLUF FLIP -
ACEB GSPH -
ACEB ACEK -
PDEF PRFA +
PDEF MDTC +
DSBA GRCA -
DSBA UGPB -
DSBA FEPD +
FLIC GRCA +
FLIC TREC +
FLIC RRFG -
DCUB TSX +
DCUB APPX +
GSPL GABP +
GSPL OPPB +
LSRC CASA -
LSRC GABD +
APPC SERA +
DMSA RECF -
DMSA OPPA +
YDHV NRFA +
YDHV NRFE +
PAAG YJBH +
PAAG LYSO -
OBGE FLID -
GLTF ASLB -
SLYB HLYE -
SLYB POLA -
NUOA FEPD -
FOCA YJHB -
YJBG PRPR -
YJBG YDFN +
RNLA YIAO -
BAES FTNB +
BAES TYRB -
OSMY HCP +
OSMY MAZE -
SULA BLUF -
SULA GNTT +
SULA GDHA +
FLIG FLIN -
RRFH RPRA -
RRFH PUTP +
MPAA FRDD -
MPAA FLGC +
MPAA YRBL -
RRFF MAZE +
RRFF CBPM +
AHPF FNRS +
AHPF DTPA -
YJBH FLIA -
CPXP NAGB -
CPXP PAAA -
CPXP CCMG -
YEDX OPPF -
ASR FLIG +
