source target sign
CRP HLYE +
CRP GADF -
CRP CRP +
CRP RPOE +
CRP RSEA +
CRP GLTD -
CRP GADE -
CRP DCUR +
CRP GLPR +
CRP RSEB +
CRP FUMC +
CRP OMPR -
CRP PGRR +
CRP FIS +
CRP RSEC +
CRP GLTB -
CRP FLHD +
CRP CUSR -
CRP SUFB -
CRP HIPB +
CRP ARAC +
CRP FLHDC +
CRP GLTF -
CRP FLHC +
CRP MDTF -
CRP GADA +
CRP MDTE -
CRP CYTR +
CRP LSRR +
CRP GADW +
HDEB HU -
HDEB DPIA +
HDEB ROB +
HDEB YFAE -
HDEB CSGG -
HDEB OMPR +
HDEB GLTB -
HDEB RSEB +
HDEB MARB -
HDEB NRFF -
LEUO NRFD +
LEUO HDEB +
LEUO MLC +
LEUO LEUO +
LEUO FIS -
LEUO PTSG +
LEUO HIPAB +
LEUO NARP +
LEUO GADW -
LEUO ARGR +
YDEP H-NS +
YDEP GALM +
YDEP ARAC -
YDEP NRFE -
YDEP SSRS -
YDEP SUFD -
YDEP CYTR -
YDEP GALK +
YDEP NTRC -
GADE GADX +
GADE GLTB +
GADE NRFA +
GADE GADB +
GADE GADE +
GADE GADC +
GADE MDTE +
GADE GADF +
GADE RCSB -
GADE GLTD +
GADE EVGA -
GADE HDFR -
GADE MDTF +
GADE GADW +
GADE FLIZ +
GADE GLTF +
GLPR GADX -
GLPR CSGD -
GLPR QSEB +
GLPR AGAR +
GLPR MATA -
GLPR GALR -
GADX GADX +
GADX ISCR +
GADX GADB +
GADX FAU +
GADX GADC -
GADX LRP +
GADX MDTE +
GADX HDEA -
GADX GADA +
GADX PHOB +
GADX GALR -
NHAR FAU +
NHAR RSEC -
NHAR METR -
NHAR GALM -
NHAR GALE +
NHAR FIMB +
NHAR EVGA -
NHAR AIDB +
NHAR NRFE +
SOXS RCDA -
SOXS FUR +
SOXS YHID -
SOXS MARR +
SOXS SOXS -
SOXS PTSG +
SOXS MLC -
SOXS FUMC +
SOXS MARA +
SOXS MARB +
SOXS PDHR -
SOXS ROB -
SOXS CSGF +
SOXS CYSB -
GALK MARA -
GALK ISCR -
GALK NRFC -
GALK MLRA +
GALK PUTA -
GALK NRFE -
GALK OXYR +
GALK SUFD +
GALK FLHC -
GALK GLTF -
GLTF H-NS -
GLTF FIMB +
GLTF MODE +
GLTF EVGA -
GLTF CBL +
GLTF BASR +
GLTF FUMC -
GLTF LRHA +
OXYR YHID +
OXYR SUFB +
OXYR FUR +
OXYR AGAR -
OXYR OXYR -
OXYR ADIY +
OXYR SUFA +
OXYR MARB -
OXYR ICLR +
OXYR CSGE +
OXYR SUFC +
OXYR TYRR -
OXYR SUFS +
OXYR SUFD +
OXYR SUFE +
AIDB GADF -
AIDB METR -
AIDB ROB -
AIDB GALK -
AIDB NHAR +
AIDB HU +
AIDB FHLA +
AIDB AIDB -
AIDB OXYR +
AIDB YDEO +
AIDB SSRS +
AIDB GLTF -
CSGD CSGD +
CSGD NRFA -
CSGD MLRA +
CSGD CSGG +
CSGD RSEC +
CSGD NRDB -
CSGD HYPT -
CSGD FAU -
CSGD GLRR +
CSGD CSGE +
CSGD CSGF +
CSGD SOXR +
FIS NRFC -
FIS CRP -
FIS NRDA +
FIS FAU +
FIS PTSG -
FIS MARR +
FIS ROB -
FIS NRDB +
FIS UVRY -
FIS FIS -
FIS NRFE -
FIS MARB +
FIS SSRS +
FIS PGRR -
FIS NRFD -
FIS MARA +
FIS GLRR +
FIS CSGE +
FIS NRFB -
FIS GADX -
FIS NRFA -
FIS YFAE +
FIS NRFG -
FIS NRFF -
GALE H-NS -
GALE MLC -
GALE FNR +
GALE LRHA +
GALE SUFS +
GALE HDEB -
GALE GALK -
RSEC CPXR +
RSEC QSEB -
RSEC NRFC -
RSEC GADE +
RSEC TYRR -
RSEC NARP -
RSEC MLC +
RSEC GALE -
MDTE EVGA -
MDTE IHF +
MDTE DCUR -
MDTE RCDA +
MDTE GADW -
MDTE NRDB -
MDTE SSRS -
MARR NAGC +
MARR GADW +
MARR ADIY +
MARR FLIZ +
MARR HIPAB +
DCUR NRFA +
DCUR MQSA +
DCUR CADC +
DCUR LEUO -
DCUR FHLA -
DCUR NARL -
DCUR SUFC +
DCUR DPIA +
DCUR ICLR +
ARCA GADF +
ARCA LRHA -
ARCA PHOP -
ARCA GADA +
ARCA ICLR -
ARCA FAU +
ARCA GADE +
ARCA PTSG -
ARCA NRFB -
ARCA HIPAB -
ARCA CSGF +
ARCA YDEO +
ARCA SUFC +
GALS GALM -
GALS ARAC +
GALS PGRR +
GALS GADE -
GALS SOXS +
GALS GALT +
GALS GALE -
GALS ROB -
GALS SOXR +
GALS GALK -
GALS GLRR -
IHF GLTD +
IHF OMPR -
IHF ARCA +
IHF FLHDC -
IHF SUFA +
IHF NRFE -
IHF ARGP -
IHF FIS +
IHF SUFD +
IHF NRFC -
IHF CSGD +
IHF NRFD -
IHF FIMB +
IHF GLTB +
IHF RCSB +
IHF FLHD -
IHF SUFB +
IHF FHLA +
IHF CSGE +
IHF NRFB -
IHF GLTF +
IHF NRFA -
IHF SUFE +
IHF CSGG +
IHF CSGF +
IHF GALR +
IHF NRFF -
IHF SUFC +
IHF NRFG -
IHF SUFS +
IHF FNR +
GALR H-NS +
GALR CPXR +
GALR GALM -
GALR DNAA +
GALR FHLA -
GALR GALK +
GALR GALE +
GALR PHOB +
GALR EVGA -
GALR GALT -
GALR TRPR -
GALR GALR -
GALR HYPT +
SOXR LRHA -
SOXR RCDA -
SOXR SOXS +
SOXR DCUR -
SOXR NRFE +
SOXR GADW -
SOXR GLRR -
SOXR FUMC +
SOXR SOXR -
SOXR GLTF -
SOXR SSRS +
H-NS YHID -
H-NS LRP -
H-NS GADF -
H-NS HDEB -
H-NS NRDA -
H-NS GLTD +
H-NS GALM -
H-NS FAU -
H-NS GADE -
H-NS CADC -
H-NS YDEP -
H-NS NRDB -
H-NS GALE -
H-NS ADIY -
H-NS SSRS -
H-NS GADA -
H-NS HDFR -
H-NS EVGA -
H-NS RCSB -
H-NS FLHD +
H-NS MDTE -
H-NS HDEA -
H-NS GALK -
H-NS GLRR -
H-NS FIMB -
H-NS YDEO -
H-NS BASR +
H-NS GADX -
H-NS LEUO -
H-NS FLHC +
H-NS DPIA -
H-NS MDTF -
H-NS ACRR +
H-NS YFAE -
H-NS GALT -
H-NS GADW -
H-NS HLYE +
HDEA IHF +
HDEA SOXS -
HDEA FLIZ -
HDEA HDEB -
HDEA CYTR -
HDEA PTSG -
HDEA NRFG +
HDEA HLYE +
HDEA RSEB +
HDEA SUFS +
HDEA NRFE +
HDEA FLHC -
ICLR CSGE +
ICLR GALM -
ICLR SUFC +
ICLR GALT -
ICLR GALE -
ICLR ICLR -
ICLR PGRR +
HIPB ISCR -
HIPB NANR +
HIPB GADF +
HIPB HDEA -
HIPB CADC +
HIPB ARGR +
HIPB PHOP -
HIPB MARB +
HIPB RPOE +
HIPB HIPB -
SUFE EVGA +
SUFE MLC -
SUFE MODE -
SUFE CSGF -
SUFE GALT -
SUFE SUFA -
SUFE CYTR -
SUFE NHAR -
GALM SOXR +
GALM GADF +
GALM AIDB -
GALM RSEB +
GALM ARGP +
GALM NRFF -
GALM GALE -
NRFG HDEB +
NRFG GADB -
NRFG MDTE +
NRFG PUTA -
NRFG GALT -
NRFG MATA +
NRFG SUFD +
NRFG TRPR +
NRFG ARCA +
DPIA MLRA +
DPIA NHAR +
DPIA GLTD +
DPIA CSGG -
DPIA RSEC -
DPIA GALT +
DPIA DPIA +
DPIA SSRS -
NRDR RCSB -
NRDR YFAE -
NRDR CYSB +
NRDR GALS +
NRDR CUSR -
NRDR BASR +
NRDR ADIY +
NRDR NRDA -
NRDR GLTD -
NRDR HDFR -
NRDR GADW -
NRDR CSGE +
NRDR NRDB -
NRDR ICLR -
RSEA NRDA -
RSEA DCUR +
RSEA NAGC +
RSEA LRHA -
RSEA SUFD +
RSEA HYPT -
HIPAB HIPB -
HIPAB AGAR -
HIPAB NRFB -
HIPAB YDEO -
HIPAB SSRS -
HIPAB FNR -
UVRY YDEP +
UVRY DCUR -
UVRY ARGR -
UVRY FUR -
UVRY NRFG +
UVRY HLYE +
UVRY EVGA +
UVRY GADE-RCSB -
UVRY ARAC +
UVRY FLIZ +
UVRY FNR +
PUTA GADX +
PUTA NRFC -
PUTA GADB +
PUTA ADA -
PUTA HIPB +
PUTA TYRR +
PUTA PUTA -
PUTA NAGC -
PUTA NRFE +
PUTA FNR +
PUTA ACRR +
FHLA NRFD -
FHLA SUFE -
FHLA MLRA +
FHLA SUFB +
FHLA FHLA +
FHLA ARAC -
FHLA GLTF -
ADIY GADX +
ADIY GLTB +
ADIY GADB +
ADIY FAU -
ADIY GADC +
ADIY ARGR -
ADIY YDEO +
ADIY NTRC -
ADIY GADA +
ADIY GLTD +
ADIY NARL +
ADIY CSGG +
ADIY MARA -
ADIY FUMC -
ADIY GLTF +
PGRR GADB -
PGRR NANR -
PGRR NARP +
PGRR RSEA +
PGRR NRFG -
PGRR TYRR -
PGRR MATA -
PGRR FUMC +
PGRR HYPT -
CBL FAU -
CBL FLIZ -
CBL GLPR -
CBL RSEA -
CBL QSEB -
CBL NRFB +
CBL OMPR -
CBL NARL +
CBL ACRR +
GADA RSEB +
GADA AGAR +
GADA CUSR -
GADA OMPR +
GADA TRPR +
GADA GLPR +
GADA PGRR -
NARL NRFC +
NARL NARP +
NARL NRFD +
NARL DCUR -
NARL NRFA +
NARL GLTD +
NARL CSGG +
NARL HLYE +
NARL OXYR -
NARL YDEP +
NARL MARA -
NARL NRFB -
NARL TYRR -
NARL NRFG +
NARL NRFF +
NARL FLIZ +
NARL NRFE -
MODE LRP +
MODE NARL +
MODE MQSA -
MODE NRFE +
MODE RSEB +
MODE NRDB -
MODE CPXR +
MODE YFAE +
MODE FHLA -
FIMB DNAA -
FIMB NANR +
FIMB GADE -
FIMB OMPR +
FIMB FIS +
FIMB RPOE -
FIMB ICLR -
FIMB RSTA +
NANR NRFC -
NANR RSTA -
NANR GADF -
NANR SUFE +
NANR MODE -
NANR HDFR -
NANR FIMB +
NANR YDEO +
CYSB NRDR +
CYSB LRHA +
CYSB CBL +
CYSB NRDA -
CYSB GLTD +
CYSB IHF -
CYSB MQSA -
CYSB NRFD +
CYSB YDEO +
CYSB GADE -
CYSB PTSG -
CYSB HIPAB -
CYSB DPIA +
CUSR NRFC +
CUSR YFAE +
CUSR CUSR +
CUSR SOXS -
CUSR MLRA -
CUSR CSGG +
CUSR PUTA +
CUSR OXYR -
CUSR GLTF +
PHOP UVRY -
PHOP YHID +
PHOP GADF -
PHOP HDEA +
PHOP HDEB +
PHOP RPOE +
PHOP HU -
PHOP FHLA -
PHOP NARL -
PHOP MODE -
PHOP GADW +
PHOP DPIA +
PHOP CRA -
PHOP PGRR -
PHOP RSTA +
FUR YHID +
FUR MLRA +
FUR GADA +
FUR EVGA -
FUR MDTE +
FUR SUFB -
FUR SUFA -
FUR SUFE -
FUR FUR -
FUR RSEB +
FUR CPXR -
FUR CRA +
FUR SUFC -
FUR SUFS +
FUR SUFD -
GADE-RCSB GADX +
GADE-RCSB ISCR -
GADE-RCSB NRFC -
GADE-RCSB GADA +
GADE-RCSB GLTD +
GADE-RCSB HIPAB -
ACRR MARA -
ACRR QSEB -
ACRR DPIA -
ACRR NANR +
ACRR CUSR +
ACRR MARR -
ACRR SOXS -
ACRR MARB -
ACRR SOXR -
ACRR MLRA -
PDHR UVRY -
PDHR YFAE +
PDHR FLHD +
PDHR LRHA +
PDHR CYTR -
PDHR ADA -
PDHR PTSG +
PDHR GLTD -
PDHR GADB +
PDHR SUFC -
PDHR LSRR -
PDHR MDTF -
SUFC CSGD -
SUFC HIPB +
SUFC GALM -
SUFC CPXR +
SUFC AIDB -
SUFC METR -
SUFC GADW +
SUFC MQSA -
SUFC MARB -
SUFC OXYR +
FNR CSGD +
FNR LEUO +
FNR SOXS -
FNR NARL -
FNR HLYE +
FNR GALM +
FNR ACRR -
FNR YDEP -
FNR NRDB -
FNR GADF +
FNR NRFE +
LRHA NRFF -
LRHA FLHD -
LRHA HLYE -
LRHA TYRR +
LRHA FLHC -
LRHA CBL +
LRHA LRHA +
LRHA RSEA +
HDFR GLTB +
HDFR IHF -
HDFR FLHD -
HDFR NRDR +
HDFR NAGC +
HDFR FLHC -
HDFR NRDA +
HDFR GLTD +
HDFR LRHA +
HDFR SUFC -
HDFR MDTF -
HDFR FLIZ +
HDFR CRA +
HDFR GLTF +
SUFA QSEB -
SUFA LEUO -
SUFA MODE +
SUFA GADC +
SUFA SOXS +
SUFA FIMB +
SUFA OXYR +
SUFA CYTR -
SUFA SOXR +
SUFA RPOE -
METR GADE-RCSB -
METR CPXR -
METR PHOB +
METR TRPR +
METR FLHDC +
METR GALR -
METR METR -
METR MATA +
METR ICLR +
CSGF MCBR -
CSGF LEUO -
CSGF YFAE -
CSGF MODE +
CSGF RSEC -
CSGF GADE-RCSB -
CSGF ADIY -
CSGF MATA -
CSGF RSEA +
HLYE NRFC +
HLYE YFAE -
HLYE MARR +
HLYE HDFR -
HLYE NHAR +
HLYE CBL -
HLYE RPOE -
SUFD ISCR +
SUFD LRHA +
SUFD BASR -
SUFD FIMB -
SUFD GADE-RCSB -
SUFD MQSA +
SUFD CRP +
SUFD SUFE -
SUFD NTRC +
ARGR H-NS +
ARGR GLTB -
ARGR GADE -
ARGR SOXS -
ARGR CYTR -
ARGR GALK -
ARGR RSEA -
ARGR FUR -
ARGR GLTD -
ARGR NRFB +
ARGR GLTF -
MLRA CSGD +
MLRA GLTB -
MLRA SUFA +
MLRA CADC +
MLRA CSGE +
MLRA CSGG +
MLRA CSGF +
MLRA SUFD -
MLRA ACRR +
RPOE CUSR -
RPOE PUTA -
RPOE MDTF -
RPOE GADE-RCSB -
RPOE GADA +
RPOE FNR -
RPOE ACRR -
GLTB NRFA -
GLTB GALS +
GLTB HLYE +
GLTB TRPR +
GLTB PHOP -
GLTB CRP +
GLTB PTSG -
GLTB GALK +
GLTB GADA -
RCSB GADX -
RCSB GLTB +
RCSB CYTR +
RCSB YDEP -
RCSB NRFF -
RCSB OMPR +
RCSB SUFA -
RCSB GADA -
RCSB CSGF +
RCSB FHLA -
RCSB DNAA +
RCSB NRDR +
RCSB HDFR +
RCSB RSEB +
RCSB RSEC +
RCSB RPOE +
RCSB ARGR +
RCSB RSEA +
FLHD CSGD -
FLHD LRP -
FLHD DCUR +
FLHD NAGC -
FLHD SUFB +
FLHD GLPR -
FLHD CRP -
FLHD HYPT -
MLC FIS -
MLC MDTE +
MLC FIMB +
MLC GALT -
MLC SOXS +
MLC SUFD -
MLC PTSG -
MLC GLTF -
MLC ARCA -
DNAA GADX +
DNAA CSGD -
DNAA DNAA -
DNAA SUFE -
DNAA MARB +
DNAA GALE +
DNAA NRDA +
DNAA FIMB +
DNAA H-NS -
DNAA MATA -
DNAA ACRR +
DNAA NRDB +
DNAA YFAE +
GALT MCBR +
GALT MARA -
GALT ROB +
GALT NRFD -
GALT NRFC +
GALT GADE-RCSB +
GALT METR -
GALT NRFA -
GALT MLRA -
MATA GALM +
MATA PHOP -
MATA FLHD -
MATA MDTE +
MATA FLIZ -
MATA FLHC -
MATA ROB +
MATA GADB -
MATA YDEP -
MATA SUFS -
NRFF FUR +
NRFF FLHD -
NRFF CSGF -
NRFF MATA -
NRFF GLPR +
NRFF GADA +
YHID MARA -
YHID GLTB +
YHID LEUO -
YHID FLHD -
YHID MARR -
YHID MDTF +
YHID FLHC +
YHID ARAC +
YHID TRPR -
YHID GLRR +
GADF RSEA +
GADF QSEB +
GADF GADB +
GADF GADE-RCSB -
GADF RSTA -
GADF GADW +
GADF ADIY +
GADF BASR -
GADF GALS -
NRDA NRFC +
NRDA FADR +
NRDA CSGD +
NRDA GADE -
NRDA TYRR -
NRDA FUMC -
NRDA GADB -
NRDA GLPR +
NRDA GALR -
GADB NRFG +
GADB CUSR +
GADB GADC -
GADB RSEC -
GADB OXYR +
GADB GALE +
GADB MATA -
GADB ADA -
GADB ACRR +
PTSG FUR -
PTSG GLTD -
PTSG GALS -
PTSG YDEO +
PTSG ICLR +
PTSG GALK +
HU RSEA +
HU GALM -
HU NANR -
HU OMPR -
HU GALT -
HU MDTE -
HU LSRR +
HU CADC +
HU GALK -
HU GALE -
RSTA CSGD -
RSTA HU +
RSTA GLPR +
RSTA CSGG +
RSTA RSEB +
RSTA CSGF -
RSTA GALT +
RSTA CRA -
RSTA CSGE -
RSTA CRP -
RSTA NANR +
BASR CSGD +
BASR SUFS -
BASR YHID -
BASR NAGC -
BASR NARP +
BASR PTSG -
BASR CSGE +
BASR QSEB +
BASR FIMB +
BASR CSGG +
BASR PUTA -
BASR CSGF +
BASR SSRS +
BASR RSTA +
FUMC CSGE -
FUMC HU +
FUMC LEUO -
FUMC CSGD -
FUMC HDEB +
FUMC HIPAB -
FUMC TYRR +
FUMC FLHC +
FUMC FHLA -
FUMC ADA +
RCDA CSGD +
RCDA MARA -
RCDA FLHDC +
RCDA SUFE -
RCDA MDTE +
RCDA RPOE -
RCDA CSGE +
RCDA HDFR -
RCDA FHLA +
RCDA CSGG +
RCDA CSGF +
RCDA ARAC -
RCDA ICLR +
FAU GALE -
FAU NRDR +
FAU LRP -
FAU RSEB -
FAU TRPR +
FAU MQSA -
FAU METR +
FAU ACRR +
GLTD GLTB +
GLTD CYSB +
GLTD ARGR +
GLTD GALT +
GLTD LRHA -
GLTD HDEB -
GLTD CYTR +
TYRR MARA -
TYRR CSGD -
TYRR DNAA +
TYRR CRA +
TYRR ARGP +
TYRR HU +
TYRR MLC +
ARAC GLTB -
ARAC YHID +
ARAC MARR -
ARAC CADC -
ARAC ARAC +
ARAC FUMC +
ARAC ADA -
NRFA FIS -
NRFA DNAA -
NRFA HDFR -
NRFA SOXS +
NRFA HDEA -
NRFA DPIA -
NRFA NRFF +
NRFA RPOE +
FLHC MARA -
FLHC HIPB -
FLHC RCSB -
FLHC YFAE -
FLHC YDEP +
FLHC TRPR +
FLHC CADC -
FLHC GALE +
LSRR RCSB -
LSRR FLHD +
LSRR FLHC +
LSRR CRP +
LSRR NTRC +
LSRR MCBR +
LSRR QSEB +
LSRR DPIA -
LSRR LSRR -
LSRR SUFS +
GADC FLHC +
GADC QSEB -
GADC H-NS -
GADC HLYE -
GADC HDEB +
GADC SUFA +
GADC GADE-RCSB -
GADC HYPT +
SUFS QSEB -
SUFS IHF +
SUFS FAU -
SUFS YDEP +
SUFS FLHC +
SUFS ADIY -
SUFS NRDB -
SUFS ADA -
SUFB FLHC -
SUFB HIPB -
SUFB PDHR -
SUFB SUFE +
SUFB CSGF -
SUFB MDTF -
SUFB BASR -
SUFB CRP -
SUFB ARCA +
SUFB METR -
SUFB NRFE -
NARP NRFC +
NARP NRFA +
NARP GALS -
NARP RSTA -
NARP FAU -
NARP NRFG +
NARP OMPR +
NARP FLHDC -
NARP GADA -
NARP FLIZ +
NARP NRFD +
NARP YDEP -
NARP FIS +
NARP CRA +
NARP CADC +
NARP NRFB +
NARP TRPR -
NARP NRFE +
NARP NRFF +
MCBR FIS +
MCBR NRFB +
MCBR ISCR -
MCBR DCUR +
MCBR AIDB +
MCBR MLRA +
MCBR RPOE +
PHOB NRDA -
PHOB PHOB +
PHOB HU +
PHOB HIPB -
PHOB ARAC +
PHOB GLTF -
PHOB FUR +
PHOB ROB +
PHOB FUMC +
PHOB UVRY +
PHOB CUSR +
PHOB GALT -
PHOB GALR +
OMPR CSGD +
OMPR ISCR +
OMPR MLC -
OMPR FLHD +
OMPR YHID -
OMPR HDEA -
OMPR NRFA -
OMPR CSGE +
OMPR CSGG +
OMPR HLYE +
OMPR CSGF +
OMPR LSRR -
OMPR DPIA +
OMPR FLIZ -
GLRR ISCR -
GLRR NRFD +
GLRR DCUR -
GLRR RPOE +
GLRR NTRC -
GLRR ADA +
GLRR RSEA +
GLRR ROB +
GLRR RSEB +
GLRR RSEC +
GLRR SUFS -
GLRR SUFD +
FLIZ CSGD -
FLIZ CPXR +
FLIZ YHID -
FLIZ GADF -
FLIZ HDEB -
FLIZ MLRA -
FLIZ ROB +
FLIZ CSGG -
FLIZ MDTF -
FLIZ FLHC -
FLIZ GADB -
FLIZ FLHD -
FLIZ GADC -
FLIZ GADE -
FLIZ MDTE -
FLIZ HDEA -
FLIZ MARB -
FLIZ GALK +
FLIZ CSGE -
FLIZ CSGF -
FLIZ YDEO -
FLIZ SUFE -
LRP NRFD -
LRP NHAR +
LRP CYSB +
LRP GALM -
LRP FAU -
LRP GADC -
LRP CUSR +
LRP AIDB -
LRP YDEP +
LRP MCBR +
LRP YFAE +
LRP NRFF +
LRP GALR -
LRP SSRS -
LRP FNR +
CADC H-NS +
CADC ISCR +
CADC GADF +
CADC YDEP -
CADC SOXS +
CADC FLIZ +
CADC OXYR +
CADC HYPT -
TRPR NRFC -
TRPR NANR -
TRPR NAGC +
TRPR LSRR +
TRPR RSEC +
TRPR MDTF -
TRPR TRPR -
TRPR ADIY +
TRPR HDEB +
TRPR FNR -
NRFE HDEA -
