source target sign
GLPT NRDA +
ARCA FLHB +
ARCA CITD +
GADE RRSA -
GADE PHNM -
GADE BGLG -
FLGG YDHV -
FLIT CUSS +
PROX OSME -
TOMB GALS -
ACEK MQSR -
ACEK AHPF -
FLU FNR +
FLU NRDA -
FLU KBAZ -
FLU PGAD +
UHPT SUFC +
UHPT ISCU +
NUOL BAER -
YCCT METI -
YCCT MODC +
ADHE GCVP -
YQJA CYSG -
YQJA MTR -
DPIB BGLB +
DPIB CCMD -
DPIB INAA -
SGBE PAAA +
SGBE UGPC +
SGBE TRPB -
GLTF RRSD +
GLTF PNP +
PAAG WAAZ +
PAAG BDM +
PAAG RPLU +
RPLU PGK +
RPLU FABH +
MHPR TYNA -
MHPR LSRC +
MHPR MTR +
MHPR RRFC -
MHPR YIAN -
FLIE HCP -
FLIE EVGS -
FLIE HYPE -
RRSD LSRK -
RRSD AROP +
RRSD METC +
RRSD DCTR +
MODB GLGC -
MODB SUCB -
MODB AHPC +
MODB TYRU +
MODB MAZE +
SSUE RIMP -
CHEW PAAF -
SODA POLA +
SODA PHOU -
TRPC ARAE -
TRPC IHFB -
TRPC HYCI +
HYAB FLDA +
HYAB ARAD -
PHOH PHNC -
PHOH MHPR +
TAUB YIAN -
NANR PHNE_1 -
NORW PSTB -
RBFA MDTB +
RBFA RBFA -
RBFA PGAB -
CSPA CYAA -
CSPA PAAD +
CSPA MTLR +
CSPA TSX -
CSPA SULA -
DPS FIMD +
DPS HNS +
GYRA DCUR +
GYRA YIAO +
MOEA MDTF +
LIVJ MZRA +
GLPX UVRA -
GLPX MGTA -
GLPX FLGI -
AHPF CITF +
AHPF ISCS -
FLIM LEUO -
KBAY MGRB -
CBPA LSRB -
CBPA HUPA -
RECF YJBE -
RECF RCSA -
RECF NAPG -
RRFC DMSA -
NANM FABH -
NRFA ADIA -
SUFB TOPA +
SUFB FADH -
SUFB UGPA +
SUFB HMP -
NANT LEUO -
NANT PHND -
ILVG_1 PGAA -
ALAV GADE-RCSB +
ALAV MOAA +
CUSC ARGR +
CUSC AHPF -
CUSC LYSC -
ARAF CITG -
ARAF CITC +
ILVL HMP -
ILVL LYSC +
HDEB RIMK +
GARR RPOH -
FHUD SECB +
FHUD HYCD -
