regulator 	 regulated 	 sign
cytr	nupg	-	strong
fnr	hcp	+	strong
mode	ccme	+	strong
h-ns	hdea	-	strong
fis	rrfc	+	strong
h-ns	rcsd	-	strong
phob	cusc	+	strong
flhdc	gltl	+	strong
rhas	rhar	+	strong
mqsa	csgd	-	strong
dinj-yafq	dinj	-	strong
oxyr	ybjc	-	strong
ihf	ilvd	-	strong
ihf	sufb	+	strong
gade	gadw	+	strong
cytr	rpoh	-	strong
fis	hns	+	strong
iscr	nfua	-	strong
h-ns	gspf	-	strong
fis	cbpa	-	strong
dcur	fumb	+	strong
lrp	fimi	+	strong
rhas	rhat	+	strong
ihf	fimb	+	strong
ydeo	gadw	+	strong
glpr	glpx	-	strong
crp	tam	+	strong
gadx	gadc	+	strong
yefm	yefm	-	strong
cuer	copa	+	strong
crp	paac	+	strong
soxs	ydbk	+	strong
ihf	csge	+	strong
phop	hdea	+	strong
yefm-yoeb	yoeb	-	strong
fliz	mdtf	-	strong
melr	mela	+	strong
narl	ydht	-	strong
ompr	ompc	+	strong
cytr	deob	-	strong
fhla	hypd	+	strong
yqji	yqjh	-	strong
lrha	flhc	-	strong
fhla	hypf	+	strong
fnr	moeb	-	strong
trpr	trpc	-	strong
yedw	yedx	+	strong
crp	guaa	+	strong
fhla	hypc	+	strong
phob	phoh	+	strong
crp	deob	+	strong
mode	hycd	+	strong
csgd	csgd	+	strong
crp	rseb	+	strong
ada	ada	-	strong
iscr	sufc	+	strong
fur	ydfn	-	strong
nanr	nanc	-	strong
flhdc	flgf	+	strong
fhla	hydn	+	strong
fis	dps	-	strong
h-ns	ycie	-	strong
rob	fumc	+	strong
crp	laca	-	strong
fur	noha	-	strong
crp	gltb	-	strong
relb	hokd	-	strong
h-ns	cysg	-	strong
fis	nuoi	+	strong
crp	ascf	+	strong
crp	prpr	+	strong
cytr	deoa	-	strong
h-ns	casc	-	strong
h-ns	hded	-	strong
phob	prpr	-	strong
glrr	rsea	+	strong
ihf	nuog	-	strong
h-ns	fau	-	strong
lrp	livj	-	strong
crp	gcvp	+	strong
crp	trxa	-	strong
pepa	cara	-	strong
crp	lsrd	+	strong
mode	deoa	-	strong
fear	feab	+	strong
lexa	ruvb	-	strong
cra	pgk	-	strong
crp	arah	+	strong
gadw	gada	+	strong
cra	mtlr	-	strong
cytr	deod	-	strong
oxyr	dsbg	+	strong
h-ns	dctr	-	strong
fadr	fadi	-	strong
fis	gyra	-	strong
cpxr	rdoa	+	strong
dpia	citx	+	strong
fis	alat	+	strong
iscr	sufe	+	strong
basr	csgf	+	strong
nikr	nikc	-	strong
phop	iram	+	strong
evga	mdte	+	strong
fis	bglb	-	strong
sgrr	sgrt	+	strong
fis	ilev	+	strong
xylr	xylg	+	strong
ihf	paak	+	strong
cpxr	csgd	-	strong
gals	galm	-	strong
crp	mhpr	+	strong
fis	nrfg	-	strong
h-ns	flhd	+	strong
crp	cdd	-	strong
oxyr	uof	+	strong
arca	gade	+	strong
h-ns	rrfb	-	strong
cpxr	spy	+	strong
yeht	yjiy	+	strong
fnr	ydhu	+	strong
alas	alas	-	strong
flhdc	flis	+	strong
fis	rrsg	+	strong
cytr	cdd	-	strong
pgrr	ymjc	-	strong
fliz	mlra	-	strong
h-ns	gada	-	strong
crp	rbfa	-	strong
crp	psie	-	strong
mlra	rplu	+	strong
argp	gdha	+	strong
ular	ulae	-	strong
mlc	ptsh	-	strong
lrp	ssrs	-	strong
ihf	yjbe	+	strong
mode	modb	-	strong
fis	ptsg	-	strong
crp	udp	+	strong
lrp	fimf	+	strong
narp	ydep	-	strong
arca	hyab	+	strong
h-ns	gspm	-	strong
cytr	deoc	-	strong
phob	sbcc	-	strong
soxs	ptsg	+	strong
ihf	envz	-	strong
crp	dcta	+	strong
dpia	citg	+	strong
narl	narg	+	strong
csgd	flij	-	strong
h-ns	cyda	-	strong
basr	tomb	+	strong
mlra	csgf	+	strong
fur	fepg	-	strong
ompr	csgg	+	strong
narl	ydhx	-	strong
cysb	ssud	-	strong
narp	nrfc	+	strong
fis	ilet	+	strong
pgrr	mpaa	-	strong
crp	bhsa	-	strong
ihf	cysh	+	strong
mode	dmsc	-	strong
atoc	atoa	+	strong
phob	phnj	+	strong
gadw	gadb	-	strong
fadr	fabh	+	strong
dnaa	dnan	-	strong
cra	acek	+	strong
lrp	oppa	-	strong
sutr	sutr	+	strong
cpxr	csgf	-	strong
trer	trec	-	strong
ihf	csgd	+	strong
mlc	ptsi	-	strong
nanr	nanm	-	strong
sgrr	tbpa	-	strong
crp	prpd	+	strong
metj	metc	-	strong
iclr	aceb	-	strong
h-ns	fimb	-	strong
iscr	rnla	-	strong
tyrr	arog	-	strong
agar	agaw	-	strong
ihf	ssuc	-	strong
h-ns	fimf	+	strong
fis	glyt	+	strong
h-ns	hcha	-	strong
argr	gltf	-	strong
h-ns	rrsb	-	strong
h-ns	galt	-	strong
h-ns	bglj	-	strong
narl	nrfa	-	strong
torr	tnac	+	strong
fur	gspi	-	strong
nanr	nana	-	strong
ihf	paah	+	strong
hipab	mazf	-	strong
cytr	tsx	-	strong
mode	moad	+	strong
narp	nrfa	+	strong
crp	ugpa	+	strong
chbr	chbf	-	strong
mngr	mnga	-	strong
iclr	acek	-	strong
leuo	casd	+	strong
mlc	crr	-	strong
basr	csgg	+	strong
fliz	hdea	-	strong
dnaa	guaa	-	strong
mode	napg	+	strong
fur	fepc	-	strong
arca	gadf	+	strong
h-ns	nird	-	strong
fur	sufa	-	strong
soxs	flda	+	strong
lrp	sera	+	strong
cra	eda	-	strong
nanr	yhch	-	strong
fur	sufe	-	strong
cpxr	cpxp	+	strong
flhdc	tcyj	+	strong
ihf	ilvg_2	+	strong
tyrr	arom	-	strong
mqsa	csgf	-	strong
fnr	ydhv	+	strong
phop	mgtl	+	strong
lsrr	tam	-	strong
h-ns	dps	-	strong
cysb	ssue	-	strong
flhdc	flim	+	strong
fadr	fabd	+	strong
fhla	hypa	+	strong
nanr	yjhb	-	strong
mlra	ibag	+	strong
mode	ccmb	+	strong
crp	paad	+	strong
kdpe	kdpa	+	strong
flhdc	flit	+	strong
crp	cas2	-	strong
arca	succ	+	strong
fadr	fadd	-	strong
pdhr	cyoa	-	strong
flhdc	flgl	+	strong
rsta	csgf	-	strong
arac	arab	+	strong
crp	gltd	-	strong
cbl	tauc	+	strong
phob	phno	+	strong
soxs	riba	+	strong
rcsb	rpoe	+	strong
crp	lsrf	+	strong
uxur	uxua	-	strong
dcur	dcub	+	strong
gadx	muri	-	strong
soxs	rimk	+	strong
mara	ybjc	+	strong
narl	ydhy	-	strong
nhar	pgac	+	strong
fis	mazf	+	strong
chbr	chbg	-	strong
ihf	aceb	+	strong
ntrc	rsec	+	strong
cpxr	cpxa	+	strong
mlra	cadc	+	strong
cecr	ybhf	-	strong
cpxr	mdtc	+	strong
leuo	yjjq	+	strong
arca	hyac	+	strong
lrp	rrfc	-	strong
iscr	napc	-	strong
tyrr	fola	+	strong
rcsab	flhc	-	strong
crp	glpe	+	strong
fhla	hycd	+	strong
narp	nrfe	+	strong
mpra	emra	-	strong
oxyr	sufc	+	strong
glpr	glpc	-	strong
ompr	csgf	+	strong
glpr	glpa	-	strong
fur	crl	-	strong
blur	ymgc	-	strong
h-ns	cydb	-	strong
gade-rcsb	cada	+	strong
ihf	ilvm	+	strong
ihf	hycf	+	strong
ihf	sgbu	+	strong
purr	pura	-	strong
mode	ccmf	+	strong
h-ns	nirb	-	strong
fadr	iclr	+	strong
ihf	sgbh	+	strong
h-ns	rrlb	-	strong
mara	acna	+	strong
trpr	trpl	-	strong
ihf	glpt	-	strong
ydeo	dctr	+	strong
ntrc	rsea	+	strong
narl	nrfg	-	strong
h-ns	nrda	-	strong
mode	ccma	+	strong
dan	ttdb	+	strong
metj	metr	-	strong
blur	arir	-	strong
dnaa	nrdb	+	strong
ihf	sufc	+	strong
csgd	flie	-	strong
arca	sucd	-	strong
cusr	cusr	+	strong
mode	deoc	-	strong
cra	pck	+	strong
cbl	ssua	+	strong
fnr	cysg	+	strong
cpxr	mdtb	+	strong
fur	fhud	-	strong
gade-rcsb	cadb	+	strong
oxyr	grxa	+	strong
fis	quea	+	strong
cpxr	mdtd	+	strong
cynr	cynx	+	strong
h-ns	gspa	-	strong
crp	flhc	+	strong
flhdc	gltk	+	strong
flhdc	flgh	+	strong
ihf	hycd	+	strong
ihf	nuom	-	strong
murr	murq	-	strong
narp	nrfd	+	strong
iscr	sufa	+	strong
ihf	ihfb	-	strong
crp	yian	+	strong
pgrr	ycjy	-	strong
fnr	hema	-	strong
zur	znub	-	strong
zur	znua	-	strong
fis	yoag	-	strong
h-ns	bglg	-	strong
qseb	qsec	+	strong
ihf	fis	+	strong
fhla	fhla	+	strong
ompr	dtpa	+	strong
h-ns	evga	-	strong
fnr	narj	+	strong
fis	nuof	+	strong
agar	kbaz	-	strong
iscr	ydiu	+	strong
fis	marb	+	strong
cpxr	yqja	+	strong
crp	deod	+	strong
metr	mete	+	strong
paax	paax	-	strong
crp	agaw	+	strong
fis	prop	+	strong
dica	ydfw	-	strong
fliz	gadb	-	strong
ntrc	glnp	+	strong
pdhr	cyob	-	strong
mode	moae	+	strong
arac	arac	+	strong
iclr	acea	-	strong
h-ns	case	-	strong
rsta	csge	-	strong
lsrr	lsrg	-	strong
iscr	napb	-	strong
rsta	csgg	-	strong
fis	rrle	+	strong
trpr	arol	-	strong
sgrr	seta	+	strong
gals	gale	-	strong
crp	rpoe	+	strong
flhdc	flgj	+	strong
ihf	paad	+	strong
soxs	fpr	+	strong
phob	eda	-	strong
yqhc	dkga	+	strong
fliz	csge	-	strong
dpia	mdh	+	strong
leuo	case	+	strong
dinj-yafq	yafq	-	strong
tyrr	tyrb	-	strong
nrdr	nrdh	-	strong
oxyr	hcp	+	strong
lrp	gabp	+	strong
soxs	rob	-	strong
lrp	lhgo	+	strong
fnr	ydhx	+	strong
leuo	bglj	+	strong
rcda	csgg	+	strong
fis	rrfb	+	strong
rob	marb	+	strong
ihf	nrfa	-	strong
flhdc	flig	+	strong
fis	nuoe	+	strong
cysb	taua	+	strong
fis	yfae	+	strong
fnr	nirc	+	strong
rcsb	rsec	+	strong
gadw	gadx	-	strong
soxs	inaa	+	strong
crp	glgc	+	strong
phob	phnf	+	strong
cpxr	mzra	+	strong
fliz	gadc	-	strong
mode	moab	+	strong
cusr	cusf	+	strong
mode	naph	+	strong
phob	ugpe	+	strong
crp	secb	+	strong
soxs	soxs	-	strong
fur	fhua	-	strong
crp	maze	+	strong
fadr	srod	-	strong
iscr	napf	-	strong
fis	maze	+	strong
ompr	pgad	-	strong
caif	fixb	+	strong
kdpe	kdpb	+	strong
oxyr	ychf	-	strong
fis	crp	-	strong
agar	agac	-	strong
h-ns	leuo	-	strong
fliz	gade	-	strong
puur	puue	-	strong
pgrr	tyrr	-	strong
ihf	glnq	+	strong
fis	nuog	+	strong
crp	trub	-	strong
fur	fhuc	-	strong
mode	ccmc	+	strong
crp	comr	-	strong
mode	napd	+	strong
phop	yhid	+	strong
fis	gltv	+	strong
cpxr	mdta	+	strong
ihf	paaf	+	strong
h-ns	fimd	+	strong
ntrc	rseb	+	strong
zntr	znta	+	strong
phob	phnn	+	strong
fur	gark	-	strong
phob	ugpc	+	strong
fnr	ydhw	+	strong
phob	cusr	+	strong
ihf	prow	+	strong
mode	napf	+	strong
phop	gadw	+	strong
cra	aceb	+	strong
ihf	ssue	+	strong
lrp	oppf	-	strong
ydeo	appc	+	strong
phob	phob	+	strong
xylr	xylf	+	strong
oxyr	ahpc	+	strong
ihf	nrfe	-	strong
fur	pyrc	-	strong
ular	ulag	-	strong
cusr	cuss	+	strong
evga	mdtf	+	strong
ihf	acek	+	strong
phob	phnk	+	strong
ihf	paag	+	strong
flhdc	flif	+	strong
leuo	bglb	+	strong
lrp	osmc	+	strong
fhla	hycb	+	strong
crp	prop	+	strong
gade	mdte	+	strong
caif	cait	+	strong
crp	gcvt	+	strong
crp	ugpb	+	strong
fis	nrdb	+	strong
cynr	cyns	+	strong
crp	infb	-	strong
mode	moac	+	strong
h-ns	fimc	+	strong
