source target sign
318847 41836 -
42034 38890 -
42034 35422 +
42034 37734 -
42034 33208 +
42034 34149 -
42034 44791 +
42034 38527 -
42034 40170 -
42034 41840 -
42453 43724 +
40030 39431 +
33977 326128 +
33977 35113 -
33977 3772329 +
43312 43724 -
53428 43788 -
53428 35113 +
53428 34172 -
53428 37429 +
38327 38327 +
38327 48317 +
38327 40693 +
38327 38565 -
38327 2768677 -
38327 39039 -
38327 39212 +
42504 40384 -
40432 36298 -
39414 38565 +
31151 42871 -
31151 42034 +
31151 43769 -
31151 43791 +
34070 44339 +
34595 318847 +
34595 39203 -
34595 48071 +
34595 34595 +
34595 37069 +
39884 48317 -
39884 36606 +
40693 41836 -
36390 44811 -
31738 42034 +
41461 32787 -
40683 43808 +
326128 39431 -
326128 32787 +
326128 34875 +
326128 43788 +
326128 43017 -
326128 53428 +
31027 35381 +
34847 42034 +
34968 39340 +
41420 2768677 -
36495 41836 -
32078 42034 -
41911 38478 -
41911 31518 +
41911 53428 -
42696 37767 +
31789 42034 -
31801 36107 -
31801 41836 -
40095 31310 +
35121 35121 +
35121 33565 -
35121 38779 +
36057 3772082 -
36057 43017 +
36057 35113 -
39043 31016 -
44811 37922 -
44811 41836 -
39885 33212 +
34924 42453 -
34924 37723 +
48071 39203 +
48071 38565 +
44446 39414 -
34328 31773 -
34328 36390 -
34328 41836 -
40170 48317 -
40170 32050 -
40170 38327 -
40170 40693 -
40170 38565 -
40170 41151 +
40170 40170 -
40170 41836 -
40170 39212 -
34411 34250 -
34411 39340 +
33226 43725 -
33226 39077 +
33226 39078 +
33226 40388 +
35893 38369 -
2768940 43312 -
326273 3355109 +
44030 43017 +
39645 41602 -
34969 44432 +
31518 35121 +
31518 33565 +
33736 3355109 -
37429 35113 +
37429 34172 +
36382 40141 -
34591 31016 -
36460 31016 -
36460 36298 -
31773 36390 -
31773 41836 -
37602 36495 -
33212 39884 +
33212 36606 +
40548 41034 +
41498 41911 +
36461 41941 +
36461 31027 -
43529 53428 -
49816 42034 +
49816 38369 +
34172 34875 +
34172 33977 +
34172 43017 -
34172 326128 -
35333 31016 +
35333 32996 -
38369 43808 -
38565 33837 -
38565 31571 +
38565 36382 +
38565 40358 -
38565 39203 -
38565 41151 +
38565 37069 -
38565 34595 -
38565 41836 -
43981 42034 +
2768677 34420 -
2768677 33226 +
40384 40384 -
32166 36390 +
32166 3772329 +
32787 40966 +
32787 34172 -
32787 35113 -
40035 33423 +
40035 40030 +
34908 41602 +
42971 34411 +
39203 37069 -
39203 39203 +
40388 32977 +
40388 33981 -
40388 38389 +
32551 36854 -
40287 41602 -
41160 33814 +
33981 44432 +
33423 40966 +
33423 39431 +
31449 41836 -
42445 34881 -
31535 39340 -
318206 40141 +
41034 42453 +
41034 34411 -
42594 44339 +
42186 42034 -
31022 42034 +
3772329 36390 +
3772329 35113 +
3772329 32787 +
3772329 34172 -
3772329 37429 -
3772329 43788 +
3772329 43017 -
3772329 326128 -
41602 38012 +
43017 32787 -
43017 34875 +
43017 37429 -
43017 43017 +
43017 33977 +
43017 34187 +
43808 5740252 -
43808 36544 +
43808 37070 +
40134 32762 -
36854 43724 +
31680 2768981 -
31680 40141 -
44339 42464 -
32205 35381 -
33255 33423 +
33255 32762 +
35219 31016 +
35381 41941 +
41935 32996 +
37864 35047 +
41850 45959 -
41850 40141 +
41850 31571 -
38527 39313 -
33565 33565 +
31571 36382 +
35047 33226 -
35047 34969 -
2768981 38248 +
2768981 37767 +
35113 39431 -
35113 44030 +
35113 43017 +
35113 34172 -
35113 34875 +
35113 326128 +
35113 35113 +
43785 40388 +
43785 42034 -
33814 38478 -
33814 35576 -
41836 38327 +
41836 41151 +
41836 318846 -
41836 41941 -
41836 34595 +
41836 36390 +
41836 31027 -
41836 40141 +
41836 39203 -
38055 43017 -
38055 35113 +
38055 326128 +
3355109 43229 +
3355109 318846 +
41151 40693 +
41151 38327 -
44432 37967 +
37798 33837 +
37798 31571 -
40966 41461 +
33837 31571 -
33837 36382 -
33837 31310 -
33837 34881 +
33837 41850 -
31016 40548 -
31016 38516 -
31016 37602 -
31016 42504 +
31016 42161 +
31016 33648 +
31016 40432 -
48317 36606 -
43788 31310 -
43788 34172 +
43788 43017 +
43788 35113 +
34420 40384 -
43385 3355109 +
38478 43529 +
43751 36390 -
43751 32166 -
43751 3772329 -
38995 41602 -
38995 43162 +
38995 42034 -
43769 43162 +
32996 34591 +
44409 42034 -
35422 44339 +
40610 2768677 -
37069 48071 +
