source target sign
41498 42161 +
39077 36854 -
32166 38012 -
34070 38779 -
36461 43751 +
34847 39039 +
33977 39340 -
34595 42971 +
31789 326273 +
38369 37070 -
38369 38055 +
318846 41151 -
38012 38055 -
34908 45959 -
34908 34875 +
34908 33208 -
2768940 37602 +
42594 42971 -
40030 34968 -
39203 40287 -
40693 39203 -
42971 42594 -
49816 42696 +
49816 5740252 -
42696 43162 -
42696 43791 +
43229 34420 +
35333 39340 -
35333 53428 -
36854 40693 -
36854 31789 -
33423 40170 +
33423 2768940 +
33423 41850 -
42161 41498 +
42161 36460 +
39313 41850 -
3772329 41498 -
3772329 3772329 -
31680 38389 -
3772082 34595 +
40683 31310 +
40683 43769 +
326128 36461 +
326128 39313 -
36298 31022 -
53428 38389 -
53428 42445 +
41911 34875 +
41911 40287 -
34969 39078 -
36606 37734 +
41941 34881 -
41941 40610 +
40548 39043 +
43724 34591 +
37070 36298 +
37070 39203 +
41151 43751 -
41151 34969 +
31518 34591 +
31518 34847 +
31801 42445 +
31801 39078 -
34968 39077 +
34968 32050 -
33212 3772082 -
40432 39039 +
40432 34070 -
40610 40134 -
40610 34172 +
41461 44811 +
44030 33977 -
34172 34969 +
34172 39212 +
318206 43724 +
31535 31801 -
40134 34847 -
40134 318206 -
3355109 32166 +
3355109 41935 -
3355109 35576 +
39884 33212 +
34250 43229 +
34250 2768940 +
34250 44030 -
33648 39645 +
33648 39039 +
41935 35121 -
32762 33648 +
32762 40693 +
32762 31789 -
43791 33212 -
35219 37967 -
35219 35047 -
2768677 35047 +
2768677 36057 +
40141 318206 -
40141 39043 +
39645 34595 +
39645 44030 -
35576 31535 -
33208 43788 -
42464 39043 +
38478 41160 +
38478 5740252 +
43162 43791 +
43162 41461 +
37967 34924 -
37967 32050 +
37767 42453 -
37602 40030 +
40035 40548 -
40035 326273 +
31022 36461 +
31022 32166 -
38055 38369 +
35422 41941 -
35422 5740252 +
43725 318846 -
43725 39340 -
43725 49816 -
32787 39884 +
32787 35422 -
32787 42464 +
34881 318846 -
34881 39313 -
37734 43788 -
44811 40683 -
31310 44811 -
31310 35576 -
41420 31535 -
41420 33981 -
41420 40432 -
34875 34149 +
35113 43229 -
35113 39077 -
35113 42594 +
38779 38478 -
38779 37734 -
45959 41911 -
45959 33208 +
32050 36298 +
35047 42445 -
40095 34070 +
40095 34924 -
31016 31518 -
43769 33977 -
40966 39884 +
40966 42453 +
40966 31016 -
39212 36460 +
39212 326128 -
32078 31680 +
32078 2768677 -
32078 43788 +
43529 36606 +
43529 41461 +
43529 40141 -
42186 36606 +
42186 31016 -
34420 37602 +
34420 326273 +
40170 40287 +
40170 37767 -
31571 36057 +
31571 39078 +
31571 43769 +
43385 43724 -
43385 41160 -
43385 40548 -
31151 40030 +
31151 35219 +
31151 36460 -
35121 35333 +
35121 41935 -
33981 43751 -
33981 34924 +
34149 42871 +
34149 3772082 +
36390 40095 -
36390 36057 -
36390 40035 +
42453 34591 +
42871 42186 +
42871 42464 +
