source target sign
43751 40287 -
43751 38779 +
31680 3772329 +
44446 38248 +
44446 31801 -
41498 39884 -
39431 43385 +
39431 31016 -
43529 35381 -
43529 34149 +
42504 34070 +
42504 39884 -
39043 318847 -
39043 38890 -
39043 40966 -
41941 40358 -
39078 36107 +
39078 35121 -
33648 35381 +
37864 43769 +
41836 35422 -
34968 34149 +
34968 32551 -
34968 40384 -
34968 39431 -
48071 37798 -
48071 43981 +
3355109 34250 +
3355109 41602 +
3355109 38516 -
33814 41151 -
39340 39077 -
39340 35333 +
34924 33837 +
40388 40287 +
40388 31310 -
40388 33208 +
38389 32078 +
38389 44409 +
38389 43785 +
37429 39885 -
37429 34969 -
40683 40693 -
40683 35422 +
37734 2768677 +
37767 32787 -
37767 33736 -
33977 45959 +
33977 38389 +
43791 38327 -
43791 42504 +
43791 32977 +
43791 41420 -
34908 39077 -
34908 318847 -
34908 318206 -
34908 40384 -
33208 34149 -
33208 42161 -
33208 34881 +
33208 37864 +
33208 34968 +
326128 39078 +
326128 35121 -
34070 39885 +
41840 33423 +
43385 34172 +
43385 37723 +
45959 42445 -
35047 33648 -
40358 35121 -
40030 40287 +
40030 35219 -
40030 36544 -
40030 32996 +
41602 34149 +
41602 38012 -
43981 48071 +
36606 33255 +
36606 40548 +
36854 31801 +
34250 38890 -
37922 43788 -
42445 34149 -
42445 36495 +
31449 35219 -
31449 37723 +
44811 41498 -
44811 44030 -
32551 38369 +
35381 38389 -
38516 41911 -
38516 45959 -
38516 37069 -
43017 41498 +
42971 31027 -
42971 40432 -
31801 35422 -
31801 33565 -
34149 36461 -
33736 38527 -
33736 33423 +
42161 40683 -
32205 36461 -
36107 3772082 +
31535 41935 -
38369 36854 +
38369 36606 +
43725 43529 +
43725 33212 -
43725 42504 -
40141 35121 +
40141 2768981 +
41034 37429 +
44339 35219 -
44339 34969 +
44339 32050 +
42871 37070 -
42871 41935 +
34875 38779 +
34875 36460 +
33981 41836 -
39077 33565 +
36460 43724 +
43808 40388 +
39414 35219 +
44432 41836 -
44432 31680 -
32787 43017 -
39313 34969 -
39313 42161 +
49816 43769 -
34847 35219 -
2768677 318847 -
2768677 31022 -
2768677 31680 -
34172 2768981 -
34172 43162 -
31310 32166 -
31310 3772329 -
40966 34328 +
40966 35893 +
40966 32050 -
33837 39078 -
33837 43529 +
33837 35576 +
35113 38478 +
43769 38527 +
32977 31022 -
32977 42504 -
34328 43751 +
31151 42871 +
31151 2768981 +
35121 35219 -
35121 41151 -
35219 43981 -
35219 3355109 +
35219 31680 -
38478 31571 +
38478 35422 +
38478 37429 -
38478 34187 -
38478 44339 +
43312 39077 +
42464 32787 +
42464 36544 +
42464 48071 -
37967 3772082 +
37967 41836 -
37967 38565 +
35893 38055 -
33226 31027 -
31789 44446 -
31789 34847 -
31789 40432 +
42186 42464 +
38890 318206 +
38890 43017 -
318206 38478 -
318206 33736 -
318206 39043 +
318206 40134 -
40095 34591 -
31016 40358 +
31016 42871 -
34420 35893 -
34420 2768981 +
43229 31151 -
43229 41935 +
41911 40141 +
31571 35113 -
37723 33981 +
37723 34595 +
37723 39431 -
38527 44432 +
38527 37602 -
32996 43725 +
32996 40693 -
32996 34591 +
41935 42594 -
53428 38369 -
40035 35047 +
37798 3772329 +
37798 35893 +
38779 38012 -
2768981 318847 -
38995 33212 -
38995 40030 +
39645 44409 -
39645 35893 -
39645 38012 +
36057 32050 -
36057 38389 +
41151 43981 +
41151 53428 -
41151 41151 +
38565 31801 +
38055 33648 -
31518 34172 +
31518 39039 -
31518 31738 +
31518 33226 +
36544 33814 +
36544 318206 +
36544 31773 +
36544 31680 +
36544 35576 -
40548 32078 -
40548 48071 -
41420 43981 -
39885 36460 +
39885 34595 +
39885 38389 +
39885 3772082 +
39885 32551 -
39885 42696 -
318847 5740252 -
33423 43529 -
33423 33255 +
33423 38779 -
33423 40432 +
42034 40358 -
31027 40966 +
34411 36854 +
34411 37723 -
40384 35121 +
40384 39431 +
41850 43791 -
37069 40683 +
40432 42186 +
326273 37767 -
43788 43725 -
32050 33981 +
32050 34328 -
32050 318206 -
32050 44339 -
32050 32050 +
40693 37070 -
37070 44432 -
37070 40170 +
37070 43724 +
44030 33814 -
44030 42696 +
44030 44791 +
31773 44791 -
43724 33423 +
43724 42504 +
3772329 3772329 +
31022 36606 -
31022 39884 +
31022 34875 +
43785 35333 +
43785 37864 +
43785 48317 -
44791 34149 -
44791 34070 +
32078 31022 -
34187 40035 +
36495 34187 -
