source target sign
CG11107 larp -
CG5087 Arpc1 +
Git CG3294 -
Git CG7757 +
Su(Tpl) tsh +
Su(Tpl) cv-c +
Su(Tpl) CG34355 +
pyd rols +
CG10418 CG8021 +
Mlc1 Pdsw +
Mlc1 CG5522 -
Mlc1 Prm +
Mlc1 ATPsyn-b +
Mlc1 CG4769 +
Mlc1 Lis-1 -
Mlc1 mol -
Mlc1 Tm2 +
Mlc1 CG16885 -
Mlc1 CG4962 +
Gbeta76C norpA +
Gbeta76C Plc21C +
CG17564 MED28 -
Cyt-c-p Prm +
Cyt-c-p cv-c +
Cyt-c-p CG9014 -
Cyt-c-p kdn +
Cyt-c-p Mlc1 +
Cyt-c-p Tm2 +
Cyt-c-p skpB +
Cyt-c-p dl +
Cyt-c-p Cpn +
CG43729 CG43691 -
CG43729 Lpt -
CG43729 CG15370 +
CG43729 Pk92B +
CG43729 sns +
CG43729 CG8740 +
CG43729 CG15631 -
CG43729 CG42820 -
CG43729 park +
CG43729 sisA +
ru grk +
ru spi +
ninaE Ggamma30A +
ninaE Arr1 +
ninaE CG30054 +
ninaE Gbeta76C +
ninaE Galpha49B +
ninaE CG17760 +
CSN1a Ada2b -
CG7768 CG4936 -
by Abi +
Ef1alpha48D Rsf1 +
Ef1alpha48D eIF6 -
Ef1alpha48D Pros25 +
Ef1alpha48D Syp +
Ef1alpha48D Pp2A-29B +
Ef1alpha48D pont +
Ef1alpha48D Prosalpha7 +
Nek2 pUf68 -
whd CG42820 +
CG11255 Glycogenin -
CG6171 CG7049 +
CG7185 CG32479 +
CG7185 ZAP3 -
CG7185 MED27 -
CG7185 MED17 -
CG7185 MED10 -
CG7185 MED7 -
CG7185 ptip +
CG7185 CG34159 +
ap CG11266 +
CG31663 CG8298 +
CG31663 Taf6 -
CG31663 CG5568 +
CG3925 Glycogenin -
lin19 skpA +
lin19 ci -
lin19 CycE -
CG31029 CG8786 -
CG18343 CG34227 +
CG11583 CG1785 +
CG11583 CG6724 +
CG11583 CG8939 +
a HP1b -
CG10103 CG10948 +
CG13484 CG34382 +
CG12947 Pde9 -
mub abs +
e(y)1 Taf6 +
e(y)1 Rfabg +
Src42A cnk +
Src42A Hrb87F -
Src42A Dok +
puc RpL35A +
puc p38b -
Bap60 mts +
Bap60 CG9331 -
Bap60 mor +
Bap60 CG8368 +
Bap60 RpL13 +
Bap60 akirin +
Bap60 Thiolase +
Bap60 CG32479 -
Bap60 Chc +
Bap60 CG17002 +
Bap60 CG11505 +
Bap60 Nat1 +
Bap60 Ef1alpha48D +
Bap60 Nurf-38 +
Bap60 CG34404 -
Bap60 MED11 -
Bap60 Arp8 -
Bap60 Bap55 +
Ect4 mRpL24 -
sug nito -
sug CtBP -
drk dos +
drk chico +
drk Csk -
drk phl +
drk jub +
drk sl -
drk PR2 -
drk RhoGAP15B -
drk Pvr +
drk pyd -
drk cindr +
drk Sra-1 +
drk Spn -
drk Shc +
drk shi -
drk 14-3-3epsilon +
drk csw +
drk moody -
CG11000 CG18011 +
CG12107 Sirt4 -
CG12107 spn-F +
Arf102F CG7787 -
Arf102F Droj2 +
Arf102F KdelR +
Es2 CG16890 +
Es2 CG15071 -
Es2 C15 -
CG13405 RpS7 +
CG14416 star1 +
RpL13A Arpc5 +
RpL13A CG3880 -
RpL13A Eap -
RpL13A Spc25 +
RpL13A CG32016 +
RpL13A sec5 +
l(2)03709 Rpn11 +
l(2)03709 Sply +
l(2)03709 CG5174 +
l(2)03709 Rab11 +
l(2)03709 CG11779 +
CG12679 uzip -
CG12679 Mst84Dd +
CG12679 CG5484 -
spi CG32676 +
spi Egfr +
spi rho-4 -
spi Hnf4 -
spi D19B +
spi NetB -
Uch-L3 CG17331 +
Uch-L3 Prosbeta3 +
Uch-L3 Rpn5 +
Uch-L3 Pros25 +
Uch-L3 Prosalpha5 +
Uch-L3 Pros35 +
Uch-L3 Rpn7 +
Uch-L3 Rpt3 +
Uch-L3 Mov34 +
Uch-L3 Rpn9 +
Uch-L3 Rpn3 +
Uch-L3 Rpn1 +
Uch-L3 Rpt1 +
Uch-L3 Rpt4 +
Uch-L3 Pros45 +
Uch-L3 Pros26 +
Uch-L3 Prosbeta1 +
Uch-L3 Tbp-1 +
Uch-L3 Prosbeta2 +
Uch-L3 Pros26.4 +
dj lwr -
dj CG11188 -
CG15040 CG17331 -
mRpL30 mRpL38 +
Mad Med +
Mad tws -
CG17328 mask -
CG9172 CG6020 +
smo cos -
smo babo +
Tango6 CG6770 -
Tango6 und -
Tango6 CG8642 +
Kr-h1 pzg +
Kr-h1 U2af38 +
Kr-h1 Arpc1 +
Kr-h1 Srp54 +
Kr-h1 CG9797 +
wdn CG6724 -
wdn TfIIA-L +
wdn Imp +
mei-W68 RpII33 -
hop dome +
Traf4 wgn +
Traf4 CG8446 +
Traf4 m4 -
Traf4 CG3224 -
Traf4 Brf +
Acon ATPsyn-b -
Acon ATPsyn-d -
CG14207 Mhc +
CG14207 mts +
CG14207 Mf -
CG14207 Cyp6t3 +
CG14207 pAbp +
dpr17 CG7203 +
CG12655 CG31550 +
CG42331 CG6357 -
Dcp1 Ef1gamma -
Dcp1 Eip55E -
CG2070 bbc -
CG2070 CG31729 +
CG2070 ZnT63C +
CG32649 coil +
mod(mdg4) mago +
tmod lwr -
tmod SH3PX1 -
tmod N +
CG1986 RpS15 +
CG13321 MCPH1 +
CG13321 Rbp9 +
CG13321 CG13928 -
fru bon -
fru CG31999 +
fru CG15631 +
fru to -
Mes4 MBD-R2 +
Pvr csw +
Pvr Syx7 +
Pvr Pp2B-14D +
Pvr tlk +
Pvr Src42A +
Pvr CG14879 -
CG43691 CG3847 -
CG3281 CG7386 -
Hsc70-2 CG10887 +
CG5500 CG31343 +
CG5500 Rfabg +
CG5500 CG34205 -
CG12744 Rbp9 -
ttv hh +
mtrm Patronin +
Abl trio +
Abl Crk -
Abl N +
Abl Rad9 +
CG9769 MED6 +
alpha-Adaptin numb +
alpha-Adaptin spdo +
Taf8 Taf4 +
Taf8 Taf5 +
GlyP CG32473 -
GlyP CG5506 -
GlyP Rbp4 -
Nedd4 N -
Nedd4 dx +
eIF-3p66 CG2061 -
Rho1 CG8446 +
Rho1 pbl +
Rho1 capu +
Rho1 rok +
CG5522 14-3-3zeta +
CG5522 ari-2 +
CG5522 CG9902 -
Mad1 fzr2 -
Mad1 rap -
Art1 pAbp -
IP3K1 Cam +
Rpn7 Rpn11 +
Rpn7 Rpn5 +
Rpn7 Pros25 +
Rpn7 Rpn12 +
