source target sign
CG6660 Mes4 +
sick CG10103 -
sick CG14315 -
sick CG6701 +
fz4 CG3091 +
fz4 Gsc +
Su(H) Scamp -
Su(H) trsn +
CG43340 Mkp3 -
CG43340 caz +
CG6675 CG8888 +
CG6675 CG5808 +
Cp19 Kebab -
Prosbeta5 Pabp2 +
X11L mip120 +
X11L CG5787 -
CG5506 CG32486 +
CG17470 ihog +
CG17470 bin +
CG17470 Caf1-180 -
CG4269 Pdsw +
CG4269 eIF6 +
CG4896 CG6083 +
fax Vha14-1 +
fax Muc4B +
fax CG11498 +
CG6553 Bx -
Nle Lcp65Ag3 -
Nop17l NetB +
Nop17l RpLP0 +
Nop17l CG3862 +
CG4933 alpha-Adaptin +
Mcm2 RpL4 +
Mcm2 CG5539 -
Mcm2 rpr +
TwdlC RpL7 -
krz CG33051 +
krz ABCB7 -
krz eIF4E-4 +
Rfabg CG13192 +
Rfabg Nup75 -
Fuca Eig71Ei +
qsm CG8740 -
qsm Rpn9 +
CG17331 Mad -
CG17331 CG9294 +
CG11660 Nc73EF +
CG11660 Orc2 +
CG8944 Dim1 +
e(r) CG13321 +
CG43691 Doa +
Zasp66 Hen1 +
Zasp66 e(y)3 +
sli RpS17 +
Pdsw CAP-D2 +
Orc2 Pka-R1 +
Orc2 term +
Orc2 CG11660 -
CG11700 baf +
CG11700 Gbeta13F +
CG11700 RfC4 -
CG1662 bic +
CG1662 RpS30 +
CG11334 HP1e +
thr Aos1 +
thr CG17829 +
phl Argk +
phl Rpt4R +
fry CG2064 -
CG2915 CG13297 +
CG6227 HLH4C +
RnrL CG6337 +
CG10916 sec5 +
pan Jon25Bi -
Cks30A danr +
Cks30A CG4269 -
Fur2 ApepP -
Fur2 Xbp1 +
CG17278 E2f2 +
CG17278 CG1492 +
opa RpL7A +
Bx42 Su(var)205 -
ATPsyn-d trpl +
ATPsyn-d CG17841 +
ATPsyn-d CG12206 +
exo84 Pomp +
CG15478 Tango13 +
CG15478 polybromo +
CG15478 Crk +
CkIIalpha-i1 drongo +
CkIIalpha-i1 CG7766 +
CkIIalpha-i1 RnrL +
igl CG13511 +
CG13369 kdn +
up CG2862 +
Inos CG31954 +
Inos Ser +
CG14634 Arpc1 +
GstO3 SmD2 -
sls Atg12 +
RpS23 Spc105R +
RpS23 rdgB +
RpS23 vig +
Sema-2b l(2)03709 -
CG8993 alpha-Man-I +
NT1 par-1 +
NT1 CG14712 -
NT1 l(2)k01209 -
Chc eIF-4B +
pyd3 CG6769 +
pyd3 CG13369 +
Elongin-C scny -
Elongin-C ald -
Elongin-C br +
dlg1 PGRP-LC -
dlg1 TpnC41C -
CrebB-17A CG4400 +
CG6321 HDAC6 +
CG6321 Pros28.1 -
Art4 CG2807 +
Mst84Db Abi +
Mst84Db CG5144 +
Mst84Db CG8701 +
insv Pp4-19C -
Hr39 CG4563 -
eIF6 CG14322 +
CG7786 Dp +
CG7786 Ssb-c31a -
Cat CG7920 -
Cat CG11583 +
ttk kn -
Arpc1 mRpS9 +
Arpc1 park -
Arpc1 RhoGAP18B +
Tsf1 CG31999 -
ttv CG15370 +
Lmpt l(2)03709 +
Ca-P60A Cdc27 +
CG7386 CG12975 +
CG7386 Hr39 +
CG3621 CG6523 -
CG3621 RpL19 +
RpS21 pan +
CG5815 Apc2 +
CG5815 qsm -
CG5815 CG7091 +
