source target sign
fz4 shi +
fz4 CG31036 +
fz4 eIF6 +
Su(H) CycB +
Su(H) skpA +
Su(H) CG8079 +
Su(H) H +
Su(H) CG11164 +
Su(H) CG7879 -
Su(H) CG2807 -
Su(H) CG2116 -
CG43340 CycB -
CG43340 Pros26 -
CG43340 CG31550 +
CG43340 CG15043 +
CG43340 Bap60 +
CG43340 Arr1 -
CG43340 RpS27A +
CG43340 Taf12 -
Prosbeta5 Rpn12 +
Prosbeta5 ple +
Prosbeta5 CG12321 -
Prosbeta5 Pros25 +
Prosbeta5 CG11885 -
Prosbeta5 CG15717 -
Prosbeta5 per +
Prosbeta5 Pros29 +
Prosbeta5 lola -
Prosbeta5 Abl -
Prosbeta5 Prosbeta7 +
Prosbeta5 Pros35 +
Prosbeta5 Arpc4 +
Prosbeta5 Int6 +
Prosbeta5 Sh3beta -
Prosbeta5 CG17331 +
Prosbeta5 Pomp +
X11L Arc1 +
X11L tlk -
X11L Jupiter +
X11L H +
X11L RpS8 -
CG5506 CG6996 +
CG5506 Rpn6 -
CG5506 Rfabg +
CG5506 Rpn9 -
CG5506 CG13349 -
RpS6 CG11327 -
RpS6 pit +
RpS6 e(y)3 +
RpS6 Hsc70-1 +
RpS6 Rcd5 +
RpS6 Arf102F +
CG4896 Arc1 +
CG4896 CG15043 -
CG4896 RpL14 -
CG4896 Rrp46 +
CG4896 Arf79F -
CG4896 RpS3 -
CG4896 raps -
fax Nacalpha +
fax Hsc70-5 +
fax Tcp-1eta +
fax ZnT63C +
fax CG4169 +
fax Spindly +
fax Ost48 +
Gpdh skpA +
Gpdh Prm -
Gpdh Rfabg -
Gpdh Pdsw -
Gpdh Scp1 +
Gpdh Nc73EF -
Gpdh CG5506 -
Gpdh CG32473 +
Gpdh GstS1 +
Mcm2 Arc1 +
Mcm2 dpa +
Mcm2 sisA +
Mcm2 CSN7 +
Mcm2 CDC45L +
Mcm2 Es2 -
Mcm2 Mcm3 +
Mcm2 cdc2c +
RfC4 Obp56d -
RfC4 RfC3 +
RfC4 MED14 -
RfC4 CG4364 +
RfC4 RpS24 +
CG6843 Prosbeta2R2 +
CG6843 Zn72D +
Rfabg hh +
Rfabg Dll -
Rfabg RpA-70 -
Rfabg CG11267 +
CG17331 MED15 +
CG17331 Prosbeta7 +
CG17331 Pros35 +
CG17331 Pros25 +
CG17331 Tcp-1zeta +
CG17331 CG14126 +
CG17331 Pomp +
CG17331 Pros29 +
e(r) opa -
e(r) ninaE +
e(r) cnn -
dysb cenG1A +
dysb CDC45L +
dysb sec5 +
Zasp66 SmD2 +
Zasp66 CG42674 +
Zasp66 mts -
Zasp66 su(Hw) +
Zasp66 RpL14 +
Zasp66 Rrp4 +
Pdsw CG1970 +
Pdsw Egfr -
Pdsw Plc21C +
Pdsw shf +
Pdsw mam +
Dl CG3542 -
Dl N +
Dl CG34376 +
Dl Rbp9 -
phl betaCop +
phl sesB +
phl Rpn1 -
phl hpo -
phl BM-40-SPARC +
phl ksr +
phl csw +
phl CG17855 +
phl Ykt6 +
phl Tbp-1 +
phl Nup50 -
phl CG11505 +
fry CG6197 -
CG6227 msd5 -
CG6227 CG11107 -
CG6227 ZnT63C -
CG6227 Srp54 +
CG6227 Slh +
CG6227 CkIalpha -
CG6227 CG11266 +
CG6227 Mi-2 -
CG6227 CG6937 +
