source target sign
CG7196 CG33303 -
CG7196 kn -
CG7196 SNF4Agamma -
CG7196 msn -
CG7335 kz +
CG7335 l(1)G0230 -
CG6015 Fs(2)Ket +
ball l(3)mbt +
ball CG3847 -
CG5808 CG1908 -
CG5808 CG43340 +
CG5808 adat -
CG14323 CG14130 -
CG1077 VhaAC39-1 -
CG1077 Rrp42 +
CG1077 CG6196 +
CG1077 Mpcp +
CG1077 Ilp5 +
r-l CG8079 +
r-l CG16753 +
r-l spn-F -
l(2)k01209 CanB2 -
y Ubx -
y Mcm5 -
y Imp +
Ef1alpha48D bon +
MED19 CG4849 -
MED19 CG18476 +
MED19 koko -
MED19 RpL10Ab -
bsk boss -
bsk ihog -
Snp Tango10 +
Snp CG14712 -
Snp Pex5 -
CG11188 CG15739 +
step Ect4 -
step Tob +
CycH lin-52 +
Ubc-E2H rl -
CG12951 Pten -
CG12951 CG10289 -
CG12951 CG30497 +
CG12951 CG6905 -
CG6686 Rpn12 -
CG6686 CG18745 -
Mlc-c step +
Mlc-c CDC45L +
PyK RpL18 +
PyK CG42369 +
PyK Arpc3A +
PyK CG9992 +
CG8223 bbc +
CG8223 CG15666 +
CG8223 CG10440 +
Scamp rictor +
PPP4R2r Ilp5 -
PPP4R2r sol +
PPP4R2r Dll -
Drep-4 HP1e +
Drep-4 ave -
Drep-4 B52 +
Naam CG3335 -
Naam CG7911 -
Naam CadN +
Naam CG3492 -
by CG11526 -
by Gprk2 +
CanB2 CG6701 -
CanB2 CG32086 -
CG11581 CG7634 -
skpA CG14104 +
UbcD6 brn -
UbcD6 CG6196 +
UbcD6 Pomp -
Tsp Pms2 +
Tsp E(z) +
Tsp InR +
Tsp Chc -
Plc21C nito -
gw CG6701 -
Nc Xpd -
Nc CG12256 +
CG31522 CG14353 -
l(3)mbt SNF1A +
l(3)mbt fkh -
CG3342 CG11345 -
scyl CG1542 -
scyl clt +
CrebB-17A CG1965 -
CrebB-17A eIF-3p66 -
Trf2 CG11267 -
Trf2 Mad -
Trf2 CG2962 -
Trf2 CG6763 -
gammaCop regucalcin +
gammaCop Bap55 -
gammaCop betaCop -
eas CG14545 -
eas CG2061 +
Vha14-1 gnu +
dgt2 CG7033 -
dgt2 CG12951 +
dgt2 brn -
dgt2 yip3 +
Bx CG13868 +
Bx CG3909 -
mats FKBP59 +
Cp36 Mat89Ba +
Trx-2 lsn -
Trx-2 GstE10 -
Trx-2 RpL26 -
Fur2 pen-2 -
Fur2 Trip1 -
Fur2 CtBP -
Fur2 Taf5 +
Pepck CG1789 -
Pepck Cdk7 +
Pepck cnc +
CSN1a Dap160 -
CSN1a pros -
CSN1a p38b +
CSN1a CG6607 -
CSN1a CG10673 +
Cda5 Rac1 -
Cda5 Eno +
Dat ZAP3 -
CG8929 Bap -
csw row -
csw CG4957 -
CG10681 Gprk1 +
fau Hsf -
fau Neto -
fau CG11985 -
Xrp1 CG4334 +
Xrp1 CG13838 -
Xrp1 Vti1 -
Hsc70-3 fz3 +
RpL7 CG16908 +
RpL7 ihog -
RpL7 CG13287 -
CoVIIc Jafrac2 -
CoVIIc brm +
puc Ef1alpha48D -
puc CG8036 +
sog Karybeta3 +
sog CG31357 +
sog CG2065 -
CG42820 Strn-Mlck -
CG42820 Rpb10 -
CG42820 Tep2 -
Eip55E dome -
Eip55E CG17912 -
lin-52 CG3835 +
CG2023 Obp44a -
CG2023 CG6638 -
CG2023 MED28 +
Paip2 ovo +
Paip2 sxc -
Paip2 krz +
ase CG2371 -
ase ana2 -
CG6923 Snr1 +
CG6923 Buffy +
Not1 Prosbeta2R2 -
CG10158 kz -
Use1 Cul-2 -
Use1 CG33229 +
CG12493 snRNP-U1-70K +
CG12493 CG7971 -
CG12493 Trxr-1 +
CG2116 Ref2 +
CG2116 Faa +
CG1785 CG8026 +
CG1785 fu2 +
CG1785 CG7357 +
RluA-2 OS9 -
RluA-2 CG9331 +
RluA-2 Df31 +
alphaKap4 Mlc-c -
CG13023 wupA -
CG8866 Ndc80 -
CG8866 CG11586 +
CG8866 insc +
ttk CG7634 -
ttk S6kII -
ttk Pif1A +
Tango9 Cf2 -
Tango9 CG10365 -
Snx6 U2af38 -
Pros29 Slc45-1 -
Pros29 Ntf-2 +
Pros29 hale +
Klp67A Fps85D +
