Symbol1	Symbol2	Edge_Sign
dlp	hh	+
dlp	wg	+
rho	spi	+
CG7518	Nca	-
CG7518	Ada2b	+
RpS19b	CalpB	-
CG12321	CG31999	+
CG12321	eas	-
dock	RpL24	+
CG15478	eIF2B-beta	+
CG15478	CG16896	+
RPA2	CycE	+
RPA2	CG30440	+
RPA2	rev7	-
RPA2	Npl4	+
isopeptidase-T-3	alph	+
isopeptidase-T-3	Rpt1	-
CG18343	CG34227	+
CG5854	Rpn3	-
CG5645	NHP2	+
Phm	CG9986	+
rtGEF	CG6607	+
rtGEF	CG12496	+
betaTry	baz	+
kz	CG12301	+
U4-U6-60K	CG7757	+
Traf-like	CG8851	-
Traf-like	CG5674	+
ninaE	Ggamma30A	+
ninaE	Gbeta76C	+
ninaE	CG30054	+
ninaE	Arr1	+
ninaE	Galpha49B	+
ninaE	CG17760	+
CG12301	RpL37a	+
put	tkv	+
put	babo	+
put	sax	+
put	Mad	+
put	Smox	+
AP-50	CG42674	+
CG13813	RpL3	+
cid	Caf1	+
CSN7	CSN4	+
CSN7	CSN6	+
CSN7	alien	+
CG6412	CG8173	+
Nle	hyd	+
CG7409	Mf	+
CG14126	CG9776	+
CG14126	CG8079	+
CG14126	foi	-
CG14126	CG34376	-
U2af38	U2af50	+
U2af38	CG8247	+
U2af38	CG7971	-
Ef1gamma	SPoCk	-
Ef1gamma	crn	+
Ef1gamma	CG2091	-
Ef1gamma	CG6353	-
Ef1gamma	Ir10a	-
Ef1gamma	Ir60a	-
Ef1gamma	Chd64	+
CG11586	RpL5	-
CG11586	RpL19	-
CG11586	Rap2l	+
SmD1	CG4116	+
SmD1	HP5	-
Wnt6	fz2	+
Wnt6	babos	+
Wnt6	fz	+
Wnt6	RpII33	-
Wnt6	fz4	+
Wnt6	CG31999	+
Wnt6	CG11138	-
Wnt6	fz3	+
Bap170	mor	+
ena	chic	+
CG1561	CG11200	+
Mat1	Xpd	+
Mat1	Mes2	+
Slob	RpL10Ab	-
Slob	nej	+
Slob	CG12104	+
qkr58E-1	eIF-4a	-
CG31140	mnb	-
Trx-2	dl	+
Noa36	Ccn	+
CG13321	Rbp9	+
CG13321	CG13928	-
CG13321	MCPH1	+
RagC	Hsc70-1	-
CG42750	CG9986	-
l(2)35Df	CG10077	-
l(2)35Df	qkr58E-3	-
l(2)35Df	Dp1	-
l(2)35Df	SmG	+
Actn	Tm2	+
Mst84Db	CG34449	+
Mst84Db	CG34376	+
Prosalpha7	Rpt3	+
Prosalpha7	dUTPase	+
Prosalpha7	CG15717	-
Prosalpha7	TER94	+
Prosalpha7	Rpn1	+
Prosalpha7	CG12321	-
Prosalpha7	Rpt1	+
Prosalpha7	Rpn11	+
Prosalpha7	Prosbeta7	+
Prosalpha7	Rpn9	+
Prosalpha7	Rpd3	+
Prosalpha7	Prosalpha1	+
Prosalpha7	Prosbeta3	+
Prosalpha7	Rpn2	+
Prosalpha7	Tbp-1	+
Prosalpha7	Pomp	+
Prosalpha7	CG13349	-
Prosalpha7	Sh3beta	-
Prosalpha7	Tango7	+
Prosalpha7	Rpn7	+
Prosalpha7	CG11885	-
Prosalpha7	Rpn3	+
Prosalpha7	Pros35	+
Prosalpha7	CG17331	+
Prosalpha7	Rpt4	+
Prosalpha7	Rpn6	+
Prosalpha7	Pros25	+
Prosalpha7	Pros29	+
Prosalpha7	Prosbeta5	+
dpa	Mcm6	+
dpa	Mcm5	+
CG33253	CG10425	+
CG33253	ZnT63C	+
CG33253	CG2070	+
lok	nito	-
lok	SmG	-
lok	Syp	+
lok	Srp54	-
Tif-IA	mts	+
dan	SmE	-
CG3313	Hsp68	+
beat-Vb	CG31002	+
beat-Vb	CG11486	+
SamDC	CG8247	+
Taf10b	Taf8	+
Taf10b	Dref	+
Taf10b	e(y)1	+
Taf10b	Taf4	+
MED25	CG32479	+
RpL29	D19A	-
RpS14b	GEFmeso	-
CG3213	CG34404	-
CG3213	CG6972	+
Vha100-1	CG1942	+
CanB2	twin	+
CanB2	skl	+
CanB2	CG6996	-
CanB2	NFAT	+
CG4617	Sos	+
CG5776	Pros26.4	-
stumps	Eps-15	+
stumps	Cdep	-
stumps	tum	-
stumps	hay	-
stumps	lwr	+
stumps	Hsc70-4	+
stumps	Hr39	+
stumps	CG10189	-
stumps	CG7920	+
srp	lz	+
srp	Tsc1	+
Taf6	Taf1	+
Taf6	Taf5	+
DMAP1	CG13605	-
CG4679	MED15	+
CG10098	pAbp	-
CG2767	Hsc70-1	-
CG2091	Hsc70-1	-
CG2091	Msp-300	+
mRpL30	mRpL38	+
Cyp6v1	RpS25	+
psq	RpA-70	+
Grd	CG14207	-
mre11	Snap	-
mre11	CG14322	-
mre11	CG32137	+
mre11	akirin	+
mre11	Pdcd4	-
mre11	MRP	+
mre11	CG5728	+
mre11	tou	-
mre11	Msp-300	-
RpL27	CG5009	-
RpL27	cnn	-
RpL27	CG8349	-
CG1671	CG8064	+
CG1671	CG12325	+
Cbl	hop	-
Cbl	CG11266	+
Cbl	TER94	-
Cbl	CG9911	-
Cbl	Egfr	-
Cbl	CG11107	-
Cbl	drk	+
Chro	CG8230	+
Chro	pzg	+
Chro	l(3)mbt	+
Chro	CG15356	+
Chro	CG11138	+
Pdp1	Mad	-
Su(var)2-10	nito	+
Su(var)2-10	mRpL44	+
Su(var)2-10	Stat92E	-
Su(var)2-10	drk	-
l(2)06225	CG4692	+
l(2)06225	sun	+
l(2)06225	Oscp	+
l(2)06225	ATPsyn-Cf6	+
l(2)06225	CG3321	+
l(2)06225	ATPsyn-d	+
l(2)06225	l(1)G0230	+
l(2)06225	ATPsyn-b	+
l(2)06225	CG11857	-
l(2)06225	Scamp	-
CG4660	sns	+
CG31120	Rab2	+
CG31120	Prosbeta2	-
CG31120	BM-40-SPARC	+
CG31120	Hsc70-4	+
ATPsyn-beta	blw	+
ATPsyn-beta	sun	+
ATPsyn-beta	Oscp	+
ATPsyn-beta	Nacalpha	+
ATPsyn-beta	Mst98Ca	-
ATPsyn-beta	ATPsyn-Cf6	+
ATPsyn-beta	tll	-
ATPsyn-beta	CG10638	-
ATPsyn-beta	ATPsyn-d	+
ATPsyn-beta	ATPsyn-gamma	+
ATPsyn-beta	l(1)G0230	+
ATPsyn-beta	ATPsyn-b	+
ATPsyn-beta	CG8229	-
ATPsyn-beta	CG4169	+
mip120	mip130	+
mip120	Myb	+
Mio	bigmax	+
yki	bun	-
mri	CG2199	-
CkIIalpha	per	-
CkIIalpha	CG6937	+
CkIIalpha	RpL35A	+
CkIIalpha	Arpc1	-
CkIIalpha	dre4	-
CkIIalpha	Imp	-
CkIIalpha	PHDP	-
CkIIalpha	tim	-
CG1850	msi	-
CG12304	bdg	-
rpr	Hsc70-3	+
rpr	Hsc70-1	+
rpr	Karybeta3	+
rpr	velo	+
rpr	Cog3	+
rpr	clu	-
rpr	skl	+
rpr	Buffy	+
rpr	NAT1	-
RpL26	Nop56	+
Jupiter	tsr	-
Jupiter	dl	-
Jupiter	HLH54F	-
dup	woc	+
dup	tlk	+
dup	Shroom	+
dup	CG10158	+
cdc23	mask	+
cdc23	Rpt1	-
CG30089	janA	+
msl-1	msl-2	+
msl-1	mof	+
msl-1	msl-3	+
Bace	blow	+
CG10103	CG10948	+
Ero1L	CaBP1	+
Ero1L	wbl	+
Ero1L	Pdi	+
Ero1L	prtp	+
CG1024	Jupiter	+
CkIIalpha-i3	dysb	-
CkIIalpha-i3	ari-2	-
CkIIalpha-i3	CG3689	+
CkIIalpha-i3	CG32428	+
CkIIalpha-i3	Rtnl1	+
CkIIalpha-i3	rept	+
Ssb-c31a	CG3542	+
Ssb-c31a	pUf68	+
X11L	RpS8	-
CG43347	ial	-
RpS13	CG8155	-
RpS13	CG3091	-
RpS13	CG42369	-
RpS13	CG30497	+
RpS13	zormin	-
CG18600	CG4300	+
CG18600	CG14667	+
D19A	cact	+
D19A	CG9797	+
D19A	CG31140	-
D19A	CG8701	-
D19A	RpS11	+
D19A	CG9426	+
D19A	CG13838	-
D19A	RpS28b	+
D19A	Dll	-
RpL10	nAcRalpha-96Ab	-
RpL10	Sec16	+
Cht3	Pk17E	+
spn-F	CG8116	+
CG42565	CG31550	+
DNApol-delta	uif	+
DNApol-delta	fs(2)ltoPP43	+
Dcp1	Ef1gamma	-
Dcp1	Eip55E	-
DOR	CG11876	-
Ggamma30A	Plc21C	+
Ggamma30A	norpA	+
CG13405	RpS7	+
RpL27A	CG3225	-
RpL27A	Cwc25	+
RpL27A	dl	+
arm	tsh	+
arm	nej	-
arm	pan	+
CG32548	babos	-
CG32548	emc	+
snRNP-U1-70K	SmD2	+
snRNP-U1-70K	CG4119	+
snRNP-U1-70K	snRNP-U1-C	+
snRNP-U1-70K	pUf68	+
snRNP-U1-70K	CG7971	-
Arf79F	Rab1	+
Arf79F	Hel25E	+
Arf79F	Arf102F	+
Arf79F	Rpt1	+
Act87E	Cpn	+
AP-1sigma	AP-1gamma	+
C15	row	-
C15	Neos	+
zip	CG1885	+
zip	CG32445	+
CG3419	Vps20	+
ctp	Skp2	+
ctp	tws	+
CG2064	desat1	+
Spx	26-29-p	-
tll	msi	-
tll	CG7911	+
tll	C15	+
tll	CG15478	+
tll	mus209	-
tll	Ku80	+
Chmp1	vps24	+
Chmp1	vps2	+
Zif	CG7386	+
Zif	pzg	+
Zif	sol	-
Zif	CG4957	+
Zif	CG15436	+
Zif	Arpc1	+
Rpn11	CG13779	+
Rpn11	Rpn12	+
Rpn11	Spindly	+
Rpn11	Rpn1	+
Rpn11	Pros54	+
Rpn11	Mov34	+
Rpn11	CG17331	+
Rpn11	Pros35	+
Rpn11	Rpn3	+
Rpn11	Pros25	+
Rpn11	Pros29	+
Rpn11	Prosbeta7	+
Rpn11	Prosbeta5	+
Egfr	phl	+
Egfr	Shc	+
Egfr	Mbs	-
Egfr	ato	-
Egfr	vav	+
Egfr	porin	+
Egfr	msn	-
Egfr	kek1	-
Egfr	drk	+
