source target sign
55829 79139 -
55829 7415 +
55829 267 -
55829 51009 +
831 823 -
207 150684 +
207 7431 -
207 1540 +
207 5515 -
207 572 -
207 23239 +
207 5499 -
207 9125 +
207 10273 -
207 3551 +
207 90780 +
207 6622 +
207 10206 +
207 51548 -
207 89870 -
207 4734 -
207 79594 -
207 4193 -
3778 6915 -
4172 79892 -
4172 9817 -
4172 1017 +
5335 27040 +
5037 5894 +
5879 3838 -
5879 712 -
5879 10401 -
5879 331 +
5879 7204 +
5879 5058 +
5879 344558 -
5879 57630 -
5879 5063 +
5879 396 -
5879 5910 +
5879 329 +
5879 388 +
5879 23603 -
9878 5514 +
9878 80335 +
9878 5499 -
9878 5500 +
9878 9878 +
9878 5501 +
6722 7403 -
10898 1387 +
6427 22976 +
6427 326 -
10758 958 -
10758 3320 -
10758 29110 +
10758 9641 -
10758 7186 +
10758 10758 +
9695 6400 -
9695 433 +
9695 8878 +
3654 54472 +
3654 246330 -
3654 57162 -
3654 6885 +
286053 5885 +
114088 114088 -
114088 8945 -
114088 6616 -
163786 54461 -
163786 6491 -
7187 57506 -
7187 330 +
7187 4055 -
7187 9020 -
7187 10758 -
7187 9919 -
7187 55611 -
7187 148022 -
7187 6885 +
7187 10010 +
7187 1454 +
7187 9641 +
7187 26146 -
7187 115650 +
7187 329 -
7187 3661 +
2078 5591 +
2078 7520 +
2078 3312 -
2078 8239 -
2078 142 +
2078 8405 -
8658 2762 -
8658 7013 +
8658 8548 +
8658 5728 +
6277 5481 +
6277 2288 -
80014 55841 -
58473 23390 +
10522 2931 +
10522 1029 -
51185 6566 -
51185 8451 -
51185 22806 +
51185 2752 +
51185 5692 +
51185 10320 +
80254 9851 +
80254 64770 +
57492 6597 +
57492 8453 -
2115 545 +
4116 9775 -
25842 55723 +
25842 4796 -
25842 121504 -
25842 146059 -
25842 4171 -
25842 7290 +
25842 29855 +
79899 7538 +
84085 6500 -
152559 1643 +
152559 8945 +
152559 7291 -
10480 8924 +
6615 84962 -
6615 2146 -
6615 207 +
6615 377630 -
6615 26234 -
6615 144699 -
7917 6449 -
7917 51035 -
7917 130617 -
7917 6955 -
7917 3306 +
7917 7415 +
7917 5105 +
7917 9217 -
322 10524 +
57161 3654 +
115426 891 +
115426 890 -
115426 7157 +
115426 5925 +
115426 114991 +
115426 898 +
1026 1017 -
1026 1021 +
1026 890 -
1026 1019 -
1026 6502 -
1026 8451 -
1026 3065 +
1026 51514 +
1026 896 -
10928 26086 -
10928 5899 +
5885 29101 +
5885 823 +
5885 2275 +
5885 23244 +
5885 1642 +
5885 57805 +
5885 7317 +
5885 10274 +
5885 23047 +
5885 113130 -
5885 57695 -
5885 8243 +
25906 996 +
54520 57020 +
54520 150684 +
54520 28952 +
26100 9474 +
26100 55054 +
64718 5879 -
23126 23468 -
4849 51320 -
7422 5803 +
79084 10419 -
79084 4086 -
79084 23097 -
79084 5592 -
79084 7091 +
23586 57506 +
23586 5578 +
23586 5579 -
23586 27005 -
25950 7428 -
5347 5978 +
5347 10600 +
5347 10910 +
5347 8481 +
5347 79682 +
5347 11078 -
5347 84861 -
5347 79866 +
5347 51343 -
5347 55294 -
5347 1499 -
5347 2309 -
10189 57187 +
10189 7919 -
10189 8563 -
142678 1540 -
142678 8915 -
8554 7341 -
8554 9994 -
8554 1789 -
8554 10197 +
8554 639 -
8554 5371 -
8554 6304 +
8554 3169 -
8554 6613 -
26019 9939 -
6840 7874 -
7098 3122 +
7098 7189 -
7098 8737 +
7098 148022 -
3953 9021 +
9738 23322 +
9738 23032 -
9738 79598 -
9738 899 -
9738 79959 -
4297 7994 +
4297 4298 -
4297 80349 +
4297 1025 +
4297 27125 -
4297 123169 -
4297 3054 -
4297 5929 -
4297 904 +
4297 11091 -
4297 84444 -
4297 79577 -
4297 4300 -
84959 10193 +
84959 9212 +
143279 8554 -
171023 8314 -
9540 2878 +
9540 3014 +
1445 23112 +
1445 3725 -
126961 10524 +
126961 29128 -
126961 4898 -
126961 5111 +
841 8737 -
841 7128 +
841 8452 -
841 8743 -
841 8795 -
841 843 -
841 8837 -
3791 2321 +
3791 1453 -
3791 9047 -
3791 8945 +
3791 351 -
3791 23291 +
27095 51693 +
2002 7329 -
2002 26260 +
57591 6722 +
9734 9794 +
9734 1487 +
7508 5886 +
7508 5887 +
7508 7874 +
8453 54165 +
8453 150684 -
8453 9978 -
8453 8878 +
8453 84259 -
8453 3184 +
8453 5970 -
8453 3091 +
8453 9318 +
8453 55832 +
8453 26043 -
8453 10987 -
6199 8850 +
6199 27250 -
10452 9804 -
10452 56993 +
5899 23032 -
200845 27005 +
200845 286 -
7319 1025 -
7319 130507 -
7319 56852 -
7319 23468 -
7319 4193 +
10492 84944 +
10492 8626 +
10492 11338 -
58 207 +
8655 55626 +
2149 10015 +
8315 7375 +
8315 8315 +
10197 1026 +
10197 10365 -
10197 7157 +
10197 10197 -
10197 57154 +
84733 7703 -
84733 648 -
54532 1643 +
156 10013 -
9750 7534 -
5716 1192 -
5295 2057 -
5295 8660 +
5295 5291 -
5295 5747 +
5295 25948 +
5295 1956 -
5295 8452 +
5295 10657 +
29099 28952 -
387 396 -
387 9181 -
387 392 +
387 6242 -
387 57154 -
387 11186 -
5536 10728 -
5536 10963 +
1901 11060 +
22893 10155 +
23429 92565 -
23429 648 +
23429 84678 -
140462 548596 -
1039 4609 +
6923 55626 -
6923 55644 +
6923 7428 -
6923 140462 -
6923 23532 -
6923 8453 -
5777 27040 -
9858 5925 +
64421 1643 +
8792 7189 -
56998 1499 +
23054 11091 +
10159 2740 -
2908 6774 +
2908 10013 -
2908 573 -
2908 3320 -
2908 10273 +
2908 1385 +
2908 2033 -
54927 440574 +
25 3725 -
25 2885 +
25 26524 +
25 6789 -
25 573 -
25 3320 -
25 10273 -
25 472 +
25 3312 +
8550 9261 -
4678 8353 +
64834 2740 -
157570 23186 -
80198 84464 -
80198 2067 +
80198 29128 +
112869 2648 +
1612 5515 +
1612 55844 +
1612 27252 +
1612 5525 -
2187 199990 +
2187 2175 -
2187 57697 +
5881 2099 -
150684 149951 -
150684 580 +
150684 1191 -
150684 6338 +
150684 1080 +
150684 5970 +
150684 4792 +
150684 57020 +
150684 6339 +
150684 540 +
84678 54880 +
84678 2353 -
6934 7090 +
6934 387893 -
6934 54894 +
6934 7329 +
6934 1487 +
6047 7014 -
6047 6047 -
6047 6613 +
23770 54583 -
23770 1180 +
1871 5933 +
1871 29028 +
1871 3070 +
1871 51343 -
56970 2648 +
27342 5868 -
8487 11218 +
8487 79833 +
8487 8239 -
8487 54960 -
8487 25929 +
64422 9531 +
56937 8027 -
7913 648 -
7913 8405 -
1111 545 -
1111 8451 -
1111 63967 +
1111 4773 +
1111 51514 -
1111 3320 +
57082 11130 +
57082 701 -
57082 10403 +
57082 25936 +
4967 8975 +
6813 6809 +
55851 5663 +
1848 5594 +
1848 5595 -
5714 5702 +
5714 10213 +
5714 5705 +
5714 5701 -
23379 79664 +
823 2175 -
823 6774 +
4602 55294 +
7534 23387 -
7534 51776 +
7534 22994 +
7534 51564 -
7534 1499 -
7534 9531 +
6850 7189 -
6850 6452 +
6850 2885 -
6850 3635 -
6850 29761 +
6850 84959 +
6850 3937 -
9070 3054 +
9070 7157 +
9070 55636 -
9070 4297 +
9070 23054 +
2130 5885 +
2130 3482 -
9253 7189 -
9253 7188 -
6595 8110 +
6595 4204 +
6595 5977 -
6595 672 -
6595 6599 +
6595 3014 -
9575 5499 -
8795 7186 +
3837 55829 -
3837 267 +
3837 9972 +
4299 10614 +
4299 5970 +
4299 27125 -
4299 1025 +
4299 4298 +
4299 23476 -
4299 1656 +
4299 4297 +
4299 4299 -
4299 22936 -
2104 29947 -
5715 5706 +
5715 3178 +
9627 6622 +
9627 5071 -
6657 51343 +
6657 5887 +
6657 7874 -
6657 80854 -
6657 1108 -
84292 84552 -
7153 29128 -
8239 26086 +
8239 2475 -
8239 23550 -
8239 81550 -
8239 50628 -
8239 7428 -
8239 57154 +
8667 8924 -
51013 57379 -
6872 9441 -
6872 367 -
22930 9217 -
3716 10399 +
6663 2034 +
51574 904 -
112858 55644 +
2931 3320 -
2931 23390 +
433 84447 -
433 79139 +
433 27248 +
57646 23028 +
57646 4609 +
26273 326 +
26273 57154 -
23645 5885 -
79176 8454 +
7345 7157 +
7345 5071 +
7345 6606 -
11035 329 -
11035 1616 +
11035 330 +
3265 6654 -
3265 5921 +
57617 27072 -
57617 65082 +
57617 171024 +
51547 10514 +
126282 54461 +
2956 2547 +
2956 5883 +
2956 5810 +
2956 5111 -
4298 27125 +
4298 54623 -
4298 4300 +
540 1191 -
8613 1500 -
54101 329 -
6879 6908 -
7141 1457 -
51247 51366 -
145508 22832 -
145508 9851 +
145508 5108 -
145508 9662 +
145508 117178 +
79009 8575 -
9755 29110 +
56259 26121 +
56259 988 -
2494 8431 -
7405 65082 -
7405 5289 +
5701 85363 -
5701 5693 -
5701 5701 -
5701 9861 -
5701 7979 +
5701 23392 -
5701 5700 +
5701 5705 +
5701 29979 +
57763 10014 +
57763 9820 +
57763 83987 +
57763 9759 -
154214 10456 -
1979 1977 +
6844 6616 +
54969 8338 +
79960 207 -
9681 10670 -
9681 10641 +
1500 5663 +
1500 999 -
1500 10009 +
2810 22954 +
2810 572 +
57410 899 -
10015 6386 -
10015 128866 -
10015 7251 +
10015 10015 -
81550 8940 -
10298 4313 +
10298 998 +
10298 153769 -
9314 7428 -
9314 6667 -
9314 3066 +
7307 4670 +
1630 1964 -
1630 6137 -
1630 7430 +
1630 1967 -
1630 56648 +
1630 8894 +
79643 7251 +
3313 207 +
3313 5071 -
3313 7161 -
7726 3661 -
9368 207 -
9368 5728 -
9368 23035 +
22850 10951 -
493861 197370 +
493861 56160 -
2690 8945 +
2690 6500 +
7408 10971 -
11043 7322 -
11043 7324 -
11043 7321 -
11043 10615 -
84708 925 -
84708 389 +
84708 55872 -
84708 3739 +
330 330 -
330 51035 -
330 54101 -
330 331 +
330 8737 -
330 841 -
330 8877 +
330 8767 -
330 3659 -
330 56616 +
117246 55720 -
9666 6310 +
9666 23426 +
6599 57492 -
6599 86 -
6599 5977 -
6599 6597 +
5414 331 +
150094 6045 +
150094 23118 -
25862 8607 +
25862 5705 -
55636 6601 -
55636 5929 +
55636 6657 -
55636 57680 +
55636 6605 -
55081 23390 -
960 1956 +
4691 93185 +
4691 81847 +
4691 3685 -
4691 975 +
4691 1956 -
4691 3383 +
79664 8178 +
91833 23035 -
91833 57599 -
6497 4087 +
6497 4089 -
6497 7329 -
29997 29997 -
29997 1029 +
6135 83743 -
6135 7157 +
6135 4193 +
6135 6124 +
6760 7088 +
6760 2146 -
6760 1386 +
8870 4193 -
8870 2274 +
10567 6622 +
4534 274 +
9616 8517 -
9616 4734 -
4601 701 +
51103 51300 -
339345 23019 -
339345 4849 -
10456 330 +
9092 59286 -
8738 835 -
8291 10013 +
9423 1630 -
8994 54583 +
9529 6622 -
9529 10273 -
9529 7157 -
533 2740 +
8798 8445 -
3656 7189 -
5926 8819 -
5926 5925 +
9730 9730 -
9730 3024 +
9730 7374 -
9730 3006 +
9730 25939 -
9730 5518 +
9730 8451 +
9730 81669 +
9730 3065 +
9730 54790 +
9730 84557 -
9730 6095 +
9730 55388 -
8361 1616 +
7528 8314 -
7528 93973 -
7528 3054 -
7528 6667 -
7528 4204 +
1891 6774 +
83695 11073 +
83695 56852 +
83695 7334 -
3741 2273 -
3741 857 -
10921 7375 -
10921 6732 +
2767 6915 -
23030 3324 -
23030 9070 -
23030 7184 +
79991 1200 +
6789 207 +
6789 7871 -
6789 6789 -
6789 3014 +
6789 92597 +
57221 11331 -
2185 8835 +
4686 7919 -
4686 84271 -
4686 1981 -
4686 79727 +
4686 10189 +
4686 84321 -
3014 2547 +
3014 6045 +
3014 648 +
3014 553115 +
3014 377630 +
3014 7520 +
3014 79648 +
