source target sign
7048 51257 -
7048 90850 +
7048 4841 +
7048 8848 +
7048 8829 -
8337 7288 +
8337 84333 +
23293 6195 +
23293 25904 +
23016 6273 -
55288 22994 +
9959 57409 -
9959 2145 +
9959 57104 -
81847 1051 +
81847 7515 -
81847 8878 -
81847 81858 +
112399 2057 +
112399 2104 +
112399 6478 +
57111 81608 -
57111 3347 -
23077 4502 +
23077 200933 -
57449 390 -
79176 10363 -
79176 2590 -
1200 80169 +
348235 8766 -
348235 1630 +
344558 4688 +
4751 4751 -
55593 4261 -
55593 7726 +
55593 1654 -
64786 1030 -
64786 63978 -
64786 8675 +
6095 38 -
6095 6297 -
6868 7068 +
29950 80854 +
29950 64135 -
80196 80153 -
80196 8864 +
9282 30835 +
6242 23598 +
6242 5734 -
7518 2078 -
7518 25776 +
7518 132660 +
7518 6822 +
899 7884 +
899 990 -
899 4605 +
5892 6095 +
5892 274 +
5892 84108 +
8897 55530 -
8897 57082 +
283871 1876 -
283871 10454 -
8970 55357 +
8970 10783 +
8970 27339 -
84313 729873 +
84313 5898 +
84313 1050 +
84313 3622 +
84062 3927 +
84062 5156 -
84062 50809 +
55715 84733 -
55715 51466 +
7704 26155 +
7704 145508 +
7704 9235 -
57654 1161 +
57654 9768 -
57654 6400 -
9738 56852 +
9738 899 -
22878 3837 -
5889 79718 -
5889 6185 -
5889 143384 -
81502 8481 +
81502 11236 +
81502 23097 -
81502 639 -
84282 4842 -
84282 29984 -
7322 4234 +
7322 257397 +
29079 79174 -
29079 11112 -
7709 4613 -
10664 9092 -
27040 5336 +
27040 10935 +
27040 819 -
57703 286 -
57703 55530 -
5629 57337 -
6117 351 +
22823 54206 +
22823 3658 -
57805 9354 -
57805 29904 -
57805 3667 -
7486 2643 -
7486 57175 -
7486 1020 +
3304 5905 +
3304 2275 -
3304 3122 -
729873 203068 +
729873 9595 -
57661 88455 -
86 2626 -
86 7099 +
353376 64374 -
353376 7099 +
353376 148022 -
712 997 -
712 389856 +
6711 92552 +
6711 139341 +
6711 6794 -
221037 8289 -
221037 1969 +
84461 79598 -
84461 9738 -
8650 7178 +
8650 5571 -
8650 9568 +
26013 29979 +
149603 84662 +
149603 149603 +
149603 712 -
149603 7178 +
4800 3985 +
4800 7156 +
4800 8487 +
4800 375 -
4800 51300 +
4123 5682 +
121536 1176 +
121536 5777 -
121536 10059 +
121536 1453 -
121536 100271849 +
51647 54941 -
51647 5510 +
58476 51286 +
7515 5423 -
3297 27145 +
3297 3297 +
51266 51079 -
51266 79650 +
51266 29072 -
51266 51529 -
81603 60485 +
81603 57661 -
29761 3480 -
29761 2081 -
1058 754 +
1058 79682 -
1058 55355 +
1058 8335 -
2923 9532 +
2923 3183 +
2923 84823 -
51009 54806 +
23532 3685 +
8550 5287 +
8550 439 -
8550 9261 -
8550 9557 +
1665 351 +
1665 23243 -
25831 142 +
139599 115992 +
2549 3191 +
2549 23645 -
2549 51132 -
23394 57337 -
3685 55975 +
7533 4140 +
7533 51564 -
7533 5609 -
9690 10940 +
9690 5708 -
9690 5257 -
9690 26013 +
23389 55274 -
23389 79845 -
5587 57646 +
5587 4116 +
1001 84975 -
1001 1500 -
90678 51028 +
90678 85365 -
10376 54617 +
10376 6173 -
23239 91833 +
23239 5931 -
23239 7398 +
387893 51514 -
1871 4216 +
1871 4350 -
8805 1846 +
8805 9189 +
8805 1954 -
11151 10059 -
11151 23510 -
11151 10782 +
286053 81609 +
286053 10240 +
286053 1180 +
3313 6790 -
3313 2821 -
3313 7852 +
3313 7161 -
3313 23569 +
9232 9700 +
9232 6605 +
2767 8676 -
2767 4688 -
84678 439 -
84678 54880 +
284252 4015 +
10410 29101 +
10410 374569 +
84944 10212 -
51667 10935 -
51667 7013 -
51667 23746 -
28956 8649 -
28956 6794 +
79845 8648 -
79845 7070 -
79845 9135 +
79845 819 -
9641 2057 -
2645 79595 +
2645 22850 +
2645 5770 -
2645 2646 +
55823 23339 -
9219 79872 +
9219 9149 -
9219 11116 -
8975 118460 -
310 3249 -
310 5577 +
310 51438 -
310 85365 +
3667 7957 -
3667 7329 -
91754 57587 -
5993 8738 +
5993 774 +
5993 4261 +
5993 55341 -
5993 51530 +
8664 8503 +
8664 8409 +
54681 2861 -
4683 26013 +
151636 8970 +
151636 3678 -
6801 51070 -
6801 54764 -
55611 7322 -
55611 55662 +
832 85403 -
3638 302 -
3638 9463 -
3638 10857 +
85365 311 +
6452 8425 +
6452 29761 -
89890 80196 +
89890 84078 -
9141 51466 +
9141 55593 +
6297 668 +
6297 80153 -
6297 143279 -
5336 5777 +
5336 55208 +
6925 22985 -
6925 639 -
8646 4209 +
8646 54941 -
8646 9230 -
8646 136371 +
3753 3845 -
57130 10413 +
4637 220972 -
4637 4595 -
116442 6608 -
116442 128178 +
116442 533 -
157638 22808 +
3070 201254 +
3070 5690 -
253725 9221 +
253725 90 +
253725 55737 +
51107 23390 +
51107 136371 +
51107 55851 -
51107 23617 +
2629 378 +
2629 2752 +
153090 2002 +
153090 10540 -
153090 55299 -
2280 79872 +
2280 3778 -
10238 6950 -
5307 6399 -
5307 9546 +
5307 6648 +
5307 23001 +
84191 3651 -
84191 3658 -
6760 4683 +
6760 1386 +
4704 54106 -
4704 84282 -
25764 84823 -
57798 11338 +
57798 79589 -
57798 22809 +
6428 80212 +
84172 22858 -
51177 1846 +
51177 392 -
51177 26273 +
51177 64400 +
4139 27005 +
4139 57575 -
10452 84951 -
7706 79176 +
7706 23586 -
7706 4831 -
7706 7124 +
7706 56829 +
1846 202559 -
467 80854 +
467 688 -
467 3651 -
22985 7409 +
22985 823 +
22985 6231 +
2969 85409 +
2969 7178 +
2969 55802 -
55357 6331 -
4040 9616 -
4040 10052 -
84148 10410 -
84148 84148 +
54103 55720 +
100287171 4085 +
100287171 8701 -
81848 80314 +
81848 4211 +
51564 22994 -
51564 7327 +
4210 81858 -
63978 4139 -
63978 1967 +
9093 9260 -
9093 2119 +
6722 7403 -
6722 9858 -
64599 9125 +
64599 4172 +
64599 2887 -
64599 10376 -
64599 140456 -
8661 9470 +
8661 27019 +
7871 6788 +
7871 64770 -
54521 9218 -
80184 11116 -
80184 9859 -
9306 10241 +
9306 3815 -
9306 801 +
9306 9817 -
1002 10036 -
1002 5224 +
1002 80279 +
6949 50618 -
6949 8987 +
64854 91833 +
64854 3628 -
9695 433 +
84557 835 +
26043 2071 -
26043 4738 +
26043 11035 -
26043 51726 +
26043 22992 -
5716 65267 -
5716 9529 -
5716 23063 +
23650 9734 +
23650 207 -
27230 79001 +
27230 8517 +
27230 5890 +
27230 2701 -
9146 9738 -
9146 2181 -
79888 3309 -
79888 79058 -
6708 548596 -
2055 81573 +
2055 2821 +
63826 219988 +
840 7494 -
840 5985 +
1848 54540 -
1848 399694 +
665 5869 +
665 23400 +
5578 1994 -
5578 112869 -
5501 58160 +
6135 6124 +
4796 23158 -
4796 23322 +
4796 56950 -
10023 9604 -
10023 54518 +
10023 9188 -
5698 5295 +
5698 10052 -
6955 7508 +
6955 8880 -
2305 55611 -
2305 401541 -
2305 112950 +
2305 10208 -
90441 5587 +
90441 8892 +
90441 55341 -
5602 10362 +
7852 23381 -
7852 6231 -
7852 7204 -
81609 10257 +
81609 4914 -
23352 6173 +
23352 344558 -
23352 7979 -
5431 23394 +
5431 2074 +
5431 92369 -
6648 57602 -
6648 10477 +
6648 7037 +
79365 79365 +
79365 23241 -
79365 8445 -
79365 399694 +
6231 6790 -
6231 7341 +
23163 4233 -
6025 6421 +
6025 91442 +
2115 57650 +
2115 7507 +
80700 6095 -
80700 5743 +
80700 3998 +
283807 2318 -
283807 387893 +
283807 55970 +
6616 6857 -
7091 1785 +
79184 9577 -
79184 23172 -
5599 1846 -
5599 2950 -
6878 55048 +
6878 9063 -
6878 83860 +
27145 9688 +
27145 322 +
27145 79971 +
1454 474 -
1454 54461 +
3959 11190 +
3959 30835 +
23235 8664 +
23235 100271849 -
79710 9647 -
79710 57661 -
79710 6427 -
79710 167227 +
8925 23216 +
84108 9898 +
57587 2288 -
9922 5316 +
7341 9994 -
7341 29126 -
7341 54778 +
5036 79176 -
1161 2318 +
1161 7507 +
639 22806 -
639 170622 +
64710 11146 +
84078 4502 -
1804 292 +
26147 51009 -
8856 3315 -
8856 100287171 -
23158 2185 +
51100 1647 +
51100 130507 +
51100 10553 -
23325 253725 +
54904 64798 -
54904 57680 +
54904 1785 -
25927 2040 -
25927 2066 +
25927 9882 -
25927 58 +
7070 7375 +
7070 57448 -
7070 4100 +
25904 57130 +
9516 2071 +
9516 1191 -
26156 9349 +
26156 87 +
5411 10921 -
5411 51097 +
5411 3093 -
5411 1583 -
5411 7494 +
8335 7832 +
1314 9922 -
1314 6434 -
65267 11275 -
6881 2130 +
6881 375 -
1432 8079 -
1432 55578 +
1432 144699 +
208 8161 -
208 112939 -
208 9970 -
8987 80162 +
8987 84962 -
6790 10919 -
6790 1994 -
2268 23085 -
90417 23385 +
90417 23265 +
7984 54206 +
7984 55218 +
65125 834 +
65125 2812 +
65125 57561 +
1452 84433 -
56946 7690 +
10197 8337 -
10197 81669 +
10197 10197 -
55193 116442 +
55193 64762 +
9584 6733 +
9584 10916 -
88 49 +
88 57805 -
88 283807 +
958 2138 -
958 1192 +
958 7913 -
116986 26271 +
123879 140460 +
84321 10189 -
84321 8892 -
868 57111 -
868 8408 -
6188 23327 -
80149 80149 +
80149 340152 -
145508 9662 +
54931 257218 -
54931 10970 -
752 5934 +
258010 124930 +
258010 1656 -
9092 59286 -
9092 4925 +
9092 894 -
2436 9322 -
2436 6901 -
2436 100133941 -
2436 348235 +
2436 7374 +
6776 56886 +
6776 10961 +
6776 84078 -
6776 51176 -
121340 868 -
121340 1452 -
121340 5580 -
51213 23492 +
10642 55004 -
80169 79026 -
8848 7003 -
60412 149371 +
116985 128866 -
116985 8878 +
116985 58 -
4214 10023 +
3265 10009 +
55135 1398 -
55135 54476 -
55135 4085 -
55135 1736 +
150094 1315 +
284695 1620 +
27072 905 +
27072 8480 -
29945 668 -
29945 3921 +
10111 4361 +
10111 2648 -
7468 10965 +
7468 8826 +
2790 79155 +
2790 81550 +
142678 5585 -
4436 25855 -
4436 51426 -
4478 7884 +
6935 9811 -
6935 10497 +
1105 9647 -
1105 1213 -
23012 27131 -
23012 84823 +
23012 8805 -
51099 3875 +
51099 832 -
51099 150472 -
6709 8661 -
6709 91 +
221656 8473 +
2237 23293 -
90 80014 +
90 23168 -
90 4091 +
51341 171024 -
51341 9768 +
9750 9666 -
9750 10204 -
9750 79657 -
1018 302 -
1018 5881 -
1018 9399 +
4846 801 -
4846 167691 -
4846 80169 -
197322 7288 +
197322 7750 -
197322 4901 +
2065 79589 -
51397 114088 -
51397 57545 +
51397 28952 +
23107 7818 +
23107 55201 -
23107 9693 -
8548 5451 +
8548 902 +
8548 84282 +
1785 3055 +
1785 23746 -
51400 2224 -
51400 121504 -
51400 65975 +
821 3757 +
821 3055 +
821 9695 +
23020 10577 -
23020 90441 -
23020 51564 -
23020 347902 -
55211 51726 -
55211 84759 +
4967 5216 +
4967 302 -
4967 8975 +
388697 653583 -
388697 30968 -
388697 51400 +
5695 7155 -
5695 51776 -
5695 10848 -
84975 9349 +
84975 51053 +
84975 9568 +
3837 1788 -
9097 5708 +
9097 51435 -
23112 10514 -
23112 9546 +
23112 9882 -
550 51465 -
550 1478 +
5265 10956 -
5265 54941 -
5265 26263 +
5265 3105 +
5265 51009 +
9815 1410 -
9815 9349 -
9815 9897 +
9815 10318 +
8575 115098 +
8575 22974 +
1621 50861 -
1621 5538 -
171024 4361 +
9470 5170 -
23175 2580 -
23175 79888 +
9256 22992 -
9256 3385 -
9256 81847 -
23770 7726 +
23770 1180 +
23770 1621 +
9184 4086 +
378 51213 +
51028 6605 -
51028 100271849 +
10970 85450 +
10970 55829 -
135892 221937 +
