source target sign
5265 23063 +
5265 10963 +
5265 4920 +
10617 201292 +
23177 23163 -
1954 51647 +
200030 7453 +
200030 10498 +
26271 7345 -
26271 80351 -
84875 8379 +
10844 220134 -
10844 6601 +
10844 64708 -
10844 11073 -
10844 100133941 -
1050 23495 -
1050 9070 +
4067 1912 +
4067 4436 +
4067 11171 -
1387 23358 +
1387 10445 -
1387 10537 -
1387 7334 +
2690 11059 -
2690 29072 +
2690 10783 -
27338 8773 -
27338 5976 +
27338 3607 -
27338 51466 +
4591 84661 +
4591 1956 -
9282 2475 +
9282 10459 -
3091 150946 +
3091 54778 -
5704 79960 +
9529 2874 +
200734 30818 -
163 6314 +
7334 3181 +
7334 3927 -
7334 79957 -
5709 10254 -
5709 1643 +
5709 10577 +
79650 6271 -
79650 11190 +
56886 2874 +
56886 3169 +
56886 5777 +
773 64426 -
773 55753 +
773 727764 -
23085 112858 +
23085 636 -
51024 342977 -
51024 9337 -
51024 26578 +
51024 23746 -
51024 23365 -
51024 208 -
7884 10891 -
84085 10969 -
84085 5520 +
1909 10401 +
1909 10392 -
1909 132660 +
10575 6416 +
10575 56993 +
10575 53635 -
10575 6135 -
10320 9973 +
10320 58 +
6399 23090 -
6399 1390 +
6399 11329 -
1152 57602 +
1152 10010 +
1152 3964 +
8877 57695 -
8877 8085 -
10971 64710 -
10971 149041 +
145508 2878 -
145508 10537 +
145508 6453 -
905 5537 -
905 286514 +
84984 58473 -
84984 1736 -
84984 9858 -
84984 9519 +
84984 8548 +
126282 2161 +
126282 9402 -
126282 57763 -
126282 64400 -
2701 4205 -
339745 2161 -
339745 55715 -
339745 4000 +
8408 26156 +
8408 6118 -
22992 598 +
9584 5902 -
3183 64112 +
3183 440574 +
3183 1964 -
8558 10945 +
8558 9820 -
8558 9577 -
8558 9070 +
3837 9821 +
55968 5896 -
55968 5526 +
55968 9804 +
2072 1838 +
2072 6881 +
2072 23118 +
2072 3065 -
5501 10527 -
5609 2274 +
5609 6338 -
5609 6194 +
10193 84733 -
10193 6662 +
10193 7975 -
10193 9470 +
10193 286514 -
84541 4017 -
84541 51574 +
84541 26272 -
84541 84289 -
84541 29855 -
389856 5598 -
389856 4582 +
389856 8615 -
5187 1434 -
5187 5890 +
9253 10524 -
9253 6158 +
9253 8877 +
9253 23281 +
9253 55763 -
7464 8239 -
7464 4646 -
51300 4102 +
2752 572 +
2752 2773 -
2752 222235 -
2752 7014 +
2752 8940 -
2752 22858 -
5580 2040 +
5580 1452 +
5580 29126 -
5580 59345 -
5580 8766 -
5580 23389 -
1454 9392 -
1454 26985 -
1454 56919 -
1454 5930 +
27242 57587 -
7408 10181 -
7408 26058 -
7408 23307 +
7408 51548 +
7408 5885 +
7408 10492 +
7408 130617 -
7408 2888 -
7408 5243 +
6135 6194 +
22890 6778 +
22890 8498 -
22890 11004 +
2539 9656 -
57472 7411 +
57472 9815 +
57472 64783 +
256646 130507 +
8994 4068 -
10111 983 +
10111 6478 -
10111 639 +
10111 3313 -
10111 7322 -
6774 1612 +
134510 8870 -
134510 79707 +
134510 5337 +
134510 317649 -
10600 55135 -
10600 22863 -
54205 79866 +
348801 8835 -
348801 4335 -
63935 3932 +
63935 10693 +
63935 5525 +
63935 29789 -
63935 25852 -
64798 4773 -
64798 83844 +
64798 84951 -
6657 10844 -
84458 84335 +
84458 3182 -
84458 27005 -
84458 8204 +
28981 54206 +
28981 23532 +
23569 10320 +
23569 22974 -
80232 51773 +
80232 5579 -
80232 54780 +
80232 6606 -
80232 4758 +
7155 80279 +
7155 9898 +
7155 10746 -
7155 8607 -
3628 80314 -
3628 87 +
3628 10891 -
4863 3832 -
