source_entrezID	target_entrezID
16443	24064
14797	21885
13131	22376
22034	13806
26413	11909
18432	17927
17246	22059
93742	56513
14260	56070
22195	108086
20479	66201
11350	225870
21833	20185
53424	72236
433766	17907
67923	12703
16177	266632
20586	68094
14163	13043
18518	19053
18627	27373
16172	103213
19766	22190
16975	13131
12575	12566
269523	75744
100038882	11461
12391	13405
20977	22318
22190	18035
21402	12234
13626	433759
20274	83814
15481	22190
26395	12005
13170	21685
228714	101206
100038882	105148
66290	11975
50772	17164
22034	11651
12591	18999
214669	245688
22190	17246
12394	12400
330627	12417
22658	56353
22318	20614
18999	15502
14082	19766
433759	20674
12702	67923
17248	17246
20977	20974
14836	66894
13433	18140
30050	21402
74053	14815
22059	22190
12566	109740
19821	29871
67469	66853
12703	93679
20371	93762
22034	16854
22658	54383
27221	66929
20371	20588
27223	70238
21885	21885
71950	234366
116838	19339
19821	30841
17311	16590
17131	66313
18999	72584
18022	23808
110147	13435
12402	19303
66854	54123
22761	23942
11545	22190
433766	17901
17128	17126
19122	13483
18999	15161
56086	53379
100038882	104112
22318	13429
239528	22190
243833	17125
17349	22631
12751	58230
17999	54401
239027	19353
226049	98758
21849	12417
77945	19893
100038882	11749
231201	17246
66395	20194
79362	17927
18222	16924
12952	20467
226049	15382
83945	18975
12953	18628
13649	13866
15183	13726
56505	20589
13436	13435
17248	22628
21429	20017
13163	170930
17927	18519
13555	433759
13385	14810
18412	66734
18999	20586
71950	12190
26409	20482
14260	56194
12550	27401
18754	20779
14810	14812
17966	17755
214669	18999
13448	21682
71950	17454
228545	22365
18999	20841
14810	19052
22034	68652
18412	20128
15364	209361
12005	16973
22278	13557
11789	12006
21848	12419
269523	386649
26409	22034
13619	12151
72194	116837
20937	12419
52615	74016
380714	19340
17984	67500
16412	218952
18999	12387
14810	67268
12695	16513
16170	12288
228714	208146
12675	52440
71950	99377
77006	69090
18211	18412
18999	433759
13163	17246
12287	12297
433759	20467
12005	19052
16476	16476
76804	11835
15239	56324
12575	12443
13131	12929
17246	17246
22034	29864
30841	12995
328572	15251
14784	24063
226896	226896
56631	17210
81879	99377
18999	20683
66395	12306
18596	22190
17246	18973
216150	22190
99982	11835
72179	12313
18999	56399
12576	12447
15903	21406
21898	17874
13197	12234
71950	106344
20185	20439
18412	20655
16531	13429
433759	17927
100038882	74153
54711	59004
210035	19384
53376	12952
57751	56550
71950	229542
19651	433759
20276	83814
16842	21665
65113	17999
214669	19646
20181	18193
18999	19821
74244	67841
16001	14783
19821	71041
20528	13163
20371	107932
64704	11796
78891	98376
12675	16151
17765	52615
22059	328572
13405	19285
14394	59025
20466	433759
71950	76233
230872	16594
12028	12043
11865	12753
16818	54607
14088	14870
21349	20466
320713	20586
67731	13346
14810	53310
13385	14814
12387	56637
54711	17344
27007	23900
194590	13196
72058	18222
433759	22632
16573	16574
17246	12450
19055	14406
380714	69908
12388	12387
12005	26401
13385	16492
17874	208650
19821	69837
56353	69837
21834	84505
20389	17999
19211	22190
20969	106021
116870	19697
105787	381305
26564	606496
16151	18035
21939	22034
16202	57342
12737	17475
59035	17979
17927	17978
71950	11614
12416	19763
16568	17872
12700	11350
57441	15396
12566	80838
18999	23942
18999	229542
67731	18035
50868	18412
16572	16574
13684	13688
24051	20391
67155	239985
16542	14205
211586	23885
71950	15182
74018	74053
433759	21429
433766	233199
21423	21423
19401	19290
268465	18140
72179	12445
11924	17172
21687	14786
11614	58198
14056	19646
77040	77040
215031	17260
18609	15182
380714	67295
20779	13543
14011	81601
14463	17127
18140	21974
20877	11545
232232	12236
71950	19821
22034	15526
22034	26940
14056	52615
83814	20278
14852	12578
71950	218914
66589	93765
11651	216869
13026	16647
104416	108155
78284	12916
11461	72042
19821	99982
17984	13555
19339	19894
15361	209361
12914	17927
16533	433766
16468	52615
17122	17187
74256	16151
54607	16590
27041	103983
18999	245688
75717	12702
12550	12388
17999	20278
22195	24105
13626	19821
20614	13002
12566	12576
17919	74998
16909	75410
12703	67673
16909	216190
20586	57376
18044	26423
67731	26965
17344	22294
107823	108155
18741	81601
268749	432940
24105	16151
16909	225895
17096	12402
99377	26380
18999	15201
12558	12387
18708	12402
14812	240057
18140	15078
268749	106025
81703	15183
12568	56424
12952	21853
67731	22352
22034	74117
140887	207278
21429	64424
17059	23957
14784	13649
22034	11964
11793	77040
13163	66233
71950	116871
140629	269523
22668	18740
23942	17192
19652	67891
18999	14300
22034	15512
15078	52609
225164	13388
12005	16568
12402	18596
16531	14082
27221	110749
84505	13876
231600	20878
57441	71242
22190	59287
116731	93699
20371	14462
19361	19362
22631	228355
16909	68375
56086	19309
18999	19357
26904	18106
14633	170930
16150	18035
16905	77053
56353	19763
73086	11909
18518	17318
24069	16854
53310	19047
235320	433759
73274	229906
12695	16516
19303	20779
26965	56438
99982	76804
27223	56406
12578	17246
18999	17192
13163	22218
22339	16542
26409	26409
18753	15507
21929	52440
14056	17765
71950	19697
19766	16151
56716	56717
23872	12914
71950	71950
22627	12388
12428	12534
30841	12417
269608	17475
71950	226442
75785	14806
27015	56210
252870	17246
14083	12927
20893	12608
11651	56637
21926	21937
99377	66830
81879	23942
100038882	22321
30841	12151
12695	14814
66725	66725
15185	15516
12606	13198
78803	99152
217379	56424
18999	58198
27373	12387
12048	12125
18999	51810
16909	18971
15398	17268
18999	66830
23885	22088
20371	58208
12914	22059
20505	170761
16150	12020
23942	107932
26409	16151
68845	71718
12753	18627
17954	17955
13405	18125
12287	12296
71950	93762
14633	12234
20617	22144
16531	53602
19821	22658
69807	13346
16909	19075
100038882	14751
20617	20614
100038882	20715
22034	109711
66917	19060
214669	116871
20655	69191
14082	12633
13197	18538
16531	22059
18999	68275
14629	14630
17927	26395
11737	13560
81703	81703
13385	11838
81879	26380
21423	56784
74334	19384
100038882	16828
12335	107765
19821	21402
17127	17927
53319	18226
17927	17977
110157	26395
23921	72323
13385	16971
16170	16513
19268	14360
20585	12306
55978	21821
22059	22061
16706	26395
13649	13649
20674	99377
225164	54485
19401	18458
84585	22190
19821	12417
22359	18475
22034	13627
15239	15239
18175	68794
12419	50709
50789	12953
19766	21929
11350	12402
22031	66824
19821	19763
24061	13006
53310	13426
14681	18545
12048	22059
12929	11350
18645	13429
18999	19708
23942	433759
16202	56424
14048	20674
228714	13486
330627	12412
23808	21380
14810	18195
18999	116871
16842	18505
17927	17979
18611	26417
22034	66105
18609	228866
18999	17685
12005	17344
18999	56353
12447	12313
16331	12402
13649	22190
71950	17192
16476	93759
19821	12151
67903	269608
12477	11773
217069	230073
15450	12317
12567	19645
26409	12042
20371	108655
12416	12151
15260	18509
20184	22196
22034	15516
14810	19055
19697	18035
19821	71458
27221	84505
14632	20587
67220	67220
110616	22190
19247	19261
21937	19766
11607	11610
18999	20833
20482	18854
12534	15512
12608	19645
16452	16452
14784	12402
230872	232943
11793	14082
11651	15519
16909	28114
214384	67731
15170	14728
67588	56480
16909	231798
17164	54383
20416	14784
26549	15516
22034	14828
22631	216963
15519	22190
12606	12567
242570	19205
27049	53975
66290	11984
73274	21374
23957	22034
18999	93762
18999	20588
268749	24105
27221	66403
56637	19164
14463	17128
20779	16542
14784	17295
16151	15511
20617	16514
228714	217588
22778	216848
20779	12402
18148	19878
57441	67177
226049	53379
26409	66724
22346	22218
81601	15185
22658	52609
30841	30951
26416	56790
18999	140858
242785	16150
16151	16151
12576	18141
56637	12388
19697	12914
12122	22034
22030	16396
71950	21849
22761	14460
23921	16337
12534	80838
14055	17765
328572	17927
17127	17128
22761	13017
24051	24053
20238	19883
17927	22190
227624	12578
14784	18708
16909	14248
67588	17874
21934	22034
13831	20807
13385	107831
22778	20586
18626	27373
53424	100986
59007	16898
228714	140858
57320	20977
22627	83431
14810	12313
19401	268903
380718	67978
378435	56406
15194	18746
26419	20528
23808	213464
23988	71950
19645	57782
81703	11909
18412	22190
11796	17874
22223	22190
12043	56208
12914	20375
21374	20687
13626	16468
214669	56353
18999	107932
50873	12389
12695	14813
65254	22240
13982	18667
12369	19192
13626	17765
56312	13207
26416	69253
12978	107829
100038882	13806
12234	18627
19359	59007
27007	22177
235497	54624
12929	16331
67731	17927
51789	67300
116848	93762
19821	29808
26395	26413
76071	16561
71950	12995
214669	50496
12566	12427
12301	21402
19229	20779
16909	19179
83431	13424
20437	93736
11798	19211
15378	11614
13649	16452
67220	64685
17318	68041
12443	12955
12675	16150
22034	52440
50754	26965
18999	51869
16531	22628
209318	12848
12703	18715
18505	17246
15902	15902
12151	66233
19401	71514
13448	11350
18011	54485
22030	52440
18519	21410
22631	240057
16818	18708
12703	16451
15184	68558
30946	100043163
20198	56307
19247	16443
20128	72512
17341	17341
22589	14056
18999	99377
19179	59007
11472	24131
224020	668212
22637	16818
16396	66513
16452	12702
56210	26447
26554	235320
18627	12953
20937	12417
12189	18986
18004	97064
12028	56351
18024	12575
79221	12419
20614	15481
20185	207259
22627	84092
18762	56513
21376	12578
17977	328572
23957	27374
13448	12988
59035	17978
110355	17999
14055	52615
12914	12912
71950	107932
14106	18091
116870	20408
17874	16978
12289	20907
18999	17688
21417	13017
17702	12393
26965	21402
21340	21374
17164	19821
71950	76007
22631	54126
14783	17999
16362	229615
227743	56717
18508	94091
208727	54401
20371	23808
56424	67685
56086	13665
71950	71371
75717	216233
26373	14628
30841	67057
14026	94090
12402	14360
56312	328572
26419	13163
18626	53376
22352	22190
70834	18711
56484	328572
110862	11749
11546	11546
13537	26413
233908	20382
30957	26419
15364	27221
70834	26419
21339	21374
12125	12043
19359	22591
12387	21413
269608	56217
74370	56717
15903	17927
14463	22190
