source_entrezID	target_entrezID
839913	839290
824585	836667
820793	832196
819239	825336
824293	838284
829569	839982
828661	830996
829419	829419
838144	819633
831207	829541
827550	828319
834864	829626
843513	829480
819925	841447
820200	843194
817170	828874
817134	816394
831986	843928
843845	820428
841464	823664
821539	834422
833672	827103
826409	828151
838078	820651
818581	834224
818609	828151
821575	830556
831899	818402
832001	832001
838230	838997
843513	830909
834284	830095
841284	826409
842951	822593
823706	840630
818444	831001
839913	841623
831232	830374
843524	831157
843931	842783
817362	830293
843845	830909
827714	831441
843463	839241
818472	837417
819313	833672
829541	829541
833502	836451
834983	836507
827605	841591
837805	820314
5008312	828259
818311	831999
833672	825383
823706	827463
827272	827472
838128	838573
822157	822157
827086	835557
817429	816386
828942	828120
834930	840147
838573	829361
836506	835301
829636	828764
833672	839495
837313	827101
824036	836287
837602	835438
838501	819262
835697	817240
839657	834293
843571	831441
832048	828413
834158	820557
824293	819283
828008	825171
834940	816782
840158	821625
817087	829569
824036	817340
815069	824882
821338	829597
841464	814686
824585	832610
830374	830785
836242	839419
818596	817134
838310	829012
827854	839329
827631	820391
830878	839141
824230	829285
842951	821705
825171	819624
821081	831267
838363	838363
836101	829072
831738	820850
828791	817155
827496	827496
839141	843221
841130	829569
821228	829284
827631	827631
816305	825234
835532	831809
834815	837417
831899	819718
832607	843928
830912	824036
839348	832082
821788	843463
837246	838230
839907	834756
830308	817246
827319	827538
841668	827302
827596	835809
824251	824251
839982	829598
836408	830000
834224	835842
817278	842582
823721	836554
824585	817341
829826	821027
841395	824214
819320	826913
817603	830586
826741	834706
828841	820831
814686	842669
817586	818199
828714	835397
836092	834443
824086	821839
817218	817218
836402	835728
838438	827511
819633	820793
824871	833930
833672	844379
821132	817423
818036	818036
829597	827930
832824	838384
825075	839300
821357	835557
844276	825835
835657	830909
842198	821673
829541	832246
829834	831587
839984	828044
832196	839495
838779	821473
839172	819174
819803	818519
825004	825004
819002	829557
831847	841202
839529	839529
838144	831793
819402	843928
818077	829298
829854	828391
827297	822593
838573	821879
830987	818174
836518	844276
819190	819857
838310	838310
824443	836190
841113	829824
825890	835990
822453	820839
826470	826470
825481	838604
834722	827596
838406	833459
838144	838144
832259	831020
830529	828316
830008	833502
823835	817688
835397	833752
821718	818030
841756	842957
841606	828025
831025	821667
822350	820142
834599	817564
831232	824478
822312	838804
830586	837267
820335	818766
818571	843693
824503	820915
833947	831546
828241	834483
827747	827747
827103	832658
816471	836227
836733	817014
829547	840471
826726	817688
