source target sign
IRF4 C17ORF87 -
IRF4 NCF2 +
IRF4 IL16 -
IRF4 RFTN1 -
IRF4 ROCK1P1 -
IRF4 KSR1 -
IRF4 MMACHC +
IRF4 CCDC163P +
IRF4 CCL3 -
IRF4 BZRAP1 -
IRF4 VTRNA1-1 -
IRF4 ANKRD30BL +
IRF4 UBC -
IRF4 CIITA +
IRF4 MACC1 -
NRF1 RBM7 +
NRF1 MRS2 +
NRF1 ACTN4 +
NRF1 HP1BP3 -
NRF1 C17ORF97 -
NRF1 LINS1 -
NRF1 COMMD8 +
NRF1 C4ORF46 -
NRF1 POLA2 +
NRF1 CCNT2 +
NRF1 CDC7 +
NRF1 LSM7 +
NRF1 TOP1 -
NRF1 JMJD5 -
NRF1 ARF4 -
NRF1 PFKFB4 +
NRF1 C7ORF70 -
NRF1 TXNL1 -
NRF1 SPPL2B -
NRF1 SLC35A4 +
NRF1 TMEM93 +
NRF1 HNRNPA1 -
NRF1 DPF2 +
NRF1 NAPG -
NRF1 MRPS18C -
NRF1 CCDC12 +
NRF1 DYRK1B +
NRF1 TMEM146 -
NRF1 EID1 -
NRF1 TMED4 +
NRF1 ABHD10 -
NRF1 C1ORF50 -
NRF1 BTBD12 +
NRF1 EIF2S2 -
NRF1 TCTA +
NRF1 MAPKAP1 -
NRF1 SFRS1 +
NRF1 FAM120B -
NRF1 SEPT2 -
NRF1 ERCC6 -
NRF1 LOC654342 +
NRF1 TTC37 -
NRF1 NAGK -
NRF1 ETFDH +
NRF1 DLEU1 +
NRF1 PTTG1IP +
NRF1 SARS +
NRF1 SPEN +
NRF1 MAP2K7 +
NRF1 ZBTB17 -
NRF1 ADI1 -
NRF1 KIAA0562 +
NRF1 CBX5 +
NRF1 LOC401431 -
NRF1 FLJ39582 -
NRF1 PPP1CB +
NRF1 MGEA5 -
NRF1 XPO5 -
NRF1 APC -
NRF1 FNBP4 -
NRF1 FAM165B -
NRF1 SGTA +
NRF1 ARMC6 +
NRF1 ARSK -
NRF1 CHCHD4 -
NRF1 C10ORF111 -
NRF1 RAGE +
NRF1 U2AF2 +
NRF1 MRPL24 +
NRF1 LOC100289341 -
NRF1 TRIM37 -
NRF1 MYCBP2 +
NRF1 NUP107 -
NRF1 RIOK2 +
NRF1 FAM98A +
NRF1 SYS1-DBNDD2 +
NRF1 NDUFA6 +
NRF1 RPL36 -
NRF1 WDR4 +
NRF1 PPME1 -
NRF1 C21ORF45 -
NRF1 TAX1BP3 +
NRF1 HDHD1A -
NRF1 DAGLB +
NRF1 CHMP2A -
NRF1 C10ORF18 +
NRF1 ING1 -
NRF1 NBPF1 +
NRF1 FBXO31 -
NRF1 UROS +
NRF1 FADD +
NRF1 ALG8 -
NRF1 LRRC27 -
NRF1 AMZ2 -
NRF1 ZNF12 -
NRF1 DEDD2 +
NRF1 SDHA -
NRF1 RPS6KB1 +
NRF1 SMARCA4 +
NRF1 KIFAP3 +
NRF1 PDCL3 -
NRF1 EID2 +
NRF1 CDC5L +
NRF1 SFRS13A -
NRF1 ABCA3 -
NRF1 EXOC8 -
NRF1 C19ORF61 -
NRF1 ANGEL2 -
NRF1 C19ORF63 +
NRF1 PATL1 +
