source target sign
SBNO2 RPS28 -
ZBTB20 NAIF1 +
ZBTB20 DAAM1 -
ZBTB20 CISH -
C7ORF64 SNAP29 +
CSRNP1 TPCN2 -
CSRNP1 HLA-F +
CHCHD4 N6AMT1 +
CHCHD4 PFKFB4 +
NDUFA13 FTSJ3 -
NDUFA13 DHCR7 +
NDUFA13 DPAGT1 +
TNKS1BP1 ZNF225 +
WDR1 MTMR12 -
WDR1 SSNA1 +
NPR1 LAPTM5 +
NPR1 C19ORF73 +
SLC4A4 SERTAD1 -
PEF1 PDE6D -
TACO1 KIAA1143 +
KIAA1908 FBXO18 +
HPS1 PLD6 -
HPS1 RNMT -
DCUN1D4 ARHGAP19 +
DCUN1D4 PHTF2 -
DCUN1D4 HBP1 -
FOSL1 UNC80 -
FOSL1 HMGXB4 +
CCDC132 CLPB +
CCDC132 ARV1 +
BTN3A3 AGPAT3 +
SLAMF1 ZNF286A +
SLAMF1 CHPF -
SLAMF1 C19ORF57 +
SSR3 ACAD8 -
SSR3 TMEM179B -
SSR3 ASPSCR1 -
IP6K2 COPS7B +
IP6K2 ANXA2P2 -
IP6K2 APTX -
CLIC4 CDK5 +
CLIC4 KCNB1 -
CLIC4 POLD4 -
NFKBIA LOC100289341 +
NFKBIA RC3H2 -
MLLT3 NEUROD4 +
CDK4 NAGPA -
RNASEH2A ABI3 +
RNASEH2A CIAO1 -
HOXB7 NUP214 -
HOXB7 C11ORF59 -
BARHL1 SYP -
BARHL1 C1ORF43 +
BARHL1 ZNF337 -
BARHL1 PDS5B -
RFX2 ERCC4 +
RFX2 NFE2L2 -
RFX2 CHFR +
NUBP2 CGGBP1 -
ZFYVE19 DCAKD -
ZFYVE19 TIGD6 +
STMN3 UFSP1 +
FRA10AC1 GSTCD -
FRA10AC1 HEXA +
SLC25A32 NDUFA6 -
SLC25A32 C10ORF2 +
SLC25A32 RPL38 -
BTD CLUAP1 -
PPM1J DCK +
PPM1J FBXW5 +
PPM1J RPS3 -
C1ORF213 LEKR1 +
C1ORF213 HLA-DOA -
C1ORF213 CCDC132 -
SNAPC3 GOLPH3L +
SNAPC3 LRRC32 +
SIK3 ENTPD6 +
DNAJC24 EPN1 -
C17ORF87 APTX -
PTMA CSK +
PTMA CCHCR1 -
PTMA SGTA +
ZNF180 TPK1 +
ZNF180 RNF160 +
ZNF180 ARPC5L +
SLMAP ASXL1 -
SLMAP NFKBIB -
SPATA20 RPGRIP1L -
HIST2H2BE SNHG3 +
HIST2H2BE HIST1H2AJ -
ARL8B WDR24 +
TCTE3 HLA-DPB1 +
TCTE3 C3ORF19 +
TCTA FAM98A +
HMBOX1 FAM164A -
HMBOX1 RWDD1 +
HMBOX1 DIAPH1 +
CD274 PDSS2 -
CD274 ASMTL +
CD274 SGTA +
ZNF524 KIAA1383 -
ZNF524 GHITM -
GDI2 ZFC3H1 +
GDI2 PRX -
PPAN-P2RY11 LOC100129034 -
MUTED GPR55 -
SON OXSR1 -
HBS1L C21ORF45 -
HBS1L PBX2 +
GNB2L1 HLA-B -
GNB2L1 CUEDC2 +
TMEM59 PICALM -
TMEM59 C19ORF52 +
SEMA6A LRRC29 +
SEMA6A PVRL4 -
SEMA6A GRK4 -
FAIM3 BCAS4 -
FAIM3 SEC11A +
TBC1D10B BANF1 +
FKBP5 PARM1 -
FKBP5 TTC3 -
CD2BP2 CATSPERG +
CD2BP2 B9D2 +
