source target sign
ZBTB20 EBF1 +
ZBTB20 STIP1 +
ZBTB20 LOC253039 -
ZBTB20 USF2 +
ZBTB20 KIAA0195 -
ZBTB20 ORMDL3 -
ZBTB20 COASY -
ZBTB20 MX2 +
ZBTB20 C9ORF102 +
ZBTB20 LOC285627 -
ZBTB20 ACTG1 -
ZBTB20 GRK4 -
ZBTB20 CDK4 -
NKTR KIAA1009 +
NKTR TMEM79 +
NKTR MAP1LC3B2 -
NKTR RRAGC -
NKTR RNU4ATAC -
NKTR ASTL +
NKTR NAGPA +
NKTR STYXL1 -
NKTR MAPK14 +
NKTR GNPTG -
NKTR ING4 -
NKTR FAM113A -
NKTR C19ORF61 +
ING1 TMEM55B -
ING1 SPI1 -
ING1 HELQ -
ING1 HIST1H2BG -
ING1 CDCA3 +
ING1 DENR +
ING1 PNKD -
ING1 KAT2A -
ING1 ZFP36L1 +
ING1 CLCN6 +
ING1 ATF3 +
ING1 LYSMD1 -
CDK4 HIST1H2BO +
CDK4 GRK4 -
CDK4 C19ORF61 +
CDK4 ASXL1 +
CDK4 ATP6V0B -
CDK4 LSM3 -
CDK4 OSGEP +
USF2 FAM21A +
USF2 BLOC1S1 +
USF2 HELQ -
USF2 BOLA1 -
USF2 ATG3 +
USF2 WDR81 -
USF2 ATP6V0D1 +
USF2 GNPTG +
USF2 CTSA -
USF2 HEXA +
USF2 CDK4 -
USF2 NEAT1 -
USF2 AKT1S1 -
USF2 DFFA +
USF2 OSGEP -
USF2 CUTA +
USF2 SPPL3 -
USF2 STXBP4 -
USF2 ANKRD30BL +
USF2 VPS33A -
USF2 KAT5 -
USF2 LAPTM5 +
USF2 RPUSD4 -
USF2 SUMF1 +
USF2 RPL18AP3 -
USF2 HDGFRP2 -
USF2 FAM134A +
USF2 RNASEK +
USF2 PPP1R10 +
USF2 C6ORF211 -
USF2 KIAA0415 +
USF2 SLC36A1 +
USF2 ATP6V1H +
USF2 CLCN6 +
USF2 QTRT1 -
USF2 DNAJC8 +
USF2 TRAPPC3 +
USF2 C16ORF42 -
USF2 GBA +
USF2 ROCK1P1 -
USF2 KIAA1919 -
USF2 FAF1 +
USF2 NPTN +
USF2 HPS5 +
USF2 KLHL12 -
USF2 MRPS18C +
USF2 FAM118B -
USF2 SLC38A7 -
USF2 MARCH8 -
USF2 COMMD9 -
USF2 ATP6V1G1 -
USF2 RRAGC +
USF2 NAGPA +
USF2 MCOLN1 -
USF2 NEURL2 -
USF2 GCFC1 -
USF2 TMEM116 +
USF2 SGTA -
USF2 DVL2 -
USF2 LRRC48 -
USF2 RMND1 +
USF2 KIAA1009 -
USF2 LOC147727 +
USF2 C15ORF34 +
USF2 HAGH -
USF2 RAD9A -
USF2 AMDHD2 +
USF2 CLCN7 +
USF2 UVRAG -
USF2 UBE2B -
USF2 SPNS1 -
USF2 COMMD8 +
USF2 WWP2 -
USF2 MTHFR -
USF2 SLC35A5 +
USF2 LAMP1 -
USF2 TPP1 -
USF2 MFSD1 -
USF2 GTF2H1 -
USF2 APEX1 -
USF2 UBE2Q1 -
USF2 FAHD1 +
USF2 RPS6 -
USF2 ERP29 +
USF2 CHD2 +
USF2 ILF3 -
USF2 ATP6V0B +
USF2 GET4 +
USF2 BAX -
USF2 CCDC163P +
USF2 TMEM55B -
USF2 CLN3 +
USF2 C9ORF156 -
NUBP2 ACTB +
NUBP2 ANKRD30BL -
NUBP2 SPNS1 +
NUBP2 C21ORF71 -
NUBP2 ATG3 +
NUBP2 PUF60 +
NUBP2 REST -
NUBP2 LSP1 +
NUBP2 CHD2 -
NUBP2 SUMF1 -
NUBP2 HIST1H2AE +
NUBP2 RPL13A +
C17ORF87 OSBP -
C17ORF87 BHLHE40 -
C17ORF87 TRAPPC3 -
C17ORF87 RFX1 -
C17ORF87 C19ORF61 +
C17ORF87 HIST1H3B -
C17ORF87 SPPL3 +
C17ORF87 LUC7L2 -
C17ORF87 C21ORF49 -
C17ORF87 CCDC59 -
C17ORF87 ISCU -
C17ORF87 UBE2Q1 -
C17ORF87 HIST1H2BO +
C17ORF87 HIST1H2AG -
C17ORF87 ATF4 +
PTMA BHLHE40 +
PTMA BLOC1S1 -
PTMA RPL13AP5 -
PTMA RFX1 +
PTMA USF1 +
PTMA USF2 +
PTMA MX2 -
PTMA GBA -
PTMA KLHL12 +
PTMA DVL2 -
PTMA EIF4A1 -
PTMA ASTL +
PTMA ATP6V0B +
PTMA PPAN -
PTMA C17ORF87 -
HIST2H2BE MAP1LC3B2 -
HIST2H2BE ZBTB20 -
HIST2H2BE HELQ -
HIST2H2BE RNU4ATAC -
HIST2H2BE LSM3 +
HIST2H2BE UBE2Q1 -
HIST2H2BE BCL11A +
HIST2H2BE RMND1 -
HIST2H2BE RPL12 -
HIST2H2BE RNU12 -
HIST2H2BE C17ORF87 -
HIST2H2BE LRCH4 +
SP1 RFX1 -
SP1 EIF4A1 -
SP1 ATG3 -
SP1 WDR81 -
SP1 UBC +
SP1 ING1 -
SP1 ZNF689 +
SP1 GATAD2A +
SP1 LRCH4 +
SP1 KIAA0195 +
SP1 NUBP2 +
SP1 DNM2 -
SP1 HNRNPL -
SP1 SP1 +
SP1 IKZF3 -
SP1 C17ORF56 -
SP1 CDCA3 -
SP1 HDGFRP2 -
SP1 CD74 -
SP1 ENSA +
SP1 PXMP4 -
SP1 GPR108 -
SP1 SP2 -
SP1 LIN37 -
SP1 USP5 -
SP1 ROCK1P1 -
SP1 SMG5 +
SP1 FBXO24 -
SP1 HIST1H2BF +
SP1 RAB11B -
SP1 BCAS3 +
SP1 FAM100B +
SP1 PRMT1 +
SP1 LOC63930 +
SP1 HNRPA1L-2 +
SP1 ANKRD39 -
SP1 TMEM55B -
SP1 KHSRP -
SP1 LRRC48 -
SP1 RAB8A -
SP1 STIP1 -
SP1 HNRNPA1 -
SP1 UVRAG -
SP1 ZBTB20 +
SP1 UBE2B -
SP1 ETS1 -
SP1 AP3M2 -
SP1 SHKBP1 +
SP1 TMEM160 -
SP1 HNRNPC +
SP1 RUVBL1 -
SP1 RBM15 -
SP1 ZNF143 -
SP1 TIFA -
SP1 C17ORF89 +
SP1 OSBP -
SP1 HBP1 -
SP1 ACTB +
SP1 RAB5B -
CUTA SF4 -
CUTA NEK6 -
CUTA PNKD +
CUTA MEF2C +
CUTA HIST1H2AH +
CUTA TAF12 +
CUTA RFX5 +
CUTA BCL3 -
CUTA KAT2A +
CUTA ACTG1 +
CUTA ISCU +
CUTA HELQ +
CUTA SEPT2 -
CUTA ZZZ3 -
CUTA LSM3 -
ENSA STAT1 -
ENSA MEF2C -
ENSA CDK12 +
ENSA LSP1 +
ENSA QTRT1 +
ENSA HIST1H2AH -
ENSA RUVBL1 -
ENSA PPAN +
ENSA CDC5L -
ENSA HIST1H2AG -
ENSA C17ORF56 -
RMND1 TMEM18 -
RMND1 STX5 +
RMND1 SELPLG -
RMND1 RFX1 -
RMND1 USF1 -
RMND1 USP5 +
RMND1 STAT3 +
RMND1 ANKRD30BL -
RMND1 LSM3 +
RMND1 ACTB -
RMND1 IL21R +
RMND1 MCOLN1 +
RMND1 PTMA -
RMND1 B2M +
LIN37 BTBD10 +
LIN37 MTRNR2L1 +
LIN37 NEAT1 +
LIN37 LOC147727 +
LIN37 FAHD1 +
LIN37 SLC35B2 +
LIN37 HELQ +
LIN37 HIST1H2BD +
LIN37 HIST1H2AM +
LIN37 BRCA1 +
LIN37 COMMD8 -
LIN37 GPR15 -
LIN37 SUMF1 -
LIN37 FAF1 +
LIN37 IRF3 +
LIN37 B2M +
EBF1 SELPLG +
EBF1 RAB8A +
EBF1 MX2 -
EBF1 BATF -
EBF1 JUND +
EBF1 NEK6 -
EBF1 CFLAR -
EBF1 DUSP2 -
EBF1 C17ORF87 -
EBF1 IL16 -
EBF1 TNFRSF13B +
EBF1 KSR1 -
EBF1 FBXO46 +
EBF1 LAPTM5 +
EBF1 SLC35B2 -
EBF1 LSP1 +
EBF1 AMDHD2 -
EBF1 IL21R -
EBF1 CCR7 +
EBF1 BZRAP1 -
EBF1 BHLHE40 +
EBF1 JUNB +
EBF1 CTSA +
EBF1 CIITA -
EBF1 RPS11 -
EBF1 HIST1H4I +
EBF1 SLC15A4 +
EBF1 ROCK1P1 -
EBF1 DUSP22 +
EBF1 RBM39 +
EBF1 POU2F2 +
EBF1 CCL3 -
EBF1 PRMT1 -
EBF1 FCER2 -
EBF1 GCET2 +
EBF1 NEURL2 -
EBF1 EEF1A1 +
EBF1 LY86 +
EBF1 HAGH -
EBF1 PXMP4 +
EBF1 ANKRD30BL -
EBF1 GBA +
EBF1 PTPN6 -
EBF1 PPAN -
EBF1 TPP1 -
EBF1 RFX5 +
EBF1 GPR132 +
EBF1 RFTN1 +
EBF1 PFN1 +
EBF1 TIFA -
EBF1 BAX -
EBF1 CCDC102A -
EBF1 LOC63930 -
EBF1 GET4 +
EBF1 DNM2 -
EBF1 CSK +
BCAS3 MARCH8 -
BCAS3 YY1 -
BCAS3 NFE2 +
BCAS3 ASXL1 +
BCAS3 HIST1H2BD +
BCAS3 MX2 -
BCAS3 ATG3 -
BCAS3 HNRNPC +
BCAS3 WDR81 +
BCAS3 C19ORF61 +
BCAS3 PXMP4 +
BCAS3 RPS11 +
BCAS3 RUVBL1 -
BCAS3 LYSMD1 -
BCAS3 LSM3 -
BCAS3 CDK4 -
ASXL1 PNKD -
ASXL1 PPCDC -
ASXL1 RFTN1 +
ASXL1 CTCF -
ASXL1 MTHFR +
ASXL1 TUBGCP5 +
ASXL1 ZEB1 +
ASXL1 SHKBP1 +
ASXL1 PUF60 -
ASXL1 CRTC2 +
ASXL1 HEXA -
ING4 DNM2 +
ING4 GPR108 -
ING4 MTHFR +
ING4 GRK4 +
ING4 HIST2H2AB +
ING4 C9ORF102 -
ING4 SLC35B2 +
ING4 ASXL1 -
ING4 GET4 -
ING4 HIST1H2BK -
YY1 EIF4A1 -
YY1 MX2 -
YY1 BATF -
YY1 SUMF1 +
YY1 SEPT2 -
YY1 NEK6 +
YY1 ZNF689 -
YY1 CBX5 -
YY1 ATF4 -
YY1 PDE4DIP -
YY1 INO80B -
YY1 CCDC124 +
YY1 C17ORF56 +
YY1 ZBTB17 +
YY1 LOC147727 +
YY1 ANKRD30BL -
YY1 CATSPERG -
YY1 ING4 -
YY1 LSM3 +
YY1 NCRNA00095 -
YY1 QTRT1 -
YY1 RPL18A +
YY1 RPL13AP5 -
YY1 NME1 -
YY1 GBA -
YY1 SUPT5H +
YY1 BAX -
YY1 C12ORF26 +
YY1 RPS11 -
YY1 FAM100B -
YY1 FAM113A +
YY1 NAGPA +
YY1 RPL12 +
YY1 FAM40A +
YY1 HNRPA1L-2 -
YY1 ISCU -
YY1 TMEM79 +
YY1 ROCK1P1 +
YY1 HIST1H1C -
YY1 CCDC59 +
YY1 HNRNPA1 -
YY1 ZNF143 -
YY1 CRTC2 +
YY1 C17ORF89 +
YY1 AKT1S1 +
YY1 QRICH1 +
YY1 KIAA0195 +
YY1 USF1 +
YY1 RBM39 +
YY1 WRAP53 +
YY1 VPS16 -
YY1 RPL13A +
YY1 SMG5 -
YY1 CLN3 +
YY1 LRSAM1 +
HAGH STX5 +
HAGH MTRNR2L1 +
HAGH SLC15A4 -
HAGH MRPS18C -
HAGH ZFP36 -
HAGH C9ORF130 +
HAGH OSGEP -
HAGH UBE2D3 -
HAGH DVL2 -
HAGH ATP6V0D1 -
HAGH RBM39 +
HAGH INO80B +
HAGH BCL3 +
HAGH C6ORF211 +
STAT3 RFTN1 +
STAT3 CLCN7 -
STAT3 USF1 +
STAT3 ZMIZ2 -
STAT3 FANK1 -
STAT3 MTRNR2L2 -
STAT3 HNRPA1L-2 +
STAT3 ACTG1 -
STAT3 ZBTB17 -
STAT3 MRPL24 +
STAT3 DNM2 -
STAT3 CHD2 -
STAT3 AURKAIP1 -
STAT3 ROCK1P1 +
STAT3 COMMD9 -
STAT3 ATP6V1G1 -
STAT3 MALAT1 +
STAT3 ANKRD30BL +
STAT3 HBP1 -
STAT3 EP300 +
STAT3 TMEM55B +
STAT3 DUSP22 +
STAT3 APEX1 +
MDH2 HLA-DMB +
MDH2 RPL13AP5 -
MDH2 PRDX1 -
MDH2 KIAA0892 +
MDH2 KHSRP -
MDH2 SMG5 -
MDH2 WDR81 -
MDH2 NFKB1 -
MDH2 ATG3 +
MDH2 GTF2H1 -
MDH2 HIST1H1E +
MDH2 BATF +
MDH2 MRPL24 +
MDH2 RPS7 -
MDH2 C12ORF26 -
SHKBP1 FAM100B -
SHKBP1 LY86 -
SHKBP1 TNFRSF13B -
SHKBP1 MTRNR2L2 -
SHKBP1 RPS6 +
SHKBP1 HIST1H2BF -
SHKBP1 NCRNA00095 +
SHKBP1 REST +
SHKBP1 TIFA -
SHKBP1 ERP29 -
SHKBP1 HIST1H4B -
SHKBP1 WDR81 -
SHKBP1 LSMD1 -
SHKBP1 GNPTG -
SHKBP1 KBTBD6 -
SHKBP1 LYSMD1 -
SHKBP1 FAM113A -
SHKBP1 PTMA +
SHKBP1 C9ORF156 +
RFTN1 LY86 -
RFTN1 SLC36A1 +
RFTN1 ATF4 -
RFTN1 CSK -
RFTN1 COMMD8 +
RFTN1 MEF2C -
RFTN1 HIST1H2BD +
RFTN1 RNU11 -
RFTN1 UBE2D3 -
RFTN1 EGR1 -
RFTN1 FCER2 +
RFTN1 WRAP53 +
RFTN1 KAT5 -
RFTN1 B2M -
LOC63930 STIP1 -
LOC63930 RFX1 +
