source target sign
ZBTB33 PIP4K2A -
NCRNA00095 SCAMP1 -
CD74 C6ORF129 -
CD74 TTC9C +
CHAF1A TCEB1 -
ZNF668 RBM45 +
ZNF668 WDR60 +
ZNF668 LOC100379224 -
TM7SF3 IP6K1 -
TM7SF3 CDC37 -
TM7SF3 MORN4 -
TM7SF3 TMEM170A -
CRK HLA-DPA1 -
CRK LOC255512 -
TRUB2 C21ORF45 -
TRUB2 BATF +
TRUB2 GIN1 +
OSBPL2 CD79A +
OSBPL2 SIRT3 +
OSBPL2 PEA15 -
OSBPL2 WBSCR26 -
NECAP2 TMED10 -
NECAP2 CNOT3 -
NECAP2 FBXO22 +
NECAP2 LOC643596 +
TBC1D22B TPCN1 +
TBC1D22B TIAL1 -
RPL7A YDJC -
RPL7A NUP188 +
PRPF19 LOC100289511 -
PRPF19 CASC2 -
PRPF19 DNAJB2 +
RAB35 LETM1 -
TRIM59 C1QBP -
TRIM59 TP53BP1 -
ACADVL CHRNB2 +
ACADVL LOC221710 +
HLTF PRPSAP2 +
HLTF ZNF101 -
HLTF TMEM59 -
HLTF NFKB2 +
ASAH1 SSH2 +
ASAH1 MAP4K5 +
ZNF828 ZNF718 +
ZNF828 EFHA1 +
ZNF828 CNOT7 -
FKSG83 ZC3HC1 -
FKSG83 HIST1H4A -
STK17A CDK5RAP1 -
LEMD2 NUMA1 -
RPL36AL DMXL1 +
RPL36AL PDCD5 -
RPL36AL DENND4B -
TASP1 GBA -
STK25 PCDHGA10 -
EPM2AIP1 INTS9 -
EPM2AIP1 NDUFAF4 -
ROBLD3 LRTOMT +
HIPK2 ZNF837 +
HIPK2 EVI2B +
HIPK2 HIST1H4A -
C12ORF43 GCFC1 -
C12ORF43 LOC147727 -
SLC37A4 KBTBD7 +
SLC37A4 ROM1 +
SLC37A4 EXOC3L +
SLC37A4 SERBP1 +
WRAP53 KIAA1967 +
WRAP53 CDKN2D -
WRAP53 PBRM1 -
CHFR C18ORF1 +
MYST4 CDKN1A -
MDM4 ARID3B -
WIPI2 ZNF845 -
WIPI2 DDX23 -
WIPI2 KIAA1143 -
DHRS13 NPTN -
DHRS13 CISH -
NLRC5 WIPI2 -
GPR15 C16ORF13 +
NUTF2 MTIF3 +
LOC148189 HLA-E +
LOC148189 RPL5 +
CRADD CCDC144C +
CRADD DARS2 +
RAB6A PCGF2 +
RAB6A EXOC3L +
PNKP RPS9 +
PNKP KTELC1 +
PNKP YOD1 -
DNMT3A HNRNPL +
TUBA8 ADAR -
TUBA8 BSN -
TUBA8 WASF1 +
TUBA8 IDI1 +
C11ORF59 TMEM80 +
APPL1 NIPAL3 -
SLC25A42 GFM1 +
SLC25A42 MARCH11 +
PPP2CB S100PBP -
PPP2CB HEXA +
PPP2CB SP110 -
HAUS5 PPP1R1B +
HAUS5 DDX23 +
N6AMT1 KTI12 +
PRMT1 PKM2 -
PRMT1 ZNF786 +
NUMA1 RNMT -
WDR6 TRIM34 -
CORO7 RBM34 -
OMA1 INVS +
OMA1 ATXN3 -
GPRIN1 BLOC1S3 -
PSMB9 CRBN +
PSMB9 GOT2 +
DENND3 PNRC2 -
TUBA4A PILRA -
TUBA4A ZNF749 +
LNP1 TOP3A -
TLR1 PDCD6 -
BPTF ST8SIA4 -
EPHA10 IL7 +
EPHA10 GCFC1 -
EPHA10 COL4A3BP +
EPHA10 DCTN2 +
EPHA10 NAPSB -
KRTCAP2 TFPT -
SFRS9 RAD51AP2 +
SFRS9 DGAT2 -
NR1D1 PRPF19 -
NR1D1 CLUAP1 +
NR1D1 POLR2A -
NR1D1 EVI5L +
SLFN5 SYK -
SLFN5 FAM159A -
ABLIM3 DHX35 -
ABLIM3 HEXA -
ABLIM3 FANCD2 +
THRAP3 RALGPS1 +
THRAP3 PPIA -
SUPT7L FAM129C +
SUPT7L SAR1B +
RWDD4A VPS4B +
