PAX5 	AAAS 	
CTCF 	AAAS 	
CTCF 	AAAS 	
CTCF 	AAAS 	
SP1 	AAGAB 	
PBX3 	AAMP 	
SIX5 	AAMP 	
FOS 	AAMP 	
ZNF143 	AAMP 	
PBX3 	AARS 	
CTCF 	AARS2 	
CTCF 	AARS2 	
CTCF 	AARS2 	
ELF1 	AATF 	
PBX3 	ABCA11P 	
CTCF 	ABCA17P 	
CTCF 	ABCA17P 	
NRF1 	ABCA17P 	
CTCF 	ABCA17P 	
CTCF 	ABCA2 	
CTCF 	ABCA2 	
CTCF 	ABCA2 	
CTCF 	ABCA3 	
CTCF 	ABCA3 	
NRF1 	ABCA3 	
CTCF 	ABCA3 	
EBF1 	ABCA7 	
EBF1 	ABCA7 	
PBX3 	ABCA7 	
SP1 	ABCB8 	
FOS 	ABCB8 	
ZNF143 	ABCC5 	
MEF2A 	ABCD2 	
MEF2C 	ABCD2 	
ZNF143 	ABCF2 	
NRF1 	ABCF3 	
NRF1 	ABHD10 	
PBX3 	ABHD2 	
SP1 	ABHD2 	
PBX3 	ABHD8 	
EGR1 	ABI2 	
EBF1 	ABI3 	
EBF1 	ABI3 	
EBF1 	ABI3 	
ZNF143 	ABLIM2 	
PAX5 	ABLIM3 	
PAX5 	ABLIM3 	
CTCF 	ABR 	
CTCF 	ABR 	
EP300 	ABT1 	
RAD21 	ABTB2 	
ELF1 	ACAD10 	
ZNF143 	ACAD8 	
CHD2 	ACADSB 	
ZNF143 	ACADVL 	
PBX3 	ACAP2 	
SP1 	ACAP2 	
RAD21 	ACBD4 	
CTCF 	ACBD4 	
CTCF 	ACBD4 	
CTCF 	ACBD4 	
ELF1 	ACBD5 	
PBX3 	ACOT8 	
SP1 	ACOT8 	
FOS 	ACOT8 	
ZEB1 	ACP1 	
NRF1 	ACP1 	
GABPA 	ACP2 	
YY1 	ACP2 	
EBF1 	ACP5 	
EBF1 	ACP5 	
EBF1 	ACP5 	
ZNF143 	ACP6 	
GABPA 	ACSF3 	
RAD21 	ACSS2 	
BCL11A 	ACTB 	
BCL3 	ACTB 	
BCLAF1 	ACTB 	
ETS1 	ACTB 	
MEF2A 	ACTB 	
MEF2C 	ACTB 	
POU2F2 	ACTB 	
PAX5 	ACTB 	
PAX5 	ACTB 	
POU2F2 	ACTB 	
RXRA 	ACTB 	
SRF 	ACTB 	
SRF 	ACTB 	
TCF12 	ACTB 	
BCLAF1 	ACTG1 	
POU2F2 	ACTG1 	
POU2F2 	ACTG1 	
RXRA 	ACTG1 	
SRF 	ACTG1 	
SRF 	ACTG1 	
SP1 	ACTL6A 	
FOS 	ACTL6A 	
NRF1 	ACTN4 	
PBX3 	ACTR1A 	
SIX5 	ACTR1A 	
ZNF143 	ACTR1A 	
PAX5 	ACTR2 	
PAX5 	ACTR2 	
PBX3 	ACTR2 	
YY1 	ACTR8 	
PBX3 	ACYP1 	
ATF3 	ADAR 	
EGR1 	ADAR 	
EBF1 	ADARB2 	
SPI1 	ADAT3 	
ZNF143 	ADAT3 	
PBX3 	ADCK4 	
CTCF 	ADCK5 	
SPI1 	ADCY7 	
NRF1 	ADI1 	
BATF 	ADM 	
TCF12 	ADORA2A 	
SPI1 	ADORA3 	
ELF1 	ADPGK 	
BCLAF1 	ADPRHL1 	
ELF1 	ADPRHL1 	
GABPA 	ADPRHL1 	
CTCF 	ADPRHL2 	
