source target sign
NRF1 HNRNPA1 +
NRF1 CDC42 -
NRF1 LINS1 +
NRF1 CDC7 -
NRF1 ZNF74 +
NRF1 JMJD5 +
NRF1 FAM98A +
NRF1 RIOK2 -
NRF1 C7ORF70 -
NRF1 TMEM209 +
NRF1 SPC24 -
NRF1 ZMYM4 +
NRF1 BRP44 +
NRF1 POU2F1 -
NRF1 NAPG -
NRF1 MRPS18C +
NRF1 DYRK1B +
NRF1 TMEM146 -
NRF1 SMARCC1 +
NRF1 TMED4 +
NRF1 YEATS4 +
NRF1 C1ORF50 +
NRF1 TMEM141 +
NRF1 GPBP1L1 -
NRF1 CLASP1 +
NRF1 MAPKAP1 -
NRF1 SFRS1 -
NRF1 XRCC2 -
NRF1 FAM173B +
NRF1 ATP5O -
NRF1 TTC37 +
NRF1 ROCK1P1 +
NRF1 SARS -
NRF1 THAP7 +
NRF1 MEGF8 -
NRF1 PDCD6IP +
NRF1 KIAA0562 +
NRF1 BTF3 +
NRF1 CBX5 -
NRF1 ZNF526 -
NRF1 LOC401431 +
NRF1 FLJ39582 +
NRF1 C1ORF124 -
NRF1 APC +
NRF1 LOC399815 -
NRF1 FAM165B +
NRF1 DFFB +
NRF1 ARMC6 -
NRF1 ARSK -
NRF1 CHCHD4 -
NRF1 GOLGA2 -
NRF1 CSDE1 -
NRF1 PRAME +
NRF1 U2AF2 +
NRF1 MRPL24 +
NRF1 PPP1R10 -
NRF1 RXRB -
NRF1 LOC100289341 -
NRF1 PDE4DIP +
NRF1 TRIM37 -
NRF1 NUP107 -
NRF1 SYS1-DBNDD2 +
NRF1 MAPK1 +
NRF1 SLC39A7 +
NRF1 ZNF595 -
NRF1 WDR4 -
NRF1 TSEN2 +
NRF1 C7ORF60 -
NRF1 SAFB2 -
NRF1 DAGLB +
NRF1 CHMP2A -
NRF1 C10ORF18 -
NRF1 NBPF1 +
NRF1 ZNF473 -
NRF1 ALG8 +
NRF1 DEDD2 +
NRF1 RPS6KB1 -
NRF1 LOC648691 +
NRF1 EID2 -
NRF1 DNAJB9 +
NRF1 CDC5L +
NRF1 SFRS13A -
NRF1 EXOC8 -
NRF1 MTCH2 -
NRF1 ANGEL2 +
NRF1 RAB36 +
NRF1 NDUFA3 +
NRF1 TIA1 -
NRF1 SAMHD1 +
NRF1 XRCC5 -
NRF1 EIF1 -
NRF1 MRPL40 +
NRF1 CYCS +
NRF1 DSCR3 -
NRF1 SYS1 +
NRF1 HINFP +
NRF1 CASP2 +
NRF1 RPL14 -
NRF1 C9ORF69 +
NRF1 IPO11 -
NRF1 PHF12 +
NRF1 MYPOP +
NRF1 DLD -
NRF1 CSNK2B -
NRF1 PTTG1IP -
NRF1 CCDC12 -
NRF1 AP3B1 -
NRF1 ABHD5 +
NRF1 RALGAPB -
NRF1 MRPL32 -
NRF1 EED -
NRF1 ABL1 -
NRF1 C2CD3 -
NRF1 RTDR1 +
NRF1 DGCR14 +
NRF1 TFB2M -
NRF1 RANBP3 -
NRF1 EIF2S2 -
NRF1 TMEM143 +
NRF1 MAN1B1 +
NRF1 CBLL1 -
NRF1 TPR +
NRF1 CFDP1 -
NRF1 ASNSD1 +
NRF1 SFRS14 +
NRF1 CNO -
NRF1 DNAJA3 +
NRF1 CACYBP +
NRF1 C16ORF53 +
NRF1 FAM24B -
NRF1 C17ORF63 +
NRF1 MRPS18B +
NRF1 LOC729991-MEF2B +
NRF1 PRMT2 -
NRF1 LOC729991 +
NRF1 HNRPA1L-2 +
NRF1 NOB1 +
NRF1 ANKRD30BL +
NRF1 EIF5A -
NRF1 HELQ -
NRF1 RFWD2 -
NRF1 C6ORF64 +
NRF1 C22ORF29 -
NRF1 C6ORF136 -
NRF1 CNST +
NRF1 BCR -
NRF1 C21ORF33 +
NRF1 PI4KA -
NRF1 KHDRBS1 +
NRF1 ATP6V1F -
NRF1 HNRNPH3 -
NRF1 YDJC -
NRF1 PSMA2 +
NRF1 FXR2 +
NRF1 C21ORF45 +
NRF1 TOMM20 -
NRF1 SNAP29 -
NRF1 VRK3 +
NRF1 RABIF +
NRF1 ZC3H8 +
NRF1 NFYA -
NRF1 OCIAD1 -
NRF1 WDR60 -
NRF1 PPP2CA -
NRF1 IFT172 -
NRF1 TMEM43 +
NRF1 UBN2 -
NRF1 ZNF718 -
NRF1 PTCD3 +
NRF1 THAP5 -
NRF1 ZNF280B +
NRF1 CCDC116 +
NRF1 CRKL -
NRF1 C3ORF75 +
NRF1 IFNAR1 +
NRF1 HNRNPH1 -
NRF1 HINT1 -
NRF1 BRD2 -
NRF1 RAB18 -
NRF1 C10ORF88 +
NRF1 IRGQ +
NRF1 SDF2L1 -
NRF1 ELOF1 +
NRF1 SYNGR4 -
NRF1 ZNF280A -
NRF1 SAFB +
NRF1 CISD1 -
NRF1 CCT5 -
NRF1 RAD21 -
NRF1 DTL -
NRF1 BANP -
NRF1 C1ORF35 +
NRF1 APBA3 -
NRF1 C9ORF119 +
NRF1 GNB1L -
NRF1 SLC2A11 +
NRF1 N6AMT1 +
NRF1 HBS1L -
NRF1 PREB +
NRF1 NUP214 +
NRF1 COX6A1 -
NRF1 ENDOG -
NRF1 MRPL54 +
NRF1 C6ORF130 +
NRF1 C1ORF77 +
NRF1 C19ORF61 -
NRF1 PPME1 +
NRF1 SMARCA4 -
NRF1 TUBD1 +
NRF1 ANKRD26 +
NRF1 EID2B +
NRF1 ADI1 -
NRF1 POLA2 -
NRF1 C7ORF55 +
NRF1 LEPRE1 +
NRF1 C1ORF63 -
NRF1 INTS7 +
NRF1 ABCF3 -
NRF1 TBC1D5 +
NRF1 ZBTB17 -
NRF1 ZNF576 -
THAP1 OSBPL11 +
THAP1 KATNB1 +
THAP1 VPS16 -
THAP1 NDUFS2 -
THAP1 METTL3 -
THAP1 PSMB5 -
THAP1 IMP4 -
THAP1 DEPDC6 -
THAP1 CRELD2 +
THAP1 SKIV2L +
THAP1 FAM98A +
THAP1 UFC1 +
THAP1 USP31 -
THAP1 CSTF1 +
THAP1 PEX7 -
THAP1 NCDN -
THAP1 AP2B1 +
THAP1 BRP44 -
THAP1 LRSAM1 +
THAP1 KPTN -
THAP1 CATSPERG +
THAP1 TM9SF4 +
THAP1 DEDD -
THAP1 ARFIP2 -
THAP1 IPPK +
THAP1 TBC1D22B -
THAP1 MAP2K5 -
THAP1 TBC1D2 -
THAP1 CSTF2T -
THAP1 KIF15 +
THAP1 TOR1AIP1 +
THAP1 CARD8 -
THAP1 C1ORF144 +
THAP1 DNLZ +
THAP1 MRPL47 -
THAP1 TM9SF1 +
THAP1 RRM1 +
THAP1 ACTR3B +
THAP1 MGC23284 +
THAP1 CHCHD5 +
THAP1 TMEM79 +
THAP1 CAMLG -
THAP1 GHITM +
THAP1 C1ORF174 -
THAP1 B3GALT6 +
THAP1 TOMM40L -
THAP1 FAM193B -
THAP1 WDR34 +
THAP1 ING4 -
THAP1 CSDE1 -
THAP1 TMEM180 -
THAP1 NDUFB5 -
THAP1 RNF24 +
THAP1 RPL12 +
THAP1 SCYL3 +
THAP1 ZNF484 -
THAP1 RPA2 -
THAP1 NUP35 +
THAP1 KIAA0195 +
THAP1 DNAJB6 -
THAP1 ACTR8 -
THAP1 NAT15 +
THAP1 TOR1A +
THAP1 PNKP +
THAP1 MYST2 -
THAP1 GTF3C6 -
THAP1 FUZ -
THAP1 KIAA0319L +
THAP1 AKT1S1 -
THAP1 FADD -
THAP1 ALG8 -
THAP1 ZNF747 +
THAP1 LOC91316 +
THAP1 RCAN1 -
THAP1 PREPL -
THAP1 WDR7 +
THAP1 RPS6KB1 +
THAP1 ATE1 -
THAP1 PDCL3 +
THAP1 FIG4 -
THAP1 GIT2 -
THAP1 RPL27 +
THAP1 TTLL11 +
THAP1 C15ORF41 +
THAP1 ANGEL2 +
THAP1 SASS6 -
THAP1 TBC1D14 -
THAP1 C2ORF28 +
THAP1 MVD -
THAP1 THAP1 +
THAP1 CNNM2 +
THAP1 ZNF785 +
THAP1 SYS1 +
THAP1 GLTP -
THAP1 C17ORF56 +
THAP1 FAM113A -
THAP1 ECH1 +
THAP1 TMEM101 +
THAP1 SLC5A6 -
THAP1 ZMAT2 +
THAP1 DCAF6 +
THAP1 WDR46 +
THAP1 FBXO45 -
THAP1 FIZ1 -
THAP1 PSMD8 -
THAP1 CRADD -
THAP1 RACGAP1 +
THAP1 CDC45 +
THAP1 NMNAT1 -
THAP1 NFKBIB +
THAP1 NARS +
THAP1 KIAA1143 -
THAP1 LOC100133612 -
THAP1 PPP1R12B +
THAP1 DARS2 +
THAP1 CCDC115 +
THAP1 ZC3H11A -
THAP1 PIGV -
THAP1 TBP -
THAP1 CCDC124 -
THAP1 TMEM143 +
THAP1 C7ORF25 -
THAP1 METT11D1 +
THAP1 SYS1-DBNDD2 -
THAP1 PRPSAP1 -
THAP1 CDK5RAP2 -
THAP1 C16ORF53 +
THAP1 FXC1 -
THAP1 RDBP -
THAP1 DPAGT1 +
THAP1 NUDCD3 -
THAP1 TBL3 -
THAP1 CD2BP2 -
THAP1 USE1 +
THAP1 DIAPH1 -
THAP1 IER2 +
THAP1 MTMR9 -
THAP1 USP21 +
THAP1 ZBTB17 -
THAP1 UFD1L +
THAP1 TMEM131 +
THAP1 FAM73A -
THAP1 CPEB4 -
THAP1 SLC25A44 -
THAP1 AHCYL1 +
THAP1 ZNF688 +
THAP1 TRIM39 -
THAP1 GUSB -
THAP1 PFDN6 +
THAP1 C2ORF34 +
THAP1 TMEM217 -
THAP1 TBC1D17 +
THAP1 LOC100131691 +
THAP1 PGLS -
THAP1 AFTPH +
THAP1 ZNF524 +
THAP1 C20ORF196 -
THAP1 PEF1 -
THAP1 C20ORF94 -
THAP1 MFN1 +
THAP1 PTPLB +
THAP1 SMG5 +
THAP1 SSSCA1 -
THAP1 MRPL36 +
THAP1 AIP -
THAP1 COQ9 +
THAP1 VPS4B -
THAP1 B4GALT3 -
THAP1 HOOK2 +
THAP1 AKD1 +
THAP1 LOC100216545 +
THAP1 WDR53 +
THAP1 RPL32 +
THAP1 ZNF175 +
THAP1 ZBTB8OS -
THAP1 CLN3 -
THAP1 ZNF81 -
THAP1 STX10 -
THAP1 CIAPIN1 +
THAP1 SDF4 -
THAP1 ICMT -
THAP1 ROCK1P1 -
THAP1 TAB3 +
THAP1 GTPBP3 +
THAP1 MLL5 -
THAP1 MUTED -
THAP1 CCDC76 -
THAP1 ATPBD4 +
THAP1 CUEDC2 -
THAP1 ZNF384 -
THAP1 RNF20 -
THAP1 RSU1 +
THAP1 PRR14 +
THAP1 PTBP1 +
THAP1 TP53 +
THAP1 ZNF740 -
THAP1 SFRS18 +
THAP1 SEPT7 +
THAP1 CHMP2B -
THAP1 UBA52 +
THAP1 STK40 -
THAP1 TTC31 +
THAP1 ALG12 +
THAP1 SLC17A5 -
THAP1 UBE2M -
THAP1 C19ORF20 +
THAP1 TUBD1 -
THAP1 SIRT2 +
THAP1 ZNF689 +
THAP1 EXOSC2 -
THAP1 CENPL +
THAP1 C10ORF119 -
THAP1 RPS19 +
THAP1 C17ORF89 +
THAP1 CSAD +
NFYB KATNB1 +
NFYB HIGD1A -
NFYB ZNF92 -
NFYB HNRNPA1 +
NFYB AIMP2 +
NFYB LENG1 -
NFYB FAM83D -
NFYB EXOC4 +
NFYB HMGB2 -
NFYB H3F3B +
NFYB LOC391322 -
NFYB CEP164 +
NFYB ERV3 +
NFYB ACAP2 -
NFYB KLF10 +
NFYB MIIP +
NFYB LOC148413 -
NFYB MCM5 +
NFYB ALKBH7 -
NFYB LOC440944 -
NFYB FANCF +
NFYB ZNF564 -
NFYB FAM126A -
NFYB DCAF15 -
NFYB LOC253724 +
NFYB DCLRE1C +
NFYB SDF2L1 +
NFYB PXMP4 -
NFYB PSMA5 +
NFYB TMEM57 -
NFYB PRMT1 +
NFYB PGD +
NFYB CRYZL1 -
NFYB PTPDC1 +
NFYB ZSWIM4 -
NFYB VBP1 -
NFYB RNASEN +
NFYB EDEM3 -
NFYB GOLPH3L -
NFYB SUV420H2 -
NFYB FRYL +
NFYB YBX1 -
NFYB ZNF714 +
NFYB RNF6 +
NFYB NFKBIB +
NFYB NUDT2 -
NFYB HDGFRP2 -
NFYB SP2 -
NFYB FLJ31306 +
NFYB ING1 +
NFYB MAF1 +
NFYB ZNF555 +
NFYB SKA2 +
NFYB DYNLL1 +
NFYB LRCH4 +
NFYB MGC23284 +
NFYB BCAS3 -
NFYB CREB3L4 +
NFYB ZNF273 -
NFYB SS18L2 -
NFYB MVD -
NFYB C21ORF58 -
NFYB C17ORF56 -
NFYB MON1B +
NFYB CKS1B -
NFYB UGP2 +
NFYB ARID4A -
NFYB RAB11B +
NFYB TMEM183B +
NFYB MPZL1 +
NFYB GLO1 +
NFYB ARVCF -
NFYB C19ORF39 -
NFYB C14ORF80 -
NFYB CDC45 -
NFYB UVRAG -
NFYB ARHGAP19 -
NFYB NPHP4 -
NFYB CDCA3 -
NFYB HIST1H3B -
NFYB SHC1 -
NFYB PAK4 +
NFYB PILRB +
NFYB CCDC94 -
NFYB ZBTB5 -
NFYB HNRNPC -
NFYB CNOT3 +
NFYB PDZD7 +
NFYB FBXO24 +
NFYB SND1 +
NFYB GATAD2A +
NFYB ZNF138 +
NFYB SLC25A42 +
NFYB TMEM183A +
NFYB PRR11 +
NFYB SHARPIN -
NFYB TPCN1 -
NFYB HNRPA1L-2 +
NFYB ZNF430 +
NFYB SPRYD3 -
NFYB KPNB1 +
NFYB AK2 -
NFYB RPS6KA5 +
NFYB ZNF556 +
NFYB ZNF43 +
NFYB SLC39A1 +
NFYB HBP1 -
NFYB SARNP +
NFYB KIF24 +
NFYB ANAPC5 +
NFYB PMF1 +
NFYB FLAD1 -
NFYB DUSP10 -
NFYB CREB3L2 -
NFYB PSMB3 -
NFYB SPTLC2 -
NFYB NFYA +
NFYB PCNT -
NFYB ZNF718 +
NFYB MXD1 -
NFYB SON -
NFYB MCCC1 +
NFYB ZNF675 +
NFYB NUBP2 -
NFYB RHEB -
NFYB IQCD +
NFYB YIF1A -
NFYB RAB3A +
NFYB ANP32E +
NFYB DCUN1D4 +
NFYB PRKACA +
