source target sign
RPF2 CEP57 +
RPF2 AMDHD2 -
RPF2 DYRK1B -
RPF2 ISY1 +
RPF2 TTLL11 -
JHDM1D SCLT1 -
JHDM1D MLL +
JHDM1D FIBCD1 -
JHDM1D LEMD3 +
TSEN34 NCRNA00169 -
TSEN34 IFI27 -
TSEN34 MAPRE1 -
ZNF784 TFAM +
ZNF784 RYR1 -
ZNF784 SLC36A1 -
LOC285847 TRAPPC6A -
LOC285847 NKIRAS2 +
LOC285847 GSTA4 -
LOC285847 STX12 +
NDUFA13 MYH9 -
NDUFA13 KATNB1 -
NDUFA13 SNORD96A -
TP53BP2 ATP6V1B2 -
TP53BP2 HNRPDL +
TP53BP2 LTA4H -
SHC1 GOT1 -
SUPT3H FNTA -
LAG3 HOOK2 -
LAG3 PLEC +
LAG3 POLD1 -
LAG3 NPR1 -
ZNF300 PTCD3 -
ZNF300 NUP35 +
UNC45B FAM135A +
NPR1 CFL1 +
ING1 TPT1 +
ING1 ACTL6A +
ZNF76 CPEB4 -
ZNF76 VPS16 -
ZNF76 TMEM131 -
WEE1 SFRS18 +
WEE1 LENG8 -
TACO1 WBP4 +
TACO1 TMEM140 -
PXN NEURL2 +
C1ORF86 HEMGN -
C1ORF86 QRICH1 -
HPS1 ZBTB4 +
HPS1 COTL1 -
DCUN1D4 PWWP2A -
DCUN1D4 MAP1LC3B2 -
DCUN1D4 MBOAT7 +
CCDC132 CAPN2 -
CCDC132 ARL8B -
SNORD28 SNORD27 +
SNORD28 RNF6 +
HGS HNRPDL -
SSR3 UGP2 -
SSR3 RNF139 +
SSR3 TMEM208 -
RNF20 NCAPG2 -
RNF20 SEZ6L2 -
RNF20 C17ORF63 -
CSRNP1 PXT1 -
CSRNP1 AATF +
FAM119B GLA -
FAM119B VILL -
FAM119B GALNT10 +
FAM119B ZSCAN12 -
GABPB1 DYRK3 +
RFWD2 OR2L13 -
RFWD2 RINT1 +
RFWD2 ZNF346 -
VBP1 PRKAB1 +
VBP1 SNORD5 -
C19ORF48 CELSR3 +
C19ORF48 SUPT3H +
