source target sign
FOSL1 NFE2L2 +
FOSL1 UBC -
FOSL1 TRIM41 +
FOSL1 CABC1 -
FOSL1 PHF19 +
FOSL1 MSH5 -
FOSL1 ZNF689 -
FOSL1 TXNRD2 +
FOSL1 SNHG3-RCC1 -
FOSL1 FBXW4P1 -
FOSL1 P2RX6 -
FOSL1 YPEL1 -
FOSL1 SDF2L1 -
FOSL1 AIF1L -
FOSL1 CCDC116 +
FOSL1 CDC45 -
FOSL1 SNAP29 +
FOSL1 TOP3B +
FOSL1 HIRA -
FOSL1 C6ORF47 -
FOSL1 CSNK2B +
FOSL1 LAMC3 +
FOSL1 PDE4DIP +
FOSL1 PCNT +
FOSL1 GP1BB +
FOSL1 TRMT2A -
FOSL1 SNHG3 -
FOSL1 FIBCD1 +
FOSL1 QRFP +
FOSL1 ENO1 +
FOSL1 GNB1L +
FOSL1 PPIL2 +
FOSL1 C22ORF29 +
FOSL1 HIST2H2BE -
FOSL1 MED15 -
FOSL1 GTF2F1 -
FOSL1 ZNF280B +
FOSL1 BAT4 +
FOSL1 ANKRD30BL +
FOSL1 MST1P2 -
FOSL1 NEU1 +
FOSL1 C22ORF25 +
FOSL1 ABL1 -
FOSL1 HIST1H2BO -
FOSL1 RCC1 +
FOSL1 SLC25A1 -
FOSL1 UBE2L3 -
FOSL1 NBPF1 +
FOSL1 BCLAF1 -
FOSL1 SNHG1 +
FOSL1 PPM1F +
FOSL1 NUP214 +
FOSL1 LYL1 -
FOSL1 ZNF280A +
FOSL1 EPB41 +
FOSL1 KLHL22 +
FOSL1 MTHFR -
FOSL1 PI4KA -
FOSL1 BCR +
FOSL1 PRAME +
FOSL1 CRKL +
FOSL1 ZNF595 -
FOSL1 ZNF74 -
FOSL1 MRPL40 +
FOSL1 RNU12 -
FOSL1 DDAH2 +
FOSL1 FLJ39582 +
FOSL1 LOC648691 -
FOSL1 RNU4ATAC +
FOSL1 MGC16703 +
FOSL1 FLJ35776 -
FOSL1 RAB36 -
FOSL1 COMT +
FOSL1 INSIG1 +
FOSL1 LZTR1 -
FOSL1 CLCN6 -
FOSL1 GNAZ +
FOSL1 UFD1L -
FOSL1 FANK1 +
FOSL1 CROCCL1 +
FOSL1 RTDR1 +
FOSL1 ZNF718 +
FOSL1 PMF1 +
FOSL1 SEPT5 +
FOSL1 FAM78A -
FOSL1 RANBP1 +
FOSL1 CLIC1 -
FOSL1 ROCK1P1 +
FOSL1 THAP7 -
FOSL1 SERPIND1 +
FOSL1 HBP1 -
FOSL1 MAPK1 +
FOSL1 DGCR8 +
FOSL1 YDJC +
FOSL1 ARVCF -
FOSL1 SDF4 +
FOSL1 HIST1H2AG -
USF2 PMF1 +
USF2 CLCN6 -
USF2 MPV17L2 +
USF2 KLHDC10 -
USF2 ABL1 +
USF2 TMEM57 +
USF2 HPS5 -
USF2 FRS3 +
USF2 SIRT2 +
USF2 ATP6V0D1 -
USF2 NUP214 -
USF2 JUND -
USF2 PI4KA -
USF2 BCR -
USF2 RBM15 +
USF2 CUTA -
USF2 KLHL22 +
USF2 FIBCD1 -
USF2 YBX1 +
USF2 ZNF280A -
USF2 LAMP1 +
USF2 FBXW4P1 -
USF2 PRAME -
USF2 PCNT +
USF2 GTF2H1 +
USF2 YPEL1 -
USF2 SDF2L1 -
USF2 AIF1L +
USF2 CCDC116 -
USF2 TOP3B -
USF2 EIF2AK3 -
USF2 KIAA0415 +
USF2 C6ORF47 -
USF2 NBPF1 +
USF2 LAMC3 -
USF2 PDE4DIP -
USF2 C1ORF55 +
USF2 LOC648691 +
USF2 ZBTB33 +
USF2 PSMB3 +
USF2 HIST1H4I +
USF2 IGLL5 +
USF2 HNRPA1L-2 +
USF2 ILF3 +
USF2 PPIL2 +
USF2 ATP6V0B -
USF2 QRFP -
USF2 RTDR1 -
USF2 ZNF718 +
USF2 RAB36 +
USF2 GET4 -
USF2 YDJC +
USF2 FAM21C +
USF2 LOC147727 +
USF2 SNAP29 -
USF2 ZNF280B -
USF2 ROCK1P1 -
USF2 MTHFR +
USF2 ANKRD30BL -
USF2 ZNF595 -
USF2 MAPK1 -
USF2 BAX -
USF2 KAT5 -
USF2 CDK4 -
USF2 C17ORF56 -
USF2 TOMM40 +
NUBP2 HIST1H2BN +
NUBP2 DOLPP1 +
NUBP2 HIST1H3B +
NUBP2 KATNB1 -
NUBP2 BRF2 -
NUBP2 RDBP +
NUBP2 HIST1H2AE +
NUBP2 SNORD48 -
NUBP2 EGR1 -
NUBP2 LOC148413 -
NUBP2 MYST4 -
NUBP2 ZNF74 -
NUBP2 ZBTB37 -
NUBP2 NFE2L2 +
NUBP2 ZNF3 +
ENO1 FAM21C -
ENO1 NPHP4 +
ENO1 SNORD52 +
ENO1 HIST1H2BD -
ENO1 HIST2H2BE -
ENO1 SERPIND1 +
ENO1 IGLL5 -
ENO1 WDR74 +
ENO1 MLL5 +
ENO1 ZNF3 +
ENO1 SNORD26 -
ENO1 ANK1 -
ENO1 RPS11 +
ENO1 H3F3B +
ENO1 TOP3B +
HIST2H2BE KIAA0415 -
HIST2H2BE HNRNPUL1 +
HIST2H2BE NME1 +
HIST2H2BE FLJ39582 +
HIST2H2BE DNM1 -
HIST2H2BE MTHFR +
HIST2H2BE DPP9 +
HIST2H2BE TRMT2A -
HIST2H2BE CLIC1 +
HIST2H2BE HIST1H4B +
HIST2H2BE VARS +
HIST2H2BE AKAP8L +
HIST2H2BE CCDC124 +
HIST2H2BE ERV3 -
HIST2H2BE TOM1L2 +
HIST2H2BE HNRPA1L-2 +
