source target sign
IFI35 C4ORF34 -
IFI35 COL16A1 -
NCRNA00095 RPS15 -
NCRNA00095 EXOC2 -
NCRNA00095 TTC17 -
NCRNA00095 PLEKHM2 -
NCRNA00095 DCLRE1C -
NCRNA00095 ZNF714 +
CHAF1A HEXA -
CHAF1A RTN4R +
CHCHD5 PABPN1L -
CHCHD5 MBLAC2 -
ATP6V1F EIF4E2 +
ATP6V1F PARD6B +
ATP6V1F NAE1 -
ATP6V1F CLPB +
CRK RPS29 +
CRK BPGM +
CRK FAM172A -
ZNF16 TRIM25 -
ZNF16 ZC3H18 -
ZNF16 SRXN1 +
ZNF16 STX6 -
TRUB2 AKAP8L +
TRUB2 KCNH2 -
TRUB2 RP9P +
TRUB2 GPR172A -
TRUB2 ULK4 -
OSBPL2 RPLP0 +
C12ORF11 NKTR -
TBC1D22B RDBP -
TBC1D22B PMS2 +
TBC1D22B TXNDC5 -
TBC1D22B C11ORF35 +
TBC1D22B POP1 +
GRK6 CCDC47 +
GRK6 LOC647979 +
GRK6 MIIP +
GRK6 TGM2 +
GRK6 MCL1 +
RAD23A SNORD30 +
RAD23A CDCA7 -
SYPL1 IFIT3 +
SYPL1 ZNF714 +
SYPL1 C2ORF28 +
TRAPPC6A NPPB -
TRAPPC6A GALT +
TRAPPC6A RNF157 +
ADAMTSL5 WDR53 +
ADAMTSL5 PSMD11 +
ADAMTSL5 FBXO5 -
POLE3 RCOR2 +
MAP2K1 LPIN3 +
MAP2K1 SLC45A3 -
MAP2K1 MEGF8 -
STK17A PMPCB +
STK17A C1ORF124 -
RBM16 URGCP +
RBM16 DUSP10 +
RBM16 SLC7A5P2 +
RBM16 FYN -
RBM16 HIST1H2BK -
C15ORF40 DDX11L2 -
C15ORF40 LOC729991 -
EPM2AIP1 SNORD45C +
EPM2AIP1 ZNF485 +
ROBLD3 HCG11 +
ROBLD3 ZSCAN22 +
ROBLD3 KIF2A -
HIPK2 ZNF33B -
HIPK2 PHC3 +
HIPK2 WTAP +
HIPK2 RWDD3 -
SLC37A4 C11ORF35 +
HOXB2 RPL41 +
BEST1 ATL3 +
MYST4 CCDC142 -
MYST4 PFDN6 -
MYST4 EIF2C3 +
MDM4 TRIM69 -
AP3B2 VPS16 -
AP3B2 MRPL24 +
AP3B2 SNORD35B +
RPL14 ZDHHC5 -
RPL14 DEDD -
RPL14 CDC20 +
RPL14 RTN2 +
TGM2 PEX14 -
TGM2 ERI1 -
NLRC5 DEDD2 +
SP3 BBC3 +
SP3 SLC6A9 +
C1ORF159 DBNDD1 +
C1ORF159 ITSN1 -
HSPA9 RPL37 -
HSPA9 P4HA1 +
PRR7 FAM118B +
PRR7 NEK8 +
PRR7 AP2M1 -
PRR7 GMPR -
PRR7 AP2S1 +
FAM100B UBAP2 +
CRADD VILL -
CRADD CP110 +
CRADD PBX2 -
CRADD PYCR2 +
RAB6A ACPT -
RAB6A IMMT -
PNKP C20ORF24 -
PNKP IFITM3 -
PNKP TMEM107 -
TOM1L2 NSUN2 +
TOM1L2 ZFYVE28 -
TOM1L2 ARRDC2 +
DNMT3A DNMT3A +
DNMT3A HINFP +
DNMT3A CFDP1 +
DNMT3A CUEDC2 +
NR6A1 ACTR1B +
NR6A1 FKBP2 +
RNFT2 CEP290 -
RNFT2 CTCFL +
TAF4B ZNF193 +
TAF4B RNF157 +
TAF4B ZFYVE28 -
TAF4B SPHK2 -
TAF4B ARHGEF18 -
TAF4B SMAD6 +
PAK1IP1 ARL3 +
PAK1IP1 SIK2 -
C11ORF59 TXNRD2 -
C11ORF59 SLC35A5 +
C11ORF59 ATG4C -
C11ORF59 ERCC6 -
LOC148413 RBM34 -
LOC148413 POLR3G -
LOC148413 METAP1 -
LOC148413 SPRED2 -
COPS6 PUF60 +
COPS6 GTF2H3 -
COPS6 ABCA2 -
COPS6 ERI1 -
ZNF8 RNF185 -
ZNF8 EIF3G +
ZNF8 TNPO3 -
SLC25A42 TBC1D2 +
SLC25A42 ACTB +
METTL2B RAB7A +
METTL2B ACBD4 -
METTL2B P2RX6 +
METTL2B MED23 +
METTL2B DNAJA3 -
N6AMT1 KIAA1908 +
C16ORF53 C9ORF16 -
PRMT1 MYNN +
PRMT1 TSEN2 -
GTF3C6 AKR7A2 +
GTF3C6 COMMD2 +
GTF3C6 MUL1 -
RBPJL AHDC1 -
RBPJL SLC9A1 -
RBPJL SDCCAG1 -
SDF2L1 PPRC1 +
CLUL1 PDP2 -
WRN E2F2 +
WRN FAM24A +
WRN PANK3 -
PSMB9 HAGH +
MED19 IGSF8 -
MED19 ZBTB4 -
MED19 SOCS5 +
RAB3GAP2 ZFP91-CNTF -
MEX3D EPS15 -
MEX3D RPS6KA5 +
MEX3D PFDN5 -
PSMD9 RPS20 +
PSMD9 FBXW4P1 +
SNORD96A MAP1LC3B +
SNORD96A GPBP1L1 -
TTF1 MON1B +
TTF1 MVD +
TTF1 BTG2 +
TTF1 ZNF644 -
CFL1 ASNSD1 -
CFL1 PPP1R14B -
CFL1 SEC22B -
CFL1 ADCY7 +
ID3 FAF1 -
ID3 ATP6V1H +
ID3 SNORD76 -
C10ORF88 IRF9 +
C10ORF88 LARS2 -
C10ORF88 ZNF8 -
HNRNPAB SNORD32A +
HNRNPAB UBFD1 -
E2F6 DAGLB -
E2F6 MYEOV2 +
E2F6 TRIM37 -
KIAA1715 AP4B1 -
RSL1D1 MYST4 -
SFRS9 SLC36A1 -
SFRS9 PANK4 -
NR1D1 UCKL1 -
NR1D1 XPO7 +
NR1D1 SNORA57 -
NR1D1 NPTN -
NR1D1 BRD2 -
NR1D1 HEXA +
NR1D1 WDR27 +
SNHG12 RCAN1 +
SNHG12 PURG +
SNHG12 ANK1 -
NAB1 ZNF614 +
NAB1 C2ORF79 -
ZNF431 DRAM1 -
ZNF431 EHBP1 +
THRAP3 PIH1D1 +
THRAP3 SCGB1C1 -
THRAP3 TTC9B -
THRAP3 ZNF431 -
THRAP3 MARCH7 -
