IRF1 	AAGAB 	
CEBPB 	AARS 	
FOS 	AARS 	
CTCF 	AARS2 	
CTCF 	AARS2 	
E2F6 	AATF 	
ELF1 	AATF 	
FOS 	ABCA11P 	
CTCFL 	ABCA17P 	
E2F6 	ABCA17P 	
MAX 	ABCA17P 	
CTCF 	ABCA17P 	
MAX 	ABCA17P 	
CTCF 	ABCA2 	
CTCF 	ABCA2 	
CTCFL 	ABCA3 	
E2F6 	ABCA3 	
MAX 	ABCA3 	
CTCF 	ABCA3 	
MAX 	ABCA3 	
TAL1 	ABCA7 	
GATA2 	ABCB10 	
ZBTB7A 	ABCB10 	
MXI1 	ABCB10 	
TAL1 	ABCB10 	
SP1 	ABCB8 	
SP2 	ABCB8 	
FOS 	ABCB8 	
IRF1 	ABCB8 	
NFYA 	ABCB8 	
NFYB 	ABCB8 	
MAX 	ABCF1 	
MYC 	ABCF1 	
MYC 	ABCF1 	
MYC 	ABCF1 	
MYC 	ABCF1 	
MAX 	ABCF1 	
SIX5 	ABCF2 	
CEBPB 	ABCF2 	
NRF1 	ABCF3 	
SP1 	ABHD2 	
SP2 	ABHD2 	
IRF1 	ABHD2 	
CCNT2 	ABHD5 	
NRF1 	ABHD5 	
BCL3 	ABL1 	
FOSL1 	ABL1 	
GATA2 	ABL1 	
HDAC2 	ABL1 	
ZBTB33 	ABL1 	
ATF3 	ABL1 	
BDP1 	ABL1 	
BRF1 	ABL1 	
BRF2 	ABL1 	
SMARCA4 	ABL1 	
JUN 	ABL1 	
JUN 	ABL1 	
GTF2F1 	ABL1 	
SMARCB1 	ABL1 	
IRF1 	ABL1 	
MAFK 	ABL1 	
RDBP 	ABL1 	
NRF1 	ABL1 	
EP300 	ABL1 	
RAD21 	ABL1 	
SIRT6 	ABL1 	
SMC3 	ABL1 	
STAT1 	ABL1 	
STAT1 	ABL1 	
USF2 	ABL1 	
XRCC4 	ABL1 	
CEBPB 	ABLIM2 	
SPI1 	ABT1 	
CEBPB 	ABT1 	
GTF2B 	ABT1 	
SPI1 	ACAA1 	
ELF1 	ACAD10 	
E2F6 	ACAD9 	
SP2 	ACAP2 	
NFYA 	ACAP2 	
NFYB 	ACAP2 	
CEBPB 	ACAP3 	
RAD21 	ACBD4 	
ZBTB7A 	ACBD4 	
CTCF 	ACBD4 	
CTCF 	ACBD4 	
ELF1 	ACBD5 	
GATA2 	ACCN2 	
TAL1 	ACCN2 	
SIX5 	ACCN3 	
CCNT2 	ACCN4 	
TAL1 	ACCN4 	
SPI1 	ACHE 	
ZBTB7A 	ACHE 	
IRF1 	ACLY 	
GABPA 	ACOT8 	
SP2 	ACOT8 	
FOS 	ACOT8 	
NFYA 	ACOT8 	
NFYB 	ACOT8 	
GABPA 	ACP2 	
YY1 	ACP2 	
YY1 	ACP2 	
BCL3 	ACPT 	
GABPA 	ACSF3 	
EGR1 	ACSL4 	
BCL3 	ACTB 	
BCLAF1 	ACTB 	
ETS1 	ACTB 	
SIN3A 	ACTB 	
SRF 	ACTB 	
ZBTB33 	ACTB 	
ZBTB7A 	ACTB 	
SMARCA4 	ACTB 	
CCNT2 	ACTB 	
HMGN3 	ACTB 	
SMARCB1 	ACTB 	
SRF 	ACTG1 	
ZBTB7A 	ACTG1 	
FOS 	ACTL6A 	
EGR1 	ACTL6B 	
REST 	ACTL6B 	
E2F6 	ACTN2 	
SIX5 	ACTR1A 	
JUN 	ACTR1B 	
THAP1 	ACTR3B 	
YY1 	ACTR3B 	
ZBTB7A 	ACTR3C 	
THAP1 	ACTR8 	
ZBTB7A 	ADAMTSL4 	
ZBTB7A 	ADAMTSL5 	
EGR1 	ADAR 	
STAT1 	ADAR 	
STAT1 	ADAR 	
STAT2 	ADAR 	
STAT2 	ADAR 	
BCL3 	ADARB1 	
TAF7 	ADARB1 	
CCNT2 	ADARB1 	
HMGN3 	ADARB1 	
CHD2 	ADAT1 	
GTF2B 	ADAT3 	
GTF2B 	ADCK4 	
RAD21 	ADCK5 	
SPI1 	ADCY7 	
ZBTB7A 	ADD1 	
NRF1 	ADI1 	
YY1 	ADK 	
YY1 	ADK 	
ELF1 	ADPGK 	
ELF1 	ADPRHL1 	
GABPA 	ADPRHL1 	
CTCFL 	ADPRHL2 	
GABPA 	ADPRHL2 	
SP2 	ADPRHL2 	
CTCF 	ADPRHL2 	
EGR1 	ADRM1 	
SP2 	ADRM1 	
USF1 	AFF4 	
THAP1 	AFTPH 	
ZBTB7A 	AGAP3 	
CHD2 	AGBL3 	
BDP1 	AGBL5 	
POLR3A 	AGBL5 	
GTF2B 	AGBL5 	
EGR1 	AGFG2 	
FOS 	AGFG2 	
NFYA 	AGFG2 	
NFYB 	AGFG2 	
SP1 	AGPAT1 	
SP2 	AGPAT1 	
FOS 	AGPAT1 	
NFYA 	AGPAT1 	
NFYB 	AGPAT1 	
STAT1 	AGRN 	
STAT1 	AGRN 	
STAT2 	AGRN 	
STAT2 	AGRN 	
USF1 	AGTRAP 	
RAD21 	AHCY 	
RAD21 	AHCYL1 	
THAP1 	AHCYL1 	
CTCF 	AHCYL1 	
SMC3 	AHCYL1 	
SIX5 	AHCYL2 	
CTCF 	AHCYL2 	
CTCF 	AHCYL2 	
RAD21 	AHDC1 	
ELF1 	AIDA 	
YY1 	AIDA 	
YY1 	AIDA 	
BCL3 	AIF1L 	
CTCFL 	AIF1L 	
ETS1 	AIF1L 	
FOSL1 	AIF1L 	
GATA2 	AIF1L 	
HDAC2 	AIF1L 	
SPI1 	AIF1L 	
RAD21 	AIF1L 	
SIX5 	AIF1L 	
SRF 	AIF1L 	
ZBTB33 	AIF1L 	
ZBTB7A 	AIF1L 	
ATF3 	AIF1L 	
BDP1 	AIF1L 	
BRF1 	AIF1L 	
BRF2 	AIF1L 	
GTF2F1 	AIF1L 	
HMGN3 	AIF1L 	
JUND 	AIF1L 	
MAFK 	AIF1L 	
RDBP 	AIF1L 	
NFE2 	AIF1L 	
EP300 	AIF1L 	
RAD21 	AIF1L 	
SMC3 	AIF1L 	
STAT1 	AIF1L 	
USF2 	AIF1L 	
XRCC4 	AIF1L 	
SRF 	AIM2 	
STAT1 	AIM2 	
MAX 	AIMP2 	
MYC 	AIMP2 	
MYC 	AIMP2 	
MYC 	AIMP2 	
NFYA 	AIMP2 	
NFYB 	AIMP2 	
E2F6 	AIP 	
THAP1 	AIP 	
YY1 	AIP 	
YY1 	AIP 	
E2F6 	AK2 	
MAX 	AK2 	
SP1 	AK2 	
SP2 	AK2 	
FOS 	AK2 	
NFYA 	AK2 	
NFYB 	AK2 	
CHD2 	AKAP1 	
CHD2 	AKAP11 	
NFYB 	AKAP8 	
SP1 	AKAP8L 	
SP2 	AKAP8L 	
FOS 	AKAP8L 	
IRF1 	AKAP8L 	
NFYA 	AKAP8L 	
NFYB 	AKAP8L 	
THAP1 	AKD1 	
MAX 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
NFYB 	AKR1E2 	
E2F6 	AKR7A2 	
EGR1 	AKR7A2 	
THAP1 	AKT1S1 	
USF1 	AKT1S1 	
YY1 	AKT1S1 	
YY1 	AKT1S1 	
IRF1 	AKT1S1 	
MAX 	AKT1S1 	
NFYB 	AKTIP 	
GTF2B 	ALDH16A1 	
SPI1 	ALDH2 	
E2F6 	ALDOA 	
IRF1 	ALDOC 	
THAP1 	ALG12 	
YY1 	ALG12 	
MYC 	ALG3 	
CEBPB 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
E2F6 	ALG8 	
THAP1 	ALG8 	
NRF1 	ALG8 	
GABPA 	ALKBH3 	
EGR1 	ALKBH4 	
IRF1 	ALKBH6 	
SP1 	ALKBH7 	
SP2 	ALKBH7 	
FOS 	ALKBH7 	
NFYA 	ALKBH7 	
NFYB 	ALKBH7 	
BDP1 	ALOXE3 	
POLR3A 	ALOXE3 	
GTF2B 	ALOXE3 	
GTF2B 	AMD1 	
USF1 	AMDHD2 	
MAX 	AMDHD2 	
NFE2 	AMDHD2 	
USF2 	AMDHD2 	
MYC 	AMPD2 	
EGR1 	AMZ2P1 	
MYC 	ANAPC10 	
MYC 	ANAPC10 	
MYC 	ANAPC10 	
RAD21 	ANAPC2 	
SRF 	ANAPC2 	
ATF3 	ANAPC2 	
USF1 	ANAPC5 	
NFYA 	ANAPC5 	
NFYB 	ANAPC5 	
BDP1 	ANG 	
POLR3A 	ANG 	
GTF2B 	ANG 	
THAP1 	ANGEL2 	
YY1 	ANGEL2 	
