source target sign
TCF4 KRT39 -
TCF4 CYB5R4 -
TCF4 FUNDC2 -
TCF4 RHBDF2 -
TCF4 AXIN2 -
TCF4 SRP54 -
TCF4 FAM176A +
TCF4 GIP +
TCF4 DIAPH2 +
TCF4 NSMCE1 -
TCF4 EEF1D +
TCF4 RGNEF -
TCF4 ZNF292 +
TCF4 ADK +
TCF4 RPS27 +
TCF4 MEG3 +
TCF4 KLF10 -
TCF4 UGT2B10 -
TCF4 C22ORF28 +
TCF4 TCF7L2 -
TCF4 RBMS1 -
TCF4 PIM1 +
TCF4 HNRPLL -
TCF4 SMAD6 -
TCF4 ROCK2 -
TCF4 TACC1 +
TCF4 UGT1A1 +
TCF4 ZNF503 -
TCF4 TCF7 +
TCF4 BCL2L1 +
TCF4 CGB1 -
TCF4 KDM1A +
TCF4 MTSS1L -
TCF4 HN1L -
TCF4 PLK1S1 +
TCF4 APOC1P1 +
TCF4 DCP1B +
TCF4 SLC16A11 -
TCF4 SLC25A36 +
TCF4 FAM82A1 +
TCF4 TMEM41B -
TCF4 IRAK1BP1 -
TCF4 CDIPT +
TCF4 TUBB1 +
TCF4 YAP1 +
TCF4 MYO9B +
TCF4 TGIF1 -
TCF4 INSIG2 +
TCF4 FAM36A +
TCF4 ZNF703 +
TCF4 AMOTL2 +
TCF4 CCDC38 -
TCF4 TAGLN2 +
TCF4 TMEM177 +
TCF4 SLC7A6 +
TCF4 HIVEP1 +
TCF4 DHRS2 -
TCF4 PCNAP1 -
TCF4 GORAB +
TCF4 AGPAT6 +
TCF4 CS +
TCF4 NCRNA00176 +
TCF4 SLC6A12 -
TCF4 SLC2A8 -
TCF4 MAGED2 -
TCF4 EGR3 +
TCF4 SP5 +
TCF4 ACTR1A -
TCF4 RHOBTB3 -
TCF4 VPS37B +
TCF4 FGA +
TCF4 CKS1B +
TCF4 CCDC53 -
TCF4 APOH -
TCF4 PSMD8 +
TCF4 C7ORF64 -
TCF4 C10ORF88 +
TCF4 NR0B2 +
TCF4 PASK -
TCF4 MED1 +
TCF4 ASPSCR1 -
TCF4 SEMA7A -
TCF4 SNAR-G1 +
TCF4 AMDHD1 -
TCF4 HNF4A +
TCF4 HRH1 +
TCF4 CDK12 +
TCF4 PTPRG -
TCF4 A2M -
TCF4 AP4B1 +
TCF4 DHRS4L1 -
TCF4 ZMIZ1 -
TCF4 FNIP1 -
TCF4 SRD5A3 +
TCF4 FAM169A +
TCF4 FBXO31 -
TCF4 APTX +
TCF4 FLJ13224 -
TCF4 ZNF451 +
TCF4 TGFBR2 -
TCF4 TNFRSF19 +
TCF4 PRPF8 +
TCF4 LY75 +
TCF4 EIF2B4 +
TCF4 FAM3B -
TCF4 SSR2 +
TCF4 ATOH8 -
TCF4 CCL20 +
TCF4 PFDN4 +
TCF4 TUBB3 -
TCF4 MYADM +
TCF4 AP3M1 -
TCF4 PRKAR1A +
TCF4 LOC344887 +
TCF4 NR4A1 -
TCF4 TMX4 -
TCF4 C17ORF103 -
TCF4 CPLX2 -
TCF4 TIAL1 +
TCF4 CCDC88A +
TCF4 SPATA12 +
TCF4 HS6ST1 +
TCF4 KRTAP5-6 +
TCF4 AKT2 +
TCF4 PAAF1 +
TCF4 PLEKHA9 -
TCF4 SKA2 -
TCF4 ZNF563 -
TCF4 UBL7 +
TCF4 FABP1 +
TCF4 SFRS1 -
TCF4 BHLHE40 +
TCF4 GDF15 +
TCF4 MTF2 -
TCF4 CMIP +
TCF4 IGFBP1 +
TCF4 POR -
TCF4 SLC17A2 +
TCF4 RAB13 +
TCF4 SOCS2 -
TCF4 RHBG +
TCF4 GPR171 -
TCF4 PDIA4 +
TCF4 CLIC1 +
TCF4 ACVR1C +
TCF4 SLC16A3 -
TCF4 C10ORF11 +
TCF4 JUB -
TCF4 TMEM51 -
TCF4 BPIL1 +
TCF4 C1ORF183 -
TCF4 ETV4 +
TCF4 FMNL2 +
TCF4 TH1L +
TCF4 GLT8D1 -
TCF4 HAUS8 -
TCF4 OGDH -
TCF4 CUEDC2 +
TCF4 PUM1 -
TCF4 NFE2 +
TCF4 TMEM60 +
TCF4 ARPP19 -
TCF4 SNX5 -
TCF4 GRAMD1A +
TCF4 ANKRD46 -
TCF4 MT1X +
TCF4 HSF2BP -
TCF4 TNRC18 -
TCF4 NEK10 -
TCF4 C6ORF1 +
TCF4 SRC -
TCF4 TMEM212 -
TCF4 TMEM123 -
TCF4 AFP -
TCF4 NKD1 +
TCF4 ZNF827 -
TCF4 CPPED1 -
TCF4 SAMHD1 +
TCF4 TMEM161A -
TCF4 LOC84931 +
TCF4 FOXRED2 +
TCF4 SPCS1 -
TCF4 IDI1 +
TCF4 BCS1L +
TCF4 C9ORF3 -
TCF4 CTSZ +
TCF4 CDC14B -
TCF4 FGG -
TCF4 NODAL -
TCF4 IL1R1 -
TCF4 ZFHX3 -
TCF4 SNAPC3 +
TCF4 MGST2 -
TCF4 DDX5 -
TCF4 NFE2L2 +
TCF4 DKK1 +
TCF4 RALGAPA1 -
TCF4 ARSB +
TCF4 HECTD1 +
TCF4 VPS13C -
TCF4 FOXA1 -
TCF4 LOC221710 +
TCF4 APOA2 -
TCF4 C17ORF37 -
TCF4 KIAA0174 -
TCF4 ASGR1 -
TCF4 IER5L +
TCF4 PGC -
TCF4 SLCO2B1 +
TCF4 KIF2A -
TCF4 TIGD5 -
TCF4 GRB7 +
TCF4 SECTM1 +
TCF4 ROCK1P1 +
TCF4 GOSR2 +
TCF4 C1ORF126 -
TCF4 SPINK1 -
TCF4 DUSP4 -
TCF4 HNRNPUL1 -
TCF4 MSH5 +
TCF4 TM4SF1 +
TCF4 ZNF142 -
TCF4 GGH -
TCF4 GCNT1 -
TCF4 NUP155 +
TCF4 B3GALT1 -
TCF4 MNT -
TCF4 HSDL1 +
TCF4 DNAJB3 +
TCF4 MAD2L1BP +
TCF4 C1GALT1 +
TCF4 DUSP6 +
TCF4 ID1 +
TCF4 ALG9 -
TCF4 SNX17 +
TCF4 NARF -
TCF4 SUN5 +
TCF4 TRIM52 -
TCF4 FAM100B +
TCF4 SPATS2L -
TCF4 TLE3 -
TCF4 CEP63 +
TCF4 DCXR -
TCF4 NFKBIA -
TCF4 NR1D1 -
TCF4 IRF2BP2 -
TCF4 C6ORF223 +
TCF4 DSP +
TCF4 C5ORF4 -
TCF4 LOC283050 -
TCF4 PPID +
TCF4 CDK5 -
TCF4 NBPF1 +
TCF4 LRRC50 +
TCF4 COG1 +
TCF4 ANAPC13 -
TCF4 ATF2 +
TCF4 SLC25A10 +
TCF4 LOC440925 +
TCF4 LGR5 +
TCF4 RFFL -
TCF4 SLC7A5 -
TCF4 S100A10 +
TCF4 CPB2 +
TCF4 SUPT4H1 +
TCF4 BAHCC1 -
TCF4 KRTAP3-1 +
TCF4 FGF18 +
TCF4 KIAA0427 -
TCF4 PCNP -
TCF4 NCRNA00245 +
TCF4 CLDN2 +
TCF4 YAF2 -
TCF4 ANG +
TCF4 THAP1 +
TCF4 GREB1 -
TCF4 ZNF193 +
TCF4 GPR126 -
TCF4 GUK1 +
TCF4 LOC440356 -
TCF4 TMEM143 +
TCF4 SURF4 +
TCF4 EIF2C2 +
TCF4 CHCHD8 -
TCF4 MKL1 +
TCF4 PSMA6 -
TCF4 TES -
TCF4 SMYD2 +
TCF4 PAM +
TCF4 PHTF2 +
TCF4 MLLT6 +
TCF4 PPP1R12B +
TCF4 MBL2 -
TCF4 HES1 -
TCF4 MAP1LC3B +
TCF4 C2CD4A -
TCF4 TOMM40L -
TCF4 NCRNA00271 +
TCF4 SERPINA11 -
TCF4 HK2 +
TCF4 ITIH2 -
TCF4 CCDC142 +
TCF4 ZNRF3 +
TCF4 RNASE8 -
TCF4 FAM99B -
TCF4 AHI1 -
TCF4 NOTUM +
TCF4 GPX2 +
TCF4 ZNF823 -
TCF4 SLC7A5P2 +
TCF4 FAM102A +
TCF4 PSD3 +
TCF4 NEDD9 +
TCF4 RNASE4 +
TCF4 ZFAND2A +
TCF4 AHSG +
TCF4 SP9 -
TCF4 SH3BGRL2 +
TCF4 DCLRE1B -
TCF4 AGT +
TCF4 PEX1 -
TCF4 CCL16 +
TCF4 LOC400752 +
TCF4 SLC25A28 +
TCF4 PHOSPHO1 +
TCF4 FUNDC2P2 -
TCF4 RRP7A +
TCF4 C9ORF46 +
TCF4 MC1R +
TCF4 STAU1 +
TCF4 ZBED5 +
TCF4 SEPT9 -
TCF4 SERPINA1 +
TCF4 ZNF217 -
TCF4 SGPP1 -
TCF4 SP8 -
TCF4 SMURF2 -
TCF4 HNMT -
TCF4 HINT3 +
TCF4 KIAA1712 -
TCF4 ABHD12B +
TCF4 C12ORF35 -
TCF4 NR4A2 -
TCF4 MDM4 -
TCF4 ZNF385B +
TCF4 NCRNA00263 +
TCF4 SHC1 +
TCF4 RRP1B -
TCF4 SYNGR4 +
TCF4 HSPA4 -
TCF4 RBM6 +
TCF4 APOB -
TCF4 PLA2G2E +
TCF4 ZKSCAN5 +
TCF4 ZWINT -
TCF4 LOC100131496 -
TCF4 SNORD17 +
TCF4 CSNK1A1 +
TCF4 ZNF775 -
TCF4 PTCHD2 -
TCF4 INPP5D -
TCF4 AHDC1 +
TCF4 TTC31 -
TCF4 MATN3 +
TCF4 CCND1 -
TCF4 RRBP1 +
TCF4 SLC7A5P1 +
TCF4 ATR +
TCF4 SMAD3 -
TCF4 ANO6 +
TCF4 CRLS1 -
TCF4 CA5A -
TCF4 PEMT -
TCF4 LOC401242 -
TCF4 PCM1 +
TCF4 SMPD3 -
TCF4 ETFB +
NFYB KATNB1 -
NFYB HIGD1A +
NFYB FLAD1 +
NFYB HNRNPA1 -
NFYB AIMP2 +
NFYB LENG1 +
NFYB FAM83D +
NFYB EXOC4 -
NFYB HMGB2 -
NFYB H3F3B +
NFYB LOC391322 +
NFYB WDR45 -
NFYB ERV3 +
NFYB ARVCF -
NFYB ZNF430 +
NFYB MIIP +
NFYB LOC148413 +
NFYB G3BP1 -
NFYB ZNF595 +
NFYB ALKBH7 +
NFYB LOC440944 +
NFYB FANCF +
NFYB FAM126A -
NFYB DCAF15 +
NFYB LOC253724 +
NFYB DCLRE1C -
NFYB SDF2L1 +
NFYB PDE6D +
NFYB PSMA5 -
NFYB TMEM57 -
NFYB PRMT1 -
NFYB CBX5 +
NFYB CRYZL1 -
NFYB PTPDC1 +
NFYB ZSWIM4 -
NFYB VBP1 -
NFYB RNASEN +
NFYB EDEM3 +
NFYB GOLPH3L -
NFYB SUV420H2 -
NFYB FRYL +
NFYB YBX1 -
NFYB ZNF714 -
NFYB RNF6 -
NFYB NFKBIB +
NFYB NUDT2 +
NFYB AKR1E2 -
NFYB SP2 +
NFYB FLJ31306 -
NFYB ING1 +
NFYB MAF1 +
NFYB ZNF555 +
NFYB SKA2 -
NFYB DYNLL1 +
NFYB LRCH4 -
NFYB MGC23284 +
NFYB BCAS3 -
NFYB ZNF564 +
NFYB ZNF273 +
NFYB SS18L2 -
NFYB MVD -
NFYB ZBTB5 -
NFYB MPZL1 +
NFYB C17ORF56 +
NFYB MON1B -
NFYB CKS1B +
NFYB UGP2 -
NFYB ZNF556 +
NFYB RRM2 +
NFYB TMEM183B -
NFYB C21ORF58 +
NFYB GLO1 +
NFYB ACAP2 -
NFYB C19ORF39 -
NFYB C14ORF80 -
NFYB CDC45 -
NFYB UVRAG -
NFYB ARHGAP19 +
NFYB AKAP8 +
NFYB CDCA3 -
NFYB HIST1H3B +
NFYB SHC1 -
NFYB PAK4 +
NFYB PILRB +
NFYB CCDC94 +
NFYB CCNB1 -
NFYB HNRNPC +
NFYB CNOT3 +
NFYB PDZD7 -
NFYB MCM5 +
NFYB FBXO24 +
NFYB SND1 -
NFYB RND1 -
NFYB ZNF138 +
NFYB ZNF253 +
NFYB TMEM183A +
NFYB PLEKHH2 -
NFYB SHARPIN +
NFYB TPCN1 +
NFYB HNRPA1L-2 +
NFYB SPRYD3 -
NFYB KPNB1 -
NFYB AK2 +
NFYB RPS6KA5 +
NFYB ARID4A -
NFYB SLC39A1 -
NFYB SARNP +
NFYB KIF24 -
NFYB PMF1 -
NFYB ZNF92 +
NFYB DUSP10 -
NFYB CREB3L2 +
