source target sign
RPF2 HIST1H3C +
RPF2 FTSJ3 +
RPF2 EIF2C3 -
RPF2 BCAT2 -
RPF2 OLFML2A -
FAM165B E4F1 -
FAM165B HOXC12 -
CABLES2 C3 +
ZBTB20 ACAP2 +
ZBTB20 HLA-DMA -
CSRNP1 C1ORF228 -
CSRNP1 NEUROG2 -
CSRNP1 TMUB1 -
LOC285847 SMARCD2 +
LOC285847 PLG -
LOC285847 EGLN1 +
GAMT FNDC3A +
GAMT KCTD10 +
RNF6 C5ORF24 -
RNF6 LAMP3 +
GTPBP5 TMEM179B -
GTPBP5 APOC1 +
ONECUT2 SCARNA20 +
ONECUT2 DDX59 +
ONECUT2 GDF6 +
WDR1 ZNF252 -
WDR1 LTB4R2 -
WDR1 IRS1 -
WDR1 TNFSF14 +
ZNF300 CHPF2 -
ZNF300 MACC1 +
ZNF300 ZNF436 +
ZNF300 GPR114 -
C1RL HIF1AN -
C1RL IL17C +
C1RL PPP1R14B -
C1RL GPC6 +
ZNF76 MRM1 +
TACO1 ZNF746 -
TACO1 DTHD1 -
TACO1 CD37 -
PXN ZNF764 +
PXN RNF121 +
PXN MRPS11 +
TMEM201 RPRD2 +
TMEM201 DBF4 +
KIAA1908 REPS1 +
KIAA1908 ZNF416 -
KIAA1908 LOC286367 +
KIAA1908 PSD +
GREB1 NUP85 +
GREB1 SIN3B -
TMEM164 CSNK1E -
TMEM164 PPM1J -
SNORD28 LOC253724 +
SNORD28 C20ORF71 +
SNORD28 PTPN6 +
SNORD28 NR1D2 +
SLAMF1 C9ORF119 -
SLAMF1 MRPL21 +
SLAMF1 ZNF295 -
ANKRD34C POLL +
ANKRD34C NOP16 +
ANKRD34C ADAR -
IP6K2 SLC11A2 -
IP6K2 MAP7D1 +
CLIC4 GBA2 -
CLIC4 REPIN1 -
CLIC4 PASK +
HSF4 ACYP1 -
HSF4 DNAH1 -
HSF4 CTSA -
HIST1H1A CUX1 -
RFWD2 FLJ37453 -
RFWD2 DDX60 +
RFWD2 LOC100132891 -
RFWD2 CDS2 +
VBP1 IFT80 -
VBP1 ZWINT +
VBP1 RHOT2 +
C19ORF48 B3GNTL1 -
C19ORF48 CREBZF +
C19ORF48 CHCHD5 +
HOXB7 HOXC11 -
GPRIN2 WDR17 -
GPRIN2 UTP23 -
GPRIN2 LOC441046 -
GPRIN2 OTUB1 +
GPRIN2 CASP4 -
MGC16275 ZFP37 +
MGC16275 SNORD65 +
MGC16275 MOBKL2C +
BARHL1 DUT +
BARHL1 PGD -
BARHL1 HOTAIR -
BARHL1 IGF2BP1 +
RFX2 WDR8 -
RFX2 FGGY -
RFX2 ASPH +
RFX2 CLPTM1L +
NUBP2 DEPDC1B -
NUBP2 COMP +
NUBP2 SCAND2 +
ZFYVE19 SFRS15 -
ZFYVE19 MATN3 +
ZFYVE19 TPST1 -
BMP7 TBC1D9 -
BMP7 CCDC53 +
SLC25A32 DYM +
SLC25A32 METTL7A -
BTD ZKSCAN1 +
BTD ETFA -
BTD RPL9 -
BTD HDDC2 -
HOXB5 FLJ35776 -
ATP5B NNAT +
ATP5B SIT1 +
DNAJC24 COL5A1 +
DNAJC24 KIAA1683 +
C17ORF87 PPBPL2 +
C17ORF87 TNFRSF8 +
C17ORF87 ZNF775 +
SLC2A11 ZNF235 -
RFC2 LRRC26 -
RFC2 CHMP6 -
RFC2 KIAA0907 -
RFC2 TMEM179B -
FAM161A SIRT3 -
FAM161A C11ORF68 -
FAM161A S100A13 +
ZNF79 PIKFYVE -
ZNF79 FABP1 -
ZNF79 GPR132 +
ZNF79 ARL15 +
ZNF79 PRPSAP1 +
NEUROD1 ANGPTL4 +
SPATA20 LGR5 +
SPATA20 BRMS1 -
GLB1L ZC3H12D +
GLB1L PROSAPIP1 -
GLB1L YARS2 -
RPL7 PIKFYVE -
RPL7 GABPB2 +
HIST4H4 EXOC2 -
HIST4H4 PLOD2 +
KCNH2 NME1-NME2 -
KCNH2 GJD3 +
KCNH2 ATF2 -
ACTN4 DOK7 +
ACTN4 MYST3 +
ACTN4 THTPA -
ACTN4 QSOX2 -
EN2 ZNRF1 +
EN2 FBXO22 +
EN2 WDR35 +
PSMA3 FAM24B -
PSMA3 PRO0628 +
PSMA3 HSPE1 +
PSMA3 PRDM6 -
TNKS1BP1 PPP2R5D -
TNKS1BP1 BMP7 -
ANK3 ETFB +
ANK3 NDUFB9 -
ANK3 DPAGT1 +
ANK3 LEPREL2 -
BAT5 RPS21 -
BAT5 CDKN2D +
BAT5 ANXA2P2 +
MRPL52 FIS1 +
MRPL52 HAR1B +
MRPL52 IFT172 -
MRPL52 LOC100133612 +
IL34 UNC93B1 -
IL34 SYS1-DBNDD2 +
POFUT1 HOXB13 -
POFUT1 SMAD7 -
POFUT1 FAM66B -
B3GAT3 RABGEF1 -
B3GAT3 ARL6IP1 +
B3GAT3 TRIM14 +
DARS2 RNF168 +
DARS2 SNORD60 +
HHEX NDUFAB1 +
HHEX GRK1 -
HHEX ANKS1A -
MUTED TMEM180 -
MUTED ALG11 +
MUTED NKPD1 +
MUTED RNASEK -
TXNDC5 CYB5RL +
TXNDC5 SLC2A1 -
TXNDC5 MANBA -
GNB2L1 KLHL32 -
GNB2L1 ZFP91 -
GNB2L1 MT1X -
GNB2L1 CLSPN -
GNB2L1 ENO1 -
TMEM59 C6ORF138 -
TMEM59 RGS10 -
TMEM59 SLC27A4 +
TMEM59 PRKRIP1 +
HES2 TMEM53 +
HES2 EPHX2 -
HES2 GLRX5 +
ADM GAS5 -
ADM KIAA0040 +
TK1 ASF1B +
TK1 C10ORF114 +
TK1 ADRA2A +
TK1 FLJ42289 +
CD2BP2 NAT10 -
CD2BP2 EEF1B2 -
NGB GRPEL2 +
NGB ZNF526 +
NGB UBE2C +
HK2 C6ORF108 -
HK2 HMGN2 +
HK2 LARS +
HK2 STXBP2 +
SPRED2 CN5H6.4 +
SPRED2 ANXA1 +
COMP TPRA1 -
CD109 KIF5C -
CD109 MED22 +
WNT10A CLECL1 +
WNT10A MUT +
WNT10A LOC151534 -
WNT10A SAMD11 -
C21ORF122 CLN3 -
C21ORF122 LOC404266 +
PRKRIP1 HIST1H2BB +
PRKRIP1 C22ORF30 +
FKBP4 FOXP1 -
FKBP4 RPN2 +
TRIM33 ING1 +
TRIM33 ARRB2 +
SSR2 HK2 -
SSR2 CLEC9A +
ASPH POP7 +
ASPH KIAA1530 -
ASPH ALDH3A1 -
ASPH QRICH1 -
CBY1 NOL10 +
CBY1 KRT37 -
CBY1 ATP2B4 +
CBY1 RBL1 -
CBY1 VIL1 -
C13ORF23 TACSTD2 -
C13ORF23 CDC26 +
C13ORF23 TRMT2A +
C13ORF23 C2ORF50 +
TNFRSF13C SNORD116-14 +
TNFRSF13C COQ5 -
TNFRSF13C ZFAND2A +
TNFRSF13C PRSS30P +
MLPH EGOT -
MLPH IL13RA2 +
MLPH MGAT5 +
FOXL1 IL4R +
FOXL1 SLC10A6 +
FOXL1 LOC55908 -
FOXL1 NBLA00301 -
UBE2V1 DRAP1 +
UBE2V1 ZNF12 -
UBE2V1 GPATCH3 -
UBE2V1 ZNF605 +
UFSP2 KCTD18 +
UFSP2 MANEAL +
UFSP2 PCF11 -
UFSP2 CLDN9 -
DLD GPR56 +
DLD PTPN7 +
DLD RBM7 +
DLD HN1L +
DLD PPP1R8 -
UNC93A CLK3 -
TSNAX HPR +
NBR1 TMEM115 +
NBR1 TMC7 -
NBR1 OAS2 -
SLC4A4 ZBTB40 -
SLC4A4 CMBL -
SLC4A4 CGB2 +
CKS1B KIF18B +
CKS1B BMP4 +
CKS1B SMG5 +
CKS1B UTP20 -
CYB5B SNORD116-7 -
CYB5B HIST2H2AB +
CYB5B FOXJ1 +
RMND1 DUSP23 +
RMND1 GRN -
C17ORF48 ZNF75A +
C17ORF48 C5ORF34 +
C17ORF48 TBX5 +
TPH2 ADIPOQ +
TPH2 MTUS1 -
TPH2 ST6GALNAC1 -
TPH2 DOK1 -
TEX14 HIAT1 +
TEX14 FLJ35390 -
TEX14 CTAGE5 -
TEX14 STK16 -
SPATA3 PLXNB3 -
SPATA3 COPE +
SFXN3 STRA13 -
SFXN3 PRAC +
CABP1 SPDEF +
CABP1 PLD1 -
CABP1 MAPK8IP2 -
CCL1 TRAPPC2P1 +
CCL1 PSMC2 -
CCL1 XKR8 +
CCL1 SNORD49B +
FCRLA GEMIN4 -
FCRLA CYB5RL -
FCRLA MRPS15 -
FCRLA NDST2 +
C1ORF69 PDIA4 +
C1ORF69 KDM3B +
HSPE1 ADCK5 +
C6ORF167 SUFU +
C6ORF167 HSPA13 -
C6ORF167 SNORD114-24 +
C6ORF167 ECHS1 -
C6ORF167 TM9SF4 -
RNF149 ARL2 -
RPS29 C17ORF103 -
C6ORF52 MDN1 +
C6ORF52 POLI +
C6ORF52 QTRTD1 -
C6ORF52 ID3 -
CCNC HHLA3 +
CCNC TRAF7 -
