source target sign
ZBTB20 PRKAB1 +
ZBTB20 DNAJB2 +
ZBTB20 TCF12 +
ZBTB20 BRF1 -
ZBTB20 KIAA0415 -
ZBTB20 NFYB +
ZBTB20 MTHFR +
ZBTB20 PHTF2 +
ZBTB20 ECE2 -
ZBTB20 ANAPC2 +
ZBTB20 SRC -
ZBTB20 ZNF341 -
ZBTB20 C14ORF43 -
ZBTB20 ING4 +
ZBTB20 DNAJB9 +
ZBTB20 SFRS13A +
ZBTB20 SREBF1 -
ZBTB20 NFKBIB -
SNHG9 CSNK2B +
SNHG9 IGFBP1 +
SNHG9 SELPLG -
SNHG9 POR -
SNHG9 LOC100133545 -
SNHG9 FAM48A -
SNHG9 ZNFX1 +
SNHG9 S100PBP +
SNHG9 C14ORF4 -
SNHG9 SERPINA1 -
SNHG9 SHC1 +
SNHG9 STRN3 +
SNHG9 SNX5 +
SNHG9 AGPAT1 +
SNHG9 KDM4B -
SNHG9 CCL3 -
SNHG9 ARVCF -
SNHG9 RPS6 -
SNORD28 LIME1 -
SNORD28 HNRNPUL1 +
SNORD28 FLJ39582 -
SNORD28 SELPLG -
SNORD28 TOM1L2 +
SNORD28 SCFD1 -
SNORD28 SGTA -
SNORD28 CRKL +
SNORD28 AP2A1 +
SNORD28 C14ORF181 +
SNORD28 MYNN -
SNORD28 APEX1 -
SNORD28 RBM39 -
SNORD28 FUS +
SNORD28 TBX4 +
C19ORF48 TCF12 -
C19ORF48 POU5F1 +
C19ORF48 PSME2 -
C19ORF48 MSH5 +
C19ORF48 DNLZ +
C19ORF48 SPSB3 +
C19ORF48 FBXW4P1 +
C19ORF48 UBE2L3 +
C19ORF48 NCOA4 -
C19ORF48 CD55 -
C19ORF48 HPS5 -
C19ORF48 RAD9A -
C19ORF48 SIRT6 -
C19ORF48 GNAZ +
C19ORF48 STIP1 -
HOXB7 EBF1 +
HOXB7 C12ORF35 -
HOXB7 SHF +
HOXB7 CD74 -
HOXB7 GATA3 +
HOXB7 AGT -
HOXB7 LOC148413 +
HOXB7 MYST4 +
HOXB7 RAB37 +
HOXB7 PRM2 +
HOXB7 WRAP53 +
HOXB7 KAT5 +
HOXB7 GNB1L +
HOXB7 HIST1H2AI +
HOXB7 SREBF1 +
USF2 HIST1H2BG -
USF2 BLOC1S1 +
USF2 WDR81 +
USF2 ATP6V0D1 -
USF2 GNPTG +
USF2 LDLR -
USF2 CUTA -
USF2 CTSA -
USF2 SEC1 -
USF2 ZNF292 -
USF2 UVRAG -
USF2 HEXA -
USF2 YPEL1 -
USF2 SNAP29 -
USF2 CDK4 +
USF2 HOXB7 +
USF2 RAD23A -
USF2 PDE4DIP +
USF2 DFFA +
USF2 APEX1 +
USF2 BOLA1 -
USF2 FAM21C -
USF2 KLHL12 +
USF2 QRFP -
USF2 DNAJB9 -
USF2 KIAA0415 +
USF2 LOC147727 -
USF2 TRAPPC2L -
USF2 ZNF595 +
USF2 C6ORF211 -
USF2 VPS33A +
USF2 LOC648691 +
USF2 CTAGE5 +
USF2 SLC35B2 +
USF2 S100A10 -
USF2 RCC1 +
USF2 ARRDC3 +
USF2 AMDHD2 -
USF2 SUMF1 -
USF2 NAPA +
USF2 PI4KA -
USF2 BCR +
USF2 POLR3A -
USF2 HDGFRP2 +
USF2 YBX1 +
USF2 ANKRD30BL +
USF2 TOP3B -
USF2 APOC3 -
USF2 TBC1D17 +
USF2 SLC36A1 +
USF2 RNASEK -
USF2 HIST1H2BD -
USF2 WBP2 -
USF2 RAB36 -
USF2 CLCN6 +
USF2 QTRT1 +
USF2 GNS -
USF2 KAT5 +
USF2 ZNF718 -
USF2 IGLL5 -
USF2 PMF1 -
USF2 GBA -
USF2 THAP5 +
USF2 MAPK1 -
USF2 FAF1 -
USF2 TMEM55B +
USF2 NPTN -
USF2 HPS5 -
USF2 BRIX1 -
USF2 MARCH8 +
USF2 COMMD9 -
USF2 ACIN1 +
USF2 GALNS +
USF2 FBXW4P1 +
USF2 GBAP1 -
USF2 ZBTB40 -
USF2 NAGPA -
USF2 C9ORF156 -
USF2 CCDC116 -
USF2 RTDR1 +
USF2 NEURL2 +
USF2 SDF2L1 +
USF2 LAMC3 +
USF2 AIF1L -
USF2 TMEM116 +
USF2 SGTA -
USF2 DVL2 -
USF2 LRRC48 +
USF2 RMND1 -
USF2 PPIL2 +
USF2 ZNF280B +
USF2 C15ORF34 -
USF2 NUP214 +
USF2 C16ORF42 +
USF2 UBAP2 +
USF2 SNORD104 +
USF2 BLK -
USF2 DHX35 -
USF2 RAD9A -
USF2 PHF23 +
USF2 CLCN7 -
USF2 ABL1 +
USF2 UBE2B -
USF2 SPNS1 +
USF2 NBPF1 +
USF2 TOM1L2 -
USF2 HIST1H1E +
USF2 ROCK1P1 +
USF2 KLHL22 +
USF2 FIBCD1 -
USF2 SNRPA -
USF2 MTHFR +
USF2 AKT1S1 +
USF2 TPP1 +
USF2 PRAME -
USF2 GTF2H1 -
USF2 PPP2R3C +
USF2 RBM15 -
USF2 ERP29 +
USF2 HIST1H4I +
USF2 ILF3 -
USF2 OSGEP -
USF2 GET4 +
USF2 C19ORF24 +
USF2 NEAT1 +
USF2 BAX -
USF2 HBP1 +
USF2 UBE2Q1 +
USF2 SLC35A5 -
USF2 ZNF280A +
USF2 YDJC -
USF2 LAMP1 -
USF2 CLN3 +
NUBP2 PSMB9 +
NUBP2 SOCS1 -
NUBP2 NEAT1 +
NUBP2 MED16 +
NUBP2 HIST1H2BF -
NUBP2 FDFT1 +
NUBP2 OSGEP +
NUBP2 EP300 +
NUBP2 EGR1 -
NUBP2 SLC45A4 -
NUBP2 LAMA5 +
NUBP2 CENPA +
NUBP2 RNASE4 -
ATP5B ZNF718 -
ATP5B PRMT1 +
ATP5B HIST1H4D +
ATP5B NAGPA +
ATP5B ZZZ3 +
ATP5B SLC27A4 +
ATP5B TXNIP -
ATP5B TBX1 +
ATP5B MTRNR2L2 -
ATP5B TUBA1C -
ATP5B SNORD12 -
ATP5B TRAF2 -
ATP5B CCL20 +
ATP5B NUP214 -
ATP5B SOCS1 -
ATP5B HIST1H1C -
ATP5B JUNB -
C17ORF87 RXRB +
C17ORF87 TLCD1 +
C17ORF87 TCF12 +
C17ORF87 ZNF217 -
C17ORF87 HSPD1 +
C17ORF87 TRUB2 +
C17ORF87 UVRAG -
C17ORF87 SEPP1 -
C17ORF87 HECTD1 -
C17ORF87 PRAME -
C17ORF87 DVL2 -
C17ORF87 SERPIND1 +
C17ORF87 SERPINE1 +
C17ORF87 HERC1 +
C17ORF87 ANKHD1 -
C17ORF87 PLD1 +
C17ORF87 HIST1H3E +
HIST4H4 STIP1 +
HIST4H4 C20ORF72 -
HIST4H4 BCLAF1 -
HIST4H4 INSIG2 -
HIST4H4 HIST1H2BM +
HIST4H4 NOP14 -
HIST4H4 SPNS1 +
HIST4H4 SRC -
HIST4H4 RRM2 +
HIST4H4 TGFBR2 -
HIST4H4 RMND1 -
HIST4H4 UNK +
HIST4H4 C12ORF26 -
HIST4H4 MYC +
HIST4H4 RPS2 -
HIST4H4 C6ORF211 +
HIST4H4 HSPA1A -
SP1 LOC100133545 +
SP1 ZSWIM4 -
SP1 SC4MOL -
SP1 APOA1 +
SP1 WDR81 +
SP1 SFRS1 +
SP1 GNPTG -
SP1 CENPA +
SP1 DHX8 -
SP1 UGP2 -
SP1 ZNF689 +
SP1 UVRAG +
SP1 DCUN1D4 +
SP1 GATAD2A +
SP1 RAB4B -
SP1 PCK1 -
SP1 CREB3L2 -
SP1 SNAP29 +
SP1 LRCH4 -
SP1 JUB +
SP1 ANKHD1 +
SP1 HIST1H2BK +
SP1 NUBP2 +
SP1 GLRX5 -
SP1 DNM2 +
SP1 ATP5B -
SP1 P2RX6 +
SP1 PRR11 -
SP1 C22ORF25 +
SP1 HIST2H2BE +
SP1 APOC3 +
SP1 HIST1H2BJ -
SP1 E2F6 +
SP1 SP1 +
SP1 SNHG10 -
SP1 CDCA3 -
SP1 SUV420H2 +
SP1 MAP1LC3B -
SP1 TNRC6B +
SP1 C3 -
SP1 HIST2H2AC +
SP1 ING1 +
SP1 SLC25A25 +
SP1 DHRS2 -
SP1 ENSA +
SP1 APOM -
SP1 CKS1B -
SP1 TCERG1 -
SP1 UFD1L +
SP1 RTDR1 +
SP1 FBXO31 +
SP1 RNF5 +
SP1 STIP1 -
SP1 EVI5L -
SP1 TOP2A -
SP1 GPR108 +
SP1 SH2B3 -
SP1 NUMB -
SP1 ALKBH7 -
SP1 ARVCF +
SP1 STX5 +
SP1 HNMT +
SP1 DCAF7 -
SP1 FBXO24 +
SP1 LOC100130581 -
SP1 TOMM40L -
SP1 BCAS3 -
SP1 MTRNR2L1 +
SP1 FAM100B +
SP1 PCK2 +
SP1 SLC7A5P2 -
SP1 RNF5P1 -
SP1 ZNF555 -
SP1 SDF2L1 +
SP1 TMEM60 -
SP1 CCDC116 +
SP1 SIN3A +
SP1 TOP3B +
SP1 ZNF718 +
SP1 NBPF1 -
SP1 KHSRP +
SP1 DCAF15 -
SP1 NAIF1 -
SP1 LRRC48 +
SP1 HSPA5 -
SP1 H3F3B -
SP1 EPB41 -
SP1 PPIL2 +
SP1 ZNF280B +
SP1 HIST1H2AK +
SP1 RNU11 -
SP1 DDX59 +
SP1 GNAZ +
SP1 NEU1 -
SP1 TPD52L2 -
SP1 CBX5 -
SP1 HIST1H2AJ -
SP1 HNRNPA1 +
SP1 HIRA +
SP1 WDR74 +
SP1 TMEM57 +
SP1 HIST1H2BM -
SP1 ZBTB20 +
SP1 UBE2L3 +
SP1 CNOT3 -
SP1 SREBF2 +
SP1 HIST1H2BO -
SP1 PRKACA +
SP1 TOM1L2 -
SP1 NR0B2 +
SP1 ROCK1P1 +
SP1 POR -
SP1 PRMT5 +
SP1 PABPN1 +
SP1 PHTF2 -
SP1 HIST1H3D -
SP1 SHKBP1 -
SP1 MALAT1 +
SP1 FDFT1 +
SP1 IGFBP1 +
SP1 LOC648691 +
SP1 ANP32E -
SP1 ZNF143 -
SP1 AP2A1 +
SP1 HMGCS1 +
SP1 APOB -
SP1 ANKHD1-EIF4EBP3 +
SP1 RRBP1 +
SP1 OSBP +
SP1 PSME2 -
SP1 CFB +
SP1 HIST1H2AE +
SP1 CLIC1 -
SP1 ZSWIM1 -
SP1 TMEM55B +
SP1 G3BP1 +
SP1 RFX1 -
SP1 HIST1H2BG -
SP1 EIF4A1 -
SP1 H2AFV +
SP1 MTOR -
SP1 UBC -
SP1 ZSWIM3 -
SP1 PHF19 +
SP1 SHARPIN -
SP1 FBXO33 +
SP1 YPEL1 -
SP1 IDI1 -
SP1 HIST1H2AB -
SP1 EIF2AK3 +
SP1 ZNF77 +
SP1 C6ORF47 -
SP1 NEAT1 -
SP1 P4HB +
SP1 PDE4DIP -
SP1 AGT -
SP1 GP1BB -
SP1 LOC84931 +
SP1 PNN +
SP1 ZNF687 +
SP1 HNRNPL -
SP1 SPSB3 +
SP1 ANKRD30BL -
SP1 ZNF595 +
SP1 LOC400891 -
SP1 NFKBIB -
SP1 TUBB2C -
SP1 C19ORF55 +
SP1 TRMT2A +
SP1 MGC23284 +
SP1 C17ORF56 +
SP1 FLAD1 -
SP1 APOA2 -
SP1 ZNF280A +
SP1 BCR +
SP1 HDGFRP2 -
SP1 STK40 +
SP1 AHSG +
SP1 KATNB1 +
SP1 SHC1 -
SP1 SLC25A42 +
SP1 PSITPTE22 +
SP1 HIST1H2AH -
SP1 MRPL40 -
SP1 HIST1H2AI -
SP1 MST1P2 -
SP1 DDAH2 +
SP1 SKA2 -
SP1 RAB11A -
SP1 HIST1H2BD +
SP1 RAB36 +
SP1 USP5 -
SP1 PRM1 -
SP1 HIST1H2AD +
SP1 MAF1 +
SP1 SP2 -
