source target sign
GLYCTK FAM114A2 +
GLYCTK FSIP2 -
GLYCTK SLC26A1 +
SNHG1 SNORA76 -
SNHG1 C22ORF45 +
SNHG1 CXORF27 +
NANOG ZNF347 +
NANOG ADRA1D +
NANOG FAM82A2 +
NANOG LDHB -
NANOG C2ORF42 -
NANOG HMGB2 -
CD74 LOC391322 -
CD74 CHERP +
CD74 SH2D3A +
ANKRD36 ABCG1 +
SAPS2 KLHL30 -
SAPS2 CRTC1 -
NUPR1 RDBP +
NUPR1 SNORA25 -
C1ORF115 SNORD4A +
C1ORF115 RPGRIP1L +
CYP27A1 GSTK1 +
CYP27A1 ABHD4 -
CYP27A1 YIPF2 +
CYP27A1 SNORD57 +
SYT4 PTPN13 -
SYT4 SNORD116-8 +
SYT4 SVOP -
LOC146336 PROC -
LOC146336 ACAD9 -
FGD2 EEF1G +
FGD2 NKD1 +
FGD2 TREX1 +
FGD2 SAC3D1 -
FGD2 LOC100216001 -
YIPF4 NLRX1 -
YIPF4 IFI30 -
OSBPL2 HEBP2 -
OSBPL2 B3GAT3 +
OSBPL2 STOML2 +
OSBPL2 C17ORF37 +
PRKACB EIF4G1 -
PRKACB MPZL1 -
ELN C21ORF2 -
ELN TOMM5 +
ELN NCOA5 +
ELN GOT1 +
ELN MTIF2 +
SCGB1D2 ADCK4 -
SCGB1D2 RAPGEF6 -
SCGB1D2 NETO2 -
ATAD2B SFT2D2 +
ATAD2B MRPL35 -
ATAD2B MSH4 +
CCDC23 ANKRD30BL -
CCDC23 PSMD3 -
CCDC23 BCAS3 +
RAB35 PRSS35 -
RAB35 ELAVL1 +
MYCN OLFML2A -
MYCN GTPBP4 -
MYCN LRRC50 -
COL7A1 CASZ1 -
COL7A1 SEC61B -
COL7A1 ATG2B -
TRAPPC6A IL4I1 -
TRAPPC6A TIAF1 -
TRAPPC6A PTEN +
TRAPPC6A FLJ42709 -
TRAPPC6A GPR68 -
TRAPPC6A GTSF1L -
TRAPPC6A KLHL12 +
ADAMTSL5 DNAJB4 +
ADAMTSL5 LOC100132288 +
ADAMTSL5 QRICH1 +
ADAMTSL5 BCL10 -
HLTF JUP +
HLTF C16ORF88 +
HLTF LRP11 -
HLTF STX4 +
HLTF DYM -
HLTF CDK5RAP1 -
ASAH1 VAMP5 +
ASAH1 FZR1 -
BMP7 RFFL +
ZNF828 CDK11A -
GLS2 RPS13 +
GLS2 CCDC97 +
GLS2 CDKAL1 +
GLS2 NUP54 -
GLS2 SLC36A4 +
GLS2 KLHL22 -
STK17A HIST1H4G -
STK17A GADD45B -
STK17A DDX27 +
AMOTL2 ZBTB7A +
AMOTL2 TMEM150A +
AMOTL2 OSBPL6 -
AMOTL2 CST9 +
OLFML2A GABRA5 +
OLFML2A CCDC57 +
OLFML2A DUSP11 -
RBM16 KIAA0319 +
RBM16 DKFZP434H168 +
RBBP8 TOM1L2 +
SNORD116-4 KLHL3 -
SNORD116-4 C2ORF86 +
SNORD116-4 A2BP1 +
BANF2 YIF1A -
BANF2 APPBP2 -
BANF2 SCAND2 -
PHC2 SMCR8 -
PHC2 SDC4 -
