source target sign
RUVBL1 TCF7 -
RUVBL1 LEF1 +
RUVBL1 TCF7L2 +
RUVBL1 CTNNB1 -
RUVBL1 TCF7L1 +
HOXB7 NUDT6 +
HOXB7 FGF2 -
HOXB7 FGF13 +
TBL1X APC2 -
TBL1X APC -
TBL1X CTNNB1 +
SMAD6 SMURF1 -
SMAD6 CDK6 +
SMAD6 SMURF2 -
SMAD6 IFNG +
SMAD6 SMAD1 -
SMAD6 SMAD5 -
SMAD6 SMAD2 -
SMAD6 SMAD3 -
SMAD6 SMAD9 -
SMAD6 TNF +
APC DVL1 +
APC TBL1Y +
APC CTNNB1 -
APC ARHGEF4 +
APC TBL1XR1 -
APC AXIN2 +
APC AXIN1 -
APC DVL2 +
APC DVL3 -
APC TBL1X +
GATA1 HSA-MIR-144 +
GATA1 HSA-MIR-451 +
NFKBIB TAB1 -
NFKBIB BTRC -
NFKBIB UBE2D2 -
NFKBIB MAP3K7 +
NFKBIB AKT3 +
NFKBIB AKT2 +
NFKBIB AKT1 -
NFKBIB RELA +
NFKBIB IKBKG +
NFKBIB CHUK -
NFKBIB FBXW11 +
NFKBIB NFKB1 +
NFKBIB IKBKB +
NFKBIB TAB2 -
MYCN HSA-MIR-221 -
MYCN HSA-MIR-18A +
MYCN HSA-MIR-20A -
MYCN HSA-MIR-92A +
MYCN HSA-MIR-19B +
MYCN HSA-MIR-106A +
MYCN HSA-MIR-17 -
MYCN HSA-MIR-335 +
MYCN HSA-MIR-19A -
MYCN HSA-MIR-421 +
CDKN2A HSA-MIR-410 -
HOXD3 ITGA5 -
HOXD3 ITGB1 +
HOXD3 ITGB3 -
VHL HSA-MIR-210 -
VHL EPAS1 -
VHL HIF1A -
TCF4 HSA-MIR-181A -
TCF4 HSA-MIR-21 -
TCF4 HSA-MIR-181B -
ABL1 SHC1 -
ABL1 EPHA4 -
ABL1 CRKL -
ABL1 SHC2 -
ABL1 RAC2 -
ABL1 EPHA1 -
ABL1 CD55 +
ABL1 EPHA5 -
ABL1 EPHB2 -
ABL1 STAT5A +
ABL1 EPHB6 -
ABL1 RAC1 -
ABL1 RAC3 -
ABL1 EPHA2 -
ABL1 CRK +
ABL1 GRB2 -
ABL1 EPHA3 +
ABL1 EPHA7 -
ABL1 SHC4 -
ABL1 EPHB1 +
ABL1 NTRK3 +
ABL1 STAT5B -
ABL1 SHC3 +
ABL1 EPHA6 -
ABL1 RB1 +
ABL1 NTRK1 -
ABL1 MYC +
ABL1 CBL -
ABL1 EPHB3 +
ABL1 NTRK2 -
ABL1 EPHA8 -
ABL1 CBLB +
ABL1 EPHB4 +
ABL1 CBLC +
TRIP6 NOD1 +
TRIP6 RIPK2 +
RASGRF1 HSA-MIR-21 -
RORA ARNTL -
ELK1 KCNMA1 -
ELK1 CCND2 -
ELK1 MAPK8 -
ELK1 MAPK1 -
ELK1 PSEN1 +
ELK1 MCL1 +
ELK1 KCNMB1 +
ELK1 ACTG1 -
ELK1 ACTA1 -
ELK1 SLC6A4 -
ELK1 PDGFB +
ELK1 CCT8 -
ELK1 ACTA2 +
ELK1 VAV1 -
ELK1 CA9 +
