source target sign
ACTR3 HSA-MIR-27B +
ACTR3 MAML2 -
ACTR3 CSNK1D +
ADIPOR1 KHDRBS1 -
ADIPOR1 MBL2 +
ADIPOR1 CPT1C +
AFP POMC +
AFP IL18BP +
MRPL13 PRKRIR +
MRPL13 ALDOC -
MRPL13 DNASE1L2 +
STAG1 CCL17 +
STAG1 HDAC4 +
STAG1 ATP1B2 +
TP53BP2 NDRG4 +
TP53BP2 TAF9 -
TP53BP2 APOBR -
TP53BP2 UPP1 -
TP53BP2 PPRC1 +
TBC1D21 GH2 +
TBC1D21 RPS6KA2 +
TBC1D21 PDE4DIP +
SHC1 TIMP4 +
SHC1 HPGD -
WNT5B TMEM132A +
WNT5B LIFR +
WNT5B MYOC -
WNT5B TIGD3 +
EIF2S3 HSP90AA1 +
EIF2S3 SYK -
EIF2S3 GCG -
PVR SOCS4 -
PVR SMC4 +
PVR GCHFR -
NPR1 TAF9 -
NPR1 AXIN2 -
ING1 TXNL1 -
ING1 PHB2 +
ING1 COPA +
ING1 RAD51 -
HSA-MIR-146B S100B +
HSA-MIR-146B LBR -
NOTCH1 TP73 +
NOTCH1 RPS16 -
NOTCH1 MAML3 -
DNTT BCLAF1 -
DNTT NTRK1 -
ZBP1 ANKRD26 -
ZBP1 IFNB1 +
ZBP1 AZI2 +
BTN3A3 JAG2 -
BTN3A3 NUDT4 +
BTN3A3 DNTT -
CEBPE NOL3 +
CEBPE ALOX5AP -
CEBPE MPO -
CEBPE LTF -
CEBPE GATA1 +
NFKBIA IGBP1 +
NFKBIA ORC6 +
CDK4 CCND3 +
CD22 TSPAN31 -
CD22 ITGA2 -
HOXB7 PDGFRA +
HOXB7 NUDT6 +
HOXB7 FGF13 +
HOXB7 MTCH1 +
HOXB7 FGF2 -
VEGFB POLDIP2 +
VEGFB GBP1 -
VEGFB PRKAG1 +
HBZ ERRFI1 +
JAK3 NTRK2 -
JAK3 RNF111 -
JAK3 CISH +
PDHA1 LIPC +
PDHA1 WNT10B -
PDHA1 EDIL3 +
PDHA1 TP53INP1 +
PDHA1 CYP1A1 +
MAFF TRIM45 +
MAFF SHMT2 -
MAFF ZFPL1 -
MAFF APOH -
HSA-MIR-630 MCAM +
HSA-MIR-630 LENEP -
MMP2 PGF +
MMP2 HPX -
MMP2 COL1A1 -
MMP2 KCNG4 -
SNAPC3 ITGAL -
SNAPC3 DLL1 -
SNAPC3 ADAMTS14 +
SNAPC3 GCFC1 +
TRIM24 PTPN1 +
TRIM24 MAP3K12 +
TRIM24 POLR3D +
TRIM24 GNS -
ATP1B2 ACCS +
ATP1B2 KLK15 +
RFC2 ALX4 -
RFC2 MPHOSPH6 +
RFC2 MAPK7 -
RFC2 FASLG -
RFC2 FBXW11 +
POLR3F FAM210B -
POLR3F FMR1 -
SLC31A1 CALCA -
SLC31A1 PQBP1 -
SLC31A1 SRR +
SLC31A1 STX16 -
MT1X CXCR2 -
MT1X PTCH2 -
MT1X AQP1 -
MT1X PLA2G6 -
NEUROD1 GCK -
NEUROD1 PRG1 -
NEUROD1 RPS15 +
NEUROD1 IAPP +
NEUROD1 INS -
VCAM1 AHCYL1 -
VCAM1 TOP3A -
VCAM1 ATR +
VCAM1 SLC5A5 +
CCL17 SYK +
CCL17 APC2 +
CCL17 C1S +
SYCP3 PSMB8 +
SYCP3 DRD1 +
SYCP3 RCC1 +
SYCP3 XAGE5 +
NFE2L1 TPT1 -
NFE2L1 GCM1 +
NFE2L1 FGFR2 +
NFE2L1 NCF1 -
NFE2L1 IQCK +
SLC44A4 ATP1B3 +
SLC44A4 RCHY1 -
SLC44A4 NRIP1 +
HSA-MIR-124 ZNF451 -
HSA-MIR-124 SLA -
HSA-MIR-124 NDUFS1 +
HSA-MIR-124 GYPC +
HSA-MIR-124 A2M -
WISP2 LGALS3 +
WISP2 SERPINB9 -
WISP2 MAP2K6 +
C2ORF18 TSHR +
SLC10A3 HAGHL -
SLC10A3 FGF8 -
SLC10A3 CAMK2D +
SLC10A3 P2RY2 -
SLC10A3 HSA-MIR-26B +
MYCN HSA-MIR-18A +
MYCN HSA-MIR-19B +
MYCN HSA-MIR-92A +
MYCN HSA-MIR-335 +
MYCN HSA-MIR-19A -
MYCN HSA-MIR-20A -
B3GAT3 OSR1 -
B3GAT3 EMILIN1 +
GDI2 GBP1 -
HHEX HSA-MIR-342 -
HHEX MPL +
WNT8A HHIP -
WNT8A CTGF -
NTNG2 LOC339685 -
NTNG2 CBL -
CCDC113 LPPR1 +
CCDC113 AGFG1 +
CCDC113 MCCC2 -
TG CSNK1G1 +
TG SLC5A5 +
HSA-MIR-27A PFN2 +
HSA-MIR-27A TAF10 -
HSA-MIR-27A PPARGC1A +
HSA-MIR-27A LOX +
HK2 FPR1 +
HK2 AFP +
HK2 RHOA -
SPRED2 BAK1 -
SPRED2 LTC4S -
SPRED2 BCL2L1 +
WNT10A VIM +
WNT10A GTF3C1 +
MYBL2 CYP3A4 +
MYBL2 PSG1 -
MYBL2 MSN -
MYBL2 RNMT -
MYBL2 HOXB9 -
RPS6KA6 SLMAP +
RPS6KA6 NDUFV1 -
RPS6KA6 TSPAN31 +
GBP1 SIVA1 -
GBP1 CDC37L1 -
GBP1 XPNPEP1 +
TRIP13 GAK -
TRIP13 CBX3 -
TRIP13 TRIM25 -
TRIP13 DCAF7 +
FOXP3 HSA-MIR-7 -
FOXP3 HSA-MIR-155 -
FOXP3 PIR -
HSA-MIR-211 FOSB -
HSA-MIR-211 GTF2H3 +
HSA-MIR-211 ATP1B2 +
HSA-MIR-211 LOC254896 +
LTC4S RRM2B +
LTC4S F2R -
LTC4S RNF111 +
LTC4S SLC28A2 +
NCR2 TMPO +
NCR2 RPL22 -
NCR2 BUB3 +
MMP9 ABCC1 -
MMP9 HOXA2 +
MMP9 MAML3 +
TSNAX HSP90AA1 -
TSNAX BIK -
TSNAX EIF4ENIF1 -
TSNAX PKP1 +
ARC CPT1C +
ARC SCNN1A -
NBR1 LECT1 +
NBR1 KCNJ2 -
NBR1 USPL1 +
PTGS1 SPRED1 -
PTGS1 AP2A1 -
PTGS1 DHRS4 +
CKS1B FOLR1 +
CKS1B PIK3CD +
CASR G6PC -
CASR REC8 -
CASR P2RX1 +
CASR BCL9L +
SCYL2 TRMT12 -
SCYL2 SPANXA1 -
SCYL2 ZNF654 +
SCYL2 ACYP2 +
GCFC2 DLC1 -
GCFC2 TFAP2B +
GCFC2 MIA2 +
SFXN3 HNRNPA1 +
SFXN3 NLRP5 -
APOE SOCS1 +
APOE BMPR1A +
APOE CDC26 -
CYYR1 XRCC5 -
CYYR1 KRT12 +
CYYR1 NELL1 -
CYYR1 TMF1 -
ZNF234 AHSG -
ZNF234 SMPD3 +
ZNF234 SFXN3 +
ZNF234 CSE1L -
MPG RECQL5 -
MPG DLEU1 -
MPG ANAPC7 +
KIAA1274 ESRRG -
KIAA1274 ABCC3 +
KIAA1274 MPL +
KIAA1274 ETV5 -
PCBP4 RDH16 +
MGEA5 HPGD +
MGEA5 POLR2G +
MCM8 EI24 +
ABCB10 SCOC +
ABCB10 MPL -
ABCB10 C14ORF149 -
ABCB10 AP2M1 -
UBA52 PRG3 +
UBA52 RANBP3 -
UBA52 HBP1 +
UBA52 HMGCS2 +
UBA52 DECR1 -
SLC1A4 RPL10 +
CEBPZ ALDH3A1 -
CEBPZ BIRC6 -
CEBPZ AXL +
CITED1 PDCL +
CITED1 TPO +
ARMC4 CTBS -
ARMC4 ERCC8 +
ARMC4 CTNNA3 -
MUC4 MCL1 -
MUC4 DRD1 +
MUC4 MMP12 -
MUC4 APC2 -
A2M PEX6 -
A2M OVGP1 +
A2M REG1A +
NELL1 MAT2A -
IL3 TNPO1 +
IL3 MUC2 +
TRPC7 CD6 -
TRPC7 LRIG1 -
IL4 HSA-MIR-29A -
IL4 SURF6 -
KIAA0020 CDC14A +
ANAPC4 ITGB3 -
ANAPC4 SERF2 -
PML PSMC5 +
PML GNAI2 -
PML CCNA1 +
PML SRC -
FOSL1 NLK +
FOSL1 HSA-MIR-222 +
FOSL1 SOX17 +
FOSL1 HSA-MIR-221 -
ELK3 TBKBP1 +
ELK3 PSMC6 -
ELK3 COL2A1 +
SOCS5 ARHGDIG +
SOCS5 TIMP3 +
SOCS5 PPP2R1B -
MAPK9 MAPK8 -
MAPK9 SCNN1B +
NDUFB3 NINJ1 +
NDUFB3 PFAS -
NDUFB3 GRK4 +
ADIPOR2 CSF1 +
ADIPOR2 CYP26A1 -
ADIPOR2 SPRY2 -
UGT2B4 CEL +
UGT2B4 CHRNA3 +
UGT2B4 LZTR1 +
C8G COL4A2 -
C8G BCL11A -
C8G B3GAT3 +
C8G AOC3 +
C8G TAB1 +
HMGCS1 NAGPA +
HMGCS1 APOC3 +
HMGCS1 F3 -
EHHADH CPT2 -
