source target sign
CEBPE MYB -
CEBPE LTF -
CEBPE MPO -
CEBPE SPI1 -
CEBPE CCNA2 +
CEBPE IGF1R -
CEBPE IL5 -
CEBPE PIAS2 -
CEBPE NOL3 +
CEBPE HSA-MIR-29A +
CEBPE CRY1 +
CEBPE GATA1 +
CEBPE CD14 -
CEBPE TF -
CEBPE MYC +
CEBPE FOXA2 -
CEBPE CCL5 +
NFKBIA CASP8 -
NFKBIA AKT1 -
NFKBIA NFE2L2 +
NFKBIA NFKB2 +
NFKBIA EIF2AK2 -
NFKBIA STAT1 +
NFKBIA TRAF2 +
NFKBIA NFKB1 -
NFKBIA RELA +
NFKBIA AKT2 -
NFKBIA IKBKB -
NFKBIA CHUK +
NFKBIA STAT5B -
NFKBIA TCN2 +
NFKBIA CREB5 -
NFKBIA MAPK3 +
NFKBIA HSA-MIR-34A -
NFKBIA SMURF2 +
NFKBIA IKBKG -
NFKBIA BTRC +
NFKBIA AKT3 -
NFKBIA MAP3K7 -
NFKBIA FBXW11 +
CDK4 PRKX +
CDK4 TP63 +
CDK4 APOA2 +
CDK4 HSA-MIR-15A +
CDK4 NFAT5 -
CDK4 CPT1B +
CDK4 LPL -
CD22 SUFU -
CD22 IRF7 -
CD22 MAPK10 +
CD22 ITGB1 +
CD22 VHL -
CD22 DBF4 -
CD22 HSA-MIR-146A -
CD22 ETV4 -
CD22 HSA-MIR-21 -
CD22 TP63 -
CD22 SOS2 -
CD22 UBE2L3 -
CD22 CDK1 -
CD22 ICAM1 +
CD22 CSNK1D +
CD22 EPAS1 -
HOXB7 TP53 +
HOXB7 CCL5 -
HOXB7 CRABP2 +
HOXB7 MMP9 +
HOXB7 CD14 +
HOXB7 ABL1 +
HOXB7 NKX2-1 -
HOXB7 ODC1 -
HOXB7 TLX1 +
HOXB7 CSNK1D -
HOXB7 TGFB1 +
HOXB7 RARB +
HOXB7 SRF -
VEGFB POU2F1 -
VEGFB RBL1 +
VEGFB SOD1 +
VEGFB CDK2 -
VEGFB AKT1 +
VEGFB RUNX1T1 +
VEGFB TH -
VEGFB CISH -
VEGFB KIT +
VEGFB FCER1A -
VEGFB NOTCH4 +
VEGFB MYCN -
VEGFB CCL5 -
JAK3 GADD45A -
JAK3 ANGPTL4 +
JAK3 APOE -
JAK3 JUND -
JAK3 RXRB -
JAK3 IL2RA -
JAK3 ABCB1 +
JAK3 CPT1C -
JAK3 CISH -
PDHA1 CYP19A1 -
PDHA1 TGFA -
PDHA1 MITF +
PDHA1 CRY1 -
PDHA1 HDAC1 +
PDHA1 EGR2 -
PDHA1 TWIST1 -
PDHA1 NR1D1 +
PDHA1 HTT +
USF2 CYP19A1 -
USF2 POLD2 +
USF2 PSG1 +
USF2 CBS +
USF2 HOXB4 +
USF2 CTSB -
USF2 TNFRSF8 +
USF2 INS -
USF2 TP53 -
USF2 APOE -
USF2 CRABP2 +
USF2 APP -
USF2 PDX1 +
USF2 SLC19A1 -
USF2 CGA -
USF2 CPT1C +
USF2 HMOX1 -
USF2 IL2RB -
USF2 IL3 +
USF2 LIPE -
USF2 CCNB1 -
USF2 GLI1 -
USF2 TGFB2 +
USF2 FCER1A -
USF2 GSK3B -
USF2 AVP +
USF2 APOA2 -
USF2 ALB +
USF2 APOC3 -
USF2 SP1 +
USF2 CEL -
USF2 THBS1 +
USF2 BRCA2 +
USF2 PTGS2 -
USF2 APC +
USF2 IAPP +
USF2 SCD -
USF2 TGFB1 +
USF2 PIGR +
USF2 ATP2A2 -
USF2 CHGA -
USF2 TERT -
USF2 BRCA1 +
USF2 TIMP2 +
USF2 ABCA1 -
USF2 SP3 -
USF2 CEBPA +
USF2 CCND2 -
USF2 TCN2 -
USF2 VEGFC +
USF2 GH2 +
USF2 SERPINE1 -
MMP2 PAX8 +
MMP2 CDK2 +
MMP2 HSA-MIR-221 +
MMP2 TLX3 -
MMP2 PPP2R2C +
MMP2 USF1 -
MMP2 ATP2A2 +
MMP2 IL1B +
VCAM1 FASN -
VCAM1 SOS1 +
VCAM1 LTC4S +
VCAM1 IL1A +
VCAM1 CEBPD +
VCAM1 EPAS1 -
VCAM1 PTHLH -
VCAM1 NFATC2 -
VCAM1 NOTCH3 +
VCAM1 PCNA +
VCAM1 ACSL1 +
VCAM1 BTRC +
VCAM1 APOB +
VCAM1 CPT1C +
MYCN SLC6A4 +
MYCN HSA-MIR-106A +
