source target sign
CUTC MAVS +
CUTC IL17F -
NCOA3 DSG1 -
NCOA3 IL17F -
NCOA3 HSA-MIR-342 -
NCOA3 ANPEP -
CD74 MYC +
CD74 IFNA21 -
CD74 ABCC1 -
CD74 GRPR +
TMEM132A UGT1A10 +
TMEM132A OPRM1 -
NUPR1 PTPN7 -
NUPR1 MYBL2 -
NUPR1 ONECUT1 -
NUPR1 ARNT2 +
TP53AIP1 EIF4EBP2 +
TP53AIP1 POLR3G +
TP53AIP1 RAC2 +
GATA2 PLK1 +
GATA2 FABP3 -
GPX3 TFIP11 -
GPX3 IFNA13 +
CRK SHMT1 +
CRK GBA -
CRK PENK +
INSIG1 NR4A2 -
INSIG1 SOX10 +
INSIG1 CEBPA +
TFPI2 SPRED1 +
TFPI2 BCL11A +
TFPI2 CDH15 -
GPD2 HSA-MIR-146B +
GPD2 HSD11B2 -
GPD2 DBP -
ELN ZFP36L2 +
LZTR1 HRSP12 -
LZTR1 MBL2 -
VCAN FAM184A -
VCAN HSA-MIR-181C -
VCAN IDH3B -
AKR1B10 SLC26A7 -
AKR1B10 SERPINE2 -
AKR1B10 NME1 -
MYCN BIRC3 +
COL7A1 POU2F2 +
COL7A1 AGPS -
COL7A1 GART -
COL7A1 HSA-MIR-429 +
HERC2P2 F9 +
SYPL1 HSA-MIR-92A +
SYPL1 ANLN -
SYPL1 HTR2A -
RBMX CDX2 -
RBMX DNAJA3 -
HLTF HSP90AB1 +
HLTF THBS1 -
HLTF CYP27A1 -
ASAH1 TRAF4 -
ASAH1 EGR4 +
ASAH1 TRIM25 +
SULT1A2 GNAI2 -
SULT1A2 TNFRSF11B +
SULT1A2 GNAI1 -
SULT1A2 PREP -
BMP7 CHP2 +
BMP7 PRKAA1 -
BMP7 MMP26 +
BMP7 FSHR -
BMP7 SLCO4A1 -
RAD18 SULT1A2 +
RAD18 DPYSL3 -
BPI IGHG3 -
RPL27A BMP5 +
RPL27A B4GALT1 -
RPL27A ADH6 -
RPL27A CYR61 +
PTAFR PLEKHF2 -
PTAFR HSA-MIR-191 +
ACYP2 KLF17 +
RBBP8 ARID3A +
RBBP8 TACR1 +
RBBP8 PCOLCE +
RBBP8 NPHS1 +
NRG1 TMEM186 +
NRG1 FLII +
NRG1 CDC25C +
NRG1 CD72 -
PER1 HDAC4 -
PER1 RAC2 +
PER1 SLC27A1 +
PER1 CIAO1 -
NKX2-1 CLK1 -
NKX2-1 CDC45 -
MAFA HOXA10 -
MAFA SNRPE -
MAFA TIMP3 -
MAFA NOS1 -
HIPK2 CSF3R +
HSA-MIR-107 PREB +
HSA-MIR-107 LDHA -
HOXB2 NEFM -
HOXB2 MMP26 -
HOXB2 BMP6 +
HOXB2 EPHX1 -
HOXB2 CGA -
PIK3R1 HSD17B2 -
PIK3R1 CXCL10 +
MDM4 LEF1 +
MDM4 SLC25A21 -
PTPRB PEX5 -
PTPRB AOC3 +
PTPRB RORB +
PTPRB ATP5A1 +
PTPRB KCNK10 -
GJC1 ATP1A1 +
NPY1R ZNF785 -
NPY1R HSA-MIR-125B +
NPY1R KRT4 +
RIPK1 IRAK2 +
CD44 PIK3C3 -
CD44 SCARF1 -
DTX2 NEK4 +
DTX2 CYP3A7 -
AMELY TLX3 -
AMELY IL2RA +
AMELY FMR1 +
TSC22D3 HMGN2 -
TSC22D3 NINJ1 -
HSPA9 CLOCK -
HSPA9 TCN2 -
HSPA9 MAP3K12 +
HSPA9 EGLN2 +
F3 XAGE1C -
F3 C8ORF76 +
CRADD ETFDH +
CRADD TOP3A +
CRADD CD38 +
CRADD PPP2R1A -
HSA-MIR-34B PSMC4 -
HSA-MIR-34B BTG1 +
HSA-MIR-34B PRKAR1A +
RNASE2 TMEM5 -
RNASE2 CNIH4 +
RNASE2 DBF4 -
AKT2 PRKCB +
AKT2 SESN1 +
GNAI1 RPS6KA3 -
GNAI1 PTDSS1 +
GNAI1 PPP4C -
KCNK10 SMAD2 -
KCNK10 RPL22 +
PRDM1 PRKCA +
PRDM1 BARD1 +
PRDM1 ZMIZ1 +
PRDM1 DCK -
PPP2CB ACCS -
SPRR1B HSA-MIR-596 -
ALOX5 HSA-MIR-335 -
ALOX5 SAR1A -
PDPK1 FSHB +
PDPK1 PDIA3 -
XCE HSA-MIR-448 +
XCE MSR1 -
XCE HIST2H2BE +
LINGO1 PIK3R3 +
LINGO1 ARC -
LINGO1 CDH17 -
LINGO1 PLIN1 -
FUT4 EGR3 +
FUT4 HSA-MIR-106B +
FUT4 LRRTM1 -
FUT4 TTC6 +
FUT4 MUT +
FBP2 CCND2 -
FBP2 ZNF134 -
FBP2 DCLK1 -
FBP2 HES1 -
OLFML3 CSTA +
OLFML3 HLA-DOB +
OLFML3 BIRC3 -
ACAN RTP4 +
ACAN FSHR +
ACAN NTHL1 +
ACAN TAB2 +
FAS SIX1 +
PEX5 AKR1C3 -
PEX5 ANAPC7 -
F2 HSA-MIR-20B +
F2 SYNGR1 -
F2 BNC1 +
F2 CD97 +
CDC25C PSENEN -
CDC25C STX11 -
CDC25C PSMD3 -
CDC25C ELF3 -
CDC25C SPANXA1 +
CDC25C TFF3 +
BAG1 HSA-MIR-19B -
BAG1 APOA5 -
BAG1 KAT7 -
BAG1 UBE2C -
BAG1 MSN +
SPRED1 C10ORF46 -
SPRED1 WNT9A -
SPRED1 MECOM +
SPRED1 CTBP1 -
SPRED1 PRDM4 -
ZNF202 TRIM45 +
ZNF202 NPPA -
ZNF202 PIAS3 +
ZNF202 RPL37 +
ZNF202 MDH1 -
ZNF202 ONECUT1 +
IBSP ERF -
IBSP CYP1A2 -
IBSP SNRPA -
HOXD4 F13A1 -
HOXD4 DOK1 +
HOXD4 BEND7 +
HOXD4 CSAG1 +
HOXD4 TEAD4 +
HOXD4 SUV39H1 +
AQP3 NKX2-8 +
AQP3 KDR +
AQP3 SERPINB9 -
OSR1 THOC6 -
OSR1 HIGD1AP1 -
OSR1 MTCH1 +
OSR1 ID1 -
ATP5B PLEKHF2 +
TAB1 TRIP12 -
TAB1 EIF4ENIF1 -
TEK TPO -
TEK TRIT1 -
TEK UNC119 -
ALDH1A3 PDIA3 +
ALDH1A3 GJB2 -
HNRNPAB CLU -
HNRNPAB CCT7 +
E2F6 LOC283392 -
E2F6 CCDC6 -
SP110 SYT1 -
SP110 NDUFS1 +
SP110 PPP2R2D +
GRM5 PIAS2 -
GRM5 ABCE1 +
GRM5 SMC3 +
SNRPG SIGMAR1 -
SNRPG NINJ1 +
SNRPG TRIM69 +
PGK1 USP4 +
PGK1 NDUFB5 +
PGK1 CSRNP3 -
DGKB HBP1 +
DGKB GABARAP +
DGKB ACTG1 -
DGKB MFSD6L +
DGKB ITGAX -
RAD51B PYCR1 +
RAD51B ADIPOR1 -
RAD51B CREB3 -
RAD51B HNRNPA1 +
MAD2L1 NEUROG3 +
MAD2L1 LGALS1 +
MAD2L1 APLP1 -
MAD2L1 CD86 -
MAD2L1 C9ORF72 -
MAD2L1 EGR3 -
NNAT RRP9 -
NNAT ALDH5A1 -
NNAT ZFC3H1 +
ANAPC1 TERT +
ANAPC1 SLC2A2 -
ANAPC1 MALT1 +
ANAPC1 POU3F2 -
CDH5 LIG3 -
CDH5 TRIP6 +
CDH5 CD79B +
RBL2 STAT5B +
RBL2 DUSP4 -
NGF HIP1 +
NGF THBS4 -
IGF1R WRN +
IGF1R CA2 -
IGF1R HNRNPUL1 +
IKBKB THOP1 +
H2AFZ KLK15 +
H2AFZ TTC6 +
GK TBXAS1 +
GK SORBS1 +
GK PDHA1 -
COASY MCM2 +
COASY SCYL2 -
COASY BUB3 -
LOR GJA1 -
LOR SFPQ +
TRAF1 CXCL1 +
TRAF1 RPL36A -
PFDN6 CYP17A1 +
PFDN6 CSF1 -
PFDN6 PIK3R5 +
PFDN6 SLC11A1 +
PFDN6 MAML2 +
CLDN2 RPL19 -
CLDN2 TNFRSF10D -
HSA-MIR-92A PNRC1 -
NRIP1 S100B +
NRIP1 ERCC1 -
NRIP1 PRG3 +
NRIP1 SRSF5 +
NRIP1 SPP1 -
NRIP1 DTX1 -
CTGF DPM2 -
CTGF HIP1 +
PGC STAT5B -
PGC RELB -
OXT C16ORF54 -
OXT DEFB104A +
OXT GABRA4 +
LSM1 COX4I1 -
LSM1 ACADL +
VMP1 WNT9A -
VMP1 HMGA1 +
NR3C1 LMNB2 +
NR3C1 KIF4A +
CA7 DPM2 -
CA7 SQSTM1 +
CA7 CCDC33 +
PTOV1 DUSP11 +
PTOV1 KCNJ5 +
PIM2 LEF1 +
PIM2 TSPAN31 +
PIM2 PRODH +
PIM2 COL18A1 +
C19ORF70 CRYBG3 -
C19ORF70 SLC10A1 +
C19ORF70 SCGB1D1 -
C19ORF70 SRC -
C19ORF70 ADORA1 +
NEK2 SFTPC +
NEK2 STRA6 -
APC BEAN1 -
APC IHH +
APC MDK -
NAGPA DPH2 +
NAGPA EPO +
NAGPA CD164 -
NAGPA C11ORF71 +
NAGPA PAK7 -
CPT2 MAN2A1 +
CPT2 CHKA +
CPT2 RXRB -
DFFB ELK3 -
DFFB CYP4A11 +
DFFB SULF2 -
DFFB HSA-MIR-10B -
PSG9 MBD5 -
TAC4 CETP +
TAC4 HSA-MIR-451 -
TAC4 TSC2 +
TAC4 AMPD3 -
TAC4 COL11A2 +
IKZF1 ARL6IP5 -
IKZF1 DEFB104A -
IKZF1 ASB9 +
IKZF1 PEF1 +
SEC63 FAM184A -
DTX1 B4GALT5 -
DTX1 CUL5 -
HIST2H2AB RUNX1 -
SERPINB1 HSA-MIR-141 -
SERPINB1 MOG +
SERPINB1 ARL1 -
KLF1 CPSF1 -
KLF1 FYN -
EFEMP1 AKR1B1 +
EFEMP1 CRYZ +
EFEMP1 MME -
EFEMP1 KCNH4 +
STK36 PGRMC1 -
STK36 ADAM28 +
RPS21 NR5A2 -
RPS21 RBM39 -
MEN1 ZNF451 +
MEN1 FKBP2 +
PELP1 POU5F1 -
PELP1 RNF128 -
PELP1 DCLK1 +
PELP1 TMCO5A +
PELP1 KRT82 +
PELP1 VEGFB -
CHGA GJA1 -
CHGA AASDHPPT +
CHGA ANXA13 +
CHGA BCR -
CHGA RPL32 +
CHGA SFPQ +
CXCR5 FOXO3 -
CXCR5 DNM3 +
WAPAL BUB1B -
WAPAL GPR137C +
WAPAL STX3 +
ANKRD16 AKR1B1 +
ANKRD16 SLC3A2 -
PRDM2 FOSB -
PSMA5 NDUFA2 +
PSMA5 MED17 +
PSMA5 HSA-MIR-338 -
ARRB2 ANKRD16 +
POU2F2 SUZ12 +
POU2F2 IVL -
MIPEP RPS10 -
MIPEP CDKN1A -
MIPEP MAPRE2 -
C16ORF80 BACH1 +
C16ORF80 ZMAT3 -
C16ORF80 ALKBH4 -
SEC23B CD7 +
SEC23B MBL2 -
SEC23B HSA-MIR-18A +
SEC23B BPIFA1 +
PPP1R3C LYN +
PPP1R3C EPHA1 +
PPP1R3C BDKRB1 -
PSMA1 EFEMP1 +
PSMA1 GALC -
PSMA1 FOLR1 +
MNX1 PNRC1 -
MNX1 RGN +
AQP7 HOXD9 +
AQP7 PTTG1IP +
AQP7 FRY +
AQP7 CFDP1 -
ADAMTS14 ALOX5 -
ADAMTS14 SLC10A1 -
ADAMTS14 TFF3 -
KRT19 PTGES -
KRT19 ATP5A1 +
TSNARE1 DBF4 +
TSNARE1 TAB1 +
MAP1A COX4I1 +
MAP1A TGM4 +
PRKAA2 KLK3 +
PRKAA2 CCKBR +
PRKAA2 STAT3 +
MPO CTNNA1 +
MPO PDK2 +
SLC3A2 SLC12A2 -
SLC3A2 HSD17B4 +
SLC3A2 P2RX3 +
BIRC5 SNRPA -
BIRC5 IGFBP3 +
PHB ZBP1 +
PHB TLR8 -
RGS2 VPS4A -
RGS2 BMP7 +
RGS2 LTC4S -
RGS2 CSRNP3 +
CARD11 MUC2 -
CARD11 EEF1B2 -
DBF4 ETFDH +
FURIN MAGEC3 -
FURIN S100A6 +
FURIN SLC39A6 -
FURIN MYC +
FURIN IRAK2 -
FURIN C8ORF76 -
FURIN ZNF165 -
FURIN PRKCI +
DUT FGF1 -
PRKAG3 CD86 -
PRKAG3 NLRP5 -
PRKAG3 BAG1 -
EEF1A1 C17ORF65 -
EEF1A1 MAPRE1 +
EEF1A1 CSTF1 -
EEF1A1 NFIA +
EEF1A1 CPT1C -
EEF1A1 MCM4 +
TANK UGT2B4 +
TANK CSF2 +
TANK CSK -
TANK VAMP1 +
TANK DDX11 -
RPS6 HSA-MIR-135B +
TNFAIP2 SPRY2 -
TNFAIP2 BAI2 +
EIF2AK2 SAV1 +
EIF2AK2 KCNG4 +
EIF2AK2 SRC -
EIF2AK2 HNRNPA1 +
UBE3A PRF1 +
UBL3 PRF1 +
UBL3 PIR +
UBL3 HSA-MIR-301B -
MAPK8 NR1D1 +
MAPK8 KIAA0586 -
RPL37 PGRMC1 -
HOXB13 CRX -
HOXB13 ALOX5AP -
HOXB13 SRI -
RFXANK ITGB1 -
RFXANK PTPRG +
RFXANK SAT1 -
FHIT RBP1 -
FHIT ATP1B3 +
ELANE PBK -
ELANE DLL3 -
HSA-MIR-219 PTCRA -
HSA-MIR-219 SLC35G1 -
HSA-MIR-219 HSA-MIR-206 -
HSA-MIR-24 NPR2 +
FADS3 TPR -
FADS3 ORC3 +
FADS3 TERT -
FAM59A AKR1C3 +
FAM59A ATP1A2 -
FAM59A PIGR -
FAM59A GLIPR2 +
FAM59A PPP3CB -
FAM59A PRODH +
RAB40C CSRNP3 +
FRY ATP1B4 +
BMP4 ESR1 -
BMP4 TPT1 -
ATP10A ERCC8 -
ATP10A FAS -
HOXC8 ZNF292 +
HLA-DRA NPEPL1 -
HLA-DRA SETDB1 -
HLA-DRA CCHCR1 -
NOL3 ENO2 +
NOL3 ATP12A -
SMARCA4 ALDH3A1 +
SMARCA4 COPS5 -
SMARCA4 CHUK -
SMARCA4 LRRN2 -
TBKBP1 PIAS2 +
TBKBP1 PLSCR4 -
TBKBP1 ADORA1 -
TBKBP1 POU2F3 -
MCM3 SFN -
HSPA4 VASP +
HSPA4 MUM1 -
NKTR ARL6IP5 +
PCF11 DTX1 -
