source	target
ETS1	MET
PAX2	TP53
USF1	FCER1A
E2F4	SLCO4A1
NFATC3	PTGS2
MYC	EIF4H
FLI1	ANPEP
TFAP2A	SPHK1
ELK4	MAPK1
JUN	DMD
USF1	PF4
MYC	HRSP12
GLI1	FBXW11
GLI3	MTSS1
LEF1	NOL3
NFIC	ELN
CREB1	DIO2
PPARD	UCP2
AR	ADIPOR2
MCM2	ORC5
CREB1	DDX5
JUN	SELE
MYB	MPO
JUN	PRNP
STAT5B	ANGPTL4
TP53	MAPK14
ELK1	CCND3
FOS	CDK4
JUN	HRH1
SP3	HSD17B1
PDX1	MNX1
SMAD4	SMAD2
SP1	APP
TLX1	hsa-miR-19b
MYC	CASP8
USF2	INS
HOXA1	TST
RXRA	AQP7
RELA	HSPB1
ETV4	OAS2
E2F1	CUL5
JUN	KRAS
TP53	BIRC2
MYC	SLC25A11
DDX5	hsa-miR-182
TP53	DUSP12
TP53	PSEN1
MYC	PRKRIR
E2F1	APLP1
TFAP2A	VEGFC
SP1	SLC1A4
NFIC	NEFM
E2F1	DNER
RXRB	PPARG
NFKB1	NR4A2
TP53	IL15
NFKB1	PDCL
E2F4	KRT19
ATF1	TOP1
SMAD1	BMPR1B
E2F4	SRSF8
E2F1	SAV1
STAT6	SOCS7
MYC	MFAP1
AR	FGB
PAX8	DIO2
E2F2	SCML1
EGR1	EPX
NR3C2	SCNN1G
RBPJL	KAT2B
STAT5B	PIM1
STAT5B	FLT3
PIAS1	MAX
TFAP2A	ATP2A3
RELA	CFTR
CREB3L4	AQP2
WT1	FOXD1
POU2F1	TXNRD1
ATF1	POLB
RELA	RELB
STAT5A	MUC1
ETS1	PGF
E2F4	MAD2L1
E2F4	SUPT4H1
ATF1	UGT8
MYC	ATF4
RXRA	PLIN1
MYC	ARF4
E2F2	DOCK9
TP53	BIRC3
SP1	CYP11A1
PAX1	SLC22A8
NOTCH3	NCSTN
SP1	REL
E2F1	DPCD
ETS1	ABCB1
E2F1	ZFC3H1
TFAP2A	TPO
FOS	TSHB
SP3	IGFBP3
MYC	CDK5R1
E2F2	HIST2H2AA3
NFATC4	PPP3CC
JUN	POU1F1
GLI1	FOXA2
GLI3	CSNK1D
ATF2	MAPK13
E2F1	C11orf71
TFAP2A	SRC
PPARD	FABP3
CDKN1A	hsa-miR-449b
MYC	RBM15B
ESR1	AKT2
NOTCH3	RBPJL
AR	PRKCA
E2F4	MRPS6
PPARA	CPT1B
CREB1	CCL5
CTNNB1	hsa-miR-373
E2F1	ATP5F1
SUFU	SMO
E2F4	THOP1
E2F1	ST6GALNAC2
ATF4	MKNK1
ARNT2	EPAS1
MYC	ENO1
EGR1	GCG
SMAD4	hsa-miR-143
E2F1	TRIP12
MYC	RPS16
SMAD1	SMAD7
ATF1	HSPA5
ETV4	MMP12
NOTCH2	DTX4
E2F4	GABPA
SP1	SRC
SOX2	hsa-miR-302d
E2F4	DRG1
E2F4	RFC3
SMAD4	ID3
GLI3	PTCH1
ARNTL	RORC
SP1	TAL1
POU2F1	RRM2B
E2F4	MCM6
ESR1	IGF1
TP53	TBP
E2F1	PRKAR1A
RELA	NFKBIE
E2F2	EXT2
E2F1	CEP89
GEMIN2	hsa-miR-141
STAT4	SOCS2
ESR1	hsa-miR-18b
NPAS2	BHLHE41
HES1	NEUROG3
MCM5	ORC3
E2F1	CCND1
ORC2	MCM7
E2F1	SSFA2
RXRB	ME1
NFKB1	IL2RA
NKX2-2	GCK
GLI1	WNT3
E2F1	BECN1
TFAP2A	TOP1
HIF1A	EGLN3
E2F1	CDKN2C
MYC	ZNF410
STAT3	BIRC5
MYC	NIT1
SMAD4	DACH1
RELA	BRCA2
MYB	CREBBP
E2F4	ID3
POU5F1	hsa-miR-302a
U2AF1	IL8
JUN	CCL5
E2F2	HESX1
PPARA	FCER1A
MYC	PARP1
ETS1	NME1
USF2	APOE
EGR1	RET
E2F3	hsa-miR-106b
STAT3	KIT
WWP1	PDGFRA
USF1	TGFB1
E2F4	GNAS
MYC	SMAD6
E2F1	ADH6
TFAP2A	ACSL3
AR	RARRES3
E2F4	GADD45A
NFKB1	PTX3
E2F2	DTX1
RARA	FBP2
CREB1	TRB@
STAT2	SOCS5
IKBKB	AKT3
SP1	UBE2L3
HIF1A	CCL16
ESR1	MYC
E2F2	SSR4
EGR1	hsa-miR-130b
STAT1	PRF1
SOX9	hsa-miR-140
IRF3	CXCL10
MYB	PA2G4
NOTCH4	DTX3
ESR1	NCOA1
