source target sign
GORASP1 NEFL_2 +
AKAP10_3 PRKAR2B -
FGA_5 AGTRAP -
RBM10 HNRPLL_3 +
SMUG1_2 SKIL +
KHDRBS2 ZNF688_4 +
FGA_8 MEOX2 +
CRK_2 ASAP3 +
CRK_2 DPPA4 +
HOMEZ ZNF688_4 +
HOMEZ AXIN1_3 -
HOMEZ RPGR_2 +
PSTPIP1 AXIN1_2 -
PSTPIP1 RXRB_2 -
S100A1_2 REL +
STRBP_1 A2BP1 +
STRBP_1 ZMAT4 -
FAM22F NCK1_2 -
FXR2 NDN_2 -
ALS2CR12 CRK_2 -
BAG1_1 TRIM27 +
FAM126A_3 CCNDBP1 +
L3MBTL2_1 BEND7 -
DCTN4_1 GOLGA2 +
C6orf142_2 REL +
FOXM1 BANP_5 +
STUB1 DYX1C1_1 -
CCDC114 HGS_2 -
SKIL NEFL_2 +
SKIL VPS28_1 +
BBS4_1 REL +
ARSA_1 TRIP13 -
KRTAP4-12 AXIN1_2 -
KRTAP4-12 AXIN1_3 +
INTS4 HGS_1 +
BCL2L1_1 BIK -
BCL2L1_1 BMF +
ELK3 CRK_1 -
GMPPA ZNF688_2 -
GMPPA BTC_1 -
TSTD2_1 L3MBTL3 +
TSTD2_1 SSX2IP +
SP4 BANP_7 -
MAL2 FAM64A_2 +
MAL2 GAD1_1 +
RTN3 NDRG4_1 +
ZGPAT_2 TP53BP2 -
ZGPAT_2 CEP70 +
ZGPAT_2 CCDC33 -
ZGPAT_2 BEND5 +
ZGPAT_2 DHX15 +
ZGPAT_2 AES -
ZGPAT_2 BLZF1 -
ZGPAT_2 MID2 +
ZGPAT_2 ZBTB8A -
ZGPAT_2 TRIM27 +
ZGPAT_2 AIMP2 -
ZGPAT_2 CDR2 -
ZGPAT_2 IKZF3 -
ZGPAT_2 LZTS2 +
FAM168A HGS_2 -
FAM168A HGS_1 +
RINT1 ZNF688_4 +
RINT1 PSTPIP1_3 +
RINT1 FAM64A_2 +
RINT1 ZNF688_2 -
SDC3_1 KRTAP2-4 +
SDC3_1 KRTAP5-9 -
USP53 CRK_2 +
USP53 CRK_1 +
ABI2 ZNF688_4 +
GAD1_2 MAL2 +
GAD1_2 AGTRAP +
GAD1_2 KRTAP3-2 -
HNRNPK ZNF688_4 -
HNRNPK RBM14_1 +
CCNDBP1 FAM64A_2 -
CBLB PRMT2_1 -
CBLB NCK2_1 +
ZFYVE19 AXIN1_2 +
TRIM17 HGS_1 +
MEF2A_3 MEOX1 +
TRIM15 AXIN1_2 +
GAD1_1 AGTRAP +
ZNF688_4 KRT13 -
ZNF688_4 FHL5 +
ZNF688_4 MEOX2 +
ZNF688_4 CADPS -
ZNF688_4 TRIP6 -
ZNF688_4 TMCC2 +
