source target sign
ALS2CR12 RINT1 -
SDCCAG3 FHL5 +
SDCCAG3 C15orf55 +
BLZF1 CCDC33 -
BLZF1 TOX4 +
KIF9 ACBD4_4 +
C6orf142_2 KRTAP12-2 -
C6orf142_2 SCYL1 +
SGCA_1 STUB1 +
MLF1_5 ZCWPW1_4 -
MLF1_5 ZBTB24 -
MLF1_5 TEX9_1 +
FHL3 APBB1IP +
FHL3 ZBTB16_1 -
FHL3 CLCN2_3 +
BBS4_3 HSPD1_1 +
UPP2_1 UPP2 -
UPP2_1 SIAH1 -
LHX4 ANKMY1_2 +
LHX4 SUMO1 -
FAM126A_2 DDX39B -
FAM126A_2 RNF111 +
FAM126A_2 CCNDBP1 +
FAM126A_2 FHL3 +
MAL2 GAD1_1 +
IKZF1 SYCE1 -
RBM5_2 RBM5_1 +
RBM5_2 CAPN3_2 +
RBM5_2 MEOX1 +
PAK1IP1_1 ZBTB1 +
PAICS TP53 -
GAD1_1 ABI2 +
GAD1_1 CRK_2 +
MIPOL1 BANP_3 +
MIPOL1 AES +
MIPOL1 SORBS3 +
ZBTB24 MPV17_2 +
NCK1_3 ABI2 -
NCK1_3 COG8 -
AHCYL1 EFEMP2 -
AHCYL1 RNF111 +
AHCYL1 RPGRIP1 -
RXRB_4 CALCOCO2 -
RXRB_4 CCDC57 -
RXRB_4 TP53BP2 -
SYCE1 BMF -
ZBTB8A CLCN2_2 -
DLX3 COG7_1 -
DLX3 NRF1 +
USHBP1 MXI1_1 +
USHBP1 FAM64A_2 +
KIAA1712 CCDC36 -
TCL1A AKT1_2 -
TCL1A AKT1_1 +
TCL1A YARS_2 -
BANP PHF21B_3 -
BANP BANP_2 +
BANP PHF21B_2 -
ABCF3_1 EHMT2 -
ABCF3_1 DDX39A +
CMTM5 SHMT2_1 -
CDX4 LHX4 -
CDX4 SF3B4 -
EFHA1_2 RBM12B -
EFHA1_2 KRT33B -
DDX39B BAD +
FANCG_3 HGS +
FANCG_3 GORASP1 +
UPP2_2 HMG20A +
UPP2_2 PTBP1 +
PSMA3 ALS2CR12 -
PSMA3 DGUOK_5 +
FCHSD2 NOTCH2NL -
FCHSD2 RNF111 -
FCHSD2 C1orf94 +
FCHSD2 DCTN4_3 -
C10orf18 MIER2 +
ZFYVE19 ACTN4_4 +
ZFYVE19 RXRB_4 +
ZFYVE19 SGTB +
CD99L2_1 AMOTL2 +
C1orf94 GINS3_1 +
C1orf94 VPS52 +
BBS4_1 USHBP1 -
BBS4_1 RBM5_2 -
BBS4_1 BEND5 -
KLC3 ALS2CR12 -
KLC3 PLSCR1 +
KLC3 PTBP1 -
EFEMP1_1 TRAF2 -
EFEMP1_1 CADPS +
HSFY1 EXOSC8 -
HSFY1 GINS3_2 +
TSG101 GORASP1 +
TSG101 ZBTB16_1 -
TSG101 TEX11 -
L3MBTL2_1 BEND7 +
NME5_3 STUB1 +
NME5_3 CEP76 -
NME5_3 ZYX -
NME5_3 RFX6 +
TRIM9 BTRC_1 +
TRIM9 MEF2A_3 -
METTL17_1 SPERT -
RPGRIP1 EFEMP1_1 +
RPGRIP1 SPERT +
FHL5 PHF21B_3 -
KRTAP10-9 KCNIP4 -
KRTAP10-9 TRIM69 -
KRTAP10-9 MOBP_2 -
KIFC3 COG7_1 +
KIFC3 JMJD5_1 +
KIFC3 COG7_3 +
KIFC3 FAM154A -
EFEMP2 LAMB3_2 -
ZBTB16_1 RXRB_3 +
DOLK_2 C10orf18 -
DOLK_2 KRTAP4-2 -
FGA_8 TMCC2 -
FGA_8 SHMT2_1 -
FGA_8 SPERT -
TRAF1 METTL17_4 +
TRAF1 CD99L2_1 +
SPRY2 KHDRBS2 -
SPRY2 KRTAP12-2 -
TFCP2 LSM1_3 -
TADA2A FANCG_3 +
PLSCR1 RFX6 +
PLSCR1 CRK_2 +
KRTAP4-2 GALT_1 -
KRTAP4-2 RBM10 -
KRTAP4-2 SDC3_1 +
PNMA1 METTL17_1 -
PNMA1 TEAD4_2 -
PNMA1 IVD_3 -
STK25_1 DYDC1 +
STK25_1 CAPN3_2 +
DHX15 IKZF3 -
DHX15 LCP2 +
DHX15 CMTM5 +
SMUG1_2 TRIM23 -
SMUG1_2 SKIL +
METTL17_4 MID2 -
METTL17_4 PNMA1 -
HNRPLL_1 CEP72 +
HNRPLL_1 HNRNPK -
KRT40 FOXM1 +
CEP76 CAPN3_2 +
CEP76 TOX4 +
ZBTB26 RPGR_1 -
GALT_2 KRTAP12-2 +
GALT_2 NRF1 +
CBLL1 TMEM67_3 -
CBLL1 GFAP -
CBLL1 DOLK_2 +
CBLL1 IVD_3 -
IKZF3 TSTD2_1 +
IKZF3 DCTN4_1 +
SLC25A10_1 BLZF1 -
SLC25A10_1 CLCN2_3 +
SLC25A10_1 GAD1_2 -
KRTAP4-12 CCDC99 -
KRTAP4-12 ZNF341 +
KRTAP4-12 INTS4 -
JUP ZNF473 +
JUP KRT6A_2 +
RHOXF2 ZBTB32_1 +
RHOXF2 SEC63_1 +
RHOXF2 RBM5_1 +
RHOXF2 NOTCH2NL -
FANCC_2 RARA -
FANCC_2 CEP57L1 +
FANCC_2 FGA_2 -
FANCC_2 DES -
STAC3 L3MBTL2_1 -
STAC3 ZFP64 +
STAC3 EHMT2 +
C6orf142_6 MIPOL1 -
UBL7 DDX17 -
UBL7 SPRY2 -
DCTN4_3 RBMY1F +
DCTN4_3 SUMO1P1 -
TRIM17 RBMY1F +
TRIM17 KIAA1712 -
CBLB PRMT2_1 -
CBLB TEAD4_3 -
CBLB KIAA0753 -
CBLB TRIM23 +
FANCG_2 TADA2A -
FANCG_2 C10orf96 +
FANCG_2 USHBP1 +
NBR1 TRIM37 +
NBR1 SPAG5 +
NBR1 AXIN1_3 +
AMMECR1_1 TENC1 -
AMMECR1_1 ADAMTSL4 +
C12orf10 CCDC36 -
C12orf10 TRIM37 +
C12orf10 KRT19 -
ZFY NOTCH2NL +
ZFY L3MBTL2_1 +
ZFY PQBP1_1 +
TRIM42 GAD1_2 +
MIER2 FAM131C +
MIER2 C10orf96 -
MIER2 ZBTB26 +
ZBTB7B JUP -
ZBTB7B SERTAD3 -
TCF12 ZGPAT_1 -
MTUS2 TEAD4_2 -
MTUS2 LHX8 -
SF3B4 JUP -
TRIP13 GALT_2 +
NLGN3_2 ZC4H2 +
NLGN3_2 PCBD1 +
RABAC1 S100B_2 -
RABAC1 PRMT2_1 +
SMN2 MAPK1IP1L -
SMN2 CCDC67 -
SMN2 KLC3 +
C10orf96 TFIP11 +
C10orf96 HOMEZ -
TRAF4 LAMB3_2 -
TRAF4 ZBTB7B -
TRAF4 BBS4_3 +
IVD_3 RNF111 -
IVD_3 SORBS3 +
DYX1C1_1 SGCA_2 -
BANP_3 SP4 +
BANP_3 BANP +
BANP_3 MEOX1 +
EMILIN1 SDCCAG3 -
EMILIN1 COG7_3 -
TEX11 FAM154A +
TEX11 GFAP -
ACBD4_4 REL -
ACBD4_4 MEOX1 +
ZMAT4 FCHO1 +
ZMAT4 FHL5 -
KRTAP2-4 RBM5_1 -
KRTAP2-4 FHL2 -
MBIP ZNF473 -
MBIP AKAP10_5 +
FAM154A TRIM42 +
LHX8 TP53 +
LHX8 WWP2 -
FAM126A_3 DOCK8 +
FAM126A_3 TP53 -
FAM126A_3 CCNDBP1 +
FAM126A_3 LDOC1 +
MED7 TENC1 -
MED7 CEP72 +
MED7 MID2 -
KRTAP5-9 SLC25A10_1 +
HOMEZ RPGR_2 +
NCF2_1 RUNDC3A +
SCYL1 STX11 +
SCYL1 LHX8 -
EFEMP1_2 TRAF2 -
EFEMP1_2 CD99L2_1 +
EFEMP1_2 SGCA_2 +
PLK4 TSG101 -
PLK4 KRT31 -
GPRASP2 EFHA1_2 -
GPRASP2 UBL7 -
GPRASP2 RBM5_1 -
SGTB COL1A2_5 -
THAP1 PTBP2 -
THAP1 ABCF3_2 -
SUCLA2_1 KIAA1712 +
SUCLA2_1 CMTM5 +
SHMT2_1 ARL6IP1 -
SHMT2_1 MAL2 -
TRAF2 FCHO1 -
TRAF2 ETV6_2 -
AKAP10_3 COPS4_1 +
AKAP10_3 PRKAR2B -
AKAP10_3 RPGRIP1 -
EFS NCK1_3 -
EFS HGS +
FAM22F EXOC5 +
FAM22F HSPA8 +
FANCC_1 TENC1 +
NUP62 NMI +
NUP62 PAK1IP1_1 -
CCDC99 DYX1C1_1 -
CADPS EFHA1_2 -
CADPS FAM168A +
ACBD4_2 ABCF3_1 -
ACBD4_2 FBXO8_2 -
ACBD4_2 RCOR3 +
COG5 FHL5 -
COG5 ZBTB8A +
REL YARS_2 +
RCOR3 PHF21B_3 -
RCOR3 ABCF3_1 -
RCOR3 PHF21B_2 -
SORBS3 FANCG_5 +
SORBS3 KRT19 -
ATF4 TACC1 +
ATF4 BTRC_3 -
PRR20A KRTAP5-9 -
PRR20A ZMIZ2 -
SSX2IP C6orf142_6 -
CALCOCO2 METTL17_1 -
CALCOCO2 METTL17_4 -
DGUOK_5 CFP_2 -
DGUOK_5 FAM9B +
DGUOK_5 TADA3 -
NDRG4_1 MAL2 +
NDRG4_1 CMTM5 -
TSTD2_1 SSX2IP +
TSTD2_1 L3MBTL3 +
TSTD2_1 RINT1 +
CDCA7L SCYL1 -
CDCA7L DYX1C1_1 -
SUMO1P1 CDCA7L +
SUMO1P1 KRTAP4-12 +
PRDM14 UPP2_4 -
TACC1 BTRC_3 +
LOC100288797 COPS4_2 +
LOC100288797 S100B_2 -
LOC100288797 AES -
LOC100288797 TEX11 -
GORASP1 FAM22F +
FBXO8_2 RABAC1 +
FBXO8_2 TRIP13 -
TEX9_5 RINT1 +
TEX9_5 TRAF1 -
RUNDC3A TEAD4_2 +
AES CCDC114 -
STUB1 DYX1C1_1 -
PSTPIP2_3 TRIM42 -
