source target sign
CEP63 HNRPLL_3 -
CEP63 LSM1_3 -
CEP63 C1orf94 -
NRF1 METTL17_4 -
NRF1 TEX9_1 -
NRF1 SGTB -
EXOC5 TACC1 +
EXOC5 RXRB_3 -
EXOC5 CBLB -
FANCC_2 PRMT2_3 +
FANCC_2 MCM7_2 +
ETV6_2 PTBP2 -
ETV6_2 DOCK8 +
HNRPLL_3 DPPA4 +
KRTAP12-2 BCL2L1_3 +
KRTAP12-2 NEFL +
ZBTB8A ZFP64 +
ZBTB8A FANCG_5 -
ZBTB8A PLSCR1 -
ALS2CR12 TRIM37 -
PHF21B_2 LDOC1 +
PHF21B_2 GAD1_1 +
DOLK_2 CCDC33 +
DOLK_2 RBM12 -
DOLK_2 MOBP_2 -
DOLK_2 RBM12B -
DOLK_2 KHDRBS3 +
PDE4DIP SGTA +
PDE4DIP SGTB +
SUMO1 ARSA_1 +
SUMO1 GAD1_2 +
SUMO1 RBCK1 -
TRAF2 NEFL_2 +
TRAF2 EGR2_3 +
TRAF2 ZBTB32_1 -
TRAF2 ACTN4_4 +
AKT1_1 DIABLO_1 -
AKT1_1 CD99L2_1 -
PSMA3 VPS37B -
PSMA3 NMI +
PSMA3 ZNF688_2 -
ASAP3 TEX9_5 -
ASAP3 CCDC136 +
TCF4 NCK1_3 -
TCF4 CDC23 +
TCF4 CEP76 +
LHX8 AXIN1_2 -
UPP2_4 TFIP11 -
AMMECR1_1 PRMT2_1 -
AMMECR1_1 KRTAP10-3 -
JUP HGS_1 -
SMUG1_2 STRBP_2 -
S100B_2 KRTAP26-1 -
FAM64A_2 NOTCH2NL +
ZCWPW1_6 ZBTB26 -
ZCWPW1_6 ZCWPW1_4 +
BAG1_1 SORBS3 +
BAG1_1 CCDC57 +
ARSA_1 NCK2_1 +
ARSA_1 N6AMT2 -
GAD1_2 DES -
GAD1_2 NCF2_1 +
EFS PCBD1 +
EFEMP2 NDN_2 +
EFEMP2 CADPS +
RBPMS FH_7 +
RBPMS SMUG1_2 -
C6orf142_2 ZFY -
C6orf142_2 PHF21B_3 +
C6orf142_2 RNF111 +
C6orf142_2 STAC3 -
NCF2_1 MEOX1 -
NCF2_1 KRT33B -
ZBTB16_1 JMJD5_1 -
ZBTB16_1 DOCK8 -
TEX9_5 NUP62 +
TEX9_5 ACBD4_4 -
TEX9_5 BANP -
CAPN3_7 HGS_1 +
CEP76 DOLK_2 +
CEP76 PDE4DIP +
ZBTB7B THAP1 -
ZBTB7B KRT33B -
TRIP6 KIAA1712 -
TRIP6 NBR1 +
TRIP6 AMMECR1_1 -
BANP RAB3IP -
BANP FANCC_1 +
BANP CBLB -
SP4 MID2 -
BCL2L1_3 CDCA7L -
BCL2L1_3 ADAMTSL4 -
BCL2L1_3 MLF1_5 -
RBM5_1 RFX6 -
MNAT1_1 AP3B1_2 -
MNAT1_1 RABAC1 -
MNAT1_1 TRIM9 -
THAP1 CEP70 -
THAP1 CMTM5 -
L3MBTL3 KRT6A_1 -
L3MBTL3 FASLG -
L3MBTL3 COL1A2_1 -
L3MBTL3 SSX2IP -
L3MBTL3 TP53BP2 -
PSTPIP1 C6orf142_6 +
PSTPIP1 NME5_3 +
PSTPIP1 AKAP10_3 +
ZNF688_4 KRT38 +
ZNF688_4 RBM5_1 +
COG7_1 KRTAP2-4 +
COG7_1 EFHA1_2 -
CEP72 CCDC136 +
CEP72 MKRN3 -
CEP72 BAG1_1 +
MBIP FGA_8 -
ZCWPW1_1 THAP1 +
ZCWPW1_1 CLCN2_3 -
ZCWPW1_1 EID1 +
ZCWPW1_1 AKT1_1 -
ZCWPW1_1 CAMK2B -
SGTB SF3B4 +
SGTB SPAG5 -
SGTB CAPN3_2 -
DDX17 ZNF473 +
NDN_2 PLSCR1 -
NDN_2 KRT13 -
NDN_2 PSTPIP1_3 -
NDN_2 BHLHE40 +
MEOX1 L3MBTL2_1 +
MEOX1 TENC1 +
PSTPIP1_3 METTL17_4 -
PSTPIP1_3 ZBTB26 +
GOLGA2 BAG1_1 -
GOLGA2 RCOR3 +
GOLGA2 ZCWPW1_6 -
GOLGA2 TRIM69 +
GOLGA2 CCDC114 -
GOLGA2 CAMK2B +
CLCN2_3 CRX -
CLCN2_3 NME5_3 +
CLCN2_3 GINS3_1 -
COL1A2_5 BIK -
SUCLA2_1 GFAP -
C1orf94 BAG1_1 +
MXI1_1 STAC3 -
CCNDBP1 RUNDC3A -
CCNDBP1 ARL6IP1 +
CCNDBP1 PPFIBP2 +
CCNDBP1 CEP57L1 -
SKIL REL +
TP53 MAGEA6 +
TP53 GAD1_2 +
TP53 ZCWPW1_6 +
FANCG_3 FH_7 -
FANCG_3 VPS28_1 -
FANCG_3 INPP1_1 -
CDX4 CCDC114 +
CDX4 NBR1 -
CDX4 TSG101 -
DYX1C1_1 GKAP1 +
SGCA_2 CARD9 +
BCL2L1_1 NEFL_2 -
CEP70 TMEM67_3 -
CEP70 NCK2_1 +
CEP70 AP3B1_2 -
PNMA1 DPPA4 +
PNMA1 FGA_2 +
PNMA1 LDB3_3 -
PLK4 SEC63_1 -
PLK4 PNMA1 +
KRT6A_2 EFEMP1_1 -
KRT6A_2 DTNBP1 +
STAC3 TSGA10 -
RPGR_1 COPS4_1 +
SYCE1 JMJD5_1 +
SYCE1 TEAD4_1 +
SYCE1 SSX2IP +
FASLG NCK2_1 -
NCK1_3 ANKMY1_2 -
NCK1_3 RPGRIP1 +
PLSCR1 GALT_1 +
COPS4_1 CAPN3_2 -
COPS4_1 C6orf142_6 +
TTC1 KIFAP3 +
TTC1 CRK_1 +
TTC1 LOC100288797 -
TTC1 DYX1C1_1 -
TTC1 ELK3 +
NLGN3_2 ABCF3_2 -
NLGN3_2 FHL3 -
NLGN3_2 BANP_2 -
NLGN3_2 RXRB_4 -
NLGN3_2 FANCC_1 -
C12orf10 UPP2_2 +
RBCK1 PAICS +
RBCK1 GKAP1 -
RBCK1 RABAC1 -
MED21_2 USP53 -
MED21_2 COPS4_2 +
MED21_2 COPS4_1 +
MED21_2 GOLGA2 -
FAM154A BTC_1 -
GALT_1 TEX9_5 +
GALT_1 KRTAP3-2 +
GALT_1 HOMEZ +
GALT_1 POGZ +
GALT_1 SMUG1_2 -
EID1 GFAP +
EID1 PSME3 -
EID1 HGS_1 -
GMCL1 PHF21B_2 -
LOC100288797 GPRASP2 +
LOC100288797 MOBP_1 -
LOC100288797 AKT1_2 +
DDX39A JMJD5_1 +
DDX39A TRIM27 -
DDX39A LOC100288797 -
TADA3 FGA_2 -
S100A1_2 STRBP_2 -
KIAA1712 SS18L1 -
KIAA1712 BANP_2 +
KIAA1712 KRT19 -
KIAA1712 NCK1_3 +
KIAA1712 TCL1A -
KRT19 FAM9B -
BBS4_1 SRSF11 -
RBMY1F CCDC57 +
RNF6_2 CRX -
RBM5_2 NEBL +
RBM5_2 FAM126A_2 +
KHDRBS3 NDRG4_1 +
KHDRBS3 CLCN2_3 -
KHDRBS3 DCTN4_1 +
SF3B4 ZBTB7B +
SF3B4 ACBD4_4 -
ETV6 MNAT1_1 -
ETV6 ZMAT4 +
NME5_3 TRIM15 +
POGZ BMF +
COG7_3 NBR1 -
DOCK8 PTBP2 +
DOCK8 KCNIP4 -
DOCK8 C1orf94 +
WWP2 NOTCH2NL +
WWP2 RXRB_4 +
COG5 SYCE1 +
COG5 SGTA -
CMTM5 KRTAP2-4 +
CMTM5 SGCA_1 +
DES TEX9_1 +
DES CPSF7 -
DES KRT31 +
DES EFCAB4A +
PAK1IP1_1 RBMY1F +
UPP2_1 NMNAT1 -
UPP2_1 DCTN4_3 +
TACC1 VPS37B +
TACC1 EFHA1_2 -
TACC1 RNF40_1 -
TACC1 BCL2L1_3 +
TACC1 NCK2_2 -
TACC1 DCTN4_1 +
SMN2 PLK4 -
SMN2 UBQLN1 +
SMN2 TFCP2 +
C10orf18 TTC1 -
MED7 NAV2 +
EHMT2 TMEM159 +
JMJD5_1 INTS4 +
JMJD5_1 AHCYL1 -
JMJD5_1 NAV2 +
ZBTB26 EFHC2 +
ZBTB26 GOPC +
ZBTB26 A2BP1 +
COPS4_2 UPP2 +
COPS4_2 ZNF341 -
COPS4_2 KIFC3 -
TOX4 CCNDBP1 -
CDR2 MXI1_1 -
ZGPAT_2 HMG20A +
PRMT2_3 RBM14_1 +
PRMT2_3 NUP62 +
PRMT2_3 FANCG_2 +
DCTN4_3 SS18L1 -
DCTN4_3 STUB1 -
KRT13 TRAF2 -
KRT13 BANP_2 -
AES ABLIM2 +
AES BEND5 -
AMMECR1_2 NME5_3 +
KRTAP4-12 EGR2_3 -
KRTAP4-12 C6orf142_6 -
KRTAP4-12 MDFI -
KRTAP4-12 PHF21B_3 -
KRTAP4-12 FH_7 -
TCF12 BANP_2 -
TCF12 DCTN4_3 +
NDRG4_1 DCTN4_1 +
NDRG4_1 LDOC1 +
COL1A2_1 FGA_8 -
PRDM14 NEBL +
PRDM14 BHLHE40 +
PRDM14 RHOXF2 +
INPP1_2 PRMT2_1 -
INPP1_2 FGA_5 +
CADPS EFHA1_2 +
STX11 EHMT2 -
STX11 TRIM42 -
NR1H3 ZNF471 -
NR1H3 TRIM23 -
LHX4 FAM64A_2 -
LHX4 VAC14 +
UBQLN1 RXRB_1 -
REEP6 TRIM42 -
MIPOL1 MEOX1 -
MIPOL1 NOTCH2NL -
