Isoform_ID	Interactor_Symbol
ACTN4_1	MYOZ2
ACTN4_4	TRIM23
AKT1_1	TCL1A
AKT1_2	TCL1A
AKT1_2	TMCC2
AKT1_2	MTUS2
ARSA_1	TRIP13
BAG1_1	HSPA8
BAG1_1	TRIM27
BBS4_1	REL
BBS4_3	REL
BCL2L1_1	BAD
BCL2L1_1	BIK
BCL2L1_1	BMF
BCL2L1_3	BIK
BCL2L1_3	VAC14
BCL2L1_3	BMF
BTC_1	GMPPA
SERPING1_3	SLC30A2
CA9_1	GLRX3
CAPN3_2	TFCP2
CAPN3_2	CEP76
CAPN3_7	TFCP2
CASP2_1	CASP2
CDK5_1	CCND2
ERCC8_3	CAMK2D
CLCN2_2	UBQLN1
CLCN2_3	FHL3
COL1A2_1	SGTA
COL1A2_1	UBQLN1
COL1A2_1	SGTB
COL1A2_1	KCNIP4
COL1A2_5	SGTA
COL1A2_5	UBQLN1
COL1A2_5	SGTB
CRK_1	ELK3
CRK_1	PSMC6
CRK_1	PPFIBP2
CRK_1	USP53
CRK_1	C1orf94
CRK_2	PSMC6
CRK_2	TP53BP2
CRK_2	USP53
CRK_2	DPPA4
CRK_2	ASAP3
CRK_2	ALS2CR12
SLC25A10_1	KRTAP5-9
SLC25A10_1	MDFI
DGUOK_5	FAM9B
E2F6_1	TFDP1
E2F6_1	TFDP2
EGR2_3	GOLGA2
EGR2_3	GOLGA2
EGR2_3	PDE4DIP
ETV6_2	TRAF2
ETV6_2	SUMO1
FANCC_1	MEOX2
FANCC_2	MEOX2
FANCG_2	MEOX2
FANCG_2	TADA2A
FANCG_2	USHBP1
FANCG_3	MEOX2
FANCG_3	TADA2A
FANCG_3	HGS
FANCG_5	MEOX2
EFEMP1_1	MEOX2
EFEMP1_1	SGTA
EFEMP1_1	TRAF2
EFEMP1_2	MEOX2
EFEMP1_2	SGTA
EFEMP1_2	TRAF2
FGA_2	MEOX2
FGA_5	MEOX2
FGA_5	AGTRAP
FGA_8	MEOX2
FGA_8	AGTRAP
FH_7	CCNDBP1
GAD1_1	AGTRAP
GAD1_1	MAL2
GAD1_1	CMTM5
GAD1_2	TRIM23
GAD1_2	KRT31
GAD1_2	TRIP6
GAD1_2	AGTRAP
GAD1_2	KRTAP3-2
GAD1_2	MAL2
GAD1_2	CMTM5
GAD1_2	KRT40
GALT_1	TRIP13
GALT_2	TRIP13
GALT_2	VAC14
CXCR3_2	FATE1
GSS_1	GSS
PRMT2_1	CBLB
PRMT2_1	RBM12
PRMT2_3	WASL
PRMT2_3	RBM12
PRMT2_3	ZNF341
PRMT2_3	ZNF341
HSPD1_1	CEP70
INPP1_1	MEOX2
INPP1_2	MEOX2
INPP1_2	NR1D1
INPP1_2	LDOC1
IVD_3	PNMA1
KRT6A_1	KRT15
KRT6A_1	HGS
KRT6A_1	KRT40
KRT6A_2	GOLGA2
KRT6A_2	GOLGA2
KRT6A_2	MTUS2
KRT6A_2	TSGA10
KRT6A_2	KRT40
LAMB3_2	MDFI
LCK_1	PTK2
LCK_2	GATA3
MCM7_1	MCMBP
MCM7_2	MAGEA6
MCM7_2	MEOX2
MCM7_2	ABI2
MCM7_2	CXorf41
MEF2A_3	MEOX1
MEF2A_4	MAPK7
MLF1_1	MAGEA11
MLF1_5	MEOX2
MNAT1_1	GOLGA2
MOBP_1	KRTAP10-9
MOBP_1	KRTAP10-1
MOBP_1	KRTAP10-8
MOBP_1	KRTAP10-3
MOBP_2	MEOX2
MOBP_2	WAC
MOBP_2	KRT40
MOBP_2	KRTAP10-9
MOBP_2	KRTAP10-1
MOBP_2	KRTAP10-8
MOBP_2	KRTAP10-3
MPV17_2	SYCE1
MVK_1	MVK
MXI1_1	USHBP1
MXI1_1	KRT40
PPP1R12B_2	PPP1CB
NCF2_1	GOLGA2
NCF2_1	KIFAP3
NCK1_2	FASLG
NCK1_2	WASL
NCK1_2	ABI2
NCK1_2	SORBS3
NCK1_2	EFS
NCK1_2	GMPPA
NCK1_2	FAM22F
NCK1_2	HOMEZ
NCK1_3	ABI2
NCK1_3	EFS
NCK1_3	FCHO1
NDN_2	GOLGA2
NDN_2	NEFL
NDN_2	TP53
NDN_2	U2AF1
NDN_2	FXR2
NDN_2	ZBTB1
NDN_2	MKRN2
NDN_2	EID1
NDN_2	TFIP11
NDN_2	SERTAD3
NDN_2	ZBTB7B
NDN_2	APBB1IP
NDN_2	MIER2
NDN_2	LAX1
NDN_2	C12orf10
NDN_2	CCDC136
NDN_2	GKAP1
NDN_2	DTNBP1
NDN_2	SSX2IP
NDN_2	SSX2IP
NDN_2	N6AMT2
NDN_2	FAM131C
NDN_3	P4HA3
NDN_4	P4HA3
NEFL_1	GFAP
NEFL_1	GOLGA2
NEFL_1	KIFC3
NEFL_1	MTUS2
NEFL_1	TEX11
NEFL_1	USHBP1
NEFL_1	CEP57L1
NEFL_2	DES
NEFL_2	GFAP
NEFL_2	GOLGA2
NEFL_2	KIFC3
NEFL_2	KRT13
NEFL_2	KRT15
NEFL_2	KRT18
NEFL_2	SKIL
NEFL_2	GORASP1
NEFL_2	CCDC33
NEFL_2	KLC3
NEFL_2	CEP57L1
NEFL_2	C10orf96
NFIB_2	NFIA
NFIB_2	NFIX
NPM1_1	NPM2
PDE9A_1	PDE9A
PDE9A_1	TRIM32
PDE9A_2	PDE9A
PDE9A_2	TRIM32
PDE9A_3	PDE9A
PDE9A_3	TRIM32
CFP_2	TRIP13
PLP1_1	PTPRN
PLP1_1	BCL2L13
PLP1_1	CREB3L1
PLP1_1	CREB3L1
PLP1_2	BCL2L13
PLP1_2	CREB3L1
PMM2_1	ACY3
PPP3CA_1	PPP3R1
PRCC_1	HOMER3
PRCC_3	HOMER3
RNF6_2	TRIM23
RNF6_2	GOLGA2
RNF6_2	GOLGA2
RNF6_2	KRT15
RNF6_2	MDFI
RNF6_2	MEOX2
RNF6_2	TRIM37
RNF6_2	REL
RNF6_2	TRIM27
RNF6_2	TADA2A
RNF6_2	TCF4
RNF6_2	STX11
RNF6_2	MAGED1
RNF6_2	KIAA0753
RNF6_2	IKZF1
RNF6_2	PNMA2
RNF6_2	AHCYL1
RNF6_2	MID2
RNF6_2	IKZF3
RNF6_2	MTUS2
RNF6_2	TENC1
RNF6_2	LDOC1
RNF6_2	TFIP11
RNF6_2	HOOK2
RNF6_2	RPGRIP1
RNF6_2	RINT1
RNF6_2	CCDC33
RNF6_2	CEP70
RNF6_2	TSGA10
RNF6_2	SSX2IP
RNF6_2	KRT40
RNF6_2	MIPOL1
RNF6_2	SPERT
RNF6_2	CCDC57
RPGR_1	HOMEZ
RPGR_1	HOMEZ
RPGR_2	HOMEZ
RPGR_2	HOMEZ
RXRB_1	RARA
RXRB_1	RARA
RXRB_1	RARB
RXRB_1	NR1H4
RXRB_1	NR1H3
RXRB_2	GOLGA2
RXRB_2	GOLGA2
RXRB_2	TRIM37
RXRB_2	RARA
RXRB_2	RARB
RXRB_2	TRIM27
RXRB_2	SIAH1
RXRB_2	TFCP2
RXRB_2	TP53BP2
RXRB_2	PSTPIP1
RXRB_2	NR1H4
RXRB_2	NR1H3
RXRB_2	CALCOCO2
RXRB_2	TADA3
RXRB_2	MID2
RXRB_2	EXOSC8
RXRB_2	TFIP11
RXRB_2	UBL7
RXRB_2	KRT40
RXRB_3	GOLGA2
RXRB_3	KRT40
RXRB_4	GOLGA2
RXRB_4	PLSCR1
RXRB_4	TRIM27
RXRB_4	TP53BP2
RXRB_4	CALCOCO2
RXRB_4	KRT40
RXRB_4	CCDC57
S100A1_2	REL
S100B_1	S100A1
S100B_1	S100A2
S100B_1	S100B
S100B_2	RABAC1
S100B_2	AGTRAP
S100B_2	TMEM159
S100B_2	MAL2
S100B_2	LOC100288797
SFTPC_1	TMEM79
SFTPC_2	TMEM79
SGCA_1	SGTA
SGCA_2	SGTA
SHMT2_1	ARL6IP1
SHMT2_1	MAL2
SHMT2_1	CMTM5
STAR_1	MAGEA11
TEAD4_1	GOLGA2
TEAD4_1	TRIM27
TEAD4_1	VPS52
TEAD4_1	TRAF1
TEAD4_1	PNMA1
TEAD4_1	RUNDC3A
TEAD4_1	MTUS2
TEAD4_1	HOMEZ
TEAD4_1	SSX2IP
TEAD4_1	KRT40
TEAD4_1	C10orf96
TEAD4_2	MDFI
