source target sign
MRPL10 REL +
MRPL10 PNMA1 +
RNF135 GOLGA2 -
RNF135 RNF135 +
FXYD7 APPBP2 -
TICAM2 MEOX2 -
EXOSC5 REL +
EXOSC5 IKZF3 +
EXOSC5 CALCOCO2 -
EXOSC5 GOLGA2 -
EXOSC5 BIRC2 +
EXOSC5 TNFAIP1 -
CETN1 POC5 +
CETN1 SGSM1 +
CLK2 RNPS1 +
CLK2 U2AF1 +
CLK2 CPSF7 +
CLK2 CLK2 -
CLK2 ZNF263 -
CLK2 ZRSR2 +
CLK2 UBE2I +
CLK2 SDCBP +
CLK2 SNIP1 +
CLK2 SRRM1 +
CLK2 LNX1 -
CLK2 RSRP1 -
CLK2 ZNF398 -
CLK2 SRPK2 +
CLK2 YTHDC1 -
GPANK1 TRIM27 +
GPANK1 PNMA1 +
GPANK1 CCDC184 +
GPANK1 TFCP2 +
AACS CMTM5 -
ADCK3 AGTRAP +
ADCK3 RABAC1 -
ADCK3 TMEM239 +
ADCK3 TMEM159 +
NADSYN1 MYO15B +
ZNF223 ZC4H2 -
PDCD10 C4orf19 +
TBX15 ATXN1 +
TBX15 POLE2 +
TBX15 VENTX -
TBX15 TBX15 -
MRM1 AGTRAP +
AGPAT1 MEOX2 -
MLX ZBTB32 -
MLX RBM39 -
MLX GABARAPL2 -
TRIP6 CREB5 +
TRIP6 YPEL3 -
TRIP6 DHX37 +
TRIP6 NCK2 -
TRIP6 TPM3 -
TRIP6 KLK15 -
TRIP6 POM121L4P -
TRIP6 RAD23A +
TRIP6 HYKK -
TRIP6 TRAF3IP2 -
TRIP6 MSRB3 -
TRIP6 CNTF +
TRIP6 PIN1 +
TRIP6 LOC149950 -
TRIP6 BYSL -
TRIP6 FRS3 -
TRIP6 HOXB9 +
TRIP6 MEMO1 -
TRIP6 FASLG +
TRIP6 GNAI2 +
TRIP6 SLC25A6 -
TRIP6 RHOQ +
TRIP6 ZBP1 -
TRIP6 GSE1 -
FTCD CCDC155 +
MEAF6 PLEKHF2 +
MEAF6 LDOC1 -
CNOT8 TOB2 +
CNOT8 BTG2 -
ANKRD36BP1 HOOK2 +
ANKRD36BP1 TRAF2 -
ANKRD36BP1 TRIM23 -
ANKRD36BP1 KRT15 -
ANKRD36BP1 KRT13 -
ANKRD36BP1 SKP1 -
ANKRD36BP1 RAD54B +
ANKRD36BP1 KRT38 -
ANKRD36BP1 KRTAP10-7 -
ANKRD36BP1 KRT31 +
CDK18 TRIM27 -
CDK18 TRIM54 -
CDK18 KRT40 +
CDK18 GOLGA2 -
CDK18 CCDC102B +
CDK18 KRT31 -
RWDD2B GADD45G -
RWDD2B PHC2 -
RWDD2B IKZF1 +
RWDD2B KRTAP10-7 +
EHHADH TRIM41 +
EHHADH SSX2IP -
EHHADH CBS +
EHHADH KCTD6 -
EHHADH NECAB2 -
EHHADH PNMA1 +
EHHADH MID1 +
EHHADH TRIM27 -
EHHADH ACTB +
EHHADH DES -
EHHADH CCDC102B +
EHHADH BHLHE40 +
EHHADH KCTD9 +
EHHADH SSNA1 +
VIPAS39 VPS33B -
ALAS1 ALAS1 -
ALAS1 C2orf42 -
ALAS1 GNL3L +
ALAS1 SH2D4A +
ALAS1 TMSB4X +
ALAS1 LONRF1 -
ALAS1 MTFR2 -
ALAS1 BCL7A -
ALAS1 TMSB4XP6 +
ALAS1 TTC23 +
ALAS1 TCEA2 +
ALAS1 PPL +
ALAS1 USP20 -
ALAS1 ZMAT1 +
ALAS1 SNX20 +
JUP FHL2 +
MFI2 NOTCH2NL +
PCDHA4 SGTA +
VIM PKN1 -
VIM PPL -
VIM KRT20 -
VIM CWF19L2 +
MIEF1 MAGEA1 +
PLSCR1 KRTAP10-3 +
PLSCR1 P2RY6 +
PLSCR1 BCL6B -
PLSCR1 KRTAP4-11 -
PLSCR1 DMRT3 -
PLSCR1 LINC01547 -
PLSCR1 CHRD +
PLSCR1 DOCK2 -
PLSCR1 PRR13 -
PLSCR1 SPATA8 +
