source target sign
MUTYH UBA5 +
MUTYH BLMH -
MUTYH SIX1 -
ASAP2 NFKBIB -
ASAP2 PHKB +
ASAP2 EPB41 -
ZNF418 C16orf59 -
ZNF418 SLIRP -
TNNT2 HNRNPLL -
TNNT2 ADIPOQ -
TNNT2 LCOR +
CSNK1G2 MIS12 +
CSNK1G2 KIAA0368 +
ARHGDIA RHOA +
ARHGDIA NOL9 -
ARHGDIA GOLGA8F +
POLL PRKRIR -
POLL FAM214A -
POLL SNRPA1 -
S100A14 KBTBD7 +
S100A14 S100A16 -
S100A14 GADD45G +
S100A14 MALSU1 +
S100A14 LRR1 +
S100A14 COMP -
CLIP4 FLI1 -
CLIP4 C17orf70 -
SNF8 PIKFYVE +
SNF8 POLR1D +
SNF8 VPS25 -
SNF8 GRAP +
PRMT8 PRMT8 +
PRMT8 ZNF124 +
TANK FNDC3B +
TANK FAM212A -
TANK HSD17B12 -
SEC13 HCLS1 -
SEC13 NXF3 +
SEC13 UBAC2 +
SEC13 SEC16B -
UBE2C PKN1 +
UBE2C ALDH18A1 -
UBE2C MAPK7 -
UBE2C TNP1 -
PLCB1 PIM2 +
PLCB1 R3HCC1L -
PLCB1 ZBTB7A -
INSR FIP1L1 -
INSR YWHAQ -
INSR ICAM4 +
INSR GRAP -
VENTX TNRC6A +
VENTX KRTAP12-4 +
VENTX VENTX -
LINC00656 IK +
LINC00656 WBP1L -
LINC00656 RASD1 -
LINC00656 KCNS2 +
LINC00656 IFI30 +
LINC00656 RIPK2 -
ARHGAP26 CTBP1-AS2 +
ARHGAP26 YWHAQ +
ARHGAP26 KIF24 +
NBL1 RPL13 -
NBL1 NCS1 -
NBL1 NONO -
NBL1 NUTM2F -
AKTIP MXD3 -
ILF3 TNIP3 +
ILF3 PRB1 -
ILF3 UACA +
ILF3 RAD51B -
ILF3 ATP5B +
AGR2 CDK5 +
AGR2 POM121 -
AGR2 NUP62CL -
AGR2 PATL1 -
LOC730441 RMDN2 -
LOC730441 GPR25 -
LOC730441 HACL1 -
LOC730441 VASN -
MDM4 RNF115 -
MDM4 GPR25 +
MDM4 RAD51AP1 -
IGLV3-25 VAPB +
IGLV3-25 KCNIP3 -
IGLV3-25 MCM10 +
IGLV3-25 CXCL11 +
IGLV3-25 FBXO44 -
FAM208B PPP1R16B +
FAM208B KLHL40 +
UNC119 C16orf74 +
UNC119 PRM2 +
EIF3H CDIPT -
EIF3H ZNHIT1 -
DAO LARP4 +
DAO TIE1 -
DAO CDC27 -
DAO DCP1B +
CD300A BMF -
CD300A E2F8 +
CD300A A1CF -
DYNLL2 C12orf40 +
DYNLL2 SECISBP2L -
DYNLL2 RASGRP3 +
DYNLL2 DNAL4 -
USP2 NEFL +
USP2 EPHB6 -
USP2 FKBP7 +
MRPL10 SPATA4 -
MRPL10 TTBK2 -
NFKBIA NEDD9 +
NFKBIA CLIP4 +
NFKBIA WDR4 +
