source target sign
POLL PNMA1 +
POLL RCHY1 +
POLL TFIP11 +
POLL SPATA8 +
POLL TRIM23 +
POLL MAGEA12 +
POLL FAM9B -
POLL ZBTB25 +
POLL TNP2 +
POLL TFCP2 +
POLL DTNBP1 +
VENTX TMCC2 +
VENTX KRTAP10-11 -
VENTX PLSCR1 +
VENTX CDKN2C +
VENTX TCL1A -
VENTX KRTAP12-4 +
VENTX VENTX -
VENTX DAB1 +
FAM208B PRKAB2 +
FAM208B LMO1 +
FAM208B PPP1R16B +
FAM208B TRAF1 +
FAM208B EPS8 -
FAM208B LDOC1 -
FAM208B HMBOX1 +
FAM208B FAM208B -
FAM208B MORN3 -
FAM208B BEND5 -
FAM208B HNRNPUL1 +
FAM208B PEX5 -
DYNLL2 KRT6C -
DYNLL2 SYNE4 -
DYNLL2 ACTN3 +
DYNLL2 RBM41 +
DYNLL2 IFT20 -
DYNLL2 BAHD1 +
DYNLL2 RHOJ +
DYNLL2 RAD54B +
DYNLL2 HMBOX1 +
DYNLL2 AMOTL2 -
DYNLL2 SENP2 +
DYNLL2 RBMX +
USP2 AK8 -
USP2 NEFL +
USP2 CCDC36 -
USP2 KRT40 +
USP2 HOMER3 -
USP2 CCDC57 +
USP2 TRAF1 -
USP2 KRT6B -
USP2 TFIP11 -
USP2 DAXX -
USP2 ZNF398 +
USP2 KHDRBS2 +
USP2 KRT31 +
USP2 GOLGA2 +
USP2 CALM3 +
USP2 TRAF2 +
USP2 KRT15 -
USP2 TRIM27 +
USP2 FAM9B +
USP2 PEX5 -
TTC23 SSX2IP -
TTC23 PTGER3 +
TTC23 SPAG5 +
TTC23 KRT40 +
TTC23 ZNF670 +
TTC23 TADA2A -
TTC23 GNMT -
TTC23 MDFI +
TTC23 LDOC1 +
USHBP1 RECK +
USHBP1 AKAP9 -
USHBP1 C1orf216 -
USHBP1 RP9P +
USHBP1 TSG101 +
USHBP1 GATA2 +
USHBP1 GMCL1P1 -
USHBP1 FAM124B -
USHBP1 NME7 -
USHBP1 FBF1 +
USHBP1 MED4 +
USHBP1 FAM107A +
USHBP1 HAUS1 -
USHBP1 IFT20 -
USHBP1 CCDC120 -
USHBP1 C6orf165 -
USHBP1 HOMEZ +
USHBP1 FTL -
USHBP1 GATAD2B -
USHBP1 WIPF1 +
USHBP1 EIF4E2 +
USHBP1 DIP2A -
USHBP1 VPS28 +
USHBP1 KLHL38 -
USHBP1 USHBP1 +
USHBP1 NGFRAP1 -
USHBP1 CNNM3 -
USHBP1 TRIM54 -
USHBP1 ANKRD36BP1 +
USHBP1 SH2D4A +
USHBP1 KRT31 -
USHBP1 SMARCE1 +
USHBP1 DYDC1 -
