source target sign
ZNF394 POM121L8P -
ZNF394 ADAMTSL5 +
ZNF394 PSME3 -
ZNF394 PIKFYVE -
ZNF394 TSC22D4 -
ZNF394 LCE2A +
ZNF394 MTUS2 -
ZNF394 THAP1 +
ZNF394 LY6H +
HM13 RBM41 +
HM13 ZCCHC13 +
HM13 TXNDC12 +
HM13 MTIF3 +
PEX19 ENKD1 -
PEX19 ZNF85 +
PEX19 ZNF260 +
PEX19 KHDRBS2 -
EWSR1 OSBP2 -
EWSR1 RBM41 +
EWSR1 ACTN4 -
PSMC3 MIEF1 -
MR1 WDR83 -
MR1 SYT17 +
MR1 TFRC -
MR1 TRMT12 -
MR1 OAZ3 -
PRKCH TINCR -
SCAND1 SPATA4 -
SCAND1 BTF3L4 +
SCAND1 PCED1B -
TBRG4 ATXN7L1 +
TBRG4 LENG1 -
TBRG4 TMEM14C -
CD69 C11orf30 +
CD69 DDX19B +
TOR1A TNP2 +
TOR1A TEX37 +
TOR1A FANCL +
TOR1A ETF1 +
RFC4 UBXN4 -
RFC4 JADE3 +
EPB41L3 TTC5 +
EPB41L3 TAL2 -
KIFC3 POP5 +
KIFC3 UBXN11 -
KIFC3 TMEM241 -
KIFC3 C1orf50 +
KIFC3 UBXN1 +
DSCR8 HAUS1 -
DSCR8 SLC23A1 +
MIS12 GGN +
MIS12 RABGGTB +
MIS12 ZBTB7B +
MIS12 MVB12B +
MIS12 SMCO3 -
MIS12 NUP62CL +
MIS12 PTPN3 -
MIS12 P2RX4 +
ICAM4 MED20 +
ICAM4 ZMYND10 -
ICAM4 PPP3R1 +
ICAM4 SRSF2 +
ICAM4 POLR3C -
ICAM4 SPATA3 -
ICAM4 PPP2R4 -
ICAM4 STOM -
C22orf39 TFIP11 +
C22orf39 POLDIP2 -
SKAP1 C22orf39 -
SKAP1 GGPS1 +
SKAP1 CDSN -
SKAP1 FAM133A -
SKAP1 CDR1 +
WNT11 BABAM1 -
WNT11 ZBED8 +
WNT11 ZNF592 -
SPP1 UBAC2 +
SPP1 ATP4B +
SPP1 LSM1 -
ZNF592 ZMYND19 -
ZNF592 DNTTIP1 +
MYBPHL GAGE1 -
MYBPHL ACSS1 +
MYBPHL LCA5L +
MYBPHL CDR2 +
MYBPHL BMF +
FCER2 RCN3 -
FCER2 CRY2 +
FCER2 DNAJC15 -
C9orf72 SPZ1 -
C9orf72 KRT83 +
C9orf72 BTC -
TYRO3 EPN1 -
TYRO3 MYOG +
TYRO3 KIZ -
TYRO3 DCP1A +
TYRO3 PTPN7 -
SERPINF1 IL11 -
SERPINF1 TAX1BP1 -
SERPINF1 OSBP2 -
SERPINF1 BMX +
SERPINF1 TAF9 +
CCDC153 ISCA2 +
SLC23A1 PRDM7 -
SLC23A1 ZBTB10 +
SLC23A1 CARD14 -
SLC23A1 MYL6B -
SLC23A1 SSC5D -
SLC23A1 WAC -
GGT7 TMEM123 +
GGT7 SPATA2 +
GGT7 TYRO3 -
GGT7 RAD54B +
PVRL3 RGS3 -
PVRL3 KIAA0141 -
PVRL3 MLX +
CDA IKZF1 -
CDA RNF34 -
CDA CD177 -
TMSB4XP2 CENPO -
TMSB4XP2 LEPROTL1 +
TMSB4XP2 KRTAP10-5 +
TMSB4XP2 C10orf12 -
TRAIP PTPRH -
TRAIP HIST3H2A -
C1orf35 LINC00482 +
C1orf35 ASAP2 +
C1orf35 ZNF449 -
ZKSCAN3 ZBED8 +
ZKSCAN3 VENTX +
ZKSCAN3 KRT86 +
ZKSCAN3 SEMA4C -
NMRK1 TRIM2 -
NMRK1 FAM120C +
NMRK1 RPL9 +
NMRK1 EPHA10 -
TRIM38 PIGS +
TRIM38 TICAM2 -
TRIM38 KAZN -
MAGEB2 ZNF155 -
MAGEB2 HSPBAP1 +
MAGEB2 ARPC3 -
MAGEB2 TFCP2 +
C1orf50 FAM118A -
LRCH4 SLC29A2 +
CSGALNACT2 KLHL40 +
KRTAP4-12 AASDHPPT -
KRTAP4-12 EIF3D +
KRTAP4-12 CRYBA1 +
KRTAP4-12 PRPF40A +
GGACT CCT5 +
GGACT SIRPA +
GGACT ATP5A1 +
GGACT NOP2 +
SOX15 RBMS1 +
SOX15 DEDD2 -
SOX15 HIST4H4 -
SOX15 C14orf93 +
SOX15 ZRSR2 -
SFR1 FERD3L -
SFR1 FBXO7 +
CRYAA PLEKHF1 -
CRYAA RRS1 +
CRYAA C16orf87 -
CRYAA SAT1 +
CRYAA KRTAP13-3 +
LINC00588 DENND2D +
LINC00588 CBX5 -
LINC00588 GTF3C1 -
EIF5B SLC16A3 -
EIF5B ZNF101 -
EIF5B C17orf82 -
EIF5B TRIM44 -
CNNM3 RFT1 +
CNNM3 PYCARD +
CNNM3 SARNP -
CNNM3 CDC34 +
CNNM3 ALPI +
CNNM3 CRYBB3 +
ACSF2 OTUD4 +
ACSF2 VAMP4 -
ACSF2 CTNND1 +
ACSF2 AHCYL1 +
ACSF2 CYTH4 -
SP4 ZSCAN32 +
SP4 ECH1 +
SP4 ATP6V0C +
SP4 ZFYVE9 -
SP4 MEOX1 +
SP4 KPNA4 +
TCP1 STAM2 -
TCP1 APPL1 -
TCP1 SLC22A23 +
TCP1 GAGE2E +
TCP1 CYHR1 +
TCP1 KRTAP10-1 +
TCP1 ALKBH4 -
CCDC170 ZBTB48 +
CCDC170 MRPS27 +
CCDC170 VTN +
CCDC170 THAP7 -
CCDC170 TCEA2 +
IMPDH2 DNMT3A -
IMPDH2 MAP1S +
ZNF695 KRTAP4-2 -
STOM HSPBP1 -
STOM SDC3 -
MAVS NUDCD3 -
MAVS STOM +
MAVS PPP3CC +
CBLB ABLIM3 -
KANSL1 MAP2K1 -
KANSL1 SFR1 +
PDCD10 CAMK2D -
PDCD10 TMEM248 -
PDCD10 IMPA1 +
