InteractorA	InteractorB
P78362	Q9NSC5
Q8IW19	Q9UGN5
Q13480	P12931
Q15696	Q96SB4
O15111	Q96SB4
P49841	P49841
Q676U5	O95166
P47813	O94829
Q9NWT6	O95271
P22459	P35609
Q16595	Q96RG2
Q15468	Q9HC77
Q00987	Q71UM5
P15514	P29034
P17544	Q14494
Q96CD2	Q96CD2
P68431	O75164
Q96SB4	Q9Y450
O60841	O14602
Q9Y463	P20823
Q13043	Q7L9L4
P30304	Q9Y297
Q15118	Q99814
Q9UJY4	Q99523
P19174	P19174
P98073	Q9Y6Q6
P08581	Q96JZ2
P60953	Q9NR80-3
P23352	P11362
Q9Y6W3	P53990
Q8WV22	Q96MG7
P08581	Q96S59
Q15819	P61088
Q9HBH9	Q96SB4
P10636-7	O75582
Q9H4L4	P11802
Q01094	Q14186
Q9UGN5	Q8WV48
Q13601	Q96SB4
P18031	P06213
Q13489	P51668
P55209	P04637-1
Q92529	P10721
Q8IWL3	A6NFY7
O60883	P42785
P78362	Q9NZA1
O00625	P20749
P23443	Q13057
P14598	Q15080
Q15651	P78362
P63165	Q9HC62
Q6UWV2	O60487
Q5S007	P23497
Q9UGN5	Q8N8H1
P17844	P04637-7
Q9UBZ4	Q13404
Q9Y2R2	O75563
P30281	P11802
Q6PH85	P22314
Q8IXL6	P25054
Q00987	P29590-5
P35568	P62258
Q96G27	P46937
P01130	P04114
P68400	Q14692
P68400	Q96GA3
P10916	P35125-3
P61586	P0CG47
Q5S007	O95400
P55957	Q07812
P42684	P19174
Q9HC77	O00444
P15514	P26447
Q15628	P19438
Q04206	P67775
Q9UMX0	Q16186
Q96IV0	P78362
P98170	P46531
P62834	Q9Y4G8
Q5S007	P53350
Q07021	P00748
Q9Y4K3	Q13404
Q86TU7	Q96SB4
Q719H9	Q719H9
Q13469	Q86Y07-1
Q5S007	Q9BTP7
Q13485	Q92988
Q9NYL2	Q9NYL2
P04626	Q96SB4
Q9Y253	P0CG48
O43924	P36404
Q96CW1	Q15311
Q9H4A6	Q92614
EBI-5773699	Q9Y6K9
Q6P5Z2	Q13393
P03372	Q14151
Q99816	P0CG48
Q12913	Q99569
O15205	P78362
P46109	Q8IZP0
P46098	P46098
Q13480	Q12913
P43026	Q13253
Q96RG2	P02671
P12004	P04075
Q92835	P29353
Q9H6K1	P22314
P78362	Q9H4G0
Q14596	Q9H492
Q8IZM6	Q99961
P18031	P05556
Q13094	P62993
O75326	O75326
Q96SB4	O96013
Q38SD2	Q13191
Q8WXD5	Q9Y3F4
P19338	P11387
P22460	P35609
Q12771	Q15366
O60880	Q9HBG7
Q99418	P84077
Q8IZQ1	Q6IAW1
Q9H1I8	P22314
P78368	Q5S007
Q14677	O95166
Q63HR2	P21860
P15036	Q8N1B3
O15530	Q05209
O00141	P10636-7
P19793	Q15788
P78362	Q9P270
P54727	P53350
P49407	Q99683
Q8WUF5	P62826
Q13616	P51668
Q96T23-1	P68400
Q99741	P38936
P05412	P45983-1
P24385	Q7L590
P78362	Q96T37
Q12913	P08581
Q96Q83	P78362
Q38SD2	P42679
P19623	P19623
Q9Y294	P03372
Q68E01	P22314
P06239	Q9H204
P03989	P61769
O00233	P17980
P37231	Q6STE5-2
Q6P4R8	Q9Y5K5
Q96SB4	Q15326
Q9UM11	P40337-1
Q9UQQ2	P21860
O75689	P78362
P42574	P09874
O95259-2	P62158
Q9Y5N6	Q99741
P78396	Q14566
Q9NRI5	Q9H2K2
P62136	Q92796
Q16512	P61586
EBI-1799539	P04637
Q13546	P48729
P10275	Q14451
Q9BX68	Q9BX68
Q53GL7	Q14790
P42566	Q9Y6I3
P62280	Q5S007
Q12913	Q02763
Q8IXL6	Q96MK3
P13501-PRO_0000005175	P98066
P49815	P62136
O75367	Q96SB4
Q9Y6K9	Q9P1W9
P55036	Q9UHD9
Q96EH5	P78362
Q38SD2	P0CAP2
Q9HBW1	Q9Y2I2
Q9H1R2	P19174
P39900	P15502-2
P31350	P06493
O75344	P22314
EBI-5773344	Q9Y6K9
P41279	P19838
P43378	Q13480
P10415	P67775
P78362	P57060
Q6N021	O15294
O43913	P25205
O15392-1	Q96GD4
Q9BPZ3	O95071
P56693	Q00534
P68400	O95218-2
P42575	Q00987
Q13526	P78563
P54252	P0CG48
P35222	Q96AC1
P42224	P04626
Q13480	O75791
P68400	P04637
Q5S007	Q6NTE8
Q53ET0	P57059
Q8N5S9	Q04917
Q14451	P10275
P21802	P14618-1
P04637	P55060
EBI-11620908	EBI-11620908
Q13253	P18075
P58340	P62258
Q9Y6K9	P61964
Q9BTV5	P14618-1
P78362	P30532
Q86WV1	O15117
O75376	P55055
Q9BWT1	Q9UGN5
P27361	P62136
P62805	O75164
O60610	O60610
Q9HC44	Q5S007
Q96LD8	P62913
Q9P021	P78352
P68400	Q9UQ88-4
P62136	P31749
EBI-1264387	EBI-1264387
Q9ULZ2	Q13480
Q92882	Q16637
Q92569	Q13480
P29353	P06241
Q8WUF5	Q8WUF5
P22303	P06733
P04792	P02489
Q07817	O00429
Q13882	Q13480
O43143	P52756
Q13480	Q08881
P30281	Q7L590
Q5S007	Q9BSD3
P22681	P08575
Q7L576	Q06787
P31947	Q5S007
O00459	P04626
Q9UJY5	P11717
P07550	Q5TCQ9
Q5S007	P33981
P35240	Q16584
Q13480	P08575
P0CG48	Q9Y4E8
Q09472	P20265
P07996	P05067-PRO_0000000092
P18031	P19235
Q9H6Q3	P08581
Q13480	Q9ULZ2
Q7L590	P38936
Q8TEU7	Q12923
P12931	Q8IZP0
P02686	Q96KB5
P13569	Q9H8Y8
EBI-5774405	Q9Y6K9
P68400	O00566
R-HSA-447217	Q5VWK5
P55212	P55212
Q15262	P09619
Q9Y6X8	Q9UGN5
P40818	Q9H444
Q86XK2	Q13564
O15123	Q02763
Q96RR4	P14618-1
Q99962	O43426
Q13480	Q13882
Q13322	P00533
O60885	Q04206
P10721	O14796
Q13526	P29590
P51965	Q9Y3C5
P23443	P10636-8
P16220	P16220
Q13616	P63208
Q9HCE7-2	O14757
O14602	P78362
Q13616	Q15843
O95166	Q86V97
Q9Y6K9	P0CG48
Q9UBL3	Q03164
Q92843	O43521
Q96SB4	O14818
P07948	P07948
P78347	Q06187
EBI-767953	Q6Y7W6
Q13315	Q12888
Q9Y618	P10828-1
Q9NVV4	Q9NVV4
P35968	P15692
Q12929	P05106
Q8TC07	Q9H0R8
MULT_84_human	P08603
Q9H2G2	Q9H2G2
Q13557	Q14524
Q9NRA8	Q00534
P12931	P12931
P56945	Q05209
P78362	Q99986
Q14160	P28482
P10636	P10636
Q99459	P52272
O14793	O14793
Q9Y3F4	P14678
O95257	Q8TAE8
P62136	Q9BRQ6
P21731	Q13162
Q14566	Q14566
P61769	P29016
Q9NR55	P17275
P28482	P16989
Q5S007	Q8ND71
P11021	Q9UBS4
P10636-7	Q15418
P56693	P20265
Q9Y3F4	Q9H840
Q13177	P04049
P20042	Q9Y6E2
P21860	P46108
P35555	P02751
P08651	P14618-1
Q00534	P06400
Q96BD5	P84243
P08581	Q9H6Q3
EBI-2938324	R-HSA-6789244
O14640	Q92997
P08631	Q9ULH1
O00268	Q16514
P67870	O14757
O95229	Q14457
P41091	P05198
EBI-5773422	Q9Y6K9
P62805	P55201
Q14118	P11532
P00519	P10721
Q15059	P78362
Q96RG2	Q6WKZ4
Q96SB4	P11473
P60484	P62837
P05556-1	Q63HR2
Q05655	P19878
P04637	Q16666-2
O14744	P54105
O43432	P14618-1
O00141	O15530
Q8NAV1-1	P68400
P62805	Q92993
Q96F07	Q06787
O60674	P42224
Q96AH0	Q68E01
P46934	Q9Y3C5
Q96RU3	Q9H2K2
P34998	P06850
Q8WXU2	Q9H0R8
P01130	Q92793
P42574	P98170
P46109	P04626
P08575	Q99569
Q8ND25	P49427
O14796	P10721
P60953	Q13153
P00749	P55000
Q9UBK2	Q00534
Q05193	Q05193
P51955	Q8NG66
Q9NQT4	Q9Y3B2
Q8IXL6	P10451-PRO_0000020321
Q9GZQ8	Q86WH2
P68400	P22694-1
Q9Y253	P51587
P52292	P06703
Q13188	P60520
P04637	Q9Y3T9
Q5S007	O00214
P60842	Q04637
P0CG48	P98170
P49023	Q15262
Q9HC52	Q3KNV8
P12643	Q13253
P22830	O00264
P15311	P07384
P61964	Q9UMN6
P10721	Q15464
P19447	P78362
Q14642	P08567
P17661	Q13496
P14618-1	Q9H4Z3
P35609	P03950
Q9ULT6	Q2MKA7
Q9Y5B9	P33991
Q13162	P30101
Q6E0U4	P11021
Q14790	Q14790
Q6P3W7	Q13467
P18846	O14867
P63279	Q9UER7
Q13480	O14543
P15336	P17535
Q8NCM8	Q8NCM8
P49715	Q16520
P68400	P08238
Q96SB4	Q53T94
Q9UM73	Q12913
P20700	P20700
Q9UQQ2	P08581
Q96LD8	Q15843
P12956	Q08752
P07948	Q8IZP0
P51168	P46934
Q12809	Q12809
