InteractorA	InteractorB
Q5XXJ3	Q9S744
Q9SKK0	Q9FHW7
O22446	Q9LZV6
F4KBF5	F4KBF5
Q9XF67	Q9LTW5
O82754	Q9S744
P14713	O80536
Q9FJK3	P25071
Q9SR07	P25069
O04567	P25854
O23680	O23680
Q03509	Q9LDI3
Q9SLH3	Q39057
Q38847	Q9S744
Q94AA4	P25854
O80931	Q8RY59
P27323	Q9LDC0
Q70E96	O23320
Q39238	Q39238
Q9FJK3	Q9S744
Q9SYB9	O23320
Q93Z30	P30187
Q9ZWC8	Q9FMZ0
Q84L30	P55034
Q9C4Z7	Q9MBA2
Q9LNX6	P25071
Q8LAW2	P59220
Q9XF67	Q64FQ2
O80365	Q67XQ1
Q4PSU4	P30187
Q9ZVM9	P30187
Q9SYS3	Q9S744
Q9FLV4	P59220
Q8LAS7	Q9LZW4
Q9LZV7	Q03509
Q9M9C3	Q9S744
Q9ZUU4	Q8RWH3
Q39008	Q9SUP6
Q9LYL6	Q03509
Q9LMN8	Q9SL15
P43254	P43254
Q8H1E4	Q8L765
Q9SYP2	P25071
Q9LYL6	P25854
Q94AG2	P54609
Q67Y93	P24100
Q4PSU4	Q9S744
Q39024	Q9S7U9
Q9SU24	B7U179
Q9ZUI9	Q9S744
Q2HIV3	Q67XQ1
Q94FB9	Q9SRQ3
Q9CAJ0	Q9FLB1
Q9LNG8	P59220
O81223	Q9LDI3
O23552	P25071
Q8VYG7	P25854
Q8LPR4	P59220
Q9MBA2	Q9MBA2
Q9LPQ3	Q8GYQ5
Q9FMC2	P30187
Q39204	EBI-1792491
Q9SAZ5	Q9SHC2
Q9LDI3	O81223
Q9LSI9	P25071
Q9SVQ9	Q9SQR2
Q7X9N2	P25071
Q84JG2	Q9XI07
Q9SV15	P25069
Q9SSC7	Q9S744
O65665	Q8L765
Q8GYQ5	Q94A06
Q9SZJ6	Q03509
Q9SND6	P59220
Q9FGZ5	P25071
O48788	P25854
O81292	P25071
Q8GZ99	Q03509
Q6NKS4	Q9SYX1
O65469	P25071
O80651	O23320
Q9M9C5	P25854
