InteractorA	InteractorB
Q06142	P49687
Q08003	P32571
Q02630	Q02629
P53901	P80667
P0CG63	P38061
Q07748	P39940
P40956	P39743
P40825	P40318
P43603	P15891
P04050	P53064
P47128	P34218
Q04749	P43603
P53720	EBI-11705097
Q06604	P43603
Q03338	EBI-10054797
P30665	P53091
P07278	P22696
P0CG63	Q01477
P25044	P33203
P48559	P33203
P43603	Q12344
P39935	P04147
P25299	P39081
P11978	P11978
P04387	P04386
Q08032	P53135
P11154	P22696
O13297	O13297
P43565	P10961
P12612	P43582
P38879	Q02642
Q12267	P38041
P06367	P22696
P0CG63	P47912
Q03330	P39940
P40069	P52919
P00044	P00431
Q05979	Q06525
P32485	P34244
P20604	Q04372
Q02574	P48581
P0CG63	Q02326
Q04439	P06787
P38758	P22696
P31539	P39940
P40073	Q08229
P38870	P32793
P53864	P46995
P36024	P36024
P40563	P80667
P47068	Q04439
P0CG63	P36160
EBI-12518732	Q08641
P54199	P40460
P0CG63	P60010
P25561	P22696
P46984	P39940
Q02630	P34077
P33400	P32793
P33399	P40318
Q03558	P39940
P21524	P21524
P0CF34	Q07799
Q04439	P39955
P0CG63	P33891
P35202	Q06525
Q03774	P39940
P11746	P0CY08
P17076	P39940
Q05775	Q06525
P40483	P33203
Q08492	P22696
P05066	P33203
Q03067	Q6WNK7
P06787	P39940
P34164	P22696
P39015	P22696
Q08686	P40318
P38773	P33203
Q06142	P14907
P15705	P02829
P36006	P33334
P00925	P43582
Q12306	P12954
P53051	P40318
P52920	P40558
Q99176	P42939
P39743	Q12446
P43603	Q06604
P46655	P39940
P53738	P25627
P06103	P32497
P0CG63	P08679
P38773	P22696
P15891	P43603
P38729	P33203
P87108	P32830
Q02821	P32499
P38817	P32790
P0CG63	P00925
P47068	P47022
P00546	P10591
Q06142	Q02630
P32790	P32793
P33418	Q12453
P53153	P39743
Q02555	P15646
P0CF34	Q03897
P49687	P49686
P15274	Q06525
P0CG63	P33322
P46984	P22696
Q12287	P33203
P53974	P15891
Q02630	P38181
P53759	P43582
P32502	P09032
P53722	P36046
P40563	P38822
P38132	P30665
EBI-11701296	P07884
P33322	EBI-10957299
P53118	P43603
Q07657	P40075
P32639	EBI-10824938
Q05022	EBI-10821555
P0CG63	P38764
P20433	P34087
Q06697	P04050
P38822	P53933
P10566	P32793
P53281	Q12168
P0CG63	P38701
Q03497	P36006
P0CG63	P11484
P0CG63	P10964
Q07528	P53845
P43603	P40956
P32499	P46673
P0CG63	P38886
Q03898	P34730
Q12510	P39743
P47068	Q03497
Q12168	P32793
Q03898	P24869
P04821	P53279
Q05080	P39564
P36088	P39940
P25561	Q08409
Q04212	P40318
P38634	Q00684
Q99260	P40318
P11792	P06782
P06103	P38249
P38182	P53104
P48525	P39940
P40959	P43582
P08018	Q05080
P39743	P47128
P0CG63	P07149
Q12344	P32793
P18634	P39940
P15019	P22696
P39683	P39940
P0CF34	P53145
Q02208	P25651
P53118	P32793
P53153	P40073
P39081	P40073
P00958	P33203
Q02630	Q02199
P04821	Q7LHG5
P32913	P53845
P53281	Q03780
P32462	P33203
Q08229	P38041
Q06696	Q02767
P41816	P46995
P34164	Q06525
O13550	P22696
P04821	P11986
O13563	P48510
P53299	P57744
P53089	P46995
Q12168	P43603
