source target sign
PIAS1 STAT1 -
PIAS1 PRMT1 -
PIAS1 FABP2 +
PIAS1 CYP17A1 -
PIAS1 AR -
PIAS1 SRF +
PIAS1 MUC1 -
HOXB7 WNT5A +
HOXB7 EGFR +
HOXB7 THBS2 -
HOXB7 CDKN1B -
HOXB7 VEGFA +
HOXB7 MMP2 +
HOXB7 PDGFA +
HOXB7 CCND1 +
HOXB7 DAPK1 -
HOXB7 FGF2 +
APEX1 RELA +
APEX1 PTH -
APEX1 SLC5A5 +
APEX1 CCL2 +
APEX1 CYP11B2 -
APEX1 CD19 +
APEX1 NFKB1 +
RUNX1 MYH10 -
RUNX1 IL2 +
RUNX1 BPI -
RUNX1 PF4 +
RUNX1 CCND2 -
RUNX1 MPL +
RUNX1 KLF4 -
RUNX1 GP1BA +
RUNX1 SLC22A4 +
RUNX1 CD6 -
RUNX1 CSF2 +
RUNX1 PRKCQ -
RUNX1 CSF1 -
RUNX1 BAALC +
RUNX1 PIK3CD +
RUNX1 IL3 -
RUNX1 SYMPK -
RUNX1 NCAM1 +
RUNX1 CSF1R -
RUNX1 CD34 +
RUNX1 TIMP1 -
RUNX1 ITGB2 +
RUNX1 MECOM +
RUNX1 FHL2 +
RUNX1 ITGA2B +
RUNX1 NF1 -
RUNX1 MAD2L1 -
RUNX1 KLK3 -
RUNX1 SPI1 +
RUNX1 LGALS3 +
RUNX1 VEGFA +
RUNX1 JUN +
RUNX1 CCL3 +
RUNX1 MYL9 -
RUNX1 ELANE -
RUNX1 MPO +
HDAC2 TWIST1 -
HDAC2 CD1D -
HDAC2 GRM2 -
HDAC2 KLF4 -
HDAC2 APAF1 -
HDAC2 MYCN -
HDAC2 CDKN1A +
HDAC2 TNFSF10 -
HDAC2 IGF1 +
HDAC2 CXCL8 -
HDAC2 PHB -
HDAC2 CAD +
HDAC2 BMP7 -
HDAC2 SNAI2 -
HDAC2 MUC5AC -
HDAC2 MYC +
HDAC2 CDH1 -
HDAC2 PRDX2 -
HDAC2 CCNE1 -
HDAC2 CCL2 +
HDAC2 ALOX5 +
HDAC2 SP1 -
SSX2 MMP2 +
TBX20 FGF10 +
REST TUBB3 -
REST PENK -
REST GLRA1 +
REST LIN28A -
REST GRIN2B -
REST GABRB3 +
REST KCNQ3 -
REST VIP +
REST NRP1 -
REST BDNF -
REST CARTPT -
REST VGF -
REST PCSK1 -
REST AVP +
REST KCNN4 -
REST GRIN1 -
REST CHGA -
REST OPRM1 -
REST SYN1 +
REST KCNQ2 -
REST CHGB +
REST DYRK1A +
REST TPH2 +
REST GJD2 -
REST TAC1 -
REST CACNA1H -
REST CD59 -
REST TAC3 -
REST SCG3 -
IRF4 FCER2 +
IRF4 IL4 +
IRF4 CARD11 +
IRF4 NFATC2 +
IRF4 IRF7 -
IRF4 MS4A1 +
IRF4 BCL6 -
IRF4 CXCL9 +
IRF4 CD68 -
IRF4 IL10 +
TOB1 IL2 -
SKIL SMAD7 -
SKIL RNF111 +
SKIL ADAM12 -
APC MYC -
APC SPP1 +
APC ODC1 -
APC DNMT1 -
APC SGK1 -
APC NOS2 +
APC AMHR2 -
APC PTGS2 -
APC KLF4 +
APC AKT1 -
APC BIRC5 +
ING4 SKP2 -
ING4 TP53 +
ING4 ANGPT1 -
ING4 CXCL8 -
ING4 SPP1 -
ING4 PTGS2 -
ING4 NTRK1 -
ING4 CASP3 +
ING4 BCL2 -
ING4 NGF -
ING4 CDKN1A +
ING4 BAX +
ING4 CCND1 -
ING4 CDKN1B +
TGIF1 SOX3 -
TGIF1 SERPINE1 -
ZHX2 CCNE1 -
ZHX2 AFP -
ZHX2 CCNA2 -
ZBTB5 CDKN1A -
PER1 SLC5A1 -
PER1 BAX -
PER1 BCL2 +
MYCN MCM2 +
MYCN LRRN3 -
MYCN MCM5 +
MYCN MDM2 +
MYCN CDK6 -
MYCN HLA-C +
MYCN ABCB1 -
MYCN HLA-G -
MYCN TP53INP1 -
MYCN HDAC2 +
MYCN TH -
MYCN TERT -
MYCN HLA-E +
MYCN DDB1 +
MYCN MCM4 +
MYCN HLA-A +
MYCN BAX +
MYCN NGFR -
MYCN BIRC5 +
MYCN DKK3 -
MYCN NDRG1 +
MYCN HLA-F -
MYCN TP53 +
MYCN IFNG +
MYCN ABCC1 +
MYCN MCM10 +
MYCN MYCL +
MYCN CD44 +
MYCN HLA-B +
MYCN BMI1 +
MYCN CIITA -
MYCN ID2 +
MYCN CDKN1A +
MYCN LXN -
MYCN CDKN1B +
MYCN MCM6 +
MYCN SKP2 -
MYCN MCM3 +
MYCN MCM7 +
MYCN NTRK1 -
MYCN NES +
MYCN EFNB3 +
MYCN CTSD +
MYCN MCM8 +
HMGB2 GFI1B +
HMGB2 TNF +
HMGB2 RUNX2 -
SLC2A4RG SLC2A4 +
PTF1A CEL -
NRF1 PRDX3 +
NRF1 SLC46A1 +
NRF1 TOMM34 -
NRF1 PRDX5 +
NRF1 SPAST +
NRF1 SDHB -
NRF1 SNRPN +
NRF1 GALNT3 +
NRF1 NQO1 -
NRF1 CXCR4 +
NRF1 CAPNS1 +
NRF1 SIRT6 +
NRF1 FXR2 +
NRF1 FMR1 +
NFATC4 PTGS2 -
SALL4 HOXA9 +
SALL4 POU5F1 -
SALL4 ZEB1 +
SALL4 CDH1 -
SALL4 ABCA3 +
SALL4 SALL4 -
SALL4 SOX9 +
GTF2F1 BGLAP +
HIC1 ACKR3 -
HIC1 EPHA2 -
HIC1 EFNA1 -
HIC1 SIRT1 -
NR1I2 RXRA +
NR1I2 BCL2L1 +
NR1I2 HP -
NR1I2 UGT1A1 +
NR1I2 NOD2 -
NR1I2 RAB3A +
NR1I2 THBS1 +
NR1I2 CYP2C8 +
NR1I2 FGF19 +
NR1I2 THRSP +
NR1I2 RELA -
NR1I2 CYP2C9 +
NR1I2 PTAFR +
NR1I2 BCL2 +
NR1I2 ABCB1 +
NR1I2 CORO1C +
NR1I2 KLF6 +
NR1I2 NOD1 -
NR1I2 CYP2B6 +
NR1I2 TNFRSF12A +
