source target sign
PLAGL2 SFTPC +
PLAGL2 METAP2 +
PLAGL2 MPL +
PLAGL2 IGF2 +
PLAGL2 NOX4 +
PLAGL2 NCF2 +
EXO1 CYC1 +
EXO1 ARNTL2 -
EXO1 GTF2F1 -
EXO1 E2F7 -
SLC6A4 SCG3 +
SLC6A4 NOS3 -
STIM1 LPAR2 -
NR4A3 CCK +
NR4A3 ADIPOR2 -
ADIPOR1 POLD1 +
ADIPOR1 SIRT6 -
SH2D1A SRD5A3 -
GLIS3 ACLY -
GLIS3 SMAD6 +
GLIS3 S100A10 +
GLIS3 CIAO1 -
GLIS3 INS +
CDKN3 SLC6A4 +
CDKN3 LIPE -
CDKN3 ATP6V0E1 -
CASP7 PIK3CA +
CASP7 PSMB10 -
CASP7 EHMT2 -
RASGRP1 IGF1R +
RASGRP1 TLR10 +
MX1 KRT7 +
MX1 IL3 +
MX1 CTSK +
NDUFA13 PRAM1 -
NDUFA13 SFTPD -
TP53BP2 AKR1C4 +
TP53BP2 SERPINB2 -
TP53BP2 SLC39A3 +
TP53BP2 SFTPD -
RPRM TFF2 -
ONECUT2 IL13 -
MICB NME3 -
MICB ENPP2 +
MICB MLLT10 -
SUPT3H PGF +
SUPT3H CBX7 -
SUPT3H AMACR +
SUPT3H VCP -
TNFRSF11B APEX1 +
PVR MAX -
LATS2 ATP2C1 -
LATS2 ITGAD +
LATS2 PPP1R13B -
ING1 LILRB4 +
ING1 DGCR8 -
ING1 CASP3 +
ING1 MGP +
NR1H3 ABCA1 +
NR1H3 APOE -
NR1H3 PLTP +
NR1H3 CETP -
NR1H3 BHLHE40 +
NQO2 SOCS7 +
NQO2 SPN -
NQO2 TIMP2 +
ZNF76 TALDO1 +
ZNF76 PCYT1A +
ZNF76 PIK3CA +
ZNF76 COL4A1 +
FGF10 FAAH +
FGF10 EAPP -
FGF10 ISL1 -
APOE NCOA2 +
ORMDL3 CYP11A1 +
ORMDL3 BECN1 -
PRAM1 GTF2I +
HLA-G FKBP4 +
HLA-G TBXAS1 -
CDAN1 BIN1 +
GREB1 SALL2 +
GREB1 NOTCH3 +
GREB1 TNFSF14 +
DNTT CD163 -
DNTT ELK3 -
DNTT COL4A1 +
AFP SAA1 +
OPRM1 GDAP1 +
OPRM1 CCL4 +
TDO2 HOXC8 -
TDO2 PDYN -
TDO2 TOP1MT +
TDO2 ZSCAN21 +
EWSR1 PDE6A +
EWSR1 APOE +
EWSR1 COL11A2 +
EWSR1 PHLDA1 -
EWSR1 POU4F1 +
HSF4 TOP1MT -
HSF4 SP3 -
HSF4 IFITM3 +
HSF4 FGL2 -
GABPB1 HYOU1 -
GABPB1 OXTR +
BMP2 MDC1 +
BMP2 APOBR +
MLLT3 SCNN1A +
MLLT3 ADIPOR1 -
MLLT3 NFKBIA -
WWOX CRHBP -
WWOX RRP1B -
WWOX CHEK1 -
WWOX ADH6 +
PSMB9 ACMSD -
PSMB9 CD163 -
PSMB9 PVR -
PSMB9 ASNS -
HMGB1 KL +
HMGB1 MCM10 -
HMGB1 MADCAM1 -
HMGB1 NPAS1 -
HOXB7 HLA-DRA -
HOXB7 TBP +
HOXB7 EGFR +
HOXB7 SMN1 -
HOXB7 DAPK1 -
HOXB7 WNT5A +
ATP5A1 WDR5 -
ATP5A1 HYAL1 +
ATP5A1 LILRB2 +
ATP5A1 HDAC9 -
HBZ ERCC5 -
HBZ TP73 -
JAK3 ADRA1A -
JAK3 JAG1 +
HLA-DPB1 CDC20 +
CHAC1 ANKRD1 +
CHAC1 POLR2C +
CD247 VAMP2 -
CD247 SCTR +
TRAF1 HHEX -
TRAF1 PLAC1 +
TRAF1 MEN1 +
MAFF OXTR +
MAFF CSH1 -
MAFF STMN2 +
TGFBR1 FOXA3 -
CERS2 EDEM2 +
CERS2 TXNIP +
CERS2 ENG -
PPP2R2B RUNX1T1 -
TRIM24 PIP5K1C +
PTMA GFAP -
PTMA IDO1 +
PTMA TLR9 -
PTMA IDO2 +
ENO1 HSD3B2 +
POLR2C LTF -
POLR2C MAFB +
POLR2C MT1F +
POLR2C NPPB -
SLC31A1 ITGB4 -
NEUROD1 MGAT5B +
NEUROD1 INSM1 -
NEUROD1 INS -
VCAM1 MMP12 -
VCAM1 SOX14 -
KCNIP3 PDYN -
KCNIP3 TG -
AURKB MAPK8 +
AURKB MAP1A +
NFE2L1 MAFB -
NFE2L1 CDK11B -
NFE2L1 NQO1 +
PROM1 CASP8 +
PROM1 MPO -
HBB FXR2 -
HBB STK11 -
ACMSD PNRC2 -
ACMSD CRISP3 +
ACMSD PSG1 +
CYP2F1 HIF3A -
CYP2F1 SEPT7 -
NPHS2 HSPA1L -
NPHS2 ERO1L +
MLL3 DNMT3A -
MLL3 HOXC6 +
MLL3 PRDM14 -
MLL3 GUSB +
XRCC5 H2AFX -
XRCC5 DRD2 -
XRCC5 PTGFR -
XRCC5 LIN54 +
KRT12 TNFSF10 +
KRT12 MAD1L1 +
KRT12 RPL3 -
CXADR PTN +
CXADR IL15 +
MYCN TBX5 +
MYCN TNFRSF9 -
MYCN IGFBP3 -
BHLHE41 STAT6 -
TIAL1 NFRKB -
TIAL1 KLF11 -
TIAL1 PF4 +
TIAL1 MTDH +
E2F6 NETO2 +
E2F6 CYC1 +
E2F6 BRD7 +
E2F6 IL13 +
E2F6 APAF1 -
SP1 STIM1 -
SP1 NPHS2 +
HOXC11 S100B -
HOXC11 GCGR +
HOXC11 LCT -
SERPINB2 SLA2 +
SERPINB2 ASPM -
EPHB2 HPSE2 -
EPHB2 TNFAIP3 -
EPHB2 RPRM +
EPHB2 ELMO3 +
HHEX CCL21 -
HHEX TDRD1 +
FXR2 OSM -
ADAMTS1 MAF +
ADAMTS1 HPGD -
ADAMTS1 SSTR1 -
BECN1 MMP12 -
BECN1 ALDH1A3 -
BECN1 LDHC -
SEMA6A HLA-DRA +
SEMA6A FGF4 -
POLR1A NRAS -
POLR1A BLK +
POLR1A MVP -
POLR1A FGL2 -
CYP11B2 ACP5 +
CYP11B2 IL15 +
BRD7 LTF +
TG IL15 +
MUC3A MDK -
MUC3A PIM1 -
MUC3A SEPT7 +
ATAD2 ABCC1 +
ATAD2 TAC3 +
ATAD2 SMARCB1 -
ST3GAL4 FGA -
ST3GAL4 TFCP2L1 -
CFH CDC6 +
FCGR3B PSMB10 +
PENK ZHX3 +
LOX RRP1B -
LOX SERPINA3 -
LOX LTBP1 -
COL4A3 IDO1 +
COL4A3 PRSS8 +
COL4A3 TLR3 -
CYP2C9 GLRA1 +
TOPBP1 AURKB +
ARID1B NEFL -
ARID1B CD40LG -
ARID1B IGH +
DOCK1 EVX1 -
KRT19 ARG2 +
KRT19 TAP1 +
KRT19 SSTR2 -
FKBP4 SLC15A1 -
FKBP4 CSF2 -
FKBP4 COL7A1 +
E4F1 SKIL +
E4F1 SCD -
E4F1 CCNA2 -
E4F1 UBE4B -
TLR4 MAOB +
ASPH TYMS +
ASPH CYSLTR1 -
SLC39A1 HDAC8 -
HES1 ATAD2 +
HES1 PTGDS -
TNFRSF13C CHRNA5 -
TNFRSF13C CCNG2 -
TNFRSF13C CHEK2 -
PSEN2 SURF1 -
PSEN2 PEA15 -
PSEN2 CDH11 -
PSEN2 HECA +
FOXL1 BMP4 +
FOXL1 FGG +
CARM1 MUC5B +
CARM1 ING2 -
CARM1 APCS -
CARM1 GPX1 -
LMO4 DEFB4A -
LMO4 LMO3 -
LMO4 BMP7 +
LMO4 DLG4 -
LMO4 LMO1 +
FOXP3 CCNB1 +
FOXP3 IL2RA +
FOXP3 CTLA4 +
FOXP3 CCR4 +
FOXP3 TLR10 -
IGF1 INSM1 +
LTC4S MEOX2 -
LTC4S CR1 -
LTC4S NAB1 -
LTC4S UBP1 -
FGL2 SLC7A5 +
FGL2 SLC29A1 -
FGL2 PFDN4 -
FGL2 CYP2J2 -
LTF BCAT1 -
SEMG1 POU3F1 -
SEMG1 SELP -
SEMG1 MUC4 +
SEMG1 CKS2 -
SLC4A2 IFNLR1 +
PRODH SNRPN -
PRODH CREB3 +
PRODH MTDH -
PTGS1 CTNNBIP1 -
KIAA0101 PLK1 -
KIAA0101 MAFA -
TCERG1 FDPS +
LAMB1 TYK2 +
LAMB1 SPRR2A +
LAMB1 MAPK8 +
SLC26A3 SNW1 +
SLC26A3 TGFBR2 -
CASR SKP2 -
CASR CCL3 +
DACH1 BTRC -
DACH1 PPP1R13B -
DACH1 RPA2 +
KHDRBS1 IGF2 +
KHDRBS1 LEP +
KHDRBS1 KRAS +
BDNF NRCAM +
TPH2 COL18A1 +
TPH2 CARTPT -
TPH2 IL13 +
YES1 SEMA6A +
BDP1 SLC15A1 -
BDP1 EVPL -
LHB CYP3A4 +
LHB ADIPOR1 +
GUCY1B3 ANPEP -
GUCY1B3 NFE2L1 -
GUCY1B3 TNFRSF11B -
GUCY1B3 BACH1 +
FIGF CHEK1 +
FIGF CCL3 -
FIGF ABCG1 +
FIGF PDK1 -
MAFA BCL3 +
MAFA NKX6-1 +
MAFA INS +
MAFA SLC2A2 +
MAFA PDX1 +
SLC19A1 NEUROG3 +
SLC19A1 HLTF -
SLC19A1 UCP1 +
MPG ITGA2B -
MPG FGF8 -
RETN PDGFA +
RETN ERBB3 +
XIAP NOL7 +
XIAP G0S2 +
XIAP MSMB -
XIAP SURF2 -
CCNC TRAP +
CCNC AGTR1 +
BLMH PELP1 +
BLMH FOXP1 -
BLMH IL18 -
VAMP2 TDGF1 +
SLC1A4 KISS1 +
SLC1A4 RAP1A +
SATB2 GTF3C2 +
CEBPZ GZMB -
CEBPZ CKS2 -
CEBPZ IL4 -
CEBPZ MLH1 -
CEBPZ COL11A1 -
CEBPZ COL1A2 +
EBF1 PDE6A +
EBF1 GP1BB -
EBF1 PPOX +
NEFL SRPX +
NEFL UGDH +
NEFL LITAF +
NEFL CA2 -
IRF4 IL4 +
IRF4 FCER2 +
IRF4 IL10 +
IRF4 SYP -
IRF4 CD68 -
MUC4 FURIN +
A2M EHMT2 +
A2M HINFP -
ITGB7 MYF5 +
ITGB7 RTN3 +
