source target sign
CDKN1A IFNG +
CDKN1A HNF1A -
CDKN1A HOXA10 -
CDKN1A BCL6 -
CDKN1A ITGB1 +
CDKN1A REL +
CDKN1A MAOB +
NANOG CDX2 -
NANOG CDK6 -
NANOG POU5F1 +
NANOG ELF1 -
NANOG CDC25A -
NANOG AFP -
NANOG GATA6 -
NANOG GATA4 -
NANOG BACE1 -
NANOG HDAC1 -
NANOG GATA2 -
NANOG NCOR2 +
NANOG CCND1 +
NANOG DKK1 -
NANOG IL10 -
NANOG KLF2 +
NANOG NR5A1 -
NANOG NCAM1 -
NANOG CGA -
NANOG KDR +
ING1 E2F6 -
ING1 FOXP3 -
ING1 AFP -
ING1 DNMT1 +
ING1 CASP3 +
ING1 TP53 +
ING1 CDKN1A +
ING1 GFI1B -
ING1 BAX +
ING1 PCNA +
ING1 CETP -
NR1H3 ABCA1 +
NR1H3 SATB1 -
NR1H3 MUC4 -
NR1H3 USF1 +
NR1H3 TNFRSF10B +
NR1H3 SRY -
NR1H3 CYP17A1 -
NR1H3 HNF1A -
NR1H3 CETP -
NR1H3 SREBF1 -
NR1H3 F2R +
HLA-G NR1H4 +
HLA-G BRD7 +
HLA-G DKK1 -
HLA-G ITGAX +
HLA-G CDK1 +
HLA-G DNMT3A -
HLA-G OXTR +
HLA-G CSF3R +
HLA-G GCLC +
HLA-G KAT2B +
AFP CCND1 -
AFP TNFSF10 -
AFP BBC3 -
AFP RFXANK +
AFP TIMP2 +
AFP IGF2 -
AFP IL10 +
AFP DEK +
AFP POU5F1 +
AFP HDAC7 -
AFP PTTG1 +
OPRM1 HMOX1 +
OPRM1 E2F6 -
OPRM1 LMX1B -
OPRM1 CCL5 -
OPRM1 CCNA2 +
OPRM1 SNAI2 -
OPRM1 TFF1 +
OPRM1 NCOR2 +
HOXB7 CCND1 +
HOXB7 EGFR +
HOXB7 ELF1 -
HOXB7 BDKRB1 +
HOXB7 ERBB2 -
HOXB7 CDKN1B -
HOXB7 MMP2 +
HOXB7 ILF3 +
HOXB7 PLAUR +
HOXB7 VEGFA +
HOXB7 FGF2 +
VEGFB PAX3 +
VEGFB TNFAIP3 -
VEGFB TH +
VEGFB KLF6 +
VEGFB PITX1 +
VEGFB COL11A2 -
VEGFB PTTG1 -
VEGFB HOXA9 -
VEGFB PPARG +
VEGFB TP73 +
MMP2 NKX2-1 -
MMP2 FOSL2 -
MMP2 HNF4A +
MMP2 MEF2C -
MMP2 ELANE -
MMP2 SLC9A2 -
MMP2 CDKN1B -
MMP2 APC +
MMP2 FLI1 -
TCF4 JUN +
TCF4 VIM +
TCF4 PTEN -
TCF4 RARG -
TCF4 DNMT3A +
TCF4 KLF4 +
TCF4 VEGFA +
TCF4 BIRC5 +
TCF4 MYC +
TCF4 COPS5 +
TCF4 CCND1 +
TCF4 ABCB1 +
TCF4 HIVEP2 -
TCF4 MITF -
TCF4 ATF6 +
VCAM1 EP300 -
VCAM1 HCFC1 +
VCAM1 ABCA1 -
VCAM1 CCNE1 -
VCAM1 HMGA2 +
NR1I2 THBS1 +
NR1I2 AKT1 +
NR1I2 BCL2 +
NR1I2 CYP2B6 +
NR1I2 NR1H3 +
NR1I2 NFKB1 -
NR1I2 MMP13 +
NR1I2 BCL2L1 +
NR1I2 CCL2 -
NR1I2 RELA -
NR1I2 IL10 +
NR1I2 ABCB1 +
NR1I2 SLC9A2 -
NR1I2 CYP3A4 +
NR1I2 FOSL1 +
NR1I2 RXRA +
NR1I2 KLF6 +
NR1I2 CYP2C9 +
HBB EGR1 +
HBB MTF1 -
HBB BAX -
HBB SLC2A4 -
HBB IL17A -
HBB COPS5 +
MYCN CDK6 -
MYCN HLA-G -
MYCN SKP2 -
MYCN CFTR -
MYCN MDM2 +
MYCN CD44 +
MYCN TP53 +
MYCN CTSD +
MYCN TERT -
MYCN ID2 +
MYCN HDAC2 +
MYCN HLA-A +
MYCN TLR9 +
