source target sign
SIRT1 CUX1 +
SIRT1 VSX2 -
SIRT1 CDC25B -
SIRT1 KCNN4 -
HECA IGF2R -
HECA SNAI3 -
HECA ACRV1 -
OGG1 HDGF +
OGG1 ABCB1 +
OGG1 PRSS8 -
ARX MAF -
ARX CCL3 +
ARX TBL1X +
NCOA3 CDK20 +
NCOA3 ATF3 -
NANOG SNAP91 -
NANOG MLANA -
NANOG RPTOR +
CD74 NEDD4L +
CD74 MT1F +
CD74 CDT1 -
CD74 ALB -
CD74 HYOU1 +
SLC6A3 HOXC8 -
CDKN2B TBXAS1 +
CDKN2B TRIB2 -
ACTA2 GRPR -
ACTA2 ADA -
ACTA2 ELK4 -
ACTA2 KAT6A +
ACTA2 DMPK -
BHMT ATXN7 +
BHMT MRVI1 -
BHMT GJC2 -
NUPR1 PCNA +
NUPR1 TFPI2 +
NUPR1 NHLH2 -
ATOH1 HMMR -
ATOH1 CYP24A1 -
ATOH1 CNTNAP2 +
ATOH1 SAMD4A -
PDE5A GABRE -
PDE5A TAL1 +
PDE5A GATA2 -
PDE5A UGT1A1 +
PDE5A BPI +
PDE5A CHGB -
PDE5A ZAP70 +
CYP27A1 S100P +
CYP27A1 MFSD2A -
CYP27A1 ASF1B +
CYP27A1 MCM5 -
HLF MYCN -
HLF OCLN -
HLF CXCL1 +
HLF MPO +
UGCG FGFR4 +
UGCG SERPINB9 -
BLK PSIP1 -
BLK HSPA1A -
BLK ESRRA -
UGT1A4 MEF2C +
TEK RAB4B +
TEK MAOA -
TEK NSFL1C -
TEK IL1RN -
TOB1 COL1A2 -
TOB1 KCNQ2 +
TOB1 LDHC -
DCT WNT3A +
DCT PSG7 +
PPP2R2B RAD9A -
PPP2R2B HLA-A +
PPP2R2B IL21 -
PPP2R2B CNR1 -
PPP2R2B HNRNPA1 +
PPP2R2B CHD4 +
S100A9 CSF1 +
S100A9 LPL +
S100A9 KCNH2 +
S100A9 CDKN3 +
S100A9 TCERG1 -
MAD1L1 CDKN2C +
MAD1L1 CCNA1 -
MAD1L1 BTG2 +
MYCN TCF21 +
MYCN EAPP -
MYCN LGALS4 -
MYCN CCND1 -
COL7A1 MAP3K5 +
COL7A1 FOXL1 +
COL7A1 POLD2 -
COL7A1 SLC6A3 -
COL7A1 CBX6 +
NEFL ABCG4 +
NEFL ELOVL6 -
COX4I1 AMH -
COX4I1 ALDOB +
COX4I1 COL1A1 -
DNMT3L SOCS3 -
DNMT3L CYP7B1 +
DNMT3L HDAC9 +
DNMT3L ADORA2A +
DNMT3L ACOX1 +
HLTF NEUROG2 +
ASAH1 ING4 +
ASAH1 IRF2 -
NCL BAK1 +
NCL CTSS -
NCL SERPINC1 -
BMP7 KCNIP3 +
BMP7 CD4 -
BMP7 LECT1 -
BMP7 RPLP0 +
CD4 EMX2 +
AGR2 BHLHE40 +
AGR2 CAV3 -
AGR2 GUCY1B3 -
AGR2 MTDH +
PTAFR MS4A1 -
PTAFR FOXN1 -
PTAFR NPHS1 -
KHDRBS1 HOXB1 -
KHDRBS1 IL5RA -
KHDRBS1 FURIN +
PTTG1IP PCSK6 +
PTTG1IP GJB1 +
TRAP MFSD2A +
TRAP UHRF1BP1 -
TRAP PCSK9 -
RAD21 PRKCE +
RAD21 PIM1 -
FMO3 STAT4 +
FMO3 ACTG2 +
FMO3 RORC -
FMO3 DR1 +
KLK1 IGF2 -
KLK1 FABP7 +
NOTCH1 ZNF160 -
NOTCH1 PPL -
NOTCH1 GAPDH +
TEAD1 TBX20 -
TEAD1 GABRB3 +
TEAD1 APLNR +
TEAD1 FOXH1 +
TEAD1 FGF7 +
TEAD1 SLC10A1 +
NKX2-1 CNOT7 -
NKX2-1 CSNK2B +
MAFA DNAJB4 -
MAFA TSHR +
HIPK2 P2RX4 -
HIPK2 HRAS -
HIPK2 SMURF2 +
HIPK2 ACO1 -
FOXF1 YES1 +
FOXF1 EDN1 +
PDYN STRA13 -
PDYN LRP1 +
PDYN PPP2CA -
FOLH1 TFDP3 +
FOLH1 HIP1 -
LMO7 HLA-DRA +
LMO7 PDK2 +
KRT10 HIRA +
KRT10 DACH1 +
KRT10 GM2A -
KRT10 SP4 -
KRT10 CSF1R -
TRAF1 NMU -
TRAF1 LAT -
TRAF1 RAG1 +
TRAF1 SLC9A1 -
TRAF1 KIF2C -
JUP GRIN2B -
JUP ALOX15 +
JUP JUN -
JUP PIAS4 +
JUP AGTR1 -
GCM1 PRF1 -
GCM1 UBC -
GCM1 ADAMTS1 -
SNCB TBR1 +
SNCB SLC13A3 +
SNCB L1TD1 +
SNCB JUN +
SNCB NR3C1 +
AMHR2 ODC1 +
AMHR2 IRS2 -
AMHR2 HOPX -
AMHR2 BIRC3 -
CD44 GTF2I -
CD44 CYP2J2 +
CD44 GDNF -
ATXN7 KMT2A +
ATXN7 LGALS3BP +
PPOX HOXA7 +
FUT2 MYL7 +
FUT2 GTF3A +
FUT2 SAT1 +
FUT2 SLC6A6 -
FUT2 IL21 -
FUT2 CYSLTR1 -
POLK MYBL2 +
POLK ETS2 -
POLK PRDM1 +
KDM4B SEMG1 +
KDM4B MYH9 +
KDM4B MXD4 +
KDM4B BRE -
FOXO4 CGB5 -
FOXO4 MTA1 +
FOXO4 NCOR1 -
FOXO4 CDH6 -
F3 IGFBP1 -
F3 EFNB3 -
F3 UGT2B15 +
CDO1 CRMP1 +
CDO1 TFF1 -
CDO1 GCLC +
PCSK9 ZNF175 +
PCSK9 CSRP1 +
PCSK9 MACROD1 +
CYP2C9 MTA3 -
CYP2C9 WHSC1 +
IDO2 MCAM -
IDO2 SDC4 -
IDO2 TFPI2 -
PTH STAT2 +
PTH ST6GAL1 +
DNAJC3 REN +
DNAJC3 MMP7 +
DNAJC3 DMPK -
DNMT3A RSF1 -
DEFA1 APOC3 -
DEFA1 NFKBIB +
DEFA1 IFI16 -
SALL4 SART3 -
SALL4 OTX1 +
SALL4 ZNF383 -
RORC SPRR2A -
RORC MAPK3 -
RORC IFNA13 +
RORC NOD2 -
NEUROG2 KDR +
NEUROG2 TGFB2 +
NEUROG2 SRSF1 -
HYOU1 OCLN +
HYOU1 VGF -
HYOU1 PPP2CA +
DEAF1 FCGR2B +
DEAF1 HTT -
DEAF1 LYZ +
CD83 CD68 +
CD83 CXADR +
CD83 TSC22D1 -
RNASE2 SIGMAR1 +
RNASE2 CD28 +
RNASE2 FN1 -
