source target sign
HSA-MIR-302A-3P CDK4 -
HSA-MIR-302A-3P AKT1 +
HSA-MIR-302A-3P BMI1 -
HSA-MIR-302A-3P DAZAP2 +
HSA-MIR-302A-3P CDK1 +
HSA-MIR-302A-3P SLAIN1 +
HSA-MIR-302A-3P MBD2 +
HSA-MIR-302A-3P NANOG +
HSA-MIR-302A-3P CDK2 +
HSA-MIR-302A-3P CCND1 -
HSA-MIR-302A-3P TAC1 +
HSA-MIR-302A-3P LEFTY2 +
HSA-MIR-302A-3P CDKN1A -
HSA-MIR-302A-3P LEFTY1 -
HSA-MIR-302A-3P NR2F2 -
HSA-MIR-302A-3P TOB2 -
HSA-LET-7F-5P ELF4 +
HSA-LET-7F-5P PRDM1 +
HSA-LET-7F-5P AGO1 +
HSA-LET-7F-5P MYH9 +
HSA-LET-7F-5P CYP19A1 +
HSA-LET-7F-5P DYRK2 -
HSA-LET-7F-5P CCL7 +
HSA-LET-7F-5P MPL +
HSA-LET-7F-5P SOCS3 -
HSA-LET-7F-5P IL13 -
HSA-LET-7F-5P CCND1 -
HSA-LET-7F-5P KLK6 -
HSA-LET-7F-5P KLK10 -
HSA-LET-7F-5P GPS1 +
HSA-LET-7F-5P COPS6 +
HSA-LET-7F-5P COPS8 +
HSA-MIR-369-5P DNMT3A -
HSA-MIR-369-5P DNMT3B -
HSA-MIR-369-5P FABP4 -
HSA-LET-7I-5P IGF1 +
HSA-LET-7I-5P COPS6 +
HSA-LET-7I-5P SOCS1 -
HSA-LET-7I-5P IL13 -
HSA-LET-7I-5P BMP4 +
HSA-LET-7I-5P TLR4 +
HSA-LET-7I-5P NEUROG1 +
HSA-LET-7I-5P AGO1 +
HSA-LET-7I-5P GPS1 -
HSA-LET-7I-5P ASCL1 -
HSA-LET-7I-5P COPS8 -
HSA-MIR-380-5P CD274 +
HSA-MIR-33B-5P PCK1 -
HSA-MIR-33B-5P ABCA1 +
HSA-MIR-33B-5P G6PC -
HSA-MIR-33B-5P RORA -
HSA-MIR-33B-5P CREB1 -
HSA-MIR-33B-5P BCL2 -
HSA-MIR-33B-5P PIM1 +
HSA-MIR-33B-5P SRC +
HSA-MIR-320A NRP1 -
HSA-MIR-320A NPR1 +
HSA-MIR-320A BANP +
HSA-MIR-320A AQP1 +
HSA-MIR-320A GNAI1 +
HSA-MIR-320A PTEN -
HSA-MIR-320A HSPB6 +
HSA-MIR-320A RAC1 +
HSA-MIR-320A POLR3D -
HSA-MIR-320A IGF1R +
HSA-MIR-320A AQP4 -
HSA-MIR-320A NFATC3 +
HSA-MIR-320A MAPK1 -
HSA-MIR-320A TFRC +
HSA-MIR-320A TAC1 -
HSA-MIR-320A MCL1 +
HSA-MIR-320A BMI1 -
HSA-MIR-320A ARF1 -
HSA-MIR-320A ITGB3 -
HSA-MIR-320A TRPC5 +
HSA-MIR-661 MDM4 -
HSA-MIR-661 VCL -
HSA-MIR-661 MDM2 -
HSA-MIR-661 MGMT +
HSA-MIR-661 MTA1 +
HSA-MIR-661 MTA2 +
HSA-MIR-661 MCL1 +
HSA-MIR-200C-3P GATA4 +
HSA-MIR-200C-3P BCL2 +
HSA-MIR-200C-3P RCOR3 +
HSA-MIR-200C-3P PTPRD +
HSA-MIR-200C-3P E2F3 +
HSA-MIR-200C-3P DNMT3A +
HSA-MIR-200C-3P RNF2 -
HSA-MIR-200C-3P ZNF217 +
HSA-MIR-200C-3P NTRK2 +
HSA-MIR-200C-3P PTPN13 +
HSA-MIR-200C-3P TUBB3 +
HSA-MIR-200C-3P KLHL20 +
HSA-MIR-200C-3P PIN1 -
HSA-MIR-200C-3P BMI1 +
HSA-MIR-200C-3P TIMP2 -
HSA-MIR-200C-3P SHC1 +
HSA-MIR-200C-3P HFE +
HSA-MIR-200C-3P USP25 +
HSA-MIR-200C-3P LPAR1 -
HSA-MIR-200C-3P ETS1 -
HSA-MIR-200C-3P FN1 +
HSA-MIR-200C-3P CCNE2 -
HSA-MIR-200C-3P SEC23A +
HSA-MIR-200C-3P TCF7L1 +
HSA-MIR-200C-3P TBK1 -
HSA-MIR-200C-3P VEGFA -
HSA-MIR-200C-3P BAP1 +
HSA-MIR-200C-3P KLF11 -
HSA-MIR-200C-3P NTF3 +
HSA-MIR-200C-3P ERBB2IP -
HSA-MIR-200C-3P FLT1 -
HSA-MIR-200C-3P UBQLN1 -
HSA-MIR-200C-3P MSN -
HSA-MIR-200C-3P EFNA1 +
HSA-MIR-200C-3P DNMT3B +
HSA-MIR-200C-3P ZFPM1 -
HSA-MIR-200C-3P SP1 +
HSA-MIR-200C-3P ZEB1 -
HSA-MIR-200C-3P KLF9 +
HSA-MIR-200C-3P ATRX +
HSA-MIR-200C-3P NCAM1 +
HSA-MIR-200C-3P WDR37 -
HSA-MIR-200C-3P KRAS -
HSA-MIR-200C-3P EDNRA +
HSA-MIR-200C-3P SEPT7 +
HSA-MIR-200C-3P RIN2 -
HSA-MIR-200C-3P DLC1 -
HSA-MIR-200C-3P ACVR2B +
HSA-MIR-200C-3P ZEB2 -
HSA-MIR-200C-3P CFL2 -
HSA-MIR-200C-3P XIAP -
HSA-MIR-200C-3P NOTCH1 +
HSA-MIR-200C-3P IKBKB -
HSA-MIR-200C-3P HOXB5 +
HSA-MIR-200C-3P FBLN5 -
HSA-MIR-200C-3P BRD7 +
HSA-MIR-200C-3P ZFPM2 +
HSA-MIR-200C-3P CDH11 +
HSA-MIR-200C-3P UBE2I -
HSA-MIR-200C-3P RASSF2 +
HSA-MIR-200C-3P RND3 +
HSA-MIR-200C-3P VAC14 +
HSA-MIR-200C-3P MYB +
HSA-MIR-200C-3P BTC -
HSA-MIR-200C-3P RHOA -
HSA-MIR-200C-3P KDR -
HSA-MIR-200C-3P SUZ12 -
HSA-MIR-200C-3P GEMIN2 +
HSA-MIR-200C-3P PMAIP1 -
HSA-MIR-200C-3P ERRFI1 +
HSA-MIR-200C-3P ROCK2 +
HSA-MIR-200C-3P ELMO2 +
HSA-MIR-98-5P CCNJ +
HSA-MIR-98-5P SOCS4 -
HSA-MIR-98-5P NCOA3 -
HSA-MIR-98-5P E2F2 -
HSA-MIR-98-5P E2F1 -
HSA-MIR-98-5P CYP19A1 +
HSA-MIR-98-5P HMGA2 -
HSA-MIR-98-5P MYC +
HSA-MIR-98-5P TUSC2 -
HSA-MIR-98-5P MPL -
HSA-MIR-98-5P IL13 -
HSA-MIR-98-5P EZH2 +
HSA-MIR-98-5P PGRMC1 +
HSA-MIR-98-5P CBL +
