source target sign
HSA-MIR-490-3P ERGIC3 +
HSA-MIR-490-3P SMARCD1 +
HSA-MIR-490-3P PAPPA -
HSA-MIR-490-3P RARG -
HSA-MIR-490-3P RAP2A -
TRPC5 TM6SF1 +
SLC6A4 HTATIP2 +
SLC6A4 SMAD5 +
SLC6A4 HSD17B1 +
SLC6A4 UPF2 -
NR4A3 MAZ +
NR4A3 BCL2L1 +
NR4A3 PFN1 -
CTDSPL MTOR -
CTDSPL FZD3 -
CTDSPL CREB1 -
CDKN3 FNDC3B +
CDKN3 DAPK1 +
CDKN3 SERPINH1 +
CASP7 DSC2 +
CASP7 MAP3K5 +
CASP7 DDX6 +
SMR3B DPYD -
SMR3B CXCR4 +
SMR3B ZMPSTE24 -
HSA-MIR-151A-5P MPL -
HSA-MIR-151A-5P N4BP1 +
HSA-MIR-151A-5P ARHGDIA -
HSA-MIR-151A-5P IL1RAPL1 +
HSA-MIR-151A-5P CASZ1 +
HSA-MIR-32-5P PRMT5 +
HSA-MIR-32-5P REV3L -
HSA-MIR-32-5P TRAF3 -
HSA-MIR-32-5P KAT2B +
TP53BP2 KLHL11 +
TP53BP2 ID2 +
TP53BP2 TAR -
WISP2 HDAC8 +
WISP2 PER1 -
ONECUT2 SKI -
ONECUT2 CEP41 +
TKT MAP7 -
FUT4 HSA-MIR-675-3P -
FUT4 HSA-MIR-1247-5P +
EIF2S3 HMX1 +
EIF2S3 PMAIP1 +
NANOG SLAIN1 +
NPR1 ZFAND4 -
NPR1 TSHZ3 +
NPR1 BBC3 -
NR1H3 BANP +
ATG4C CTSC +
APOE RNF11 -
PXN YBX1 +
PXN IFNR +
PXN CA2 +
PXN SATB2 +
SERPINF2 RAB5A -
SERPINF2 FAS +
RAB22A RGS3 +
RAB22A GLI2 -
FOSL1 MNT +
FOSL1 S100A1 +
HSPA5 QKI +
HSPA5 HSA-MIR-299-3P +
HSA-MIR-543 PTK2 -
HSA-MIR-543 TWIST1 -
UBASH3B CARHSP1 +
UBASH3B MYL9 +
PHLPP2 DLX5 +
PHLPP2 CDC14A -
PHLPP2 CHEK2 -
HSA-MIR-519E-3P HSA-MIR-124-3P +
HSA-MIR-519E-3P ANKRD46 +
CLIC4 EIF4A2 +
CLIC4 ZNF804A +
EWSR1 WWP1 -
EWSR1 MSC -
EWSR1 SIAH1 -
FGF2 ZNF148 -
FGF2 NFIA -
FGF2 TUSC7 -
NFKBIA CCND2 -
NFKBIA CCL26 +
CD22 RAB13 -
CD22 TACC3 +
CD22 PTGER4 +
HMGB1 COL3A1 -
HMGB1 HOXA1 -
WDR37 MAFB +
PTP4A1 MAPK4 -
ATG14 DIRAS3 -
PTPRM BTRC -
USF2 ADAM1A +
USF2 BRAF +
HSA-MIR-630 SNAI2 -
HSA-MIR-630 YAP1 +
HSA-MIR-630 ABL1 -
HSA-MIR-630 BCL2L2 +
CDK19 WNT3A +
CDK19 PRDM16 -
CDK19 SFPQ +
CHORDC1 LAMC1 -
CHORDC1 PLD2 -
CHORDC1 MTHFD1 -
TGFBR1 RPS6KB1 -
MMP2 HSA-MIR-125B-1-3P -
MMP2 MAP1A -
MMP2 RBL2 +
CERS2 HMOX1 +
CERS2 NPNT -
PPP1CA WASF2 +
PPP1CA KIF22 -
PPP1CA RHOU -
PPP1CA HOXD8 -
HOXB5 TSC22D3 -
HOXB5 XRCC2 +
CHD1 NT5C3A +
TRA2B VASH1 -
TRA2B FBXW7 -
TRA2B CTBP2 +
TCF4 TAP1 -
PTMA HSPD1 +
PTMA ZMPSTE24 +
PTMA ONECUT2 +
PTMA TBX21 +
PTMA TM4SF1 +
COL21A1 UBE2C +
SUFU RBX1 +
NKRF PITX3 +
CALN1 MAOA -
CALN1 CDYL +
CALN1 KEAP1 +
NEUROD1 VIM -
NEUROD1 ANKRD13A +
NEUROD1 CUL2 +
NEUROG1 HSA-MIR-552-3P -
NEUROG1 PRKCD +
NEUROG1 HSA-MIR-298 +
AURKB HGF +
CUL5 MXD1 -
CUL5 MEPE +
CUL5 DUSP6 -
CUL5 HSA-MIR-513C-5P +
HSA-MIR-374B-5P RECK -
HSA-MIR-374B-5P HSP90B1 -
HSA-MIR-374B-5P TAB1 +
HSA-MIR-455-5P NCSTN +
HSA-MIR-455-5P ASPH -
HSA-MIR-455-5P SLC8A1 +
ZNF513 SULT1E1 +
ZNF513 LTF -
ZNF513 SHC1 -
ZNF513 FZD7 +
MSMO1 AZIN1 -
HSA-MIR-221-5P MBD2 -
DNAJC27 ALK +
DNAJC27 WDR77 +
DNAJC27 CCDC82 +
DNAJC27 SIRT1 -
FOXF2 NKRF +
FOXF2 COPS8 +
SRSF10 KEAP1 +
SRSF10 STK4 -
SRSF10 NET1 -
XIST PBXIP1 -
XIST MEGF9 -
MYO6 CCL26 +
MYO6 AACS -
HSA-MIR-612 TP53 +
