source target sign
HSA-MIR-320A IGF1R +
HSA-MIR-320A PHLPP1 +
HSA-MIR-320A HSA-MIR-30A-5P +
HSA-MIR-320A HSA-MIR-20A-5P +
HSA-MIR-320A HSA-MIR-126-5P +
HSA-MIR-320A BMI1 -
HSA-MIR-320A MCL1 +
HSA-MIR-320A PTEN -
HSA-MIR-320A HSA-MIR-103A-3P -
HSA-MIR-320A RAC1 +
HSA-MIR-320A HSA-MIR-21-5P +
HSA-MIR-320A MAPK1 -
HSA-MIR-320A CD274 +
HSA-MIR-151A-5P E2F6 +
HSA-MIR-151A-5P MPL -
HSA-MIR-151A-5P HSA-MIR-409-3P +
HSA-MIR-151A-5P PURA -
HSA-MIR-151A-5P HSA-MIR-139-5P +
HSA-MIR-32-5P PTEN -
HSA-MIR-32-5P PRMT5 +
HSA-MIR-32-5P HSA-MIR-433-3P -
HSA-MIR-32-5P MDM2 +
HSA-MIR-32-5P HSA-MIR-30A-3P +
HSA-MIR-32-5P BCL2L11 +
HSA-MIR-32-5P KAT2B +
HSA-MIR-32-5P SRC -
CDKN1A COL4A2 +
CDKN1A HSA-MIR-196B-5P +
CDKN1A NOTCH2 +
CDKN1A HSA-MIR-23A-3P -
CDKN1A RASSF2 -
CDKN1A HSA-LET-7G-5P +
CDKN1A TIMP3 -
CDKN1A HSA-MIR-520C-3P -
NANOG HSA-LET-7G-5P -
NANOG HSA-LET-7C-5P -
NANOG PTPRD -
NANOG VAC14 -
NANOG HSA-MIR-153-3P -
NANOG PAX6 -
NANOG RASSF2 -
NANOG TGFB1 -
CDK4 HSA-MIR-147B -
CDK4 TWIST1 +
CDK4 NCOR2 -
CDK4 HSA-MIR-1-3P +
CDK4 GSK3B -
WDR37 HSA-MIR-153-3P -
WDR37 HSA-MIR-126-3P -
WDR37 NTRK3 -
WDR37 PPARA +
WDR37 AKT2 -
WDR37 HSA-MIR-302A-3P -
HSA-MIR-630 SNAI2 -
HSA-MIR-630 HSA-MIR-338-3P +
HSA-MIR-630 TET2 +
HSA-MIR-630 RHOA -
HSA-MIR-630 BCL2 -
HSA-MIR-630 NFKB1 +
HSA-MIR-630 HSA-MIR-194-5P -
HSA-MIR-630 HSA-MIR-152-3P +
HSA-MIR-630 IGF1R -
HSA-MIR-630 SRF -
HSA-MIR-630 BCL2L2 +
HSA-MIR-630 YAP1 +
TGFBR1 PTEN +
TGFBR1 MMP2 -
TGFBR1 HSA-MIR-214-3P -
TGFBR1 YAP1 -
TGFBR1 TNFRSF10B -
TGFBR1 HSA-MIR-140-5P -
TGFBR1 HSA-MIR-302A-3P -
MMP2 ACVR2B -
MMP2 FGFR3 +
MMP2 HSA-MIR-19B-3P -
MMP2 PPARA +
MMP2 HSA-MIR-147A +
MMP2 HSA-MIR-520C-3P -
MMP2 HSA-MIR-328-3P +
HSA-MIR-200B-3P HSA-MIR-200C-3P -
HSA-MIR-200B-3P MYB +
HSA-MIR-200B-3P CDC25A +
HSA-MIR-200B-3P HSA-MIR-373-3P -
HSA-MIR-200B-3P BCL2 -
HSA-MIR-200B-3P SP1 +
HSA-MIR-200B-3P EZH2 -
HSA-MIR-200B-3P NOTCH1 -
HSA-MIR-200B-3P BMI1 -
HSA-MIR-200B-3P ETS1 +
HSA-MIR-200B-3P DNMT3B -
HSA-MIR-200B-3P E2F3 +
HSA-MIR-200B-3P HSA-MIR-221-3P -
HSA-MIR-200B-3P SMAD2 -
HSA-MIR-200B-3P HSA-MIR-32-5P +
HSA-MIR-200B-3P VAC14 +
HSA-MIR-200B-3P BAP1 +
HSA-MIR-200B-3P DNMT1 -
HSA-MIR-200B-3P SHC1 -
HSA-MIR-200B-3P ZEB1 +
HSA-MIR-200B-3P ZEB2 +
HSA-MIR-200B-3P SEPT7 +
HSA-MIR-200B-3P RIN2 -
HSA-MIR-200B-3P WDR37 +
HSA-MIR-200B-3P HSA-MIR-1-3P +
HSA-MIR-200B-3P KLF11 +
HSA-MIR-200B-3P HSA-MIR-149-3P +
HSA-MIR-200B-3P ESR1 +
HSA-MIR-200B-3P PHLPP1 +
HSA-MIR-200B-3P DNMT3A +
HSA-MIR-200B-3P CDKN1B -
HSA-MIR-200B-3P PTPRD -
HSA-MIR-200B-3P PLAG1 -
HSA-MIR-200B-3P HOXB5 +
HSA-MIR-200B-3P RASSF2 +
HSA-MIR-200B-3P ELMO2 +
HSA-MIR-200B-3P SOCS1 +
HSA-MIR-200B-3P ZFPM2 -
HSA-MIR-200B-3P WNT1 -
HSA-MIR-200B-3P CCNE2 -
HSA-MIR-200B-3P KLHL20 +
HSA-MIR-200B-3P HSA-MIR-144-3P +
HSA-MIR-200B-3P ERBB2IP -
HSA-MIR-200B-3P XIAP -
HSA-MIR-200B-3P LOX +
HSA-MIR-200B-3P SUZ12 -
HSA-MIR-200B-3P CREB1 +
HSA-MIR-200B-3P TCF7L1 -
