source target sign
SIRT1 CYP1B1 -
KIF5B MYBL2 -
KIF5B ZEB1 +
PHLPP2 HSA-MIR-154-5P -
PHLPP2 CARD10 +
NCOA3 MAGEA6 +
NCOA3 PRKAR1A -
NFATC2IP CTNNBIP1 -
NFATC2IP MFN2 +
NFATC2IP HSA-MIR-30D-5P -
NANOG CCR7 +
NANOG IL13RA1 +
NANOG BMF +
NANOG ID2 -
NANOG PRRX1 +
GRIN2A NR4A2 -
GRIN2A HSA-MIR-107 +
NTN4 RAP1A +
HSA-MIR-107 CCL26 -
HSA-MIR-107 HSA-MIR-593-3P -
HSA-MIR-107 SLC45A3 +
HSA-MIR-573 CAB39 +
HSA-MIR-573 TYMS +
HSA-MIR-573 TRAF2 +
CRK BCL2L11 -
CRK HSA-MIR-369-5P +
CRK IRAK3 -
RPS6KA5 FRS2 -
TCL1A NOMO1 +
TCL1A HSA-MIR-99A-5P -
TCL1A HSA-MIR-644A +
TCL1A RAB11FIP1 -
OSBPL2 CLUAP1 +
OSBPL2 SMARCD1 -
GPD2 STARD13 -
GPD2 COPS6 -
GPD2 MMU-MIR-1A-3P -
ELN HSA-MIR-520E +
ELN HSA-MIR-211-5P +
SHMT2 HSA-MIR-454-3P -
SHMT2 HSA-MIR-34B-3P +
GPC5 HSA-MIR-337-3P +
GPC5 DYRK2 -
PAK2 HSA-LET-7E-5P -
S100A9 HSA-MIR-142-3P -
S100A9 HSA-MIR-768-5P +
S100A9 P2RX7 -
MAP3K2 IRF2 +
MAP3K2 ZAP70 +
MAP3K2 COPS8 -
MAP3K2 ATG14 +
AKR1B10 CHRM1 +
MYCN SIX2 +
MYCN CCNF -
MYCN ID1 +
COL7A1 CERS2 +
COL7A1 SLC2A4 -
COL7A1 RAB27A +
ITCH HSA-MIR-1285-3P +
ITCH TBX3 +
ITCH HSA-MIR-135B-5P -
NEDD9 HSA-MIR-24-1-5P -
NEDD9 HSA-MIR-581 +
NEDD9 HOXC8 -
NEDD9 HSA-MIR-423-5P +
HLTF CDK13 +
BMP7 PRTG -
BMP7 TRIB1 -
BMP7 DRD1 -
BMP7 RRM2 +
CD4 SERPINA3 -
CD4 TP53I11 -
HSA-MIR-888-5P HSA-MIR-450A-1-3P -
HSA-MIR-888-5P BTC +
STRADB YOD1 -
STRADB NCAPG -
STRADB FERMT2 +
ULBP2 OTUD7B -
ULBP2 AANAT +
ULBP2 CDC27 +
ULBP2 PCBP1 -
ULBP2 ZNF395 +
ULBP2 SNCG -
TFF1 ZHX2 -
TFF1 APOE -
TFF1 APAF1 +
PER1 PHLPP1 +
PER1 MMU-MIR-100-5P -
PER1 DICER1 +
PER1 CCL5 +
PER1 ABCG2 +
RGS2 POLE3 +
RGS2 HSA-MIR-299-3P +
RGS2 KIF20B -
RGS2 ETS2 +
HSA-MIR-942-5P PTPRF +
HSA-MIR-942-5P PLAU -
HSA-MIR-942-5P CARHSP1 -
HSA-MIR-942-5P EFNB2 +
HSA-MIR-942-5P BCL10 -
HSA-MIR-942-5P AXIN2 -
PHC2 PTPN22 +
PHC2 TNFRSF10B +
AQP1 RMND5A +
AQP1 HECTD2 +
AQP1 WIF1 +
ADAM17 HSA-MIR-132-3P -
MYL9 ITGA5 -
MYL9 HSA-MIR-421 +
MDM4 TRIM68 -
MDM4 STK11 -
MDM4 GOLM1 +
HSA-MIR-423-3P CCP110 -
HSA-MIR-423-3P NR2C2 -
HSA-MIR-423-3P RNO-MIR-1-3P -
HSA-MIR-423-3P TACC3 -
HSA-MIR-103A-3P DDAH1 +
KIAA0430 SIX1 -
KIAA0430 SOS1 -
HSA-MIR-30C-5P HSA-MIR-520G-3P -
HSA-MIR-30C-5P ZFP36 +
HSA-MIR-30C-5P HSA-MIR-448 -
IL1RAPL1 SIX1 +
IL1RAPL1 AGPAT2 -
TGM2 NASP -
TGM2 HSA-MIR-151A-5P -
CD44 GPR78 +
CD44 IRS1 +
CD44 PLAU +
CD44 HSA-MIR-186-5P +
CD44 ANG -
CD44 BAK1 +
PAX6 ZNF254 +
PAX6 YWHAZ -
HSA-MIR-17-5P PNP +
HSA-MIR-17-5P OSCP1 -
HSA-MIR-1226-3P NOMO1 +
HSA-MIR-1226-3P TNFAIP1 +
DEDD DCBLD2 +
DEDD HSA-MIR-151A-3P +
STARD13 PRDX3 +
STARD13 HSA-LET-7D-5P -
STARD13 HSA-MIR-141-3P -
STARD13 OPRM1 -
ARL4C LATS2 +
TSC22D3 HSA-MIR-21-5P +
TSC22D3 HSA-MIR-488-5P -
FOXO4 HSA-MIR-518A-5P +
FOXO4 UBE2Q1 -
FOXO4 ARMC2 -
HSA-MIR-520B USP18 -
HSA-MIR-520B MMD +
HSA-MIR-520B GPR124 +
TGFBR3 VAC14 +
TGFBR3 PIK3CA +
TGFBR3 RASSF8 +
DMTF1 HOXB5 +
DMTF1 TBCCD1 -
DMTF1 MTSS1 -
DMTF1 HSA-MIR-513C-5P -
DMTF1 ENTPD4 -
DMTF1 CTBP1 +
FAM91A1 HSA-MIR-223-3P +
FAM91A1 FEN1 +
FAM91A1 WNT4 -
FAM91A1 CHL1 +
GATA4 LRIG1 +
GATA4 RABEP1 +
DNMT3A ANAPC16 +
OXR1 AMOTL1 +
OXR1 SEMA7A +
CCR6 ICAM1 +
POU4F2 RARB +
HSA-MIR-221-5P KIF22 +
HSA-MIR-221-5P HSA-MIR-451A +
HMGXB4 MAP3K8 -
HMGXB4 RUNX1 -
HMGXB4 HSA-MIR-362-3P +
COPS6 SPRED1 +
