source target sign
240752 16443 -
24064 20662 -
24064 14784 +
24064 16443 -
19763 30841 +
22196 13017 +
22196 16362 +
22196 21423 +
21898 106759 -
21898 22034 -
21898 17874 +
17219 16909 -
11909 26416 +
11909 18986 +
11909 26413 +
11909 12189 -
69228 18432 -
216869 11651 -
76007 71950 +
67128 22190 +
66824 66824 -
12234 13197 +
12234 18764 +
12234 21402 +
12234 18035 -
19047 18999 -
19047 53310 -
26417 18611 -
18596 12402 +
19387 22196 -
93762 18999 +
22631 17169 -
22631 229949 -
22631 54126 -
22631 19401 -
22631 16825 +
94212 17096 -
94212 12703 +
12387 12006 -
12387 415115 -
12387 19164 +
12387 12385 +
12387 16842 +
12387 12914 -
12387 56637 +
12387 11789 +
12387 67087 +
12387 12388 +
12387 19127 +
12606 140858 -
12606 12567 +
16599 13017 -
12421 22030 -
50873 20408 -
50873 20404 +
50873 12028 -
93760 20586 +
54131 56480 +
18626 18626 -
18626 27373 -
21939 22034 +
23957 93759 -
23957 17059 -
23957 22034 +
71242 57441 -
66834 18559 -
58208 20371 -
16514 20617 -
59287 22190 +
15512 12534 +
12702 75717 +
12702 67923 -
12702 15930 -
83814 110876 -
83814 20274 -
83814 20278 +
17872 16568 -
106344 71950 -
17248 22059 +
17248 22628 -
17248 17246 -
22034 15481 -
22034 29864 -
22034 21929 -
22034 13627 -
22034 22190 -
22034 16854 +
22034 12122 +
22034 68652 -
22034 22034 +
22034 54123 -
22034 16412 +
22034 216869 +
22034 11461 -
22034 74256 +
22034 16396 +
22034 18746 -
22034 15512 +
22034 14828 -
22034 109711 -
228359 19353 -
67057 19821 +
17874 67588 -
17874 208650 -
68094 20586 -
68094 14048 +
215031 17260 -
26401 26400 -
26401 12005 -
22190 18596 -
22190 84585 +
22190 18412 -
22190 19016 +
22190 216150 +
22190 19185 +
22190 18764 +
22190 70160 +
22190 20846 -
22190 19211 -
22190 20482 -
22190 11545 -
22190 17927 -
22190 22223 +
22190 14463 +
22190 17928 -
22190 15481 -
22190 239528 -
22190 13649 +
22190 26447 +
22190 15194 +
22190 110616 +
22190 16001 +
22190 22030 -
16331 11350 +
16331 13448 +
226049 98758 +
226049 11991 +
233545 71950 -
12048 12125 -
12048 22059 -
50754 17863 -
18036 12675 -
18036 16150 +
12575 12566 -
12575 55992 -
12575 18024 +
17258 15184 +
20586 20587 -
20586 239985 +
20586 20371 -
20586 23872 +
20586 18999 +
20586 107823 +
20586 20588 +
107045 100038882 +
56208 12043 +
56208 50873 +
21974 18140 +
72323 23921 +
18148 50754 +
18148 12578 -
18148 100503670 -
18148 19878 +
224997 14810 -
14082 19766 -
14082 12370 -
14082 16531 +
14082 11793 +
14082 12633 -
11545 18999 +
11545 18140 +
11545 20877 -
11545 20674 -
19989 18148 +
13806 100038882 +
13806 22034 -
12369 19192 -
21926 19766 -
21926 21937 -
21417 13017 -
105148 100038882 +
636931 239528 -
217864 20371 -
20848 20848 -
224619 17863 +
18741 81601 +
21380 23808 -
228607 66824 -
75744 269523 -
18762 16451 +
226442 71950 +
56191 14281 +
16906 235320 +
229584 71950 -
13665 56086 +
74153 100038882 -
14055 16468 +
18708 21687 +
18708 11308 +
18708 16367 -
18708 14784 +
20419 636931 -
22591 19359 -
53379 226049 -
14056 13626 +
14056 11569 -
14056 16468 -
14056 22589 -
14056 74016 +
14056 52615 +
18035 15405 +
18035 18033 +
18035 19697 -
18035 67731 +
18035 16150 +
18035 22190 +
20650 13405 +
14048 106025 -
16909 68375 +
16909 19075 +
16909 225895 -
16909 15258 -
16909 19179 +
16909 85305 +
16909 19192 +
16909 231798 +
16909 28114 +
20787 207259 +
63958 269523 +
63958 63958 +
12753 11865 -
12753 12952 -
12753 18627 -
12753 18626 +
12753 12953 -
12014 17135 +
20439 20185 +
107932 19885 +
107932 23942 -
76281 12387 -
13629 22034 -
107823 108155 +
107823 58198 +
65113 19211 +
73274 12914 +
73274 20020 +
73274 229906 +
27354 74769 -
12450 17246 -
14633 12234 +
14633 24069 +
14633 170930 +
20974 20977 +
20740 54401 +
22376 13131 -
16825 16909 -
12043 12894 -
12043 19052 +
228714 14534 -
228714 13486 +
228714 228714 -
228714 140858 -
228714 101206 -
13619 71950 +
13619 19821 +
13619 12151 +
78757 227743 +
78757 56717 +
14815 74053 +
