source target sign
378435 12388 -
378435 19192 +
378435 213464 -
378435 12417 +
378435 23808 -
15902 208650 +
15902 18626 -
15902 18148 +
15902 15902 -
15902 26409 +
19192 12042 +
19192 20977 +
19192 22031 -
18412 12370 +
18412 74256 -
18412 11749 -
18412 116870 +
18412 16818 -
18412 12005 +
18412 14812 -
52615 14055 +
52615 16468 +
52615 74016 +
52615 12043 +
52615 17765 +
52615 18708 -
15260 18505 -
15260 12550 -
328572 12043 -
328572 12912 +
328572 18519 -
328572 20375 -
328572 17927 -
328572 12234 +
20371 11793 +
20371 99982 +
20371 107932 +
20371 20588 -
20371 226049 +
20371 93762 +
20371 23808 +
20371 20587 +
21929 19766 -
21929 21929 +
21929 16151 +
21929 269523 +
21929 52440 +
21929 225870 +
21929 22030 +
56480 22190 +
56480 67588 +
56480 20404 +
56480 52551 -
67731 26965 -
67731 22352 +
67731 13017 +
22196 26564 -
22196 21423 +
22196 67731 -
22196 20683 +
22196 16362 +
22196 13017 +
12417 330627 -
12417 12534 -
12417 19016 -
12417 27223 -
12417 21848 +
12417 19821 +
12417 16331 +
12417 30841 +
12417 214669 +
228714 228714 -
228714 19211 +
228714 16818 -
228714 140858 -
228714 19017 -
228714 18627 -
268749 26423 +
268749 24105 +
14463 328572 +
20467 12952 +
20467 13806 +
20467 22658 +
20467 14810 +
20437 54383 -
22059 67731 -
22059 18505 -
22059 18432 -
22059 22218 -
22059 18036 -
22059 328572 -
22059 22059 +
22059 22190 +
22059 20482 +
22059 23957 -
17248 22059 +
17248 17999 +
17248 17131 -
17248 17246 -
13197 58198 -
13197 26395 -
13197 93765 -
13197 67588 -
13197 18538 +
20977 81601 -
20977 23808 -
20977 15502 +
56717 56469 -
56717 18854 +
56717 22632 +
56717 216869 -
22359 19192 -
22359 12190 +
22359 16842 +
12419 268749 +
12419 27221 +
12419 17131 +
12419 21853 -
21423 21423 -
21423 15903 -
21423 15902 +
21423 16531 +
20587 21349 +
20587 22631 +
69807 14056 +
69807 23885 +
18036 16150 +
18036 12675 -
18036 12912 -
54401 13163 +
54401 56480 -
54401 66233 -
54401 30841 +
18140 63958 -
18140 21687 -
17984 59035 +
17984 81879 +
17984 22631 -
50868 18412 +
50868 12953 +
50868 18024 +
50868 50868 -
50868 16170 +
50868 66824 +
22632 18035 +
22632 433759 -
53376 17344 -
53376 11865 -
53376 15260 +
53376 18626 +
53376 20588 +
17874 208650 -
17874 67588 -
17874 54607 -
17874 12234 -
22589 19016 -
22589 21402 +
22589 68094 -
66830 12578 -
66830 99377 -
66830 73274 +
52440 74053 +
