source target sign
SMAD6 CDK6 +
SMAD6 MAP3K7 -
HLF IKBKG -
DDIT3 MMU-MIR-708-5P +
DDIT3 MMU-MIR-708-3P +
SP4 MYH6 -
SP4 MTCH1 -
SP4 T +
SP4 SLC9A2 +
SP4 G6PD2 +
SP4 GPD2 +
SP4 PSAP -
EGR3 CTSL +
EGR3 FASL -
EGR3 SPINT1 -
GFI1 MMU-MIR-21A-5P -
GFI1 MMU-MIR-196B-5P +
CEBPD C3 +
CEBPD PPARG -
CEBPD PTGS2 +
CEBPD SCGB1A1 +
CEBPD SAA3 +
CEBPD IL10 -
SMAD1 ID1 -
SMAD1 ID3 +
SMAD1 COL5A1 +
SMAD1 ID2 -
SMAD1 ID4 -
ELK4 FOS -
ELK1 CCND3 +
ELK1 SIN3A -
ELK1 CCND2 +
ELK1 FOS -
ELK1 EGR1 +
ELK1 BIRC3 -
ELK1 BIRC2 -
ELK1 CCND1 +
ELK1 XIAP +
MITF DCT -
MITF TYR +
MITF TYRP1 +
PPARD ACOX2 +
PPARD ACOX1 +
PPARD NCOR2 -
PPARD LPL +
PPARD CPT1A -
PPARD CPT1B +
PPARD UBC +
PPARD UCP1 +
PPARD ILK -
PPARD PDPK1 +
PPARD CPT1C +
PPARD ANGPTL4 +
PPARD ACADL +
PPARD ACOX3 -
PPARD FABP3 +
PAX2 CRHR1 +
PAX2 EN2 -
PAX2 WT1 +
PAX2 GCG -
PAX2 SFRP2 +
PAX2 WNT1 +
PAX2 RB1 -
PAX2 PAX5 -
MYD88 IFNA13 -
MYD88 IL6 +
MYD88 IL12A -
MYD88 IFNAB +
MYD88 IL12B -
MYD88 CXCL2 -
MYD88 IFNA5 +
MYD88 IL1B +
MYD88 IFNA14 +
MYD88 TNF -
MYD88 IFNA2 +
MYD88 IFNA11 +
MYD88 IFNA1 +
MYD88 IFNB1 +
MYD88 IFNA9 -
MYD88 IFNA12 -
MYD88 IFNA6 +
MYD88 IFNA7 -
MYD88 CXCL1 +
MYD88 IFNA4 -
MYD88 GM12597 +
FOXA2 PDX1 +
TCF7L1 MYC +
TCF7L1 CCND3 +
TCF7L1 MMP7 -
TCF7L1 PPARD +
TCF7L1 CCND2 +
TCF7L1 MITF +
TCF7L1 JUN +
TCF7L1 FOSL1 -
TCF7L1 CCND1 +
TCF7L1 BIRC5 +
CEBPE MYC +
CEBPE NOL3 +
CEBPE GATA1 +
CEBPE SFPI1 -
CREBBP SLC2A1 +
CREBBP NOS2 -
CREBBP TFRC -
CREBBP BCL2 -
CREBBP ENO3 +
CREBBP HMOX1 -
CREBBP ANGPT4 +
CREBBP ENO2 -
CREBBP TEK -
CREBBP TRF -
CREBBP FLT1 +
CREBBP HK2 +
CREBBP ENO1 +
CREBBP ANGPT1 +
CREBBP LTBR +
CREBBP LOC100048117 +
CREBBP GAPDH -
CREBBP ANGPT2 -
CREBBP EGF -
CREBBP PFKFB1 -
CREBBP VEGFA +
CREBBP ALDOA -
CREBBP PGF -
CREBBP CDKN2B +
CREBBP EDN1 +
CREBBP VEGFC +
CREBBP PFKL +
CREBBP HKDC1 -
CREBBP SERPINE1 -
CREBBP LDHA +
CREBBP PFKFB2 -
CREBBP LOC100042025 -
CREBBP FIGF -
CREBBP FASL +
CREBBP PGK1 -
CREBBP PFKFB4 +
CREBBP CDKN1A +
CREBBP CDKN1B -
CREBBP TIMP1 +
CREBBP HK3 +
CREBBP PFKFB3 +
CREBBP GM5506 -
CREBBP VEGFB +
CREBBP MITF +
CREBBP PDK1 -
CREBBP EPO -
CREBBP NOS3 +
CREBBP HK1 +
CREBBP NPPA +
STAT2 SOCS2 +
STAT2 MYC -
STAT2 SOCS4 -
STAT2 CCND3 -
STAT2 CCND2 -
STAT2 SOCS1 -
STAT2 PIM1 -
STAT2 SOCS7 -
STAT2 SOCS5 -
STAT2 SOCS3 -
STAT2 CCND1 +
ESR2 ABCA1 +
ETS1 SGPP1 -
ETS1 RNF11 -
ETS1 MAPK1 -
ETS1 NR2F2 +
ETS1 PF4 +
ETS1 PSEN1 +
ETS1 MMP2 +
ETS1 ITGA3 +
ETS1 ATP2A3 +
ETS1 FLI1 +
ETS1 WAP +
ETS1 MMP9 -
ETS1 CAR5A -
ETS1 PKD1 -
ETS1 B3GALT4 -
ETS1 HBEGF -
ETS1 RDH7 -
ETS1 KRT18 -
ETS1 FGL2 -
ETS1 SPP1 -
ETS1 TGFBR2 +
ETS1 NCDN -
