source target sign
PDHA2 SCP2 +
PDHA2 ADCY8 +
PDHA2 SLC5A5 +
SLC6A4 GFAP -
SLC6A4 ABCD2 +
SLC6A4 PRKACA -
SH2D1A SIAH1B +
SLC9A2 RBL1 +
SLC9A2 RAC2 +
SLC9A2 SLC22A6 -
RPRM MMU-MIR-200A-3P +
RPRM IGH-VJ558 +
WNT5B APAF1 +
WNT5B CSK +
TKT PKLR +
TKT GTSE1 +
TNFRSF11B MCM5 +
TNFRSF11B NRF1 -
TNFRSF11B ALDOA -
TNFRSF11B ACADL +
NPR1 CFH +
NPR1 IRF1 +
NPR1 PRL3D1 -
NPR1 BRCA2 +
ING1 RAB11A -
ING1 MMU-MIR-205-5P -
ING1 GTSE1 -
NR1H3 ACSL3 +
NR1H3 WNT1 +
PALM IFNA12 +
PALM PCYT1A -
APOE ABCA1 +
APOE IGFBP3 -
APOE CXCL12 +
PRL3D1 IFNA11 -
FOSL1 WNT8A -
AFP IL5 -
AFP TRPV6 +
CLIC4 STMN1 +
TOPORS TFAP2C +
TOPORS TNFRSF10B -
TOPORS PERP +
NFKBIA CYP8B1 -
NFKBIA HBB-B1 +
NFKBIA MTTP -
CDK4 LOC640611 -
CDK4 KRT12 -
PSMB9 CHEK1 -
PSMB9 ANGPT2 -
PSMB9 NCL -
PSMB9 NES +
SLC26A1 MAN2B1 -
SLC26A1 AMELX -
VEGFB HSP90AB1 -
VEGFB ODC1 -
CD74 ST6GALNAC2 +
CD74 H2-DMB1 +
TRAF1 HNRNPAB +
TRAF1 NIF3L1 +
TRAF1 CRIP2 -
MMP2 MAFA -
MMP2 TIMP1 -
MMP2 SLCO1A4 -
GDNF IL15 +
GDNF GGTA1 +
MMU-MIR-302C-3P NIF3L1 -
MMU-MIR-302C-3P KLK1B4 -
MMU-MIR-302C-3P NFATC4 -
PTMA LOC100041593 -
PTMA ACOX3 +
PTMA PER3 +
ENO1 EEF1B2 -
ENO1 SELE -
ENO1 COL4A1 -
ENO1 LHB +
CPT2 ACAA1A +
CPT2 CHRNA7 -
CPT2 MSR1 -
SLC29A1 PPIA +
SLC29A1 ADAM8 +
SLC29A1 ZFP354C +
SLC29A1 ELAVL1 -
NEUROD1 GCK -
NEUROD1 INS1 +
NEUROD1 IAPP +
NEUROD1 GRIP1 +
NEUROD1 INS2 -
VCAM1 CASP8 +
VCAM1 OSTA -
VCAM1 STEAP3 -
VCAM1 IDO1 -
CES2C CCNE2 -
CCL17 TERC -
CCL17 CKMT1 +
CCL17 HOXA11 -
CCL17 HOXC6 +
EN2 CSN2 -
EN2 EEF2 -
EN2 CXCL9 +
EN2 FBXL21 -
ACSBG2 GGT1 -
ACSBG2 CPT1C -
MYCN CPT2 +
BHLHE41 RORB -
POU3F3 AURKAIP1 -
POU3F3 TK -
POU3F3 SPRY2 +
POU3F3 SERPINE2 +
HHEX ANPEP +
HHEX SOCS3 +
MAD2L1 CLIC4 -
MAD2L1 KLK1B4 +
MAD2L1 MT1 +
CR2 NKX2-5 +
CR2 SCN3B -
HES2 PFKFB3 -
HES2 GADD45G +
HES2 CYP27B1 -
HES2 IL3RA +
HES2 SLC16A4 +
CD79B ATP2B1 -
CD79B THBS1 -
KLF16 BSG -
KLF16 GGTA1 -
KLF16 ANGPT4 -
CFH BCL6 -
CFH GSC +
CREB3L3 MCL1 -
CREB3L3 E2F2 +
CREB3L3 ATF4 -
CREB3L3 AQP2 -
HK2 TEK -
HK2 RANBP1 -
PFKFB2 PTPRC +
PFKFB2 CYP4A29-PS -
PFKFB2 SAA3 -
PENK GDNF -
PENK FOXA3 -
PENK SLC34A2 +
SLC2A4 CCL19 +
SLC2A4 TGFB2 +
SLC2A4 TAGLN +
SLC2A4 SFRP2 +
NTSR2 CLIC4 +
NTSR2 FDXR +
NTSR2 IRAK2 +
WNT10A WNT3 -
WNT10A SOCS3 -
MYBL2 LOX +
MYBL2 SFTPA1 +
MYBL2 COL1A1 -
MYBL2 PLA2G4A -
MYBL2 UCHL1 +
MYBL2 FGF4 -
HBB-B1 OMP +
HBB-B1 CCL21C -
KRT19 ELMO2 +
KRT19 PFKFB3 -
KRT19 LTF +
TLR4 H2-L +
TLR4 MDM4 +
TLR4 AHR -
GM12597 EGFR -
GM12597 PLTP -
ACOX1 LCN8 +
ACOX1 DHFR +
HSPA1A MMP14 -
HSPA1A EGFR +
HSPA1A MYCN -
HSPA1A CD79A -
PAH SLC2A8 -
PAH MMU-MIR-194-5P -
PCYT1A HBEGF -
PCYT1A GGH -
FGL2 AURKAIP1 +
FGL2 G6PD2 -
FGL2 NR3C1 +
LTF ZHX1 -
LTF ACOX2 -
LTF HMGCS2 +
LTF NQO1 -
MMP9 CD5 +
MMP9 ZHX1 -
MMP9 TGFB1 -
MMP9 SRF -
PRODH HNRNPAB +
PRODH CTSF +
PRODH TRMT2A -
SFTPA1 CSK +
PTGS1 THBS1 +
CKS1B TEP1 +
CKS1B UCP2 +
MMU-MIR-200A-3P IL12RB1 +
MMU-MIR-200A-3P PLK3 -
MMU-MIR-200A-3P PRL +
LTBR PTGS2 -
LTBR MED1 -
LTBR FGFR4 -
LTBR ADA -
NSDHL APP +
NSDHL POU3F2 +
NSDHL HK1 +
NSDHL GLIS2 -
NSDHL FZD2 -
NEU1 SMAD6 +
NEU1 NPDC1 -
LHB BIK +
LHB TK1 -
LHB CLDN19 +
JUNB IRF1 +
JUNB DDIT3 -
JUNB MDM2 -
MAFA INS1 +
MAFA INS2 -
MAFA HK2 +
MAFA SCN3B -
LY6C1 ETV2 +
LY6C1 ZMAT3 -
LY6C1 BLK -
LY6C1 FBP2 +
ATF3 AVP +
ATF3 SFN +
ATF3 PCK1 -
ATF3 GCG +
ATF3 SPRED1 -
ATF3 FGF2 +
RETN PRPH -
RETN TRAF4 +
RETN B3GALT4 -
XIAP RBP2 +
XIAP GGTA1 +
XIAP PTGS1 -
RUNX1 CSF1R +
RUNX1 JUP +
RUNX1 DFFB -
RUNX1 EIF4ENIF1 -
FAS CXCL2 -
FAS WRN -
FAS TRPV6 -
FAS DDX20 -
FAS TGM2 +
GM2023 ICAM1 -
BAI1 INHA -
BAI1 MBD1 +
BAI1 MBD2 -
BAI1 NFATC4 +
CITED1 C4A +
JUN H2AFX -
JUN E2F2 +
GGT1 TFDP2 -
GGT1 GYG -
MUC4 ALPL -
MUC4 SESN3 -
MUC4 IFNA4 +
SSRP1 ACOX1 -
SSRP1 VMN1R227 -
SSRP1 PDHA2 -
SSRP1 SFN -
WNT7B MET -
WNT7B FGF15 -
WNT7B ENO1 +
MMU-MIR-302A-3P PSRC1 -
MMU-MIR-302A-3P IL13 -
PML CCNA1 -
PML JUP -
PML RAC2 -
PML SIX5 -
RPS7 FOXA3 -
H2AFX DNMT1 +
H2AFX GBX2 -
ELK3 NKX2-5 -
ELK3 A430106F12RIK +
ELK3 GRIA2 -
INHA DFFB +
INHA MMU-MIR-429-3P -
MAPK9 IL23A +
MAPK9 IL1A -
MAPK9 CD82 -
MAPK9 SOCS3 +
IFNA7 DLC1 +
IFNA7 IFNA4 -
IFNA7 G6PD2 +
IFNA7 KRT19 -
SST RBL1 +
SST EPB4.2 +
SST GLIPR1 +
EHHADH APOA5 -
ANKRD1 FLT3 -
ANKRD1 CD4 +
ANKRD1 TCRA -
PTGFR SOD2 +
PTGFR TK -
PTGFR HOXB4 +
MMU-MIR-708-3P HOXA7 -
MMU-MIR-708-3P CYGB +
MMU-MIR-708-3P PGK1 +
MMU-MIR-708-3P TRMT2A +
MMU-MIR-708-3P CD79A -
AMH LMO2 +
CGA E2F5 -
CGA LOC100862177 -
CGA OSGEP -
MET PTGS1 +
ABL1 PDPN -
ABL1 TRMT2A -
CXCL2 GCM2 +
CXCL2 CXCL1 -
CXCL2 MMU-MIR-378A-3P +
CXCL2 AAMP +
SESN2 ING1 +
SESN2 S100A9 +
SESN2 IL15 +
SESN2 MMP2 -
SESN2 GALR1 +
IL9 MMP28 +
CBX2 CKM -
CBX2 ETF1 -
CBX2 T +
CBX2 COL1A2 +
CBX2 SLC1A3 -
TNC ZFP169 -
TNC CYP27A1 +
CD8B1 FABP4 +
CD8B1 IGF2 +
CD8B1 SLC38A1 -
CD8B1 TRAF4 +
NR2C1 MDK +
NR2C1 EPB4.2 +
NR2C1 PDGFB +
NR2C1 SNRPB -
GLYAT ELMO2 +
GLYAT IFNA14 -
GLYAT AQP3 -
FOXO1 FBP1 -
FOXO1 PCK2 -
FOXO1 PCK1 +
FOXO1 FBP2 +
FOXO1 G6PC +
FOXO1 G6PC2 -
BIRC5 GDNF +
BIRC5 HIST2H3C1 +
APAF1 GTSE1 -
YY1 HSPA5 +
YY1 ABCB1A -
WNT10B ONECUT1 -
WNT10B TTR -
WNT10B WNT2 -
CRY2 LTBR -
CRY2 MMP11 -
CRY2 PER3 +
TIMP3 PXMP2 +
TIMP3 ITGAV +
TIMP3 TUBB5 +
MADCAM1 POLA1 -
MADCAM1 SERPINE1 +
MADCAM1 FCER2A +
BMP2 WNT10A +
BMP2 IL1R2 +
CXCL10 PBSN +
CXCL10 TIMP1 +
CXCL10 NQO1 +
BGN ANKRD1 -
BGN SHH +
EEF1B2 NKX6-1 +
EEF1B2 LY6F +
EEF1B2 IL1R1 -
HTR3A MYH11 -
SKIV2L SERPINF1 +
WNT2B TRH +
WNT2B IL3RA -
WNT2B CTSD +
HHIP H19 -
HHIP MYOG +
HHIP PTCH1 -
MMU-MIR-378A-5P MSR1 +
