source target sign
NR1H3 SOS2 +
NR1H3 JUN +
NR1H3 NFKB1 +
NR1H3 JUND -
NR1H3 TH +
NR1H3 SOCS2 -
NR1H3 IL12A +
NR1H3 RARG +
NR1H3 NPY +
STAT5A SOCS5 +
STAT5A FGL2 +
STAT5A VEGFC +
STAT5A PIM1 -
STAT5A SOCS7 -
STAT5A CCND3 +
STAT5A BCL2L1 -
STAT5A BIRC5 +
STAT5A MYC -
STAT5A NR0B2 -
STAT5A CCND2 -
STAT5A CCND1 -
STAT5A IL10 -
STAT5A SOCS4 -
STAT5A IL1A -
STAT5A H2-OA +
STAT5A SOCS3 -
STAT5A ANGPTL4 +
STAT5A SOS2 +
STAT5A PDX1 -
STAT5A SOCS1 +
STAT5A SOCS2 +
CDK4 MCL1 -
CDK4 SFPI1 +
CDK4 NCAM1 -
CDK4 KIT -
CDK4 STAT4 -
CDK4 APOC3 +
CDK4 H2-OB -
CDK4 CCND3 +
CDK4 PAX2 +
CDK4 PDYN +
CDK4 NR0B2 +
CDK4 SCD2 -
VEGFB E2F2 +
VEGFB PIM1 +
VEGFB NFYB +
VEGFB NFKB2 -
VEGFB ICAM1 -
VEGFB BDNF +
VEGFB SMAD7 -
VEGFB SMAD2 -
CD74 MMP1A -
CD74 GLI1 +
CD74 BCL2L1 +
CD74 UCP1 -
CD74 SOCS4 +
CD74 RFXAP +
CD74 CREB3L4 -
CD74 FLII +
CD74 SCD2 -
MMP2 VDR +
MMP2 LEF1 +
MMP2 TCF7L2 -
MMP2 MAPK10 -
MMP2 FASL +
MMP2 POU2F1 -
MMP2 NFYA -
MMP2 ATF2 -
MMP2 CREB1 +
MMP2 STAT3 -
MMP2 ANGPTL4 +
CREB3L3 MCL1 -
CREB3L3 NFYC +
CREB3L3 COL1A1 +
CREB3L3 NFYB -
CREB3L3 ATF1 +
CREB3L3 RFXAP +
CREB3L3 ARC +
CREB3L3 BCL2 -
CREB3L3 H2-DMB1 -
CREB3L3 CRH +
CREB3L3 AQP2 -
CREB3L3 MITF +
CREB3L3 PDYN +
CREB3L3 FOS -
CREB3L3 PCNA +
CREB3L3 BDNF -
CREB3L3 SOS1 -
CREB3L3 FOSB +
CREB3L3 NPY +
MYBL2 RXRB +
MYBL2 COL1A1 -
MYBL2 TRP53-PS +
MYBL2 CPT1B +
MYBL2 SMAD4 +
MYBL2 FASL -
MYBL2 RXRA +
MYBL2 GLI3 +
MYBL2 CDKN2B -
MYBL2 CLOCK +
ACOX1 LEF1 -
ACOX1 PAX3 +
ACOX1 ATF4 +
ACOX1 UCP2 +
ACOX1 IL1A +
ACOX1 ATF1 -
ACOX1 IL2 +
ACOX1 MAPK8 +
ACOX1 SOCS7 +
ACOX1 PCK1 +
ACOX1 APOA1 -
ACOX1 SLC27A1 +
ACOX1 MYC +
ACOX1 LPL +
ACOX1 RARB +
FGL2 SMAD1 +
FGL2 PAX5 +
FGL2 VEGFB +
FGL2 STAT5B +
FGL2 RELB -
FGL2 H2-AB1 -
FGL2 ACOX1 +
FGL2 NFKB1 -
FGL2 MAPK3 +
FGL2 ANGPTL4 +
FGL2 PCNA +
FGL2 SOS1 +
FGL2 RBPJL +
FGL2 TNFRSF8 +
MMP9 SP1 -
MMP9 NPAS2 +
MMP9 REN1 +
MMP9 CREB3L1 +
ARC HMOX1 +
ARC TAL1 +
ARC VEGFB -
ARC CREBBP -
ARC PPARA +
ARC RARA +
ARC CPT1B +
ARC CRH +
ARC MAPK8 -
ARC FAS +
ARC BCL2L1 +
ARC EGR2 -
ARC CDKN2B -
BDNF BRCA1 +
BDNF HMOX1 +
BDNF SOCS7 +
BDNF NPY +
BDNF PLTP +
BDNF IL18 +
BDNF RARA -
BDNF VEGFC -
BDNF MSX1 -
FAS H2-DMB2 -
FAS CTSL +
FAS MMP2 +
FAS OPRD1 +
FAS TCF7L1 -
FAS SOCS4 +
FAS CREB3L4 -
FAS USF2 -
FAS RARB +
CITED1 RBPJ +
CITED1 SMAD1 +
CITED1 NPAS2 +
CITED1 LOC100047997 +
CITED1 PAX6 -
CITED1 E2F1 -
CITED1 FOXO3 +
CITED1 CTSL -
JUN SFPI1 -
JUN LOC640611 +
JUN TNF +
JUN SPP1 +
JUN VEGFA +
JUN IL6 +
JUN JUND -
JUN IL4 +
JUN PDX1 -
JUN TNFRSF8 -
JUN RELA -
JUN TGM1 +
JUN PLAU -
JUN MMP1A +
JUN CREB3L1 -
JUN CDK4 +
JUN CTSL -
JUN EGR2 -
JUN NOS2 -
JUN RELB -
JUN MMP2 +
JUN APOA1 +
JUN MMP9 -
JUN IL12B +
JUN PPARA -
JUN FOS +
JUN APOC3 +
JUN MYB +
JUN MSX1 +
JUN NFKB1 -
JUN PTGS2 -
JUN COL1A1 -
JUN TIMP1 -
JUN VEGFB -
JUN MET -
JUN TRP53-PS -
JUN CCND3 +
JUN MAPK3 +
JUN MMP1B -
JUN IL2 -
JUN TH +
JUN FGL2 +
JUN CCND1 -
JUN ATF1 -
JUN FIGF -
JUN MMP3 -
JUN CEBPA +
JUN IFNB1 +
JUN MT3 +
JUN CCND2 -
JUN JUN +
JUN UCP2 -
JUN VEGFC -
JUN EGR1 +
JUN FASL -
JUN PGF +
MAPK9 VDR +
MAPK9 ACOX1 +
MAPK9 TAL1 +
MAPK9 JUN +
MAPK9 IL12B -
MAPK9 AR -
MAPK9 KIT -
MAPK9 TNF -
MAPK9 NOS2 -
MAPK9 IL1A -
MAPK9 IL1B -
MAPK9 TCF7L2 +
MAPK9 MMP2 -
MAPK9 IL18 +
MAPK9 SMAD4 -
MAPK9 IL6 -
MAPK9 IL12A -
MAPK9 IL23A +
MYC SP1 -
MYC MMP1A -
MYC CEBPD -
MYC LOC640611 -
MYC BCL2 +
MYC JUN -
MYC VEGFA -
MYC MMP1B +
MYC CCND1 +
MYC CREBBP +
MYC FASL +
MYC BMP4 +
MYC CDK4 +
MYC RXRB -
MYC PAX3 -
MYC SLC2A1 -
MYC VEGFB +
MYC MMP9 -
MYC FIGF +
MYC PTGER2 -
MYC PGF -
MYC TRP53 -
MYC PPARG -
MYC CCND2 +
MYC IL2 +
MYC STAT5B +
MYC VEGFC -
MYC MMP2 -
MYC CDKN2B +
MYC IL6 +
MET NR1H4 +
MET SFPI1 -
MET IL4 +
MET STAT2 +
MET UCP2 -
MET CPT1B +
MET NKX2-1 +
MET BCL2L1 -
MET TCF7L1 -
MET BDNF -
MET MAPK9 -
MET IL6 -
NFIC MMP1A +
NFIC CRH +
NFIC SMAD4 +
NFIC H2-EB1 +
NFIC APOA1 -
