source target sign
SIRT1 IL6 -
SIRT1 PAQR7 +
SIRT1 EEF1B2 -
SIRT1 SPRED2 -
GPD2 COL7A1 -
GPD2 H2-L +
CD74 MMU-MIR-378A-5P -
CD74 CD79A -
CD74 MTCH1 -
CD74 BCL2A1C -
CD74 PSRC1 +
LOC100048117 POU6F1 +
LOC100048117 POLA1 +
ACTA2 MAPK3 -
ACTA2 MADCAM1 -
GYG KRT12 +
GYG COL2A1 -
GYG GLI1 +
ST6GALNAC1 IL2RB -
ST6GALNAC1 NFKB1 +
ST6GALNAC1 PDK4 +
ST6GALNAC1 BCL2A1C -
HLF ID1 -
HLF DCK -
UGCG SSTR2 +
UGCG PMAIP1 +
UGCG BIRC5 -
FBP2 RNF11 -
FBP2 CABLES2 +
BLK CPT2 +
BLK SIAH1A +
BLK TGFB3 -
BLK NRN1 +
BLK LY6C1 -
TEK PDCD4 +
DCT ELMO2 -
DCT BDNF -
DCT MMP7 -
DCT AGTR2 +
CCNA1 CYP4A10 +
CCNA1 HOXA4 +
CCNA1 EGF +
SERPINE2 H2-EB1 -
SERPINE2 DES -
MYCN BTK -
MYCN WNT9A +
MYCN PIAS3 -
COL7A1 ADRB3 -
COL7A1 FABP3 -
COL7A1 CD4 -
MYCT1 ABCB4 -
MYCT1 HES2 +
EBI3 CDC25A -
CD4 SLC11A1 -
CD4 IGJ +
CD4 CCL7 +
CD4 PDPN -
CKB MUC2 +
NOTCH1 CDK4 +
CDKN2B CDK2 -
CDKN2B NKX3-1 -
MAFA KCNC1 -
MAFA SKIV2L -
MAFA GRIA2 -
HOXB2 LAMB1 +
KRT10 UCHL1 -
KRT10 CRH -
KRT10 MMP2 +
KRT10 SST -
MDM4 ACOX3 +
GCM1 SFPI1 +
GCM1 SF3A2 -
GCM1 GCM1 +
PFKFB3 EIF4E +
PFKFB3 ELK1 +
TGM2 MMU-MIR-708-5P +
TGM2 FGL2 +
TGM2 GLI3 +
POU3F3 NFATC2 +
POU3F3 GSTM2 +
POU3F3 EPOR +
PAX6 GPD2 +
PAX6 AHR +
PAX6 COL1A1 -
PAX6 BACH1 +
POU2F1 RXRG -
POU2F1 NGFR -
POLK TESK1 +
REN1 TGFA +
REN1 MMU-MIR-708-5P +
REN1 H2-DMB1 +
TGFBR3 HES5 +
TGFBR3 IFNA1 +
TGFBR3 AR +
RHOB PARP2 -
PFKL MYF5 -
PFKL IFNA11 -
PFKL SYN2 -
PFKL TKT -
RDH1 STAT1 -
RDH1 CFTR +
RORC ARL4A -
RORC SMAD4 +
GABRA6 INS2 -
MMP13 IL2RA -
MMP13 GBA +
MMP13 IGJ -
MMP13 SLCO1B2 +
MMP13 IL1RN +
MMP13 MMU-MIR-302A-3P +
SERPINH1 RDH1 -
SMAD3 ETS2 -
NEFM CCND1 -
NEFM EGLN1 -
TUBB4B POLK -
TUBB4B DAB2 +
TUBB4B MECR +
TUBB4B SP4 +
TUBB4B PLAT +
PDPK1 PLIN4 +
SLC9A2 HNF1A +
SLC9A2 NPPA -
SLC9A2 ALDOA -
ENO1 LGALS1 -
ENO1 SSRP1 -
ENO1 DAB2 -
ENO1 ELK1 +
ENO1 CCL7 -
HKDC1 NCL -
HKDC1 FLII +
HKDC1 DHFR -
SPARC SPINT1 -
PSMB9 POLK +
PSMB9 TSC2 +
PSMB9 AQP2 +
FAS NKX6-1 -
AREG NEUROD1 -
AREG SURF2 -
CDC25C SPRY1 +
