source target sign
MMU-MIR-18B-5P SMAD2 +
MMU-MIR-205-5P LRRK2 +
MMU-MIR-205-5P GSK3B -
MMU-MIR-205-5P PTEN -
MMU-MIR-126A-3P RUNX1 -
MMU-MIR-126A-3P PIK3R2 +
MMU-MIR-126A-3P HOXA9 +
MMU-MIR-126A-3P SPRED1 +
MMU-MIR-126A-3P IRS1 +
MMU-MIR-126A-3P TAL1 -
MMU-MIR-126A-3P SFPI1 -
MMU-MIR-133B-3P PITX3 +
MMU-MIR-133B-3P FOXL2 +
MMU-MIR-133B-3P PTBP2 +
MMU-MIR-139-5P FOXO1 -
MMU-MIR-126A-5P RUNX1 -
MMU-MIR-126A-5P ALCAM -
MMU-MIR-126A-5P TAL1 +
MMU-MIR-126A-5P SFPI1 +
MMU-MIR-126A-5P SETD5 +
MMU-MIR-1A-3P POLA1 -
MMU-MIR-1A-3P HES1 +
MMU-MIR-1A-3P RHEB -
MMU-MIR-1A-3P MYH6 -
MMU-MIR-1A-3P TLX2 -
MMU-MIR-1A-3P CALM2 +
MMU-MIR-1A-3P SH3BGRL -
MMU-MIR-1A-3P PAX7 +
MMU-MIR-1A-3P MYOCD -
MMU-MIR-1A-3P ADAR -
MMU-MIR-1A-3P CALM1 -
MMU-MIR-1A-3P RARB +
MMU-MIR-1A-3P RPS6 +
MMU-MIR-1A-3P MEOX2 +
MMU-MIR-1A-3P FN1 +
MMU-MIR-1A-3P SMARCB1 +
MMU-MIR-1A-3P ETS1 +
MMU-MIR-1A-3P CDK9 -
MMU-MIR-1A-3P IGF1 -
MMU-MIR-1A-3P ANXA5 +
MMU-MIR-1A-3P HAND2 +
MMU-MIR-1A-3P SMARCD2 -
MMU-MIR-1A-3P RASA1 -
MMU-MIR-1A-3P IRX5 -
MMU-MIR-1A-3P FZD7 -
MMU-MIR-1A-3P HSPA1B +
MMU-MIR-1A-3P CDC42 -
MMU-MIR-1A-3P HSPD1 -
MMU-MIR-1A-3P UCP2 +
MMU-MIR-1A-3P NFAT5 -
MMU-MIR-1A-3P IGF1R -
MMU-MIR-1A-3P GJA1 -
MMU-MIR-1A-3P GATA4 +
